edulevel,nationality,roleJobTitle,performanceReview,employee_record,taxIdentifier,marital_status,age,ban,routingNumber,lepsf59,created_by,middle_name,startDate,updated_at,maiden_name,department_division
PhD,Mexico,VP Engineering,Exceeds expectations,EMP-69394,53-4961055,Married,44,4926831589,357126611,"$46,303",jessica.jones,P,2020-05-29,2023-01-02 00:00:00,Williams,Operations
Associate's,Netherlands,VP Engineering,Outstanding,EMP-44562,84-9368933,Widowed,56,762282772881,377028519,"$137,117",michael.brown,L,2024-05-30,2021-04-01 00:00:00,Johnson,Marketing
High School,Spain,Data Analyst,Needs improvement,EMP-49748,47-9152477,Single,101,29604432,701851067,"$180,224",jennifer.moore,O,2021-10-15,2026-10-06 00:00:00,Thomas,Support
Associate's,France,Sales Rep,Meets expectations,EMP-76160,91-8733225,Widowed,85,2519966365,807412094,"$177,074",olivia.brown,U,2024-04-10,2018-12-15 00:00:00,Miller,Engineering
Associate's,Switzerland,Product Manager,Outstanding,EMP-75881,12-3018016,Married,2,3397189569,070562608,"$113,199",susan.rodriguez,C,2019-04-15,2019-02-11 00:00:00,Thompson,Marketing
Master's,France,Product Manager,Needs improvement,EMP-21747,29-6147152,Widowed,86,09520046,152654610,"$83,099",mary.young,T,2024-07-28,2020-08-26 00:00:00,Harris,Legal
High School,India,Software Engineer,Needs improvement,EMP-70925,80-7829609,Single,61,63048913,824967183,"$235,227",william.taylor,R,2019-11-20,2026-10-09 00:00:00,Davis,Legal
Associate's,Sweden,Software Engineer,Exceeds expectations,EMP-70902,89-5852800,Married,0,74946539,840289141,"$133,626",noah.brown,E,2026-02-17,2024-03-29 00:00:00,Rodriguez,Legal
Bachelor's,Switzerland,Sales Rep,Needs improvement,EMP-99404,53-5384902,Widowed,34,55379502,097002687,"$229,875",susan.thompson,C,2026-10-30,2025-04-12 00:00:00,Clark,Sales
Associate's,United States,Sales Rep,Outstanding,EMP-98112,25-6922268,Widowed,105,562017537030,453194337,"$125,158",john.rodriguez,P,2025-11-23,2025-12-05 00:00:00,Lee,Finance
High School,Australia,Sales Rep,Outstanding,EMP-24541,45-9394071,Widowed,21,399921921249,384308948,"$148,994",james.jackson,U,2025-07-20,2025-04-16 00:00:00,Johnson,Operations
PhD,South Korea,Data Analyst,Exceeds expectations,EMP-99151,76-8828026,Widowed,46,030468750635,190361332,"$116,304",jennifer.williams,U,2025-01-05,2019-02-01 00:00:00,Smith,Support
PhD,United States,VP Engineering,Needs improvement,EMP-42821,41-2809265,Widowed,30,0583199717,911006512,"$46,253",harper.king,O,2018-08-13,2021-05-19 00:00:00,Lee,Legal
High School,Germany,CTO,Exceeds expectations,EMP-83303,16-5947882,Widowed,51,96399076,769915078,"$116,034",emma.miller,D,2019-02-25,2018-02-20 00:00:00,Lee,Sales
Associate's,Australia,VP Engineering,Meets expectations,EMP-93540,75-5299767,Divorced,53,9723200249,685498227,"$110,917",sophia.anderson,J,2022-02-19,2018-02-03 00:00:00,Martin,Marketing
High School,Brazil,VP Engineering,Exceeds expectations,EMP-65320,54-4278387,Married,81,15377959,959465217,"$236,881",harper.johnson,P,2020-06-17,2018-01-16 00:00:00,Clark,Finance
Bachelor's,Sweden,VP Engineering,Meets expectations,EMP-41328,71-6561900,Widowed,26,2050150812,473950033,"$104,475",david.davis,I,2026-01-23,2019-12-15 00:00:00,Anderson,Finance
Bachelor's,Australia,Software Engineer,Meets expectations,EMP-44313,22-1352216,Married,48,153473552896,112233865,"$113,349",sophia.jackson,U,2020-09-28,2018-07-09 00:00:00,Young,Finance
Associate's,Mexico,Sales Rep,Meets expectations,EMP-52949,41-1893537,Divorced,111,89731791,286857872,"$114,364",noah.taylor,Q,2025-10-15,2023-06-03 00:00:00,Robinson,Support
PhD,India,VP Engineering,Outstanding,EMP-93637,84-1614121,Married,28,73634669,254812147,"$166,005",elizabeth.davis,S,2018-06-18,2023-03-21 00:00:00,Martin,Operations
PhD,Sweden,Designer,Outstanding,EMP-63602,57-9347387,Divorced,34,0273415148,881431115,"$40,035",anna.miller,K,2020-03-16,2025-07-28 00:00:00,Anderson,HR
Master's,India,Product Manager,Meets expectations,EMP-81188,43-1143174,Divorced,36,6690782633,373898775,"$237,595",robert.anderson,G,2022-10-23,2026-08-21 00:00:00,Robinson,Legal
Bachelor's,Sweden,Designer,Exceeds expectations,EMP-59112,27-3153282,Divorced,120,075536668459,090225999,"$180,438",oliver.thomas,M,2020-04-16,2022-05-20 00:00:00,Williams,Legal
Bachelor's,Norway,Software Engineer,Needs improvement,EMP-84647,67-6111102,Single,21,82097023,164334817,"$45,061",elizabeth.martin,A,2019-12-05,2021-08-31 00:00:00,Jackson,Legal
Bachelor's,Germany,Product Manager,Outstanding,EMP-72685,18-7526217,Married,16,46729949,387430271,"$246,159",susan.lee,Z,2020-10-08,2023-11-24 00:00:00,Anderson,Support
PhD,Sweden,VP Engineering,Exceeds expectations,EMP-21941,46-8655554,Divorced,89,469263296762,916032484,"$204,760",harper.williams,W,2026-02-23,2026-02-06 00:00:00,Miller,Support
