v_pan,timestamp,shipping_method,dim_sy,paymethod,sku_product_code,d_187,timestamp_2,catstat,measprice,x_960,cardExpiryDate,currency_name,card_verification_value
XXXX-XXXX-XXXX-6904,2023-09-05T00:00:00Z,Standard,73220,Credit Card,NID-9409,2020-11-21,2026-10-09 22:28:24,completed,7574.97,"$96,123.88",08/28,US Dollar,1416
5356-5880-4341-6518,2023-05-06T00:00:00Z,Overnight,46338,Debit Card,XGY-4115,2023-08-06,2021-04-24T07:55:16Z,completed,8349.56,"$83,633.54",02/24,US Dollar,9080
6011-5957-9472-8463,2019-06-10T00:00:00Z,Standard,68909,Check,LYA-6689,2022-06-01,2020-08-04T22:33:29Z,active,119.18,21075.63,06/26,Swiss Franc,2843
XXXX-XXXX-XXXX-5647,2019-06-22T00:00:00Z,Same Day,89916,Debit Card,VSU-8081,2022-04-10,2021-03-26 23:09:30,pending,4215.78,13447.60,11/28,Swiss Franc,7448
4612-0347-1754-5588,2020-11-21T00:00:00Z,Overnight,2599,ACH,DWZ-4259,2024-06-20,2026-03-25 09:22:20,rejected,7747.66,"$44,693.28",10/26,Japanese Yen,256
6011-1125-3554-4964,2026-10-04T00:00:00Z,Overnight,98028,PayPal,NLE-1378,2019-05-28,2021-11-09T23:44:47Z,pending,3971.05,9555.82,08/28,US Dollar,681
XXXX-XXXX-XXXX-2820,2022-01-01T00:00:00Z,Overnight,62410,ACH,ZOH-8288,2019-07-08,2026-03-19 19:29:40,approved,5235.06,"$63,953.00",06/27,Swiss Franc,174
3764-2400-8254-7807,2023-05-09T00:00:00Z,Overnight,1197,Check,LHG-1118,2024-02-24,2023-04-14T17:27:25Z,approved,8284.43,"$22,059.63",11/25,Swiss Franc,4846
XXXX-XXXX-XXXX-3502,2024-01-01T00:00:00Z,Standard,24371,Credit Card,HDL-1134,2020-08-11,2019-03-01T15:13:21Z,rejected,9979.63,46368.71,06/24,Euro,461
6011-2346-0136-7303,2026-08-24T00:00:00Z,Standard,68306,Cash,ZMR-6113,2021-08-16,2020-11-24 01:47:59,inactive,2533.86,"$63,852.18",01/30,Euro,365
XXXX-XXXX-XXXX-2513,2019-01-10T00:00:00Z,Economy,81087,Wire Transfer,YZQ-1979,2021-12-27,2020-12-18T03:08:31Z,cancelled,8055.44,"$43,872.17",12/27,British Pound,407
6011-8487-3928-5574,2024-09-18T00:00:00Z,Same Day,21016,Credit Card,NLV-9873,2022-02-12,2025-01-25 20:32:24,active,6197.72,36407.83,06/29,US Dollar,3878
5945-6511-8102-2031,2019-02-09T00:00:00Z,Standard,74843,Cash,VRN-5193,2018-07-21,2023-04-20 22:04:00,completed,6557.83,92840.40,08/30,US Dollar,8650
3780-1413-8113-8633,2020-10-15T00:00:00Z,Same Day,81962,Debit Card,OOT-6864,2025-07-25,2025-12-22T13:56:06Z,pending,5500.09,50469.52,09/28,Japanese Yen,5855
6011-6593-9836-8457,2022-06-15T00:00:00Z,Standard,95199,Credit Card,ZPN-5945,2018-01-27,2022-04-07 10:01:49,failed,9191.19,51127.39,10/25,US Dollar,752
XXXX-XXXX-XXXX-3157,2025-09-25T00:00:00Z,Economy,75527,Check,XPH-7251,2018-11-18,2018-06-12 13:26:59,completed,7477.03,84947.88,11/30,Japanese Yen,480
XXXX-XXXX-XXXX-9981,2021-04-01T00:00:00Z,Freight,19400,Debit Card,IMT-9980,2022-06-24,2022-02-13 16:27:49,pending,4809.73,"$19,811.25",10/25,Swiss Franc,314
6011-5911-6655-3559,2026-08-19T00:00:00Z,Overnight,22184,Wire Transfer,QZL-3389,2022-12-10,2018-04-07 21:23:09,inactive,1124.6,5454.27,03/30,British Pound,514
6011-7053-8338-8487,2019-08-02T00:00:00Z,Economy,91587,Cash,APR-1712,2020-11-12,2020-01-10 06:50:44,active,4650.13,"$94,517.67",11/26,British Pound,046
XXXX-XXXX-XXXX-7800,2023-12-09T00:00:00Z,Overnight,43721,ACH,KEJ-6765,2021-12-26,2022-04-17 08:51:03,approved,8904.12,"$81,485.95",09/26,Euro,562
XXXX-XXXX-XXXX-5782,2019-07-22T00:00:00Z,Same Day,70956,Cash,UWI-9582,2019-07-08,2024-03-21T18:58:10Z,inactive,1842.16,"$83,952.32",01/30,British Pound,6474
5312-2099-4999-3933,2022-01-11T00:00:00Z,Standard,90196,Check,MNP-7126,2020-01-24,2024-08-16T04:10:12Z,approved,7645.61,"$1,501.92",07/25,Euro,127
6011-5736-6096-5699,2023-11-22T00:00:00Z,Economy,92289,Check,BCL-1694,2020-10-03,2026-09-13T23:02:35Z,active,1899.3,43955.66,05/27,Euro,4908
5771-8129-8266-5702,2025-12-28T00:00:00Z,Express,59596,Credit Card,GRX-3686,2026-01-21,2019-02-04T22:28:40Z,approved,7269.0,97519.15,03/27,Swiss Franc,0259
5222-0644-7421-2309,2018-02-20T00:00:00Z,Freight,65225,Check,MUP-9084,2020-09-01,2021-10-22T15:29:26Z,active,2447.88,54734.38,09/30,Euro,220
3702-0994-5101-6224,2025-10-03T00:00:00Z,Economy,77983,PayPal,UEL-6901,2018-05-27,2019-05-11 11:57:24,approved,8433.24,"$6,493.05",02/29,British Pound,8683
5901-9817-9469-5489,2021-12-20T00:00:00Z,Express,80516,PayPal,MSM-3947,2024-11-01,2021-12-10T06:00:07Z,inactive,7374.94,20733.48,07/27,US Dollar,5830
5441-4488-5015-5699,2019-12-21T00:00:00Z,Express,43321,Check,IRX-1582,2025-03-29,2020-08-05 20:29:57,cancelled,4625.23,81416.75,01/30,Swiss Franc,9588
XXXX-XXXX-XXXX-2996,2019-04-24T00:00:00Z,Overnight,92440,Check,IAK-9143,2020-08-31,2023-08-27T09:13:33Z,inactive,3742.77,"$3,739.98",02/27,Swiss Franc,782
XXXX-XXXX-XXXX-7681,2018-06-30T00:00:00Z,Economy,77894,Check,CMB-9529,2026-08-05,2022-01-19T09:40:57Z,completed,1926.25,"$27,665.31",08/29,US Dollar,2241
XXXX-XXXX-XXXX-4932,2024-11-16T00:00:00Z,Overnight,70854,ACH,BAX-1826,2019-03-10,2024-01-03 13:25:11,rejected,6163.53,31244.41,12/30,Swiss Franc,792
4717-4773-3294-5625,2021-08-23T00:00:00Z,Freight,63898,Credit Card,BCM-3798,2021-03-02,2023-10-19T04:32:06Z,inactive,3259.36,64945.31,09/27,Japanese Yen,3938
5761-5396-6958-3219,2019-04-14T00:00:00Z,Same Day,78128,ACH,ICL-6046,2022-07-21,2019-10-04 21:52:38,approved,3274.75,"$64,499.08",04/30,Euro,227
XXXX-XXXX-XXXX-6519,2023-09-22T00:00:00Z,Freight,16718,Check,HJO-1870,2018-01-04,2026-06-04T09:55:01Z,approved,6252.51,"$71,177.50",07/28,Euro,723
6011-5624-2201-0276,2019-07-11T00:00:00Z,Standard,17985,Cash,UWX-7974,2024-12-27,2020-08-17T13:35:52Z,cancelled,2258.17,"$42,477.47",08/30,Euro,6895
4097-5197-1284-7818,2018-12-29T00:00:00Z,Express,61925,Cash,TYC-9834,2026-12-14,2022-10-02T10:34:49Z,rejected,5127.11,46923.50,07/26,British Pound,2094
XXXX-XXXX-XXXX-7128,2026-10-16T00:00:00Z,Overnight,33036,Debit Card,QHG-2827,2024-10-09,2020-10-24T04:42:28Z,pending,2613.25,"$70,077.63",09/30,US Dollar,1292
XXXX-XXXX-XXXX-0410,2022-06-22T00:00:00Z,Freight,39500,ACH,TTN-7222,2025-08-31,2024-08-09T04:33:55Z,failed,9272.29,44882.33,09/29,US Dollar,856
3754-4149-6739-3852,2018-02-13T00:00:00Z,Economy,1110,Check,BKN-8306,2021-12-10,2021-12-10T08:12:02Z,inactive,569.75,59414.06,04/28,US Dollar,192
XXXX-XXXX-XXXX-7465,2026-10-03T00:00:00Z,Standard,36344,Check,BKZ-5230,2020-12-20,2020-08-03 15:59:12,pending,6455.18,10843.49,07/25,Swiss Franc,741
4119-4707-2006-4256,2023-10-13T00:00:00Z,Economy,64314,ACH,LVU-2148,2024-01-22,2021-01-13T22:52:49Z,cancelled,3335.05,"$30,283.15",11/24,British Pound,1743
XXXX-XXXX-XXXX-3203,2024-08-25T00:00:00Z,Express,64124,ACH,BOI-9748,2023-01-15,2018-01-11 01:21:50,approved,1182.74,80710.46,08/29,Swiss Franc,931
XXXX-XXXX-XXXX-4179,2024-08-17T00:00:00Z,Standard,13937,Credit Card,MUF-4320,2022-10-12,2023-12-22 12:20:07,pending,3216.57,"$96,469.25",01/28,Euro,1142
6011-2582-7390-2196,2018-03-06T00:00:00Z,Freight,10580,Credit Card,AYS-5648,2022-09-01,2025-12-05T06:09:40Z,rejected,4120.89,93808.98,01/28,Euro,9145
6011-0833-1819-5883,2025-01-09T00:00:00Z,Economy,27277,Wire Transfer,BCD-8772,2023-07-31,2020-03-22T01:03:41Z,completed,4347.27,33429.79,08/24,US Dollar,822
XXXX-XXXX-XXXX-5315,2020-08-29T00:00:00Z,Economy,54079,Check,FXB-8936,2018-08-11,2024-03-07T19:29:11Z,pending,4577.93,"$19,415.89",05/25,British Pound,090
3721-7762-5349-2929,2020-07-29T00:00:00Z,Standard,53961,Check,NWF-8757,2023-03-11,2022-01-24T13:47:55Z,cancelled,4343.04,22241.05,03/28,US Dollar,0078
XXXX-XXXX-XXXX-6325,2025-04-06T00:00:00Z,Standard,2087,ACH,REL-1399,2023-02-07,2025-03-28 22:25:11,cancelled,6268.47,"$70,390.35",11/24,Japanese Yen,8046
3798-9319-5085-0165,2018-06-17T00:00:00Z,Overnight,48029,Debit Card,QSO-4354,2019-07-21,2023-04-18 03:41:30,completed,7531.97,"$76,088.70",05/28,Japanese Yen,0155
XXXX-XXXX-XXXX-7951,2023-02-19T00:00:00Z,Standard,10508,ACH,XHY-2791,2019-11-06,2022-02-23 04:31:09,active,2932.39,96957.47,03/27,British Pound,7043
4038-5695-5798-8774,2026-11-08T00:00:00Z,Overnight,22509,Check,GMZ-1775,2019-08-31,2023-05-15T05:39:59Z,failed,1823.61,17536.35,11/30,Euro,310
3792-7452-3805-5257,2019-10-28T00:00:00Z,Same Day,39526,Credit Card,XKM-3381,2023-02-20,2023-03-01T23:34:32Z,failed,4739.62,28983.07,10/29,Euro,5170
5814-0693-7515-0939,2026-10-06T00:00:00Z,Overnight,25652,Credit Card,CWR-2431,2023-09-28,2024-04-16 10:38:38,active,9084.55,"$36,106.80",07/26,Japanese Yen,0455
XXXX-XXXX-XXXX-6299,2020-05-01T00:00:00Z,Overnight,62208,Check,NIY-7156,2018-12-29,2018-07-21 08:26:11,pending,1993.37,"$83,228.45",08/24,British Pound,7873
4024-4714-6273-0147,2018-10-01T00:00:00Z,Same Day,97722,Wire Transfer,POW-8799,2025-10-14,2019-06-17 23:36:01,pending,5816.95,"$14,614.14",12/25,British Pound,045
6011-5044-8183-2192,2021-07-19T00:00:00Z,Economy,39462,Wire Transfer,RRC-6761,2019-08-12,2018-03-17T09:23:49Z,cancelled,9209.14,"$16,303.33",09/25,Euro,671
XXXX-XXXX-XXXX-2401,2025-10-14T00:00:00Z,Express,90183,Debit Card,HFZ-7960,2025-09-30,2019-02-01T15:48:27Z,inactive,328.88,65979.05,08/24,British Pound,140
4193-9325-0124-9552,2026-10-04T00:00:00Z,Economy,80341,Debit Card,NBV-1229,2023-12-07,2021-12-07 09:10:57,active,9735.82,"$9,869.02",09/30,Japanese Yen,9271
5566-3836-1517-1827,2025-11-26T00:00:00Z,Overnight,73024,Cash,BID-5646,2023-02-15,2022-11-27T14:14:35Z,approved,1888.65,6961.38,08/29,British Pound,071
6011-7811-2669-1215,2021-10-19T00:00:00Z,Express,77982,Check,ZDV-9177,2021-02-14,2022-11-13 11:30:42,approved,9875.23,"$51,141.69",08/24,US Dollar,7732
4101-7026-9524-9911,2023-10-31T00:00:00Z,Freight,61082,Debit Card,HMN-9887,2021-11-08,2026-09-01 01:27:56,approved,4501.7,"$85,287.49",01/24,Euro,2762
3767-1978-8977-8280,2023-07-20T00:00:00Z,Same Day,49518,PayPal,RTH-2006,2018-04-26,2018-03-27 11:22:51,active,7652.17,"$62,515.48",07/26,British Pound,5033
5491-1415-2085-0769,2022-09-22T00:00:00Z,Overnight,2674,Cash,MAI-7394,2021-08-13,2019-08-04T22:43:13Z,cancelled,1667.1,29952.44,04/27,US Dollar,440
3796-3919-1954-1987,2021-11-23T00:00:00Z,Standard,85398,Check,HUL-9846,2021-07-07,2021-07-13T08:39:32Z,pending,8809.07,62784.57,03/28,Japanese Yen,748
6011-9083-5723-2466,2018-09-21T00:00:00Z,Economy,26680,Check,KVQ-5201,2025-09-14,2021-07-08T03:09:12Z,failed,4642.12,"$55,982.72",11/24,Euro,420
3748-2070-0159-4165,2019-01-05T00:00:00Z,Freight,94926,Check,DCT-2976,2023-11-08,2026-05-16T02:15:38Z,cancelled,3293.52,"$58,432.82",12/29,Euro,3212
5476-4907-8515-8673,2026-10-18T00:00:00Z,Express,47578,ACH,SVA-1570,2026-04-17,2018-12-26 21:15:16,failed,6389.84,70061.82,11/24,Swiss Franc,760
6011-4413-4327-5604,2026-09-28T00:00:00Z,Freight,61746,Cash,KVS-2644,2019-10-19,2022-09-03 11:26:38,cancelled,4533.15,"$2,735.58",11/25,Japanese Yen,063
