c_xqxp,SALARY_COMPENSATION,twoszf24,revenue,val_len,UPTIME_AVAILABILITY,concentration,attr_gkfm,humidity,PASSPORT_NUMBER,category,exchangeRate,bandwidthDataRate,database_connection_string,customer_checksum_hash,attr_gtin,signature,f_hum,measup,tbmdyk93,ENERGY,measscore,category_2,sla,AREA,LENGTH,VOLUME,MEMORY_USAGE,val_dxs,col_399,dim_715,portfolio,price_cost_info,attr_cvv,GLOBAL_TRADE_ITEM_NUMBER,meta_uqv,brandName,storage_size,CATEGORY,errmsg,price_cost,f_527,distance,marketValue,paypal,speed_velocity,dim_created_by,PRESSURE,concentration_2,measmem
12.35,"$189,022",253.17,"$1,306,280",33.27,97.1546,362.77,0.94,87.9,A92498415,Software,119.6925,2976,postgresql://user:****@db-staging.internal:5432/main,16642298b2a456e1cf2f18cf67a7541aece3aba6e30345194a4cf8b51436d777,6275903963599,sig_63a95260e19b60ee,35.5,97.5283,67530,71518.0,8.58,Electronics,98.9577,73683.8,317.05,348.29,97.7,https://example.com/data/docs/docs,124.65,B-,INV-280582,9964.73,6949,4772574583652,ZQP-6774,ProSeries,673399,Services,ValueError: invalid literal for int(),7093.53,Divorced,2367.7,"$310,231,945",susan.clark@gmail.com,134.5,jennifer.jones,1763.1,201.06,98.4
8.295,"$97,949",81.02,"$2,303,375",150.21,97.9415,2.36,6.35,69.1,Z75381485,Food,7.2083,1767,postgresql://user:****@db-staging.internal:5432/analytics,094d0b037b27c12ba5ba77a9fa48b365ea0dbab8ac4deb659e072a645363eb9d,8402566816779,sig_6b389686b72b74be,44.2,97.3479,24623,81953.2,2.89,Software,98.737,20386.8,264.57,9805.31,66.2,https://data.io/docs/users,658.16,AB+,INV-627120,5293.75,6013,2306112179381,VAJ-5784,SmartChoice,619870,Clothing,PermissionDenied: insufficient privileges,4378.3,Divorced,5036.5,"$733,798,762",liam.walker@yahoo.com,42.1,anna.king,1019.1,481.28,92.7
0.276,"$96,761",75.95,"$5,179,844",915.39,97.4521,235.23,3.86,18.3,O18892258,Hardware,142.4792,7011,postgresql://user:****@db-staging.internal:5432/analytics,1e16da42a269935a23130a063f2022fc351a7df7051572e3664c94e90e1ac17e,6112077563921,sig_3cca248d0b59d2e5,24.6,95.5888,78178,36677.1,3.69,Electronics,97.9107,94625.1,813.81,3933.02,8.6,https://data.io/docs,619.14,A-,INV-345009,9533.57,7764,0637099233725,VPI-5958,EcoLine,727779,Electronics,PermissionDenied: insufficient privileges,797.91,Married,992.9,"$823,294,010",robert.jones@gmail.com,254.4,anna.jones,670.8,982.6,18.5
10.835,"$59,409",172.23,"$3,116,723",670.83,98.0171,549.11,4.06,64.4,I46828513,Electronics,54.7887,4634,postgresql://user:****@db-staging.internal:5432/analytics,55c631d8e4f5f5e173b37cde91336bb8fdfc23dc0d9e2b79eb25ebfc1d39b974,8388852261984,sig_190e2f97b25714d1,97.8,95.5937,43603,72192.2,1.26,Clothing,95.1484,6649.1,836.58,1504.42,12.2,https://data.io/users/api/users,267.12,AB+,INV-739344,2034.84,7611,8985405311904,BEW-3172,TechBrand,251390,Services,PermissionDenied: insufficient privileges,8814.8,Married,7859.7,"$735,666,198",michael.miller@outlook.com,17.6,sophia.harris,900.5,41.92,68.3
19.505,"$108,309",72.32,"$4,545,500",572.54,95.9918,162.85,8.37,42.2,S87200841,Services,35.742,3715,postgresql://user:****@db-staging.internal:5432/analytics,d264af69bfcfff4dd07fa873d65fa391cafc8c023bf73312c55d936ccb218822,1127557290350,sig_66285f98353ec704,99.3,97.968,33499,49365.5,4.19,Hardware,97.1058,48766.0,920.81,1224.18,44.9,https://data.io/users/v2,925.06,A-,INV-274063,6931.15,927,1360228521907,JTV-3549,SmartChoice,114338,Software,HTTP 503 Service Unavailable,7274.35,Single,5463.7,"$807,266,455",aiden.jackson@gmail.com,273.5,richard.davis,850.5,671.23,14.6
12.482,"$37,717",32.21,"$8,118,668",705.58,99.8724,895.62,2.12,91.1,J71137584,Hardware,114.5755,9595,postgresql://user:****@db-prod.internal:5432/main,fcdfa2d7df8db9c8900cff6f6e0968eec4db43fa460f81c708c4e6b67de7487b,1593775537236,sig_d26967a29fa1a107,25.5,95.3372,78297,87570.3,9.7,Hardware,96.9493,74374.6,950.69,3058.64,28.9,https://example.com/users/status,200.42,A+,INV-849380,3941.34,6586,1551215000782,XST-4068,TechBrand,270996,Clothing,ValueError: invalid literal for int(),5042.65,Divorced,7552.1,"$818,787,816",anna.king@outlook.com,169.9,liam.williams,1872.3,363.62,85.5
2.133,"$88,359",83.32,"$7,388,762",736.16,96.7654,790.64,3.91,92.8,W13600597,Electronics,122.7251,1646,postgresql://user:****@db-staging.internal:5432/analytics,0a5f0357b91c75a02dabd3546d979f0793d0b553a4059173df1f59c2a48327ee,9218454464942,sig_46f52676eadd9014,88.4,99.1635,24795,32796.2,4.34,Food,96.4281,5264.6,106.68,5030.74,79.9,https://example.com/users/data/v2,387.93,O+,INV-593222,9822.51,0346,1132492106238,FVB-4469,ValueMax,706707,Software,HTTP 503 Service Unavailable,9538.54,Married,7359.2,"$390,060,188",david.brown@gmail.com,190.9,linda.robinson,857.6,292.57,23.6
0.692,"$50,947",185.65,"$838,271",719.49,96.3329,423.02,6.79,95.4,F29959790,Clothing,141.177,1563,postgresql://user:****@db-prod.internal:5432/main,6bee637c51637706423c0a2b623fa8a0a109d6b24e599957f77bc1b698bee09f,5879694217033,sig_1c8429981d4a4566,22.2,95.9115,86348,72850.8,7.55,Electronics,97.4873,27627.1,962.7,9914.72,60.5,https://example.com/docs/users,884.9,O+,INV-565361,4382.4,4984,5542905711588,YXU-5729,SmartChoice,899885,Hardware,HTTP 503 Service Unavailable,5904.66,Single,8742.6,"$589,992,106",anna.thompson@outlook.com,166.4,liam.williams,1276.4,950.41,60.9
18.727,"$54,040",187.93,"$5,440,936",198.43,99.6836,871.97,1.08,54.5,E38364026,Software,10.8968,4752,postgresql://user:****@db-prod.internal:5432/analytics,2a98771eb4ba2140eb3c31ded81b6f95ccffc29c7a2cb01ecfa1cbbd3d6fa129,0179019913489,sig_7b92f41e972dae7f,78.8,95.4948,85322,54755.8,5.09,Software,98.0118,41813.6,746.25,6999.01,87.6,https://example.com/api,66.6,B+,INV-443529,1928.16,5265,8653762171531,XXI-6319,EcoLine,60494,Electronics,HTTP 503 Service Unavailable,2486.24,Married,2476.8,"$969,178,159",aiden.anderson@gmail.com,63.2,oliver.lee,1109.1,20.03,82.8
3.468,"$164,704",56.36,"$2,677,598",592.42,97.4785,925.25,1.27,63.8,M28025896,Software,135.3735,9206,postgresql://user:****@db-prod.internal:5432/analytics,049e8ac2de1dab82601ffabe0e9f6c8314ea82875c8e31216155e0a198b1637e,9681970858479,sig_7088a9a958432f1c,30.9,97.6767,80168,33469.1,9.31,Software,95.2027,65443.8,769.41,6377.68,30.2,https://example.com/docs,150.8,AB-,INV-686377,7669.15,129,9507091033451,HLV-3558,ProSeries,603188,Electronics,FileNotFoundError: 6242,3695.23,Widowed,7211.7,"$447,600,366",emily.moore@yahoo.com,276.9,patricia.williams,167.7,939.09,76.8
0.562,"$182,483",235.92,"$7,162,802",52.29,99.9802,979.65,6.51,31.3,Z25622278,Software,20.6605,2995,postgresql://user:****@db-prod.internal:5432/analytics,5ac130bd3a652cc4602a50c482b0e6740463d453e7b22cc2ff7d63515255364e,2396594182126,sig_d7f555b93cadf600,35.6,97.043,80270,69694.0,0.39,Food,96.7696,43350.7,255.19,4923.23,56.7,https://data.io/docs/v2,885.34,AB+,INV-755899,587.84,357,0010519267913,HWL-9584,ValueMax,148327,Clothing,FileNotFoundError: 1076,5612.32,Single,387.4,"$955,143,728",olivia.miller@yahoo.com,212.0,jennifer.smith,1125.1,367.28,1.8
13.769,"$229,390",281.95,"$8,358,249",916.21,95.3843,793.01,4.91,34.2,S48817430,Hardware,111.6034,8545,postgresql://user:****@db-staging.internal:5432/analytics,323a8390bf32e819fb22ae96496fa7f4889c2d504a5759a0843e49e7e239ae5e,4012368672999,sig_7d495639b61a56f9,95.2,99.0342,66353,42225.8,1.16,Food,96.5102,70530.3,526.9,9918.78,6.1,https://data.io/data/docs,971.59,A+,INV-352116,3659.15,0123,3949110814245,POT-9386,EcoLine,359774,Software,FileNotFoundError: 3285,8377.74,Single,8086.6,"$922,445,953",william.smith@gmail.com,290.3,aiden.williams,1766.9,995.21,5.7
11.741,"$89,000",51.34,"$8,068,787",862.65,99.7048,582.27,5.83,99.8,T91543341,Electronics,131.3317,9777,postgresql://user:****@db-staging.internal:5432/analytics,c227975ab08100a34c11372c3ebc60907f3dd41ba1ba54919a6ecab9d8c95fcf,1441670241865,sig_fc5d96fc25331523,12.3,96.8193,80418,38534.3,5.05,Hardware,98.5039,69060.2,759.21,3273.94,87.7,https://acme.org/users/docs,330.56,B+,INV-552909,6341.68,532,9540467526998,ZXC-7261,SmartChoice,132879,Food,Connection timeout after 2476ms,2551.94,Married,7293.3,"$849,214,493",jennifer.smith@yahoo.com,199.2,harper.miller,986.7,789.63,90.7
15.943,"$39,898",292.22,"$4,488,600",292.39,98.7004,959.47,9.61,91.3,Y76320130,Hardware,31.354,4758,postgresql://user:****@db-prod.internal:5432/analytics,c050562c27a1d2530089de7ed57ea4e02bf67f2c15f14803b8b490df7af9a11d,9639133822206,sig_d2205ac3c4769854,62.1,97.7707,7186,80196.4,9.35,Electronics,99.5577,33957.0,620.72,9423.58,40.7,https://api.service.com/users/api,145.26,A+,INV-726943,8581.33,7101,8853992486792,ZEO-5443,ValueMax,307100,Food,PermissionDenied: insufficient privileges,7666.78,Married,9475.0,"$309,680,043",olivia.harris@yahoo.com,184.5,william.lee,1508.9,490.72,50.0
0.592,"$31,658",312.55,"$3,484,917",633.08,96.1418,806.06,8.2,6.2,H94755418,Software,77.328,867,postgresql://user:****@db-prod.internal:5432/analytics,03b952888dccaf8ae301dc1a8cb304f332005e5fd3488f58da9b84c070c06174,5716781680821,sig_4653677eb1bb1a57,9.9,96.4484,12767,52473.4,0.71,Hardware,95.9127,22485.9,457.7,1462.09,0.2,https://acme.org/api/data,775.16,B+,INV-353752,9453.54,5807,8881996305104,PBN-6662,ValueMax,870890,Electronics,HTTP 503 Service Unavailable,2613.47,Divorced,7241.5,"$792,907,265",amy.williams@gmail.com,282.8,ethan.johnson,603.7,380.89,59.9
7.747,"$236,398",232.58,"$440,334",730.34,99.5145,367.92,7.3,4.0,J63275896,Clothing,95.1092,7125,postgresql://user:****@db-prod.internal:5432/analytics,2cb6ed252bb700895b467e0d79f2e7bae981ac9ce18e539687a5be9781ddb95b,3938906484201,sig_b2816e4b89a2a694,14.4,97.4183,40854,48044.0,5.25,Electronics,96.3872,98120.0,969.92,8677.89,28.2,https://data.io/v2,802.96,AB-,INV-211757,7986.17,927,3587288592683,NHV-6105,TechBrand,400913,Clothing,Connection timeout after 5360ms,8747.74,Widowed,8423.7,"$957,872,004",john.king@yahoo.com,25.6,michael.thomas,1966.5,883.1,30.5
17.625,"$122,801",341.06,"$8,037,875",488.15,97.6354,207.2,3.1,90.5,D25926126,Food,6.0794,5716,postgresql://user:****@db-prod.internal:5432/main,4feb8c09f1e37b2ebaad5b7d7f51c5d4b0e75b9c2f16afe2fa555cd550281754,6979837415385,sig_c353bb08afec4b72,98.0,96.407,1206,15921.5,6.43,Software,96.0027,15500.3,310.04,2845.42,84.5,https://data.io/data,416.97,A-,INV-370271,3179.46,4793,0289223216863,RVK-6971,ValueMax,688293,Software,ValueError: invalid literal for int(),8638.49,Divorced,8268.5,"$532,834,462",amy.anderson@gmail.com,189.2,elizabeth.lewis,423.9,695.36,58.7
19.087,"$56,821",169.63,"$3,137,594",858.01,97.2737,130.77,7.64,28.0,K53469159,Hardware,132.4498,5886,postgresql://user:****@db-prod.internal:5432/analytics,8171f61de3a08917b1dda4ee0ebf48276d198a0b1ec1d232b3f85e1d76b7201c,2091851945774,sig_8d2c779a8fe48c42,8.4,96.5806,5434,25309.2,5.2,Hardware,96.436,57761.7,112.6,9724.74,62.7,https://data.io/v2/docs,229.7,B+,INV-253475,3086.03,2786,0237268741392,RJW-4764,SmartChoice,641975,Services,PermissionDenied: insufficient privileges,8990.0,Married,5235.3,"$135,639,076",richard.garcia@outlook.com,64.2,logan.davis,795.8,931.7,44.5
11.193,"$124,045",8.85,"$8,284,980",857.87,99.6973,420.2,4.79,26.7,D31669878,Food,30.5263,3947,postgresql://user:****@db-prod.internal:5432/main,7dd7ab0c16e6adfbf62139cedcf6d953b5d562cf4b6b6ef0e96a921a8e968bc4,6975843118840,sig_541151080381f6ff,88.1,96.5794,40458,49048.1,1.58,Software,96.4172,86343.6,520.04,3757.27,62.9,https://acme.org/status/users/data,772.75,B-,INV-758755,6782.97,5375,5003909662543,KZC-6935,ProSeries,764408,Clothing,ValueError: invalid literal for int(),4027.1,Widowed,8266.4,"$771,995,495",anna.martinez@yahoo.com,23.3,noah.lewis,100.7,919.68,64.5
11.306,"$92,926",254.19,"$3,995,778",602.96,99.7747,654.42,2.94,67.4,S22841091,Clothing,138.1287,4876,postgresql://user:****@db-staging.internal:5432/analytics,904e14f08e8f2fbcd288c8c0e7259b7d0faae62131d80448128d3ce508ce35bf,0008677848350,sig_84ad7fa47b49e56f,32.4,98.2282,61361,9365.9,5.31,Services,96.52,90974.1,689.08,5253.7,19.0,https://acme.org/users/users/docs,33.95,AB+,INV-284193,2273.71,457,4672858177135,RZV-3475,ValueMax,967005,Clothing,ValueError: invalid literal for int(),7539.12,Divorced,9709.5,"$615,846,731",mary.martin@gmail.com,88.6,olivia.brown,977.4,363.8,96.2
2.08,"$118,415",206.28,"$4,893,162",561.04,99.7128,910.89,6.87,20.6,G19341641,Hardware,82.8545,5676,postgresql://user:****@db-staging.internal:5432/analytics,d62e397ba11ef56f3be5ba94e2b7172dadbcb8731051a389a3ea7b5d48b194bf,7868439280669,sig_4deffbdda780a9ab,5.8,99.8978,74870,92982.5,4.62,Electronics,99.4387,97471.1,203.98,1855.37,24.7,https://data.io/api/v2/status,586.17,B+,INV-104130,8298.95,300,6677685882368,XUI-7369,ValueMax,669478,Food,ValueError: invalid literal for int(),8339.3,Widowed,6265.0,"$697,628,111",susan.johnson@gmail.com,5.8,jennifer.king,707.5,377.24,81.9
1.93,"$49,510",207.56,"$4,323,078",608.45,96.4238,705.81,6.85,68.9,J49704334,Clothing,9.9443,3134,postgresql://user:****@db-prod.internal:5432/analytics,750831237f0b8c06597523f913a79c4408b87045f138f5ebee0cda71f3d3225a,7438714485319,sig_e8fd4208d7a18990,72.2,95.3858,85620,98144.4,0.88,Software,99.2156,69825.6,482.27,1853.86,10.3,https://example.com/data/data,231.35,A-,INV-201657,7858.73,9471,8884402597760,YCC-2081,TechBrand,248396,Electronics,NullPointerException at line 7826,2387.67,Married,9800.1,"$315,236,994",jennifer.garcia@gmail.com,33.6,john.walker,469.1,9.74,43.8
19.376,"$61,368",184.42,"$8,347,508",427.3,97.3725,207.72,1.69,27.8,S13149093,Services,96.7778,5104,postgresql://user:****@db-staging.internal:5432/analytics,120b195d1ba0fc78e4fe11ea02d862a07f4ba4466e6f665edb8b33eb1685fc9a,3081648163823,sig_10cff3a84dc7cad5,54.7,99.5584,68431,59263.0,0.73,Food,99.4562,67392.2,420.62,8670.67,47.7,https://api.service.com/status/data,883.95,O+,INV-436843,7521.04,7598,6941222735834,VZK-8788,SmartChoice,977573,Software,NullPointerException at line 7605,5582.48,Single,3670.4,"$533,294,867",david.miller@outlook.com,34.6,david.king,451.2,926.56,84.2
1.583,"$238,998",30.43,"$4,406,776",184.9,95.0782,348.22,5.49,38.7,M16279179,Food,132.3785,9241,postgresql://user:****@db-prod.internal:5432/main,e3f7bc11ba4b232b4db6e7c918783aaab17c60cb7a3367e5dad0a9a13083be75,9707054162939,sig_470cf2565ad4d4f8,21.5,95.0224,51366,65069.7,3.97,Software,95.6379,13360.8,995.9,2719.62,27.3,https://data.io/v2/status/docs,804.2,AB-,INV-634026,4806.52,506,0705414041178,ZRE-4544,TechBrand,868325,Clothing,PermissionDenied: insufficient privileges,3489.09,Married,4551.9,"$844,797,952",oliver.harris@outlook.com,131.4,richard.clark,39.4,975.64,27.0
2.677,"$67,861",231.06,"$7,887,974",994.14,99.5447,194.84,6.05,53.0,O52136197,Electronics,108.9629,5871,postgresql://user:****@db-staging.internal:5432/analytics,6815933634cf954f9f7927ffaf34929e2ee4bfe1bc207b38947880c16134a9a2,9386255412065,sig_980227230f85580f,94.5,96.0155,37165,93177.2,3.79,Electronics,97.942,24884.1,888.67,3771.45,76.3,https://acme.org/docs/data/users,227.38,O+,INV-356455,3264.31,059,3380162513811,IAJ-2296,SmartChoice,549479,Software,NullPointerException at line 5234,5459.98,Divorced,5088.5,"$513,380,639",anna.miller@gmail.com,227.5,william.young,847.5,314.42,52.5
