scoreIndex,year,user_checksum_hash,user_device_type,qtrval,kdjl79,dtval,dt,raw_time_of_day,date_time,command_action_raw,remark,command_action,SCORE_INDEX,measscore,dim_modi,val_zeq,checksum_hash_38,binval,policy,versionNumber,ssn,ljsm84,month_38,q3,score,month_info,fact_storage_size,partition,time_of_day_38,date_data,month,insid,DUNS_NUMBER,airport,stddev,cron_schedule_val,mar89,ethnicity_race_val,browserUserAgent,BROWSER_USER_AGENT,rank,dev_type,scientific_nm,platform,definition,periodInterval,rectype,cron_schedule,model,tkbhr17,end_date_val,fact_quarter,quarter_54,yqfr20,user_day_of_week,user_score_index,wdllkl4,iso_country_code,time_of_day_data,legal_entity_identifier_raw,date,PERIOD_INTERVAL,members,dim_ebg,col_mont,date_2,meta_577,shippingMethod,end_date,fit,area_v2,vydk33,ivehq84,encoding,device_type_field,attr_35,MONTH,v_load,score_index_62
0.56,2025,721a85c713d90c9edbc7ecef115e7c1a27896cc366686a0b815553c684646ba7,Smart TV,Q2 2026,-10.05%,2019-05-08T00:00:00Z,2025-06-26,04:34:15,2021-06-08T00:00:00Z,POST /api/orders,Updated per client request.,GET /api/users,1.58,2.15,2024-04-25 09:39:02,2025-08-06T00:00:00Z,6d5d7dba6204af4ee377db034587461ef5320ab1b8fcd6d7fa73b2380a0d85d4,1,Data retained for 7 years,4.16.60,493-57-5292,"-----BEGIN CERTIFICATE-----
Uudn2SipyhFg0irkO9aDKtAxvWmhXYasUPmIyHsuNGVtZsVZ+QcnTg5LCXPnLySH
-----END CERTIFICATE-----",January,Q2 2022,7.96,December,770817,dt=us-east,11:17:41,2024-04-28,December,INS-459793,404725572,LHR,8.2127,"32 15 * * 0,6",Glucose: 215.0 K/uL,Mixed,Chrome,Opera,38,IoT,Fe2O3,In-Store,A formal definition of data quality.,2020-2025,upsert,"31 0 * * 0,6",hr.employees,MA,2023-04-20,Q3 2025,Q3 2023,ADV-KNS77K86E3,Friday,4.42,Mobile,JP,20:30:56,U1NV5V67YKD6UXLKPR6I,2026-08-04,Jan-Mar,7332724,Cognitive,December,2020-07-27,389,Standard,2023-01-13,XXL,99328.1,MQTT,1994,ISO-8859-1,Desktop,2020-2025,May,2025-05-04 18:52:30,5.11
5.61,2002,f8212e0565cb49f2276e07977b488091123b67fb2ac1fc5b78a6f78c486751a1,Smart TV,Q2 2021,-46.06%,2026-01-19T00:00:00Z,2026-11-10,23:03:06,2019-07-27T00:00:00Z,GET /api/users,Flagged for review.,kubectl apply,8.85,0.15,2024-03-23 15:25:28,2026-02-04T00:00:00Z,a25360a13d8572b614fcdc51fb57192b3b82a1547d60a0645ef34eca5cf57068,0,Data retained for 7 years,0.17.67,XXX-XX-5282,"-----BEGIN CERTIFICATE-----
ZYSP8jI1wK6XPvjKwMGVhdfXg/F27NheZr6lnbcfb24SYlF7Dwssf0ZXFF+d+n6Q
-----END CERTIFICATE-----",September,Q1 2025,1.07,February,269119,tenant=us-east,23:47:01,2025-01-23,June,INS-481240,222180322,NRT,27.4693,"16 8 * * 0,6",WBC: 299.7 g/dL,White,Firefox,Edge,77,Wearable,C6H12O6,Mobile,A operational definition of risk.,Jan-Mar,delete,"44 9 * * 0,6",public.users,IL,2021-04-09,Q1 2026,Q1 2021,ADV-SX7Y6N2FBV,Sunday,8.99,Email,FR,11:02:37,I5SMQHOUDPC2OV4UNYZ3,2024-02-02,Q1 2024,6767287,Hearing,October,2019-08-17,733,Express,2020-08-05,S,9430.5,SMTP,1997,ASCII,Tablet,Q1 2024,August,2020-12-15 17:35:54,5.63
8.84,2008,744b203b0a1eeb76a2d72b7d62ba74b2ac8568d48e7a5b88f7734f781da9b622,Smart TV,Q3 2024,-0.57%,2022-02-05T00:00:00Z,2020-02-20,10:45:05,2019-11-06T00:00:00Z,POST /api/orders,Updated per client request.,kubectl apply,3.5,8.62,2026-01-23T15:01:47Z,2026-07-15T00:00:00Z,1540519cbacb351dafeca2c1f9a07724eedfca961bfab3efaa7a18f29ae12c4f,0,Data retained for 7 years,2.8.74,XXX-XX-1595,"-----BEGIN CERTIFICATE-----
DpIz5rslCCtDIPaYyGEt3yC4WJcOIB/tiqd+oued2ub41Eq40S/+NFQoM2IJevWa
-----END CERTIFICATE-----",May,Q3 2026,2.5,July,168994,dt=us-east,00:36:51,2021-03-30,April,INS-882411,401431206,LHR,18.3955,"25 7 * * 0,6",Glucose: 128.4 g/dL,Other,Safari,Chrome,92,Smart TV,Homo sapiens,In-Store,A systematic definition of risk.,H2 2023,snapshot,2 17 * * *,analytics.events,NY,2022-07-13,Q4 2020,Q1 2023,ADV-HDHEUXY3CD,Monday,2.13,Mobile,FR,10:06:21,7ZJ2O4EY73QL3899WJGY,2019-08-08,H2 2023,1451842,Visual,November,2018-05-23,644,Express,2018-06-04,XXL,28934.3,HTTP,2016,Latin-1,Wearable,2020-2025,August,2020-04-13 05:28:46,0.94
2.79,2015,afc5301770e0d41ae8b92ee8367598cf727ab6a04948282ed76b893c63635551,Wearable,Q3 2024,19.2%,2018-02-23T00:00:00Z,2023-03-09,09:41:36,2020-04-04T00:00:00Z,GET /api/users,Reviewed and approved.,docker run,7.28,1.73,2022-03-19 14:48:20,2020-03-13T00:00:00Z,d3da046e902cd0027e6da8693073ee689248156d7eac13e39ed9ea838362c083,1,PII encrypted at rest,1.10.72,373-32-5090,"-----BEGIN CERTIFICATE-----
mEmWSMSM3s51AILhuVhyPZWt3Fv15mI0DrZcdk4Upg7TZEyQdwPQ2qrFc+DKtQ/t
-----END CERTIFICATE-----",March,Q1 2021,0.47,March,14808,dt=us-east,05:07:29,2023-06-09,February,INS-766116,516331589,LAX,6.4743,8 8 * * *,Cholesterol: 99.4 K/uL,Hispanic,Edge,Chrome,39,Mobile,C6H12O6,Phone,A formal definition of compliance.,Q1 2024,insert,43 17 * * 1-5,analytics.events,CA,2024-07-16,Q1 2021,Q1 2025,ADV-0SSYNFODSI,Thursday,3.08,Mobile,IN,14:17:08,2SOXU1TLX3XL9Z6PGZ80,2022-01-13,H2 2023,3739446,Visual,April,2023-11-04,499,Freight,2021-07-24,L,60973.6,WebSocket,2016,UTF-8,Tablet,Jan-Mar,May,2019-09-22T16:49:21Z,0.26
4.86,2002,9db4c2fc8e85d267778eae26796664c5e398e6f22f0095fb0ed93fe3c054a052,IoT,Q4 2025,-14.93%,2018-02-17T00:00:00Z,2025-11-08,13:01:16,2018-01-03T00:00:00Z,kubectl apply,Resolved — no further action.,docker run,2.2,3.93,2023-06-02 14:13:29,2025-12-30T00:00:00Z,b1147c6088b14a3aaf3d39f4b417da61668527246baccffcdafe99397baf6d2f,0,PII encrypted at rest,1.3.51,XXX-XX-4452,"-----BEGIN CERTIFICATE-----
ypb7XwGLW7L/aYpIFQp45IjE3jFrYoZ0mEMtEdk6ubTio+IcGdxJ0Oc5+lOVuyU3
-----END CERTIFICATE-----",December,Q3 2026,7.0,October,109921,region=us-east,15:33:35,2025-11-02,September,INS-408821,495666171,LAX,49.056,52 8 * * *,Cholesterol: 176.1 mg/dL,Mixed,Brave,Safari,75,Smart TV,E. coli,Mobile,A systematic definition of data quality.,Q1 2024,snapshot,24 3 * * 1-5,hr.employees,IL,2022-11-14,Q3 2020,Q1 2024,ADV-O1KBHEOF2C,Monday,4.31,Social Media,US,03:48:38,85QGW38F8B8X0W8BI43S,2021-06-24,Jan-Mar,7594641,Mobility,May,2022-08-19,596,Express,2023-08-11,XXL,38633.6,MQTT,2003,Latin-1,Desktop,2020-2025,November,2019-06-17 20:08:19,5.86
7.41,2021,808327835d680b3275ee660dd9bbd8c69fda73e62dd3967a61490e665f06c606,Desktop,Q4 2026,21.68%,2021-09-20T00:00:00Z,2025-12-31,13:41:52,2020-01-10T00:00:00Z,npm install,Escalated to management.,docker run,1.04,3.04,2025-09-24T17:24:21Z,2018-10-30T00:00:00Z,17a3ec969288e29a0bbf6dcee1eb9462139e64fde3550bfbc7904ebe5b0ca658,1,MFA required for admin,4.9.89,XXX-XX-1794,"-----BEGIN CERTIFICATE-----
cRhzbjAOpO/w2o2qhUCT4W9f0Zj/wu4MD6exwvHt70TOVGcl7HTFnJmzmmf4k8mz
-----END CERTIFICATE-----",August,Q1 2021,3.07,January,874165,tenant=us-east,22:50:53,2026-12-11,February,INS-198750,791723278,LAX,45.2745,3 5 * * 1-5,Cholesterol: 108.6 g/dL,White,Brave,Opera,65,Mobile,NaCl,Mobile,A systematic definition of compliance.,2020-2025,insert,"57 17 * * 0,6",analytics.events,NC,2019-10-24,Q1 2025,Q1 2021,ADV-KKFRM2AHO3,Saturday,8.76,Social Media,MX,17:37:01,610NMRT5D1WKQBCEKAER,2019-03-26,H2 2023,418567,None,November,2021-03-12,385,Overnight,2026-11-24,XS,54804.6,SMTP,1999,Latin-1,Tablet,2020-2025,December,2022-11-08T14:52:44Z,9.69
3.06,2022,e070dcdf28debf8b34c12c37a9c3f6f0954d2b3d6453ca1b9b1c0f9c3d271f7f,Wearable,Q4 2023,44.91%,2026-06-05T00:00:00Z,2019-03-15,13:42:29,2025-06-11T00:00:00Z,kubectl apply,Escalated to management.,kubectl apply,3.86,1.69,2025-11-09 02:55:13,2022-09-25T00:00:00Z,aeada78dad23a7ac7a166f51e7baee0315208058579721bf7f8155201c65e408,1,PII encrypted at rest,2.18.32,673-33-5027,"-----BEGIN CERTIFICATE-----
D9yvnVXj8Z2uefAD1rbN048y71H6V2ceBAB4V8qyB9PWoUSxRHc0r4Zg7+vsI8kG
-----END CERTIFICATE-----",March,Q1 2024,1.25,April,809040,tenant=acme,00:42:51,2026-08-28,May,INS-808052,638416423,LHR,14.3866,17 7 * * 1-5,Cholesterol: 72.3 mg/dL,Mixed,Firefox,Firefox,66,Desktop,E. coli,Social Media,A operational definition of risk.,2020-2025,upsert,49 2 * * 1-5,hr.employees,IL,2020-05-10,Q4 2024,Q1 2024,ADV-07UUGQS9G8,Friday,1.69,Web,US,13:01:59,QNJ8Z1ZXOQ0AZSREMBU1,2023-08-09,Q1 2024,2354306,Mobility,April,2020-09-27,790,Standard,2019-11-16,M,65257.3,SMTP,2011,UTF-16,IoT,Q1 2024,December,2019-07-05 05:15:15,8.78
0.05,2010,c9a38b3c7df1cca520b03f60122fc5480521a78e6a20468618fc37455fc37659,Smart TV,Q4 2022,32.12%,2021-04-29T00:00:00Z,2021-03-01,12:55:11,2022-05-09T00:00:00Z,docker run,Automated processing complete.,GET /api/users,5.3,8.19,2022-02-25T18:18:42Z,2025-05-23T00:00:00Z,fa5ec8f91ab06941ae40459c0c671f879e830e49d932f3cad78904f2802f1bab,1,Data retained for 7 years,1.16.32,147-47-8349,"-----BEGIN CERTIFICATE-----
y3Wm+ig/FnabH+XHm2tO7kW80YFPssNKxAf/NVMjEFoLmj2OJC0lITpWvUw4NGuO
-----END CERTIFICATE-----",October,Q4 2023,4.65,May,1040,region=2024-01,03:36:15,2026-04-17,July,INS-294454,668653219,ORD,45.4733,34 12 * * *,WBC: 125.9 g/dL,White,Firefox,Opera,40,Wearable,Fe2O3,Web,A operational definition of data quality.,Q1 2024,upsert,20 1 * * *,hr.employees,CO,2018-07-13,Q3 2022,Q3 2021,ADV-S8CEBQVHB9,Monday,2.92,Phone,IN,11:24:11,B9LO5NSIE31RI3ETWUCZ,2024-05-19,Q1 2024,5208283,Visual,January,2023-10-11,350,Economy,2026-08-03,XL,26978.0,HTTPS,2025,UTF-8,Mobile,H2 2023,November,2022-09-06 13:28:15,1.21
7.05,1995,b8a17f20ca65d8cf0f001ab65a73aabc4f539bd68f95af999bb100fe56b98afa,Smart TV,Q3 2022,13.05%,2021-07-30T00:00:00Z,2018-01-11,13:02:45,2025-08-02T00:00:00Z,POST /api/orders,Needs follow-up next quarter.,kubectl apply,1.04,9.83,2024-09-01 04:17:47,2025-09-26T00:00:00Z,1d7e2a0d89df0f9d18ae8994f3d02d90c6712bf0a696a31fede54b2b11f65385,0,PII encrypted at rest,0.9.22,114-39-8698,"-----BEGIN CERTIFICATE-----
fMWG6vN1Ewi1o9ltTlGAht8bivwWNqWFR0J6Wheflcu9szFj8WTgcPtun1fQYS1v
-----END CERTIFICATE-----",June,Q3 2021,7.54,September,392007,tenant=acme,23:37:54,2024-05-13,March,INS-986580,772438256,LAX,35.4069,10 10 * * *,Cholesterol: 270.7 mg/dL,Asian,Opera,Edge,96,Smart TV,Fe2O3,Mobile,A formal definition of compliance.,Q1 2024,upsert,53 23 * * *,analytics.events,PA,2021-05-16,Q4 2021,Q4 2026,ADV-PVC9X6BUH9,Wednesday,3.91,Mobile,AU,19:00:31,C3NFDZPMIB1YH5PL1ZDZ,2019-12-05,2020-2025,7480885,Mobility,December,2018-11-13,300,Freight,2021-07-29,XXL,6523.6,gRPC,1993,ISO-8859-1,Mobile,Jan-Mar,December,2019-10-01 18:21:50,2.95
2.76,1993,92ae4009c3336d15fb089dc7d14f7e1cc996d099d937490bb794ffb31c317a63,Mobile,Q1 2021,-19.4%,2025-03-14T00:00:00Z,2024-01-26,18:03:44,2020-04-30T00:00:00Z,GET /api/users,Updated per client request.,kubectl apply,8.71,6.04,2020-08-02 02:08:53,2019-06-15T00:00:00Z,71f2a24ae1772798d42d98bcf364db1457b07f84e602b081b5318055081f8d63,0,MFA required for admin,2.16.26,279-45-1514,"-----BEGIN CERTIFICATE-----
fFrDW8+2/bXRzT7LkzvtaBw5dLW/9jAtP9H5u4GBiF1szkXVUzxnMQ6vM9+kjewY
-----END CERTIFICATE-----",January,Q1 2023,4.8,May,287072,region=us-east,09:57:51,2025-08-01,July,INS-689555,006393331,ORD,29.1647,25 20 * * *,Glucose: 269.1 g/dL,Other,Opera,Brave,90,Tablet,NaCl,Social Media,A operational definition of risk.,2020-2025,snapshot,1 10 * * *,sales.orders,NY,2021-07-03,Q2 2026,Q4 2026,ADV-Z5OQF4Z78Q,Tuesday,6.81,In-Store,CA,08:42:32,0MBQWEZU9V2B0MBS46GN,2023-12-27,Q1 2024,4171253,Cognitive,February,2018-09-08,645,Express,2020-06-26,XL,76183.9,WebSocket,2025,UTF-8,Desktop,Jan-Mar,September,2021-06-08 12:49:02,5.35
9.67,2009,6ef1ea02d54e24237636a785a62b9bf5b084dfca508984535f1152e1136e4d99,Smart TV,Q1 2021,38.84%,2021-05-21T00:00:00Z,2018-03-27,07:17:07,2018-04-25T00:00:00Z,docker run,Updated per client request.,kubectl apply,0.55,8.98,2026-07-10 07:06:29,2024-03-20T00:00:00Z,e37861704ede2cc87cc3270ebcaf82737b9539bf529798fb64e019ac68d5636f,1,Data retained for 7 years,5.10.65,672-78-1360,"-----BEGIN CERTIFICATE-----
Pw7J/K5o2JqGjSizEdDsvQce1BpdMmhQkD6+jNQivTzlsHad76G8s9VjloJe1gIy
-----END CERTIFICATE-----",March,Q4 2025,8.14,December,454719,dt=2024-01,20:11:52,2024-03-31,November,INS-557296,416531010,ORD,19.1424,41 21 * * *,WBC: 278.0 g/dL,Asian,Chrome,Safari,34,Mobile,Homo sapiens,In-Store,A operational definition of compliance.,Q1 2024,update,35 0 * * 1-5,public.users,OH,2018-04-30,Q1 2025,Q4 2023,ADV-PKRLQQ0G0R,Friday,1.04,Web,MX,11:59:03,N9K2WGA6SE0EIRET6551,2023-04-04,H2 2023,6859661,Cognitive,May,2020-12-29,529,Same Day,2019-05-15,XL,76307.3,SSH,2021,UTF-8,Desktop,H2 2023,April,2021-08-15T11:10:11Z,2.45
7.28,2000,5b923d2c583680c07132788e54e019197dd5d64176f22a35b64672f2448a4f1d,IoT,Q1 2025,-40.85%,2018-03-17T00:00:00Z,2022-08-06,05:24:23,2023-11-29T00:00:00Z,npm install,Pending verification.,POST /api/orders,7.23,2.44,2026-02-07 23:50:41,2023-10-19T00:00:00Z,3de0d9e6caf98924a322fceda227068d228f182c37ae737732b2a03b6e07b006,1,Data retained for 7 years,3.1.51,602-84-3988,"-----BEGIN CERTIFICATE-----
PyYdIksMfupwf7DXYFzecJVO4q00LDithS6Numa0X0H9cW1aJHNh3ZBtgiC+cHBH
-----END CERTIFICATE-----",July,Q4 2026,8.87,June,880307,dt=us-east,05:56:53,2022-02-05,July,INS-347840,865407743,SFO,23.3558,6 23 * * 1-5,Cholesterol: 269.0 mg/dL,Hispanic,Edge,Firefox,75,Mobile,H2O,Email,A formal definition of data quality.,Q1 2024,insert,40 10 * * *,hr.employees,GA,2026-12-25,Q3 2022,Q4 2025,ADV-2HJV4MMWNX,Tuesday,8.59,Phone,FR,03:36:54,QVA0IYBEL2N5MQ3SMRCZ,2022-08-01,FY 2025,6169686,None,June,2019-05-03,313,Standard,2026-10-15,L,51685.8,MQTT,2023,Latin-1,IoT,FY 2025,April,2018-09-24 03:15:32,0.92
4.26,2013,4bd05c0f4cdf5ddfb31ac5762561bafb4d3518834dc7d20339938357497f3580,Smart TV,Q1 2021,-38.83%,2026-02-26T00:00:00Z,2019-05-09,23:08:59,2020-12-02T00:00:00Z,kubectl apply,Needs follow-up next quarter.,POST /api/orders,1.7,7.7,2018-12-14T05:00:11Z,2023-11-23T00:00:00Z,842234218de65dd206f1492da0163ee3ef91eb35d5358a8f9b57ee6eb2b450b9,1,PII encrypted at rest,3.7.15,XXX-XX-1353,"-----BEGIN CERTIFICATE-----
3DtGYDzN8EtB7Jv83jzCSyjTj0kU7P3JvXhNmmfYQUk4tULUzfbPoj9WnLn4keI2
-----END CERTIFICATE-----",December,Q2 2021,9.31,February,255599,tenant=acme,11:18:12,2026-08-23,April,INS-549826,726383047,JFK,35.0457,"21 22 * * 0,6",Glucose: 238.2 mg/dL,Hispanic,Edge,Firefox,82,IoT,NaCl,Chat,A systematic definition of data quality.,Jan-Mar,delete,"41 15 * * 0,6",hr.employees,OH,2019-10-26,Q2 2022,Q1 2020,ADV-FD953GMPGJ,Thursday,6.71,Social Media,JP,00:58:15,DV4X5MZVHHMGSTUTRG3H,2021-09-27,2020-2025,2842677,None,November,2022-07-03,593,Same Day,2019-11-26,M,85532.6,MQTT,2019,UTF-16,Desktop,Q1 2024,January,2025-03-23 03:54:28,9.31
9.14,1992,e23336676ea7c38c10f89f3a595f686d75018096c78a35a307666082187bea69,Smart TV,Q2 2020,48.55%,2026-07-20T00:00:00Z,2023-04-12,05:28:30,2022-10-20T00:00:00Z,npm install,Escalated to management.,kubectl apply,2.19,2.35,2026-12-15 01:08:05,2026-01-17T00:00:00Z,98d4ab21b35ab608797866ba1d75fbe4aecc782d98394106e73a49278f7c3355,0,MFA required for admin,4.6.19,791-31-9925,"-----BEGIN CERTIFICATE-----
I1IQN3OEJJiobsO679kK2z2Q8tEsbeiR9MCpXgsFbhC+36340ieuMfaSeJ+bbcil
-----END CERTIFICATE-----",August,Q4 2025,8.07,December,171570,region=acme,21:54:19,2025-04-24,October,INS-244837,846036996,SIN,0.555,"41 17 * * 0,6",Glucose: 145.8 K/uL,Asian,Chrome,Firefox,98,Smart TV,C6H12O6,Web,A formal definition of risk.,Q1 2024,insert,55 8 * * 1-5,hr.employees,TX,2021-05-11,Q4 2026,Q1 2024,ADV-2SO1SF61R4,Wednesday,2.45,In-Store,MX,19:58:35,C6DV1X2M3GDH9LVDB6AO,2022-08-17,H2 2023,9750263,Mobility,April,2018-05-03,647,Freight,2024-03-27,S,44130.7,HTTPS,1995,ISO-8859-1,Desktop,Jan-Mar,September,2025-08-01T23:13:12Z,8.99
8.51,2006,714ef3928411ccf3a26787720ef741f715c506a9ae661740ba435ee7f0aae5e7,Smart TV,Q1 2020,12.46%,2022-09-08T00:00:00Z,2024-11-20,06:01:50,2024-12-02T00:00:00Z,npm install,Resolved — no further action.,POST /api/orders,7.78,4.94,2020-03-05T09:58:51Z,2024-01-06T00:00:00Z,9932a98927a6cd72e86cc43a4b79135fe7390bc5e44120a36da430e052fa8966,0,PII encrypted at rest,4.15.43,649-11-9639,"-----BEGIN CERTIFICATE-----
gjmVrRnnZzEboqTpV9/GtkTA7dFR0ANR5ljlsVi1NlEQrgKrjQL+lB1Z9qMIIv3S
-----END CERTIFICATE-----",April,Q4 2020,5.81,July,274534,dt=acme,17:42:22,2024-11-12,February,INS-285864,338836720,SIN,42.0411,25 17 * * 1-5,WBC: 105.8 g/dL,Black,Brave,Chrome,25,Tablet,NaCl,Phone,A operational definition of risk.,H2 2023,upsert,"27 19 * * 0,6",sales.orders,PA,2020-08-16,Q3 2023,Q2 2020,ADV-9F22V726GQ,Wednesday,9.82,Phone,US,16:56:26,AYEGGKKYF1FWGU0HAAB5,2022-07-29,2020-2025,3826155,None,December,2020-08-31,686,Overnight,2023-09-07,M,93683.2,HTTPS,2019,UTF-16,Mobile,Jan-Mar,July,2022-02-22T16:04:02Z,9.06
5.97,2003,8e24875f7b1935298d840f00fb897be48006e06d80ea6882c4ee2c2ec3ddca74,Smart TV,Q1 2023,10.04%,2022-12-09T00:00:00Z,2019-03-20,17:30:11,2023-09-03T00:00:00Z,docker run,Flagged for review.,docker run,6.51,0.03,2024-06-17T00:40:29Z,2025-01-09T00:00:00Z,c0b74762b5303d4a815120f20bdde11c18359a549200997ee678c6eb7d9383d8,0,MFA required for admin,2.5.26,692-65-9475,"-----BEGIN CERTIFICATE-----
rFa+0mysVpOUBeRAF8CSH1bxDMV5F69lwK7weoPjjpgcf9inAqW5zcMOuNApjfuS
-----END CERTIFICATE-----",April,Q1 2025,4.14,November,563403,region=us-east,16:11:49,2026-03-13,May,INS-170818,357840434,CDG,13.5777,"5 11 * * 0,6",Hemoglobin: 144.7 K/uL,Hispanic,Firefox,Opera,84,IoT,Homo sapiens,Chat,A systematic definition of data quality.,Jan-Mar,upsert,"0 6 * * 0,6",hr.employees,CO,2022-08-16,Q1 2024,Q4 2021,ADV-51XF9HILW9,Tuesday,9.89,In-Store,CA,12:48:22,KI4EECSHGMNCIR4TT2Q6,2023-03-01,Q1 2024,9451054,Cognitive,March,2025-06-03,494,Express,2025-03-29,M,28075.3,gRPC,1997,ASCII,Wearable,Jan-Mar,July,2018-10-18 20:35:38,7.22
9.9,1992,165f9f2990a79b692450f7555acb2641d1b9e5165ec73a4fd33338424dd4bb28,Wearable,Q3 2023,-35.07%,2018-08-09T00:00:00Z,2023-06-16,14:24:51,2023-10-27T00:00:00Z,POST /api/orders,Resolved — no further action.,POST /api/orders,8.85,8.05,2021-06-02 13:38:11,2019-12-09T00:00:00Z,5847040eeaeb1e6d7f96d85678d49f345e9d229718b293066e6a3ab8bf462e03,1,MFA required for admin,0.7.19,595-91-5211,"-----BEGIN CERTIFICATE-----
Ms4/VRkrNTqGup57lLSE8q8OZ5ZPVggH80iyictfrOsFIs2TREc1RV9wGGI1Ad0B
-----END CERTIFICATE-----",May,Q1 2025,7.05,January,439383,tenant=us-east,21:12:53,2022-01-21,February,INS-646563,376760018,SFO,27.8153,"17 14 * * 0,6",Hemoglobin: 284.0 K/uL,White,Firefox,Chrome,81,Smart TV,NaCl,Chat,A formal definition of compliance.,FY 2025,upsert,42 11 * * 1-5,analytics.events,MA,2021-10-01,Q2 2025,Q2 2023,ADV-CE65YCT74A,Wednesday,6.87,Chat,MX,03:44:24,D0JVHBYQPYTSKUH6F6A9,2019-09-19,Jan-Mar,7722952,Visual,March,2021-12-14,461,Standard,2026-01-14,XL,68535.0,HTTP,2026,UTF-8,Mobile,Jan-Mar,November,2026-04-21T17:58:17Z,0.56
5.19,1995,aa1e6da176b728310a70b858040f9274b4349eb2a9510f991089deb879936b85,Wearable,Q1 2024,30.23%,2025-06-15T00:00:00Z,2019-09-10,00:06:32,2023-10-04T00:00:00Z,POST /api/orders,Flagged for review.,kubectl apply,8.15,1.79,2024-01-15T18:48:57Z,2020-02-10T00:00:00Z,b48e18e25ce7e3d6254bc15f948adb56d77da15ea5bb51b7905df4760ac74980,1,Data retained for 7 years,0.16.64,XXX-XX-3296,"-----BEGIN CERTIFICATE-----
/xVOYEIvaCh8yFhQjOtYRNyH92CG41NsZeTgz/5QyX3uJLsBgrncLVabVCqGKAQj
-----END CERTIFICATE-----",December,Q4 2024,5.04,April,181245,tenant=acme,05:16:09,2026-08-28,October,INS-331487,558575857,JFK,31.2258,34 6 * * 1-5,Hemoglobin: 257.3 mg/dL,White,Firefox,Firefox,99,IoT,C6H12O6,In-Store,A operational definition of data quality.,H2 2023,update,15 6 * * 1-5,sales.orders,GA,2024-11-15,Q2 2022,Q3 2023,ADV-GPB314OYF0,Tuesday,2.89,Mobile,JP,19:09:48,U6A9WSRDA4HBFBM1ZLWC,2021-11-16,H2 2023,2186983,Mobility,July,2021-06-15,483,Same Day,2018-04-04,XS,54748.6,FTP,1998,UTF-16,Tablet,Jan-Mar,August,2024-07-09 22:11:21,0.59
5.96,1993,1e6f84319f84add0aba3ed3ebb342455006660eac713309541366e3471ec1b98,Wearable,Q4 2025,-4.36%,2021-03-29T00:00:00Z,2024-10-03,13:48:49,2024-03-29T00:00:00Z,docker run,Escalated to management.,GET /api/users,5.04,5.34,2021-02-15 16:14:15,2019-03-27T00:00:00Z,64e16146f59950c8b496bcd7e9991a6945b68cfeb8fe9212f9dccbe88de63287,0,PII encrypted at rest,4.4.24,XXX-XX-5240,"-----BEGIN CERTIFICATE-----
6iXQE/z/u1HFhwJkwBy9BuGvnbsWu2p8xnUb6fn1DHS38iRSjjSnjwHFOCoLUbUD
-----END CERTIFICATE-----",March,Q1 2020,9.49,February,945531,region=us-east,14:14:01,2019-12-09,August,INS-222200,887068536,SFO,45.2408,37 23 * * 1-5,Glucose: 90.5 g/dL,White,Brave,Safari,61,Tablet,C6H12O6,Chat,A operational definition of compliance.,H2 2023,update,37 10 * * *,sales.orders,CA,2019-10-09,Q2 2021,Q2 2020,ADV-MF84WFT48J,Tuesday,3.72,In-Store,MX,05:52:22,MHVQHOBXCVQX8RFUU4ML,2022-12-26,FY 2025,9783254,Cognitive,August,2018-11-18,844,Economy,2018-07-31,S,65945.0,gRPC,2020,UTF-16,Tablet,H2 2023,February,2023-12-24 02:01:41,2.94
3.31,2009,604059db79d1e918c22a107b8f3859ac24137258bce52c88bf56ac82baf9c7ec,Wearable,Q1 2026,-43.52%,2018-10-27T00:00:00Z,2019-04-08,23:59:36,2024-01-29T00:00:00Z,GET /api/users,Reviewed and approved.,docker run,5.86,2.96,2019-05-24T20:31:18Z,2019-04-18T00:00:00Z,272822593a55dffc560e999733bedd03cd324f70756956382005069da524fa47,0,PII encrypted at rest,1.17.15,XXX-XX-8680,"-----BEGIN CERTIFICATE-----
zjsFCqnfD6mqYlvMB4vxYRS0ckq5ww9imaWXgF9Hlq0yEsha9iRlBIaznFBs1dfF
-----END CERTIFICATE-----",December,Q3 2020,8.52,June,469814,dt=2024-01,04:22:32,2024-11-06,December,INS-590635,015666221,ORD,39.5447,47 0 * * 1-5,WBC: 265.2 K/uL,Other,Chrome,Edge,43,IoT,C6H12O6,Email,A systematic definition of compliance.,2020-2025,upsert,52 10 * * *,public.users,CO,2024-09-25,Q3 2020,Q3 2024,ADV-4YTFO2I0YS,Wednesday,1.49,Email,IN,13:42:35,UTXLSZE8S8C5ZX2EY0EY,2026-04-13,2020-2025,8507363,Visual,March,2022-08-15,780,Same Day,2019-12-17,XS,81413.4,gRPC,2001,ISO-8859-1,Tablet,Jan-Mar,December,2019-03-20T00:09:38Z,2.64
