checksum_hash_info,p_296,dim_ix,tz,continent,female,filter,permissionAccessControl,user_region_state_province,card_verification_value_v2,raw_district_borough,d_83,continent_2,brokerage,c_loca,CONTINENT,score_index_info,longitude_info,d_tim,p_835,longitude,dim_airport,paypal_account_val,COUNTRY,location_text_54,val_jnt,isoCountryCode,src_time_zone,location_text_val,district_borough_30,fingerprint_raw,user_port_harbor,continent_3,user_city_town,var_con,e_mail,field_718,BANDWIDTH_DATA_RATE,dataLineage,SESSION_TOKEN,d_oe,humidity,compliance,port_harbor_54,city_town_46
efe8ccd1a269a3864e2f4664bfa1a9b43107713aacec9b8ddbe081f703616957,approved,Brazil,JST,Asia,Female,status > 'active',execute,NC,902,Downtown,Atlanta,Antarctica,INV-332809,"Denver, Mexico",North America,8.65,8.657374,Europe/London,-79.215225,70.500072,SFO,anna.white@yahoo.com,United States,"Phoenix, Spain",29303,GB,EST,"Austin, Brazil",West End,fp_38375d7ba02b83c4,Shanghai,Antarctica,Berlin,Europe,sarah_williams@acme.org,Oceania,6060,staging.users -> exports,sess_5VhiFEVvxjF0rEnP36OII83Xv4LT7QYYk6mhG9VI,2014 Main St,30.3,MFA required for admin,Singapore,Houston
dbc057246a2261412bfb452b00a3a9388a1c816042a53561557f7a5429f14ff9,approved,Japan,UTC,South America,Female,type > 'active',rw,NY,8801,West End,Sydney,Africa,INV-529654,"Paris, India",Africa,4.13,4.308987,America/New_York,57.289543,138.46276,SFO,susan.brown@outlook.com,Netherlands,"Tokyo, United States",57287,AU,EST,"Los Angeles, Brazil",West End,fp_085bfd4b03585c52,Port of LA,Europe,Los Angeles,Oceania,sarah.moore@yahoo.com,Europe,77,raw.orders -> analytics,sess_YkWFDE8rBRhcuI8UEBGPF3aPWm0OaeKYQNSodL4A,3400 Main St,71.5,Data retained for 7 years,Rotterdam,Tokyo
1476cb55acab6366a982ebd058a9f8926a696f59401f19efb569f4c074d47e91,failed,Mexico,CET,Europe,Non-binary,date = '2024',rw,NY,683,West End,Boston,North America,INV-651243,"Seattle, Japan",Oceania,9.37,178.851453,UTC,30.780186,91.097224,JFK,emily.rodriguez@gmail.com,India,"Toronto, Spain",63537,FR,JST,"Paris, South Korea",West End,fp_fc3a4a9a48f8fbc9,Hamburg,Oceania,San Francisco,North America,mason.jones@gmail.com,Antarctica,6192,raw.orders -> exports,sess_unRLh27qFzTOdQ3Ip997ccRHqxGqNn384rnGwG3c,349 Maple Dr,3.9,PII encrypted at rest,Shanghai,Phoenix
8788e002d18defb297c87c9fb4295f560a697a99125fbab7be40c0afeb976a3f,active,United Kingdom,CET,Asia,Female,status IN 'active',execute,IL,7224,Downtown,Austin,Europe,INV-270157,"San Francisco, Australia",South America,8.98,-7.007073,UTC,1.352606,-28.830244,JFK,richard.johnson@outlook.com,Japan,"New York, Mexico",78661,BR,EST,"Portland, United Kingdom",West End,fp_b9aec2c5afcf82a4,Shanghai,Africa,London,Africa,robert_smith@acme.org,Europe,3320,staging.users -> exports,sess_CZdc5xxr4IYE2xcbeBHvv4qoGRX1JMmxYa2aKGro,7891 Pine Rd,41.4,PII encrypted at rest,Singapore,Austin
88059a26b1c1bcab85122aa79588da7ad877bd1de6431d028a20b4e1bed3a073,approved,Japan,JST,Europe,Female,type IN 'prod',rwx,CO,968,Downtown,Berlin,Oceania,INV-865978,"Tokyo, Brazil",North America,1.47,-112.284493,Europe/London,-67.561542,-10.873809,CDG,linda.thompson@gmail.com,France,"Denver, Canada",47960,FR,Europe/London,"London, Australia",West End,fp_a8d38689c7ca3c1b,Hamburg,Asia,Los Angeles,Europe,david_davis@company.com,Asia,1185,curated.events -> analytics,sess_ajgFBxwNQqu88kaXhonPJpzEFOg9uB9U5KqlGQbc,533 Elm St,22.1,Data retained for 7 years,Busan,Houston
c418aa0cf6e3f9c49438e9c9a88d8fb33159cd5bfc51f68657d38327ee710cb4,approved,Australia,JST,Antarctica,Non-binary,date != '2024',rwx,NY,367,North Shore,Sydney,Asia,INV-968635,"Chicago, Singapore",Oceania,7.21,26.206702,UTC,-47.023918,-133.333661,NRT,patricia.lee@outlook.com,United States,"New York, Germany",2030,AU,America/New_York,"Atlanta, Netherlands",North Shore,fp_9ec2ac349fd28b82,Hamburg,Europe,Paris,Asia,richardmartin@gmail.com,Africa,9453,curated.users -> exports,sess_VoXCCzirD7OS13M5Y8pcKJc1rQMbqvoOPosg3jzG,5815 Oak Ave,94.3,Data retained for 7 years,Rotterdam,Phoenix
23ed6825a33db3bb916ac22d00bc9e28d5a4a0bb4cc92501bffa2ebf9761a5a7,failed,Japan,Europe/London,Asia,Other,date != 'prod',rwx,CA,420,West End,Chicago,Africa,INV-736915,"Berlin, Singapore",North America,4.97,-34.863381,CET,-21.377176,109.43732,LHR,david.harris@gmail.com,Norway,"Phoenix, Norway",36275,JP,Europe/London,"Atlanta, Switzerland",Downtown,fp_4e7e289e1ff29513,Hamburg,North America,Berlin,North America,jamesrobinson16@acme.org,Asia,8216,raw.users -> reports,sess_elTuKPPfb8nQBGQZdqCkcQhwFOMH1Awr5m0AtCyP,2133 Maple Dr,53.3,PII encrypted at rest,Shanghai,Phoenix
bea8e8e7c4560f6b08f90cba97b13c6080c861ab933ad3ececbb8cd03bfa5006,failed,Norway,America/New_York,Africa,Male,date IN '2024',admin,FL,334,West End,Dallas,North America,INV-974145,"Portland, Japan",Europe,8.49,-123.178925,EST,85.438084,58.553784,LHR,harper.anderson@outlook.com,Brazil,"Houston, Netherlands",70676,US,EST,"Seattle, Japan",South Bay,fp_10074ae7fe7559f8,Shanghai,South America,Denver,North America,emma.young23@example.com,North America,1957,staging.events -> analytics,sess_6cjnhoTnaevrhZq0aE8R1S3H5RF7lARb3cmLgwTT,9645 Oak Ave,31.9,PII encrypted at rest,Hamburg,Phoenix
8d99850f37e9c4f39211deacd9ba06bf600872ebc6c9d8735c923fdb2a149c54,approved,United States,PST,Africa,Female,type IN 'active',rw,IL,4757,East Side,Berlin,North America,INV-608830,"Chicago, Japan",South America,6.83,-168.720968,CET,16.277798,-0.358404,SFO,elizabeth.brown@yahoo.com,Netherlands,"New York, South Korea",3354,FR,PST,"Denver, Switzerland",Midtown,fp_a530e9ac63ed1795,Port of LA,Europe,Phoenix,North America,amy.thomas@yahoo.com,Oceania,8020,raw.users -> exports,sess_4z0umzM4SYAKgsYK9NvC36gjI8wBYEcAQgVTEWge,4285 Elm St,64.1,PII encrypted at rest,Hamburg,Toronto
1b8536eb3cd2e5e4b414b7a08494b9165b4a37b9381d7f47bd78a5fe72203a18,rejected,India,JST,Europe,Other,date > 'prod',read,OH,7420,West End,Miami,Africa,INV-563352,"Phoenix, Israel",Asia,5.42,-172.629898,Europe/London,-40.005117,62.271543,JFK,logan.lewis@outlook.com,Japan,"Phoenix, Germany",90663,MX,CET,"Los Angeles, Germany",East Side,fp_2abfa99b54df3b40,Rotterdam,North America,Los Angeles,Europe,liam.harris@gmail.com,South America,5821,raw.users -> exports,sess_kZa0BRfy5AuclXFPYAXAHkbWdOpP6iHdnbzZEdlN,5202 Maple Dr,17.3,Data retained for 7 years,Shanghai,Los Angeles
977e7dd1292a2cf2381e26bb66e5bc215c66f6135bbb3fe5bb3beb1e78920b00,failed,Mexico,Europe/London,Africa,Non-binary,status = '2024',admin,NY,5489,Midtown,Portland,Asia,INV-753435,"Dallas, United Kingdom",Oceania,7.65,15.508312,CET,51.146627,8.950821,LAX,richard.anderson@yahoo.com,Spain,"Denver, India",30394,US,CET,"San Francisco, United Kingdom",Midtown,fp_5d748a0f7e9e56fe,Rotterdam,North America,Atlanta,Antarctica,liamlee@outlook.com,Antarctica,7092,raw.orders -> exports,sess_lwKFTjHld7G5UleWTE5dkpgbkkxj4ZMklAsBeHzE,6979 Pine Rd,70.0,MFA required for admin,Singapore,Los Angeles
12e23ccec498704e812bdea8cd44c884f6d00b2b802da394af5174178aef3b60,failed,Israel,EST,Asia,Female,type > '2024',rw,GA,749,Midtown,Boston,Oceania,INV-864983,"Tokyo, France",Europe,1.1,84.066198,Europe/London,57.709758,-5.217836,LAX,linda.lewis@outlook.com,India,"Chicago, Mexico",5452,CA,America/New_York,"Houston, South Korea",East Side,fp_febb69782c2c4089,Rotterdam,Europe,London,South America,williamwhite@company.com,Antarctica,3786,raw.events -> reports,sess_GXAuWNIufLg0hbKydPKWYjQ3xSzL143MdYhK40eQ,1482 Pine Rd,90.7,PII encrypted at rest,Busan,Boston
e4aebfa75369c11fa113de7fea874e5746ffb878521a2dd9a5c6b3eb95426676,completed,India,America/New_York,Africa,Other,date < 'active',write,IL,455,Midtown,Seattle,Africa,INV-719580,"Tokyo, Sweden",Oceania,5.63,-59.267127,PST,85.093011,10.936457,NRT,elizabeth.williams@outlook.com,Sweden,"Miami, India",22743,US,EST,"London, Mexico",Downtown,fp_3f6ccd96b61c1175,Port of LA,Asia,Los Angeles,South America,james.robinson56@yahoo.com,Europe,1961,raw.users -> reports,sess_YzdDlzmkOGj7VQbQMdKATdypPtES7syJKDpPeAcj,8888 Cedar Ln,91.4,MFA required for admin,Busan,Paris
6d7038ea8c6cd629850d129acfb2aad7bafb9c5dc0ff4a693a6411ccb4003db3,active,India,EST,South America,Non-binary,status IN 'active',read,WA,986,South Bay,Berlin,North America,INV-693334,"Sydney, United Kingdom",Asia,9.25,-22.472335,CET,42.767979,42.788626,LHR,lucas.lewis@gmail.com,Australia,"Chicago, Italy",99121,CA,JST,"San Francisco, Germany",East Side,fp_ba9412cb1ac7a77b,Rotterdam,South America,New York,Oceania,mary.walker@outlook.com,North America,5263,staging.events -> reports,sess_JCXWljrU6gk6AMpopNVbaJqpFEMi0ZjRAoXB86OO,3249 Maple Dr,92.9,PII encrypted at rest,Shanghai,Tokyo
77de1e017ec6bfff319ba2196c89830a01e40205273c57ec719d8c59abda4816,inactive,Israel,Europe/London,South America,Female,type != 'active',rw,IL,628,North Shore,Atlanta,North America,INV-928820,"Houston, Japan",Asia,8.47,38.614649,UTC,84.429398,-175.286906,LAX,emily.rodriguez@outlook.com,France,"Dallas, Germany",9984,JP,CET,"Paris, Germany",Midtown,fp_1d21a24b901fc5c8,Singapore,South America,Houston,Antarctica,elizabeth.jackson37@example.com,South America,1152,raw.events -> analytics,sess_QXBeolQylL9aaBVp2hjGkug2RI36aeY6a7KsZ5Zc,4641 Main St,34.0,MFA required for admin,Shanghai,New York
730a610ee90069f3c05d2e8240fc5bb5c2976b9b64741291751dac4262722ec2,completed,Norway,JST,Africa,Female,status IN '2024',read,OH,3742,Downtown,Miami,Oceania,INV-757477,"Miami, United States",Oceania,3.92,-26.326823,EST,-28.800542,-169.897162,LAX,david.jones@gmail.com,Sweden,"Berlin, India",7795,GB,America/New_York,"Sydney, Mexico",South Bay,fp_fd9159f440efa42b,Port of LA,South America,Houston,Asia,logan.smith2@gmail.com,Africa,165,curated.users -> analytics,sess_5sTM46nwElWAfeiVv1zO8nJl0HP9qLfBnxeAo1jt,5387 Oak Ave,72.9,MFA required for admin,Shanghai,Berlin
d2dfed7974431bdf07b3094f226f30baf6e5edbc6117b2ab5c53397206868f05,failed,India,EST,Europe,Female,type IN 'active',rwx,MA,871,South Bay,Toronto,North America,INV-458472,"New York, Mexico",Antarctica,7.94,26.778369,CET,88.308013,4.708315,SFO,mary.robinson@gmail.com,France,"San Francisco, India",61430,FR,Europe/London,"Denver, Sweden",East Side,fp_ea25a28e8f8cdad2,Rotterdam,Antarctica,Toronto,Asia,mary.martinez@gmail.com,North America,3352,staging.users -> analytics,sess_73jnFaDl83Vfqgk8a8PVMpr8KuPoIRiPRGcGRfsn,275 Cedar Ln,36.1,MFA required for admin,Port of LA,Miami
f292ede2f5afd6605b3608577b2b5dca1a2743273f8732cd95faf4e62925c6a8,failed,Italy,America/New_York,North America,Other,date IN '2024',read,MA,139,Midtown,Miami,Antarctica,INV-446858,"Sydney, South Korea",Asia,9.6,-46.000738,UTC,34.758269,88.734219,ORD,sarah.clark@gmail.com,Spain,"Seattle, Switzerland",73950,MX,JST,"Berlin, Germany",South Bay,fp_d110a1c21dbdc704,Port of LA,South America,New York,Europe,elizabeth.brown@gmail.com,Europe,1377,raw.events -> analytics,sess_z7XpbCwRYzNYFVmd3vCgL2chHOsLLZndzTLwZOHP,3378 Maple Dr,42.4,Data retained for 7 years,Busan,Atlanta
1ac33715a49871f4e116c0bee9b54177a9e3764e83d1077468c97c5ac2897b75,approved,Japan,PST,Oceania,Female,status != 'prod',write,GA,012,East Side,London,South America,INV-545805,"New York, Germany",North America,3.65,-85.075833,Europe/London,-30.348108,-37.461139,LAX,elizabeth.moore@yahoo.com,Canada,"Atlanta, Mexico",51624,MX,CET,"Boston, Mexico",West End,fp_85371e4eb4dda8a7,Shanghai,North America,Sydney,Africa,james.miller@company.com,Africa,5324,raw.users -> reports,sess_qlUH981Ob4ViKmu5OYVbDDa0qP5JgdIgBKOC3Ww9,634 Cedar Ln,60.4,MFA required for admin,Hamburg,Boston
a88597e6aa5879d570097f0da2df0af9d90afcec960784f0616f7a47f2c27b5f,approved,Netherlands,Europe/London,Europe,Non-binary,type = '2024',execute,MA,604,Midtown,Dallas,North America,INV-267332,"San Francisco, Israel",Asia,1.07,-12.964671,America/New_York,-37.004005,-70.236732,ORD,harper.young@outlook.com,Mexico,"Denver, Singapore",63510,BR,Europe/London,"Austin, India",South Bay,fp_920dac721a26bac4,Singapore,Antarctica,Seattle,Africa,richard_davis@example.com,Europe,6068,staging.orders -> reports,sess_UvHXUEc0B8AhVqVu15XYRDVZGexEyfb01DRdBOLQ,2723 Park Blvd,52.0,Data retained for 7 years,Rotterdam,Denver
38417049d3d0b3327522b114cfdf689047b6e4d0c7290681fd8faa38ea686525,inactive,Spain,CET,Oceania,Other,status > 'prod',admin,NY,416,Downtown,Phoenix,South America,INV-713402,"Portland, Italy",Oceania,7.47,-94.029142,UTC,-84.03715,73.383122,SIN,richard.garcia@gmail.com,Norway,"London, Spain",42050,AU,CET,"New York, Netherlands",South Bay,fp_278f3ae63bd78258,Busan,Africa,New York,Europe,liam_robinson@gmail.com,Asia,5189,raw.events -> reports,sess_fGRTezFJKQj0MaWNNrI3eODOkVjQFbWiW0CdUZfd,7575 Oak Ave,19.6,MFA required for admin,Busan,Toronto
655f0326c2e407a901c931315e7efb5fdff0231a7bf0dd686c230df8f49bd34f,rejected,Spain,PST,North America,Female,date = 'active',admin,GA,7361,South Bay,Houston,Asia,INV-168606,"Atlanta, United States",South America,6.76,-141.229286,JST,-27.347278,-124.342808,CDG,anna.anderson@yahoo.com,South Korea,"Miami, Sweden",51236,GB,JST,"Houston, Singapore",West End,fp_194c0aca0a218196,Rotterdam,Asia,London,Europe,emily_thomas39@yahoo.com,Asia,8844,curated.events -> analytics,sess_MydYpzpvrrteSmSlVVcQZ6txhzWCfEMlmqO00ISr,9039 Park Blvd,2.2,PII encrypted at rest,Singapore,Houston
d1d97353493520a44748f137497bce9cc048d4ddcb0fdab8b0169a24a9bff84c,inactive,United Kingdom,EST,Africa,Male,type = 'active',rw,NC,5455,North Shore,Houston,Africa,INV-365614,"London, India",Asia,0.55,52.116541,PST,-79.902098,104.529459,LHR,aiden.martinez@gmail.com,Switzerland,"Portland, Brazil",3481,CA,Europe/London,"Houston, Switzerland",Midtown,fp_a7b4904c765d7706,Rotterdam,Europe,Sydney,Africa,amy.lee16@yahoo.com,North America,3008,raw.orders -> reports,sess_aCojhajULVTRnT1ig8unoE48q2qI751r4XEyFUWX,6716 Park Blvd,79.2,MFA required for admin,Shanghai,Paris
813794f9420b8fccd20f4a8efd5969870196b87b65cd3f5734fef8ac567acf2d,rejected,Sweden,CET,North America,Other,type != '2024',admin,TX,801,Midtown,Sydney,North America,INV-984536,"Phoenix, Canada",Antarctica,9.58,16.970046,Europe/London,65.482495,70.120377,CDG,anna.martinez@yahoo.com,India,"Berlin, France",25554,FR,JST,"Seattle, Mexico",South Bay,fp_51b86214e690e23b,Port of LA,Europe,Houston,Antarctica,sarah.davis@acme.org,Europe,3066,staging.users -> reports,sess_V7NBZW6Ejk733jOI00IDIZwauirxiyxk9CcaBUes,1314 Maple Dr,98.4,Data retained for 7 years,Rotterdam,Atlanta
d2fb852f0d311ae073d8af2d5b124a544ed9805ce00779b5540818635d0aeda1,pending,Mexico,America/New_York,Antarctica,Female,status < 'active',rw,IL,3398,Midtown,Chicago,Oceania,INV-597700,"Tokyo, United Kingdom",Europe,4.68,-72.858515,America/New_York,81.33235,-96.686297,LHR,mary.king@yahoo.com,Japan,"London, Germany",40793,DE,JST,"Phoenix, South Korea",Downtown,fp_734cb815096dcf7a,Shanghai,Africa,Miami,Africa,elizabeth_taylor@outlook.com,Asia,3209,curated.events -> analytics,sess_FVtrtMDCRJA4RxCrHXx9hPBVNj2XufljfVTI0aME,5068 Pine Rd,79.3,MFA required for admin,Shanghai,Atlanta
7e791fa4c6751045536b1e5d602bec1fcb629a62329dffee3618d8cc41b19715,approved,Germany,JST,Africa,Female,date IN 'prod',execute,TX,8399,Downtown,Houston,South America,INV-987519,"Chicago, United States",North America,2.06,-95.603486,UTC,-33.847815,-9.291801,CDG,emily.wright@gmail.com,India,"Houston, Australia",36593,MX,PST,"Los Angeles, Singapore",West End,fp_e1fa5ac724ac2c4a,Shanghai,Antarctica,Boston,Antarctica,liamthompson@acme.org,Oceania,5794,staging.events -> reports,sess_vJUWFICkqYkClWRYXyr4Un5sxrYsHnAVO2oeIiso,5373 Park Blvd,89.2,PII encrypted at rest,Busan,Phoenix
c471aea383bc9367dd582aaf088bd763bf9cb356e0c7df8cea49c77cddc89c36,pending,Japan,PST,Africa,Non-binary,type = 'active',admin,FL,483,East Side,Tokyo,South America,INV-954588,"Berlin, United Kingdom",North America,5.69,-76.623958,America/New_York,-50.506623,20.660598,LAX,robert.garcia@outlook.com,Israel,"Dallas, United Kingdom",28081,AU,America/New_York,"Toronto, India",Downtown,fp_53b02cd836f4aa4f,Singapore,Europe,Toronto,Asia,robert.garcia2@outlook.com,North America,4316,raw.users -> exports,sess_pKj52pDbjm4TowJGsajFP0dv83UvFv6TP0KgZ8KM,9118 Park Blvd,20.6,PII encrypted at rest,Busan,Sydney
c0704f1b08630e3c1d7060a34caccfffd5f510d5a8b3040ab15ec4230f377cdb,failed,Israel,PST,North America,Female,date < '2024',write,FL,318,South Bay,Portland,Oceania,INV-979926,"London, Italy",Africa,1.17,155.160666,JST,32.158378,-172.641761,SFO,william.white@outlook.com,Australia,"London, Netherlands",37440,CA,CET,"Boston, Mexico",Downtown,fp_b02c1eefd6b87114,Shanghai,Oceania,Chicago,Europe,robert.robinson@outlook.com,South America,1176,raw.orders -> exports,sess_FGw91ahEKjng1UzhdDf2MptkHONN9N1QifzhWhYv,7343 Main St,95.3,PII encrypted at rest,Port of LA,Toronto
6d06460f6f2a2c18be6abd5b9358863311de0e5addf0c918794cefaa0e264b78,failed,United Kingdom,UTC,Antarctica,Male,date > '2024',rw,CA,307,North Shore,Atlanta,Antarctica,INV-201524,"Chicago, United Kingdom",Antarctica,2.49,-109.295718,Europe/London,29.448173,134.952189,NRT,logan.thomas@outlook.com,Spain,"Portland, Italy",14047,AU,JST,"Tokyo, Italy",North Shore,fp_3660906b2a772d48,Busan,Europe,San Francisco,Europe,susanthomas40@gmail.com,North America,5472,raw.orders -> reports,sess_1bLn4kIr9r3UQEfLJyj8TgF8xfs0c4KjeBfrtoYB,2829 Oak Ave,62.9,PII encrypted at rest,Singapore,Portland
29734d8807f940fc8e33a8193f59a17c7c1e7106c10957d606dd23446f75d2fc,inactive,Canada,Europe/London,Asia,Male,date = 'prod',read,GA,277,West End,Portland,Europe,INV-446828,"Berlin, United States",Oceania,9.82,9.185227,UTC,56.490662,-104.717065,LHR,liam.davis@outlook.com,Sweden,"Paris, Singapore",16285,AU,EST,"Austin, Mexico",West End,fp_ec489cb1ab602363,Hamburg,Oceania,Paris,Oceania,richard_thompson@acme.org,Antarctica,2613,curated.users -> analytics,sess_2LMSgMyEd7kYvfNAURIyGcgPdc0wn5vaWZcLHTXS,2039 Cedar Ln,35.6,MFA required for admin,Singapore,Dallas
76164284015fc396f9496d4a62c28ce17a314fe52f85240f48a68c3a1712fb45,active,United States,JST,Europe,Other,type IN '2024',rwx,NY,360,Midtown,Boston,Asia,INV-502084,"Toronto, Australia",Asia,9.83,-128.59789,EST,72.090194,119.531571,LHR,aiden.lee@outlook.com,South Korea,"Berlin, France",80710,JP,UTC,"Dallas, South Korea",Midtown,fp_3e650777613ab821,Busan,Africa,Seattle,Europe,john.miller68@gmail.com,Asia,1268,staging.users -> analytics,sess_me6MMI1HCwxVxBjm65synz8GWlIYMpOxDPboppR7,7586 Park Blvd,63.3,Data retained for 7 years,Hamburg,Phoenix
