col_full,c_lati,village,mapping,continent_38,kdje27,place,dock,landmark_poi,TIME_ZONE,dateval,dim_timestamp,p_739,col_mok,dim_location_text,elevation_altitude_14,source_system_raw,nullableFlag,iso_country_code,port_harbor_46,fact_etl_batch_id,iata_cd,user_cpu_usage,var_184,ADDRESS_LINE,airport,airfield,landmarkPoi,longitude,title_22,col_oz,encoding,addrline,x_dwbg,district_borough_info,location_text_38,time_of_day,col_cusi,geographic_coordinates_v2,location_text_v2,end_date,v_537,fact_city_town
David Walker,58.940853,Houston,source_col -> field_b,South America,GB,"Dallas, United Kingdom",Busan,Golden Gate Bridge,EST,2024-10-16,2024-03-11T11:08:56Z,Rotterdam,6332 Maple Dr,"New York, Spain",3850,Workday,YES,BR,Busan,batch-20210219-59,DPK,54.3,AU,5773 Elm St,SFO,SFO,Golden Gate Bridge,-102.638778,Quarterly Report 2024,PST,UTF-16,8971 Park Blvd,1991,Midtown,"Tokyo, India",13:47:04,FK0L9P9NM,"13.239371, 51.554614","Dallas, Australia",2020-05-12,-58.438289,London
Amy Martin,28.883337,Atlanta,source_col -> output,Africa,IN,"Austin, Germany",Busan,Central Park,JST,2024-12-04,2022-11-08 01:46:20,Port of LA,298 Cedar Ln,"Miami, Canada",6604,Kafka,NO,GB,Hamburg,batch-20221019-09,KIY,20.4,IN,2371 Main St,ORD,JFK,Eiffel Tower,-160.757698,Technical Summary 2023,CET,UTF-16,2603 Oak Ave,2019,Midtown,"London, Germany",03:45:04,QSU68HB4B,"-17.786167, -4.592624","Berlin, United Kingdom",2021-09-26,52.064622,Austin
Emma Wright,8.722308,Sydney,field_a -> output,Asia,DE,"London, Mexico",Singapore,Big Ben,EST,2022-01-19,2026-03-22T14:29:42Z,Rotterdam,4815 Park Blvd,"Tokyo, Brazil",2395,Snowflake,false,BR,Busan,batch-20191109-25,PDC,61.6,IN,4027 Elm St,ORD,SFO,Statue of Liberty,88.387958,Annual Report 2020,Europe/London,ISO-8859-1,9360 Pine Rd,2021,South Bay,"Boston, France",10:09:34,9AHE0I0AX,"-31.147869, 111.709258","Sydney, Spain",2018-06-29,-142.38023,San Francisco
Jennifer Thompson,70.353282,Houston,source_col -> field_b,South America,MX,"Houston, United States",Shanghai,Golden Gate Bridge,EST,2026-09-25,2020-02-12 18:38:24,Port of LA,5224 Maple Dr,"Seattle, Netherlands",4187,Kafka,YES,IN,Rotterdam,batch-20251208-60,VCP,52.8,IN,679 Oak Ave,LHR,NRT,Golden Gate Bridge,19.78675,Technical Review 2023,CET,ISO-8859-1,4810 Elm St,2001,Downtown,"Tokyo, France",12:54:18,6XKOI3A8Q,"72.051418, -68.133266","Seattle, Sweden",2020-10-24,4.264617,Portland
Robert Moore,21.795573,Berlin,source_col -> target_col,North America,US,"New York, Germany",Busan,Central Park,CET,2019-03-19,2019-12-04T12:28:03Z,Port of LA,9978 Main St,"Los Angeles, Netherlands",2074,Kafka,false,BR,Busan,batch-20221122-18,ABP,17.2,FR,8004 Maple Dr,SFO,ORD,Big Ben,29.455694,Quarterly Analysis 2022,Europe/London,Latin-1,3384 Cedar Ln,1995,North Shore,"Houston, South Korea",15:37:48,1XGGU4WLY,"-76.02034, 166.484418","London, Australia",2026-05-30,-16.532668,Chicago
Liam Robinson,41.122452,Boston,source_col -> target_col,Africa,JP,"New York, Spain",Port of LA,Big Ben,UTC,2025-03-08,2021-12-24 00:43:30,Singapore,3605 Cedar Ln,"New York, Spain",3551,SAP,true,FR,Port of LA,batch-20230413-93,JBJ,45.3,FR,104 Elm St,NRT,CDG,Golden Gate Bridge,-27.156949,Technical Summary 2026,UTC,Latin-1,9126 Main St,2001,Downtown,"Austin, Singapore",03:44:37,IEM5SQ5LJ,"-50.08798, -20.396614","Denver, Germany",2023-12-14,95.73345,Berlin
Robert Jones,-37.77563,Sydney,field_a -> output,Antarctica,JP,"San Francisco, Canada",Rotterdam,Eiffel Tower,Europe/London,2019-06-13,2024-09-24 22:49:22,Shanghai,1450 Park Blvd,"Paris, United Kingdom",2586,Salesforce,YES,GB,Shanghai,batch-20220901-67,JJR,39.7,MX,7641 Oak Ave,LHR,NRT,Central Park,86.703451,Annual Analysis 2020,PST,ASCII,7408 Main St,2003,Downtown,"Toronto, Switzerland",15:15:58,D7YV8IZSI,"-28.72693, 122.510346","Tokyo, Brazil",2021-05-25,-5.816965,Toronto
Robert Thompson,-73.072889,Berlin,input -> output,Oceania,MX,"New York, Netherlands",Shanghai,Central Park,PST,2023-08-26,2022-08-25 23:40:52,Port of LA,2350 Maple Dr,"Miami, United Kingdom",2015,Kafka,true,DE,Busan,batch-20261216-86,YZX,88.2,CA,2946 Main St,NRT,LHR,Statue of Liberty,-146.326092,Annual Analysis 2025,America/New_York,ISO-8859-1,813 Oak Ave,2004,East Side,"Toronto, Canada",17:09:45,BBM6RFMSK,"-44.417804, -81.778367","Sydney, South Korea",2026-10-25,-74.659494,Austin
Aiden Williams,-20.380156,Sydney,source_col -> target_col,Asia,BR,"Austin, South Korea",Singapore,Central Park,PST,2019-12-12,2026-02-16 23:24:46,Shanghai,8985 Pine Rd,"Seattle, Singapore",1062,SAP,false,US,Busan,batch-20221005-98,STH,37.4,FR,4682 Elm St,SFO,JFK,Golden Gate Bridge,19.272209,Technical Report 2020,JST,UTF-16,1566 Maple Dr,1999,North Shore,"Houston, Canada",18:39:43,P4972UTGD,"-81.12708, -96.586462","Dallas, United States",2023-12-01,78.624792,Phoenix
Ethan K. Wright,37.429454,Los Angeles,source_col -> output,South America,GB,"New York, Norway",Shanghai,Statue of Liberty,CET,2024-05-02,2023-06-25 15:21:54,Busan,1358 Pine Rd,"Chicago, France",6169,SAP,false,CA,Port of LA,batch-20240703-56,NQG,94.2,CA,945 Elm St,NRT,ORD,Eiffel Tower,-149.802501,Annual Report 2022,EST,ASCII,3889 Pine Rd,2012,Midtown,"Sydney, Canada",09:20:08,XOVYQ2LRN,"73.946002, 57.498415","Phoenix, United Kingdom",2022-06-28,-105.165859,San Francisco
Logan Thomas,-33.755286,Houston,input -> field_b,Africa,AU,"Sydney, Israel",Rotterdam,Eiffel Tower,CET,2020-06-23,2019-04-27 02:13:28,Shanghai,4598 Cedar Ln,"Paris, Germany",7489,SAP,false,FR,Hamburg,batch-20220621-01,JLK,15.9,FR,6667 Main St,SIN,SFO,Big Ben,42.373468,Quarterly Review 2020,America/New_York,ASCII,3052 Oak Ave,2003,Downtown,"Phoenix, Sweden",06:18:52,GPZG4S550,"-36.544262, 26.625845","Los Angeles, United Kingdom",2020-05-07,48.729173,Houston
Linda U. Clark,-85.480973,Seattle,source_col -> output,North America,IN,"Phoenix, Canada",Rotterdam,Central Park,JST,2020-11-02,2026-10-17 21:32:30,Singapore,328 Pine Rd,"Miami, Italy",63,Workday,false,GB,Shanghai,batch-20230819-25,LZT,67.0,GB,8411 Main St,SIN,JFK,Big Ben,-154.603052,Quarterly Review 2023,PST,Latin-1,161 Cedar Ln,2017,South Bay,"Portland, Sweden",10:59:36,ATNDQYG81,"-51.746931, -88.518751","Paris, France",2025-07-10,108.507071,Phoenix
Oliver Miller,80.717882,Toronto,input -> output,Oceania,IN,"Houston, Netherlands",Busan,Golden Gate Bridge,America/New_York,2018-03-25,2018-07-14 13:39:51,Hamburg,347 Park Blvd,"Atlanta, Sweden",6795,SAP,false,FR,Port of LA,batch-20200626-48,BBA,22.1,GB,2729 Pine Rd,ORD,LHR,Statue of Liberty,38.268151,Technical Review 2024,PST,UTF-8,4639 Oak Ave,1996,Midtown,"Dallas, United States",08:03:10,ZI6QHBRWI,"38.99889, 150.394962","New York, Italy",2026-04-01,170.052721,Phoenix
Susan Young,-50.404075,Chicago,field_a -> target_col,North America,CA,"New York, Netherlands",Busan,Statue of Liberty,Europe/London,2019-09-15,2026-02-02 11:44:02,Port of LA,9511 Maple Dr,"New York, Singapore",2100,Kafka,true,GB,Rotterdam,batch-20180610-09,DAX,84.7,JP,3694 Pine Rd,LAX,JFK,Eiffel Tower,77.520196,Executive Report 2022,CET,Latin-1,1545 Pine Rd,2013,Midtown,"Denver, Norway",23:25:41,Z37SXUYBX,"45.742452, 71.784623","Houston, Brazil",2021-12-12,28.703526,Houston
Linda Lee,59.299798,Houston,source_col -> output,Europe,CA,"Seattle, Israel",Hamburg,Golden Gate Bridge,Europe/London,2020-04-22,2023-03-13T22:28:25Z,Port of LA,6250 Oak Ave,"Tokyo, France",4859,Workday,false,AU,Shanghai,batch-20220720-46,ENR,64.6,DE,6780 Cedar Ln,SIN,NRT,Central Park,174.476229,Quarterly Analysis 2020,UTC,Latin-1,3439 Park Blvd,2013,South Bay,"Phoenix, South Korea",00:03:53,K9O3S39V7,"-88.765875, 134.260127","Tokyo, United Kingdom",2026-02-10,-81.046472,Seattle
Sophia F. Jones,-13.96014,San Francisco,source_col -> field_b,Asia,MX,"London, Sweden",Rotterdam,Statue of Liberty,PST,2026-04-14,2023-06-10T19:31:18Z,Rotterdam,7387 Maple Dr,"Sydney, Brazil",3853,Snowflake,YES,BR,Shanghai,batch-20240426-92,YFI,26.3,DE,4227 Park Blvd,LHR,SFO,Central Park,61.068087,Quarterly Analysis 2022,UTC,Latin-1,270 Pine Rd,2019,Midtown,"Los Angeles, Germany",02:22:19,LBUDC00IY,"29.236256, 161.227694","Houston, France",2026-11-14,71.032247,Toronto
Jessica Davis,-86.951304,Phoenix,field_a -> field_b,Africa,IN,"Sydney, Norway",Busan,Golden Gate Bridge,UTC,2022-04-07,2020-12-23T06:35:22Z,Hamburg,6682 Elm St,"Dallas, United States",1716,Salesforce,YES,FR,Hamburg,batch-20211206-69,VCK,54.6,MX,7533 Oak Ave,ORD,JFK,Eiffel Tower,17.556839,Technical Summary 2024,UTC,Latin-1,8043 Park Blvd,2026,South Bay,"Miami, Sweden",08:44:58,A032XQKTF,"-2.974864, 157.311732","Miami, Germany",2023-05-16,39.99252,Austin
Robert King,44.326074,Denver,input -> output,Antarctica,AU,"Seattle, Sweden",Singapore,Big Ben,UTC,2019-11-23,2023-08-20T13:56:08Z,Busan,9727 Pine Rd,"Tokyo, United States",7958,Snowflake,NO,DE,Port of LA,batch-20221015-14,FMB,92.5,AU,1445 Pine Rd,LHR,LAX,Statue of Liberty,-103.348029,Annual Summary 2024,PST,ASCII,6376 Cedar Ln,2024,North Shore,"Portland, Australia",05:28:10,9QP3H1173,"-38.315427, -90.024035","Toronto, Israel",2018-01-16,-49.029222,Houston
Elizabeth Lewis,-9.662066,Chicago,source_col -> output,Oceania,FR,"Seattle, Japan",Port of LA,Big Ben,UTC,2019-09-12,2019-07-02 12:44:12,Rotterdam,9639 Main St,"Seattle, Israel",7456,Snowflake,true,JP,Port of LA,batch-20211016-45,ITH,37.5,FR,6101 Elm St,SIN,CDG,Big Ben,51.431537,Executive Report 2021,EST,UTF-16,5720 Cedar Ln,2000,North Shore,"London, Germany",05:10:49,JU07L70KR,"1.198157, 172.593134","London, Japan",2021-01-14,-70.975065,Phoenix
Aiden Wright,54.941348,Seattle,input -> target_col,Africa,BR,"Berlin, Canada",Rotterdam,Statue of Liberty,UTC,2021-04-03,2024-08-12 12:43:46,Rotterdam,8182 Main St,"Sydney, Brazil",2350,PostgreSQL,YES,CA,Port of LA,batch-20250122-64,XKN,30.8,IN,6218 Cedar Ln,JFK,JFK,Big Ben,-85.251132,Executive Analysis 2026,JST,ISO-8859-1,3439 Park Blvd,1993,West End,"Toronto, Mexico",13:53:52,8Q9V4RRKP,"-5.904936, -97.966658","New York, Italy",2021-11-04,130.459938,Miami
Harper C. Brown,42.824336,Berlin,source_col -> target_col,South America,DE,"Los Angeles, Sweden",Shanghai,Golden Gate Bridge,EST,2023-11-27,2022-11-02 19:09:03,Busan,594 Elm St,"Miami, Sweden",4030,Snowflake,false,MX,Hamburg,batch-20230911-46,HXE,24.4,DE,8183 Pine Rd,LHR,LAX,Golden Gate Bridge,139.550295,Executive Analysis 2026,JST,ASCII,1213 Oak Ave,2013,West End,"Seattle, France",15:11:40,TABNXFRD6,"59.940497, -88.958403","Atlanta, United States",2024-10-15,41.939636,Atlanta
Lucas Lewis,-59.711542,Tokyo,input -> target_col,Asia,GB,"Phoenix, Brazil",Singapore,Golden Gate Bridge,PST,2025-07-26,2021-10-08 02:54:49,Busan,5724 Oak Ave,"London, Mexico",5678,Kafka,true,GB,Rotterdam,batch-20190918-66,PFC,66.7,AU,6977 Park Blvd,NRT,ORD,Eiffel Tower,60.402264,Quarterly Review 2026,JST,Latin-1,9810 Oak Ave,1993,Midtown,"Toronto, Sweden",04:39:57,06Z9EBB9Q,"52.475604, -4.550967","Paris, Brazil",2025-05-14,12.648494,Denver
Harper Clark,-56.726766,Dallas,source_col -> output,Oceania,IN,"Austin, Switzerland",Rotterdam,Golden Gate Bridge,America/New_York,2023-12-15,2020-02-05 11:49:49,Rotterdam,5633 Oak Ave,"Tokyo, Israel",5267,SAP,YES,FR,Rotterdam,batch-20190416-67,UKW,44.3,IN,6951 Park Blvd,LAX,LAX,Big Ben,-10.630094,Technical Report 2024,PST,UTF-16,2711 Maple Dr,1992,South Bay,"London, Italy",20:22:13,4DXOHNSKL,"-45.314464, -28.688464","Miami, Australia",2019-07-03,179.066339,Miami
Emma V. Moore,-33.708524,Austin,field_a -> output,North America,JP,"Denver, Germany",Shanghai,Big Ben,America/New_York,2026-09-03,2026-10-14 19:58:41,Port of LA,9073 Main St,"Phoenix, South Korea",7227,Workday,false,US,Port of LA,batch-20240609-19,JKI,58.6,JP,8166 Maple Dr,SFO,CDG,Eiffel Tower,176.668957,Annual Analysis 2025,EST,ISO-8859-1,3417 Cedar Ln,1997,West End,"Berlin, Mexico",20:20:37,9BF1XS15H,"36.174193, 172.621952","Berlin, Canada",2018-01-24,-7.765178,Berlin
Richard R. Rodriguez,24.350375,Portland,field_a -> field_b,Antarctica,AU,"Denver, South Korea",Rotterdam,Big Ben,JST,2025-04-15,2026-02-23 12:36:44,Singapore,2497 Maple Dr,"Chicago, Australia",4790,Snowflake,NO,CA,Hamburg,batch-20220204-93,JLT,20.7,MX,7585 Main St,LHR,SFO,Big Ben,-43.049861,Executive Analysis 2023,JST,Latin-1,6497 Pine Rd,2024,West End,"Boston, Israel",22:34:58,SPDKBXGJF,"-29.297471, 78.518743","Tokyo, France",2024-12-21,124.091132,Austin
Anna Wright,-84.861353,Paris,field_a -> field_b,Asia,MX,"Atlanta, Israel",Rotterdam,Eiffel Tower,America/New_York,2026-02-03,2021-08-05 18:59:24,Singapore,9520 Main St,"Denver, Spain",798,SAP,false,GB,Rotterdam,batch-20240216-99,DNR,50.3,CA,505 Oak Ave,SFO,SIN,Central Park,-168.965365,Quarterly Report 2026,America/New_York,UTF-16,3128 Elm St,2008,North Shore,"London, France",19:18:55,ZLIT2GQBR,"-57.112544, 20.556362","New York, Germany",2018-11-07,142.492083,San Francisco
Aiden Brown,-58.20478,London,source_col -> output,Africa,JP,"Boston, Norway",Singapore,Golden Gate Bridge,Europe/London,2021-11-17,2018-05-11T03:35:18Z,Hamburg,847 Main St,"Portland, Brazil",5221,Salesforce,true,FR,Shanghai,batch-20250121-38,EFO,40.7,CA,4522 Park Blvd,LHR,CDG,Big Ben,-101.089962,Executive Report 2023,JST,ASCII,7135 Maple Dr,2010,East Side,"Paris, South Korea",23:22:09,ARI2KPS6T,"-66.287829, 64.452686","Miami, Brazil",2018-01-12,58.089376,San Francisco
Michael Walker,-30.689174,Berlin,field_a -> output,South America,AU,"San Francisco, Japan",Singapore,Big Ben,JST,2024-11-10,2021-02-01T16:48:57Z,Rotterdam,5182 Oak Ave,"Phoenix, Sweden",3433,Workday,false,DE,Busan,batch-20190211-69,PIS,88.6,DE,9252 Park Blvd,LAX,LAX,Central Park,-0.622498,Executive Review 2022,UTC,Latin-1,5899 Park Blvd,2004,West End,"San Francisco, Canada",00:38:08,2WK9UBSRB,"-69.953578, -91.778742","Houston, Italy",2025-08-01,-23.204602,Houston
Mary Lewis,-10.78565,Houston,field_a -> target_col,Europe,BR,"Los Angeles, Mexico",Busan,Statue of Liberty,JST,2023-02-15,2020-10-10T01:14:42Z,Busan,5304 Maple Dr,"Los Angeles, Italy",2641,SAP,YES,MX,Singapore,batch-20180825-98,SAW,22.0,US,1662 Cedar Ln,LAX,LAX,Statue of Liberty,93.23265,Quarterly Summary 2024,EST,UTF-16,3354 Maple Dr,2013,East Side,"Denver, United Kingdom",00:58:35,59RIUNRWC,"41.377678, 65.139283","Austin, Sweden",2021-06-13,-135.817481,Sydney
Noah Brown,-47.161466,Seattle,field_a -> output,North America,DE,"Seattle, India",Hamburg,Statue of Liberty,JST,2019-02-01,2023-10-24T04:06:18Z,Hamburg,5800 Oak Ave,"Miami, Switzerland",2300,Snowflake,NO,JP,Hamburg,batch-20260126-42,PAL,36.3,BR,6950 Maple Dr,JFK,JFK,Golden Gate Bridge,-76.603341,Quarterly Summary 2024,EST,Latin-1,7379 Main St,1999,Downtown,"Houston, Brazil",11:46:48,36OZUILG3,"65.331381, 62.3428","Atlanta, France",2018-02-12,-148.736547,San Francisco
Oliver Thomas,-14.441092,San Francisco,source_col -> field_b,Europe,IN,"Miami, Singapore",Hamburg,Statue of Liberty,JST,2026-07-23,2024-05-13T04:45:46Z,Hamburg,7478 Pine Rd,"San Francisco, Norway",1707,SAP,true,US,Hamburg,batch-20200115-26,JYQ,0.4,DE,9982 Park Blvd,ORD,CDG,Eiffel Tower,-52.803684,Executive Review 2025,America/New_York,ASCII,6087 Pine Rd,1990,Midtown,"Dallas, Germany",07:39:18,U3O4HRAJV,"71.643647, -144.344306","Los Angeles, Germany",2022-06-05,115.926634,Dallas
Michael Rodriguez,-27.815844,Paris,input -> target_col,North America,US,"Portland, Germany",Shanghai,Statue of Liberty,Europe/London,2018-10-01,2026-09-23T12:56:32Z,Singapore,7718 Oak Ave,"Berlin, Canada",1048,Snowflake,NO,JP,Busan,batch-20180519-30,FAF,91.0,CA,1519 Elm St,LHR,SFO,Eiffel Tower,59.112556,Executive Report 2024,JST,ISO-8859-1,1311 Park Blvd,2012,Downtown,"Dallas, Sweden",22:36:24,VWJKXPCEB,"15.5029, -84.382934","Los Angeles, India",2023-10-31,-21.909114,Seattle
Amy Young,35.872529,Toronto,input -> field_b,North America,DE,"Dallas, Mexico",Port of LA,Eiffel Tower,America/New_York,2026-09-15,2022-03-16T02:39:27Z,Singapore,9175 Oak Ave,"Chicago, Brazil",4875,Workday,true,IN,Shanghai,batch-20220712-30,FUW,56.7,MX,2185 Maple Dr,NRT,SIN,Big Ben,67.325126,Quarterly Report 2025,JST,ASCII,9181 Main St,2001,Midtown,"Seattle, Sweden",06:00:34,SWYVT8P96,"75.915867, -60.04193","Phoenix, Germany",2020-11-11,93.532853,Boston
Sarah Anderson,-86.929268,New York,source_col -> field_b,Africa,US,"Boston, India",Busan,Eiffel Tower,CET,2020-11-06,2019-04-13T02:12:25Z,Busan,1663 Oak Ave,"Atlanta, Spain",7016,Workday,YES,DE,Singapore,batch-20230410-31,KNJ,66.1,US,1186 Main St,SFO,LAX,Golden Gate Bridge,131.687752,Annual Report 2020,JST,UTF-8,6501 Park Blvd,2017,South Bay,"Berlin, France",07:38:04,HNL385SYF,"66.179912, -174.298309","Austin, Australia",2021-09-02,-171.628391,Denver
Harper X. Young,43.958959,London,source_col -> field_b,Europe,BR,"Dallas, Brazil",Singapore,Golden Gate Bridge,JST,2024-07-07,2019-03-20 22:43:24,Hamburg,7409 Main St,"Austin, Netherlands",-90,Snowflake,NO,BR,Port of LA,batch-20180328-75,NTR,44.8,BR,8833 Oak Ave,NRT,NRT,Golden Gate Bridge,-134.220923,Executive Analysis 2021,Europe/London,ISO-8859-1,6162 Pine Rd,2012,Downtown,"Phoenix, Israel",12:00:10,IU85PDZ4R,"-31.57411, -85.852589","San Francisco, South Korea",2021-04-12,120.581904,Berlin
Jennifer C. Brown,-60.063991,Austin,field_a -> target_col,Africa,CA,"Sydney, Mexico",Rotterdam,Central Park,PST,2018-01-22,2024-06-11T17:48:15Z,Rotterdam,159 Park Blvd,"Portland, Singapore",6575,Workday,true,IN,Rotterdam,batch-20181031-39,FBU,64.2,JP,1135 Pine Rd,NRT,ORD,Statue of Liberty,117.00573,Quarterly Review 2020,Europe/London,UTF-16,3072 Park Blvd,2008,East Side,"Phoenix, South Korea",05:54:34,Q55YGV4LW,"-4.087984, 34.05636","London, Sweden",2021-04-11,-41.975671,Phoenix
Emily Martinez,39.283155,Dallas,input -> field_b,North America,JP,"Austin, Canada",Port of LA,Big Ben,UTC,2026-10-19,2021-11-12T00:54:59Z,Rotterdam,2106 Maple Dr,"New York, Sweden",3851,PostgreSQL,NO,DE,Hamburg,batch-20260709-31,BMX,18.2,FR,5383 Pine Rd,LAX,LHR,Big Ben,58.184691,Annual Summary 2023,EST,Latin-1,6815 Elm St,1995,South Bay,"Tokyo, Norway",05:09:32,HPE270B0X,"36.021458, -3.762527","Miami, Netherlands",2024-10-08,-114.153083,San Francisco
Lucas U. Wright,-7.904335,Houston,input -> target_col,South America,GB,"Chicago, Mexico",Rotterdam,Statue of Liberty,EST,2026-05-25,2022-07-26T08:39:56Z,Shanghai,5995 Maple Dr,"Atlanta, Spain",821,PostgreSQL,YES,IN,Singapore,batch-20181201-66,IYD,38.1,GB,4916 Elm St,LHR,NRT,Statue of Liberty,51.294272,Executive Analysis 2022,EST,Latin-1,2901 Oak Ave,1992,Midtown,"Austin, Canada",01:53:49,BN4OMX554,"68.992417, 79.470106","Phoenix, Sweden",2026-08-04,-128.251663,Boston
