continent,city,meta_185,yaie69,PORT_HARBOR,monument,area,address_line,wordemb,AIRPORT,fact_landmark_poi,airport,addressLine,isocc,timeZone,dim_region_state_province,meta_lrmt,landmark_poi_14,abstract,privileged,dim_legal_entity_identifier,API_SPECIFICATION,username_6,user_frequency,date,description_info,ceiling,landmark_poi_val,iso_3166,val_374,ADDRESS_LINE,dim_iso_country_code,TIME_ZONE,attr_addre,col_155,country_6,landmark_poi,landmarkPoi,KEYWORDS,eeaojj2,bcqj56,x_weigh,LANDMARK_POI,metro,partition_key_raw,timeToLive,port,dim_ee,var_541,landmark,xdcuk92,terminal,continent_2,attr_zquc,etlBatchId,suite,x_sjbk,country_info,suqs36,v_nt,var_aa,LATITUDE,val_count,location_text_6,col_latit,x_sq,modifiedby,yac46,dim_por,port_harbor_raw,src_address_line,location_text_val,building,trade_secret_field,continent_3,isin,region_state_province_6,operating_system,port_harbor,fact_month,c_698,GENDER,city_town,tz,weight_mass_field,GEOGRAPHIC_COORDINATES,c_lbts,stockTicker,nationality_raw,location_text,neighborhood,ljpe20,d_941,locationText,power,src_longitude,tbaa41,country,cityTown,haedjt13,psyrv83,longitude_14,latitude,sku,address_line_v2,longitude_raw,rank_rating_6,landmark_poi_22,SOURCE_SYSTEM,last_4,portHarbor,continent_4,downstream,landmark_poi_v2,raw_geographic_coordinates,latitude_2,var_481,district_borough_raw,release_note,soft_delete_flag_v2,attr_229,permlevel,src_continent,deleted_at,c_242,continent_14,PORT_HARBOR_2,diagnosis,continent_val,address_line_2,attr_coo,iso_country_cd,p_educa,city_2,loctxt,tz_2,venue,municipality,district_borough,x_cooki,fact_city_town,admin,iso_country_code_info,fact_time_zone,insert_time,nlygq86,longitude,iso_country_code,continent_5,city_town_14,val_por
Oceania,Seattle,"67.933731, -65.50852",Asian,Hamburg,Golden Gate Bridge,"Berlin, Mexico",4854 Cedar Ln,"[-0.8857, -0.036, -2.9539, 0.895, 1.4605, -0.8718, 2.8156, 0.1792]",LHR,Statue of Liberty,NRT,7812 Maple Dr,MX,Europe/London,OH,"Phoenix, Germany",Statue of Liberty,This paper presents an analysis for entity resolution.,HOLD-2022-747,2J0RWEX3CQQFC6IKLPTE,gRPC/protobuf,elizabeth.rodriguez552,7516.79,2024-08-03,The product manages customer interactions.,crit=7279,Statue of Liberty,CA,LHR,1756 Oak Ave,DE,America/New_York,4311 Pine Rd,2020-09-04 10:49:23,Norway,Central Park,Golden Gate Bridge,"monitoring, cloud, automation, compliance",-72.166237,10928.2,322.06,Eiffel Tower,Toronto,dt=acme,67 days,Shanghai,-18.768311,"-6.123046, -176.673031",Central Park,1.17.42,Singapore,Antarctica,Berlin,batch-20221125-14,5785 Main St,Europe,Japan,Hardware,Dallas,"82.632303, 130.294711",-75.441434,Italy,"Boston, Germany",45.638371,Shanghai,elizabeth.miller,Dallas,Rotterdam,Busan,7827 Maple Dr,"Berlin, Canada",Eiffel Tower,[CONFIDENTIAL] Formula #847,Oceania,YJEX8VI9C,NY,Chrome OS,Shanghai,August,CO,Male,Atlanta,UTC,352.76,"75.590216, 109.974754",2018-01-25T21:17:42Z,VCWR,Italy,"London, Brazil",South Bay,3433 Main St,Central Park,"Chicago, Germany",41867.4,-118.155329,North Shore,Australia,London,Midtown,"-41.558124, 157.773899",-115.996105,"51.479801, 23.056562",WZQ-6336,1403 Pine Rd,-76.075598,56,Big Ben,Workday,3970,Shanghai,North America,raw.users -> analytics,Big Ben,"51.791294, 55.431348",34.287293,"Dallas, India",Midtown,v0.9.6: Removed caching.,true,Big Ben,Guest,Asia,,Berlin,South America,Port of LA,Migraine,Africa,3430 Maple Dr,"-32.955695, 12.290751",GB,Bachelor's,Portland,"Phoenix, Germany",JST,"New York, Italy",Paris,Downtown,_ga=0909947170.9469163,Toronto,Owner,CA,PST,2018-09-12T11:48:10Z,1101.6,120.40947,GB,Asia,Houston,Hamburg
Oceania,Seattle,"-28.904235, -74.39193",Hispanic,Rotterdam,Statue of Liberty,"Dallas, Germany",745 Elm St,"[1.7742, -0.6156, -1.2188, -1.846, 0.3126, -0.8887, 0.4821, -0.5225]",NRT,Statue of Liberty,ORD,7549 Oak Ave,US,JST,WA,"Austin, Israel",Golden Gate Bridge,This paper presents a novel approach for entity resolution.,HOLD-2024-183,VM15LTMB4R8PUQF8JXKR,GraphQL,emilythomas551,5572.85,2018-04-04,The service manages compliance records.,crit=3745,Statue of Liberty,JP,LHR,6587 Pine Rd,CA,JST,3071 Cedar Ln,2025-01-24T11:53:55Z,Canada,Central Park,Eiffel Tower,"compliance, reporting, scalability, analytics, integration",83.39783,29750.7,760.78,Central Park,Seattle,dt=us-east,132 days,Port of LA,-42.987491,"47.122283, 4.597431",Golden Gate Bridge,2.17.89,Port of LA,Africa,Los Angeles,batch-20201121-37,6501 Elm St,Europe,Switzerland,Electronics,Dallas,"70.141421, -142.848656",-47.859528,France,"Chicago, Norway",-83.704335,Busan,harper.thompson,Seattle,Shanghai,Singapore,1571 Park Blvd,"Seattle, India",Golden Gate Bridge,[CONFIDENTIAL] Formula #998,Oceania,12AJ5CS8A,OH,Android,Busan,January,TX,Female,San Francisco,CET,557.82,"-63.119272, 84.529695",2019-06-28T04:36:31Z,TW,Australia,"Austin, Netherlands",West End,2659 Main St,Statue of Liberty,"San Francisco, Mexico",7720.2,-115.052477,North Shore,Singapore,Phoenix,North Shore,"-72.867678, -29.66181",-15.483564,"73.647744, -117.30052",HIH-4830,65 Pine Rd,-70.35515,88,Central Park,Workday,2387,Rotterdam,North America,staging.orders -> exports,Big Ben,"-55.464505, -135.568053",-66.039655,"Dallas, South Korea",East Side,v0.1.46: Added support for authentication.,false,Big Ben,Editor,Africa,,Tokyo,Antarctica,Hamburg,Depression,Oceania,4306 Pine Rd,"5.613543, 104.011807",US,Bachelor's,San Francisco,"Austin, Netherlands",EST,"Austin, Israel",New York,East Side,_ga=9038488744.6505096,New York,Guest,AU,PST,2023-11-23T13:29:29Z,1586.8,9.20176,JP,Europe,Paris,Singapore
North America,Denver,"33.992992, -95.620826",Mixed,Shanghai,Statue of Liberty,"Atlanta, Japan",92 Park Blvd,"[-0.9143, 1.0983, -0.383, -0.8021, 0.6106, -0.0827, 0.4024, -0.9124]",LHR,Statue of Liberty,CDG,5411 Oak Ave,BR,EST,IL,"Toronto, Mexico",Eiffel Tower,This paper presents a framework for data classification.,HOLD-2026-642,CD99TL8YGD3F9900AFRB,SOAP/XML,anna_martin57,6344.69,2024-01-20,The system includes operational metrics.,min=8551,Eiffel Tower,JP,CDG,4676 Oak Ave,CA,PST,6212 Oak Ave,2018-08-21 23:26:20,Mexico,Golden Gate Bridge,Big Ben,"reporting, scalability, data",-82.832287,26351.0,371.84,Eiffel Tower,New York,dt=us-east,244 days,Rotterdam,63.447743,"40.576074, -19.094907",Central Park,0.18.17,Hamburg,Oceania,London,batch-20200331-09,6449 Main St,Europe,Brazil,Software,Boston,"-31.096041, -164.780815",-67.897104,Italy,"Dallas, Norway",-46.412171,Shanghai,jennifer.brown,Austin,Port of LA,Hamburg,3931 Main St,"Portland, Mexico",Golden Gate Bridge,[CONFIDENTIAL] Formula #341,North America,WV1QD5J5B,IL,iOS,Shanghai,August,GA,Female,Berlin,PST,163.92,"-7.770581, 137.939523",2021-02-25 08:00:26,KBV,Brazil,"Phoenix, Brazil",East Side,9012 Elm St,Eiffel Tower,"San Francisco, Sweden",48318.9,104.972874,South Bay,Switzerland,Austin,South Bay,"-65.310563, -148.373301",7.58469,"40.242537, 14.35559",LGL-9949,6213 Park Blvd,-91.236535,78,Central Park,Kafka,2644,Port of LA,North America,raw.users -> reports,Eiffel Tower,"-88.052798, -38.971322",-57.951766,"Los Angeles, India",East Side,v2.12.27: Fixed bug in authentication.,true,Central Park,Viewer,Antarctica,,Atlanta,South America,Hamburg,Hypertension,Antarctica,9492 Oak Ave,"59.116485, 152.501335",DE,Bachelor's,Tokyo,"Los Angeles, Brazil",EST,"Tokyo, Japan",Denver,South Bay,_ga=7850644536.4730355,New York,Viewer,CA,Europe/London,2023-08-19 06:25:31,922.1,102.109889,FR,North America,Sydney,Shanghai
North America,Portland,"-84.903957, 164.756934",Hispanic,Rotterdam,Statue of Liberty,"Dallas, South Korea",9319 Main St,"[-1.2225, 0.2649, 1.1649, 0.1713, -1.7252, -0.2675, -1.2566, -0.4172]",SFO,Golden Gate Bridge,LHR,66 Elm St,JP,Europe/London,CA,"San Francisco, United States",Golden Gate Bridge,This paper presents a novel approach for anomaly detection.,HOLD-2026-915,9HK84YNAKM6409A03ZUP,REST/JSON,ethanbrown416,3430.31,2025-09-29,The product tracks operational metrics.,crit=3141,Big Ben,JP,JFK,9818 Maple Dr,AU,CET,6878 Park Blvd,2019-10-08 04:03:50,Italy,Central Park,Statue of Liberty,"analytics, scalability, data, reporting, integration",160.990521,6427.8,434.07,Central Park,Paris,region=acme,191 days,Singapore,10.840887,"-61.43788, 116.301999",Central Park,0.6.77,Singapore,Oceania,London,batch-20260207-90,6841 Main St,Africa,Sweden,Services,Berlin,"27.313567, 94.96283",-86.660284,Singapore,"Houston, Switzerland",-52.680272,Singapore,emma.harris,Tokyo,Shanghai,Hamburg,698 Pine Rd,"Los Angeles, Italy",Eiffel Tower,[CONFIDENTIAL] Formula #111,Africa,EZKZ6MWWV,NC,iOS,Rotterdam,November,NC,Female,Miami,Europe/London,934.05,"46.433416, -167.862768",2020-10-19T13:17:55Z,SRGI,India,"Austin, Australia",East Side,6986 Main St,Central Park,"London, Brazil",4732.9,144.552519,South Bay,United States,Tokyo,Downtown,"-13.253718, -132.130253",-27.276728,"84.735334, 143.411743",RXA-3782,190 Oak Ave,-90.735787,87,Eiffel Tower,Snowflake,2885,Port of LA,Asia,raw.events -> reports,Eiffel Tower,"0.573615, -14.017581",20.265076,"Chicago, Italy",Midtown,v2.1.97: Added support for logging.,false,Big Ben,Admin,Oceania,,Sydney,Asia,Rotterdam,Hypertension,South America,965 Oak Ave,"-11.113647, -54.827977",AU,Master's,Paris,"Boston, South Korea",CET,"Denver, Mexico",Toronto,Midtown,_ga=4350380262.9863923,Berlin,Viewer,DE,Europe/London,2019-10-03T20:43:27Z,98.8,46.710589,DE,Antarctica,San Francisco,Shanghai
Africa,Chicago,"-56.156486, -109.241339",Other,Singapore,Big Ben,"Berlin, Italy",2600 Cedar Ln,"[0.5702, 0.6597, -1.0818, 0.987, 1.5186, 0.1687, -0.3884, 2.3964]",SFO,Golden Gate Bridge,LHR,4256 Park Blvd,JP,Europe/London,WA,"Seattle, India",Central Park,This paper presents a framework for entity resolution.,HOLD-2021-373,QW7GTNZC13JPWW4B8U0O,GraphQL,jennifer.lee379,804.99,2026-06-26,The service includes compliance records.,crit=6771,Central Park,DE,LAX,4305 Oak Ave,IN,EST,3116 Maple Dr,2020-09-03T18:36:11Z,Sweden,Central Park,Eiffel Tower,"performance, reporting",72.905074,42796.7,326.7,Big Ben,Atlanta,dt=acme,109 days,Hamburg,-36.672409,"-7.771916, -37.472494",Big Ben,4.15.71,Hamburg,Africa,Tokyo,batch-20250408-13,2752 Maple Dr,Antarctica,United Kingdom,Electronics,Dallas,"5.087251, -21.650733",18.050111,France,"Phoenix, Sweden",-51.789632,Port of LA,patricia.davis,Phoenix,Hamburg,Rotterdam,161 Main St,"Atlanta, Israel",Eiffel Tower,[CONFIDENTIAL] Formula #199,South America,QK3ZYIKH8,TX,Windows,Port of LA,November,NY,Male,Dallas,CET,940.88,"-67.161528, 171.177212",2020-09-16T05:32:00Z,DW,France,"San Francisco, Brazil",Downtown,6686 Main St,Eiffel Tower,"Miami, Netherlands",42921.1,-157.818879,Downtown,France,Seattle,West End,"7.47925, 14.281425",104.751375,"-11.166749, 130.64584",IKH-7429,8162 Maple Dr,171.104745,87,Central Park,PostgreSQL,4372,Busan,North America,staging.users -> reports,Big Ben,"-88.890082, -20.492423",-28.063487,"Austin, Switzerland",Downtown,v5.0.15: Improved caching.,false,Eiffel Tower,Owner,Africa,,Austin,Africa,Shanghai,Migraine,Africa,4959 Cedar Ln,"-25.458046, -117.600307",CA,Master's,London,"San Francisco, Italy",America/New_York,"Boston, Israel",Dallas,Downtown,_ga=5228080336.4301149,Portland,Admin,IN,PST,2023-09-12 14:59:10,1165.1,-13.845203,CA,Asia,New York,Singapore
Oceania,Houston,"0.088595, -21.580641",Black,Hamburg,Eiffel Tower,"San Francisco, France",2492 Pine Rd,"[0.4848, 0.2797, -1.0669, 0.3522, 1.0551, 0.8595, -0.1897, -0.341]",NRT,Big Ben,ORD,7774 Pine Rd,US,America/New_York,CA,"San Francisco, United Kingdom",Golden Gate Bridge,This paper presents a framework for entity resolution.,HOLD-2025-475,GP55X68TRDXNGICSBES0,REST/JSON,robertsmith394,9338.67,2024-07-24,The product represents customer interactions.,crit=1379,Central Park,FR,ORD,5977 Cedar Ln,DE,UTC,4802 Oak Ave,2026-07-07T15:42:13Z,Spain,Golden Gate Bridge,Eiffel Tower,"security, cloud, performance, automation",168.616339,35971.4,134.4,Central Park,Los Angeles,dt=us-east,2 days,Shanghai,27.907077,"43.827539, -32.034356",Golden Gate Bridge,3.20.38,Singapore,Oceania,Chicago,batch-20261105-38,7646 Oak Ave,Asia,France,Software,Atlanta,"30.995189, 100.59806",80.522214,Mexico,"Denver, Canada",4.433258,Rotterdam,lucas.jackson,Dallas,Shanghai,Rotterdam,2016 Elm St,"Phoenix, Italy",Central Park,[CONFIDENTIAL] Formula #316,Antarctica,7JVAF1BCS,GA,Android,Singapore,January,PA,Unisex,Houston,America/New_York,84.4,"-78.872525, 170.474833",2018-11-20 14:49:55,GH,Japan,"Tokyo, Mexico",South Bay,2592 Maple Dr,Central Park,"Tokyo, Mexico",46992.9,-136.860488,North Shore,Brazil,Sydney,North Shore,"56.601488, -92.466307",164.730491,"-37.571875, 85.384024",XDF-2950,9537 Elm St,89.897938,40,Big Ben,Snowflake,8576,Hamburg,Antarctica,curated.events -> reports,Eiffel Tower,"48.02047, 157.190815",-0.398124,"Sydney, Israel",Downtown,v0.16.13: Removed API.,false,Central Park,Guest,Antarctica,,Seattle,Oceania,Singapore,Arthritis,Africa,809 Oak Ave,"-0.400996, 145.5886",FR,High School,New York,"Phoenix, Australia",Europe/London,"Los Angeles, Switzerland",Denver,West End,_ga=4892296674.9995210,Sydney,Owner,FR,PST,2022-01-19 23:36:59,46.7,85.143534,AU,Antarctica,Tokyo,Busan
North America,Portland,"-20.593135, -144.899408",Asian,Hamburg,Eiffel Tower,"San Francisco, Brazil",115 Cedar Ln,"[0.7692, 0.9615, 0.7549, -0.0784, -0.6726, 0.1802, -1.0818, 0.0348]",LAX,Central Park,JFK,9236 Cedar Ln,CA,Europe/London,WA,"Denver, Sweden",Big Ben,This paper presents an analysis for data classification.,HOLD-2020-487,C1M8H9JXZRVRORNJMBZY,gRPC/protobuf,robert.harris426,6412.35,2020-12-21,This record represents data processing activities.,warn=8288,Eiffel Tower,AU,SFO,7988 Oak Ave,BR,America/New_York,8719 Oak Ave,2022-03-13 23:20:21,United States,Statue of Liberty,Central Park,"integration, cloud, automation, analytics",-176.993022,37995.1,284.09,Golden Gate Bridge,Atlanta,dt=us-east,53 days,Singapore,-48.069343,"-22.600034, -112.122069",Eiffel Tower,5.4.42,Shanghai,Europe,Boston,batch-20221102-27,2329 Park Blvd,North America,Spain,Software,New York,"56.838315, -108.305941",-42.145165,Netherlands,"Phoenix, South Korea",-6.237656,Busan,emily.lee,Los Angeles,Singapore,Port of LA,6325 Maple Dr,"Seattle, Spain",Big Ben,[CONFIDENTIAL] Formula #379,Asia,UWQ36I33S,CA,Linux,Rotterdam,April,CA,Unisex,Denver,Europe/London,932.1,"-63.983712, 167.142636",2026-09-09 16:30:01,LGH,Italy,"Denver, Spain",Downtown,7540 Elm St,Statue of Liberty,"New York, France",25044.0,78.283212,Midtown,Switzerland,Berlin,North Shore,"-53.534826, 105.053074",-30.256223,"35.653208, -33.317046",RVP-8019,9117 Park Blvd,-59.192745,1,Central Park,Snowflake,3636,Singapore,Asia,curated.orders -> exports,Big Ben,"22.913601, 7.15484",6.327245,"Seattle, Italy",Downtown,v2.8.11: Improved authentication.,false,Central Park,Admin,Africa,2018-06-09T00:42:09Z,Paris,Asia,Hamburg,Migraine,Oceania,1650 Elm St,"-16.667727, -50.245781",FR,Master's,London,"Berlin, Japan",Europe/London,"New York, Italy",Boston,Midtown,_ga=1182871375.7629149,Chicago,Guest,JP,CET,2023-10-09 12:14:59,241.7,103.853588,JP,Asia,New York,Singapore
Antarctica,London,"-30.928386, 3.523042",Hispanic,Singapore,Eiffel Tower,"San Francisco, Australia",2839 Cedar Ln,"[1.1856, 1.0688, -0.891, 1.1582, 0.0093, -0.6108, -1.0905, 1.0514]",JFK,Statue of Liberty,NRT,2792 Oak Ave,BR,EST,NY,"Berlin, Brazil",Eiffel Tower,This paper presents a novel approach for entity resolution.,HOLD-2026-968,8WG3J2H6UMTG6BSW6G8F,gRPC/protobuf,elizabethrobinson54,2461.4,2024-06-22,This record tracks operational metrics.,max=9586,Central Park,MX,NRT,7005 Main St,IN,EST,4680 Elm St,2021-02-11 12:39:10,France,Golden Gate Bridge,Central Park,"reporting, integration",35.014412,16812.4,501.74,Central Park,London,tenant=acme,312 days,Busan,-22.512945,"41.061926, -147.226045",Golden Gate Bridge,4.1.29,Hamburg,Europe,Houston,batch-20260311-13,8707 Maple Dr,Africa,Sweden,Services,Phoenix,"66.586404, 34.271046",45.94947,Sweden,"Toronto, Germany",15.9824,Singapore,patricia.jackson,Berlin,Rotterdam,Busan,219 Cedar Ln,"Atlanta, Spain",Big Ben,[CONFIDENTIAL] Formula #320,Antarctica,D1WPGISIT,CA,Chrome OS,Singapore,May,OH,Unisex,Phoenix,UTC,432.38,"6.792651, -91.537323",2021-08-08T19:06:08Z,VQL,Spain,"Tokyo, Israel",North Shore,9822 Main St,Central Park,"Austin, Brazil",946.7,11.028177,South Bay,Spain,Boston,East Side,"-45.459333, -157.023655",127.586258,"15.738106, 141.6631",YNP-8284,498 Oak Ave,177.311815,31,Golden Gate Bridge,PostgreSQL,5217,Rotterdam,Africa,staging.events -> analytics,Eiffel Tower,"64.504512, -176.007897",59.908315,"Boston, Israel",North Shore,v0.5.10: Fixed bug in caching.,false,Central Park,Admin,Oceania,,Houston,Antarctica,Port of LA,Migraine,Africa,1623 Elm St,"-48.921709, -3.886837",IN,Bachelor's,Phoenix,"Austin, United States",JST,"Sydney, Japan",Chicago,Midtown,_ga=4346640872.3415861,Denver,Owner,JP,JST,2019-09-13 04:09:37,918.5,74.268013,JP,Oceania,Portland,Rotterdam
North America,Portland,"-41.458118, 84.557274",Black,Busan,Central Park,"Phoenix, Singapore",7836 Park Blvd,"[-2.021, -0.6804, 0.0215, -0.1918, 1.5234, -0.0406, 1.1828, -0.461]",CDG,Statue of Liberty,SIN,3747 Pine Rd,BR,PST,TX,"Houston, Spain",Big Ben,This paper presents a framework for anomaly detection.,HOLD-2021-571,SYYF4AUAK7AR9K7Y7HC0,REST/JSON,emma_lee965,8162.31,2025-04-06,The system manages operational metrics.,warn=9567,Central Park,MX,CDG,7808 Pine Rd,BR,UTC,1751 Main St,2026-06-15 20:27:55,Mexico,Central Park,Statue of Liberty,"performance, security",101.669543,67.9,887.51,Golden Gate Bridge,Chicago,tenant=2024-01,122 days,Hamburg,-24.743289,"4.50696, -61.61489",Eiffel Tower,4.16.87,Hamburg,Europe,Miami,batch-20200628-31,7621 Cedar Ln,Oceania,Singapore,Electronics,Seattle,"-47.10542, 104.565742",22.717864,Norway,"Dallas, Mexico",-74.851811,Shanghai,anna.young,Dallas,Rotterdam,Shanghai,7343 Park Blvd,"Dallas, United States",Big Ben,[CONFIDENTIAL] Formula #506,South America,GUUXIEKHB,NC,iOS,Singapore,October,FL,Male,Houston,PST,881.12,"51.190809, 19.168799",2026-02-15T13:42:07Z,SZ,Switzerland,"London, United States",East Side,9297 Park Blvd,Golden Gate Bridge,"Toronto, Italy",19863.3,165.038447,South Bay,Australia,New York,West End,"64.775653, 38.49853",71.984386,"23.886504, -64.317591",JAW-5048,4690 Maple Dr,-54.331706,56,Golden Gate Bridge,Kafka,4144,Hamburg,Oceania,curated.events -> analytics,Central Park,"-23.97088, 85.90915",-13.866249,"Houston, Switzerland",Downtown,v5.13.15: Fixed bug in caching.,false,Statue of Liberty,Guest,South America,,Berlin,South America,Shanghai,Hypertension,South America,2546 Pine Rd,"68.377121, 50.794669",AU,Associate's,Berlin,"Atlanta, Japan",CET,"Atlanta, Netherlands",San Francisco,West End,_ga=3430693134.8138777,Miami,Editor,CA,America/New_York,2018-08-10T04:44:00Z,1600.6,46.738617,DE,Europe,Chicago,Shanghai
Europe,Atlanta,"-17.73543, -176.13895",Black,Busan,Golden Gate Bridge,"San Francisco, Mexico",872 Cedar Ln,"[1.6576, 1.6096, 3.6423, 0.9627, -0.2746, 2.08, -0.5307, 1.0642]",SIN,Statue of Liberty,CDG,8585 Elm St,DE,America/New_York,TX,"Portland, South Korea",Central Park,This paper presents an analysis for data classification.,HOLD-2024-712,AO6TMVLVK4LB1F7292DS,SOAP/XML,emilymoore33,2941.8,2019-09-21,The customer account represents operational metrics.,max=6856,Eiffel Tower,MX,SFO,1368 Main St,GB,Europe/London,5068 Cedar Ln,2022-02-22T21:03:43Z,Italy,Eiffel Tower,Statue of Liberty,"scalability, analytics, security, monitoring",-91.87532,31620.2,171.08,Statue of Liberty,Toronto,tenant=2024-01,312 days,Singapore,16.512892,"21.258406, -135.412966",Eiffel Tower,2.11.70,Shanghai,Oceania,London,batch-20240609-10,3254 Main St,Antarctica,Brazil,Hardware,Seattle,"51.338306, 138.590106",8.007518,Mexico,"Paris, Australia",10.346791,Singapore,jennifer.white,Dallas,Singapore,Busan,746 Cedar Ln,"San Francisco, United States",Golden Gate Bridge,[CONFIDENTIAL] Formula #359,North America,B05IBSHOS,CO,macOS,Shanghai,March,IL,Male,Houston,Europe/London,529.69,"80.073765, 30.916644",2023-12-02 11:36:58,KUTN,Israel,"Chicago, Netherlands",South Bay,2268 Oak Ave,Eiffel Tower,"Phoenix, Norway",6875.8,34.661932,North Shore,Norway,Miami,North Shore,"-3.789456, -92.429619",145.420696,"-43.422759, -11.245728",YTE-6788,9086 Pine Rd,125.864288,9,Statue of Liberty,Snowflake,4688,Port of LA,South America,raw.users -> analytics,Big Ben,"-5.183638, 83.774494",-39.002705,"Seattle, Israel",West End,v0.8.11: Added support for logging.,false,Central Park,Viewer,Oceania,,London,Europe,Shanghai,Arthritis,Europe,5625 Pine Rd,"31.656138, 146.973762",US,Bachelor's,Houston,"San Francisco, France",Europe/London,"Toronto, Australia",Paris,East Side,_ga=5296821621.3243726,Miami,Guest,DE,CET,2026-07-10T00:30:16Z,335.9,7.050247,CA,North America,Dallas,Port of LA
North America,Austin,"51.664278, -19.537272",Asian,Busan,Big Ben,"San Francisco, South Korea",9490 Cedar Ln,"[0.5911, -0.1291, -0.6819, 2.6043, 1.0903, 1.0184, -1.4013, -1.125]",JFK,Golden Gate Bridge,SFO,5446 Cedar Ln,MX,JST,CO,"Portland, Singapore",Big Ben,This paper presents a novel approach for anomaly detection.,HOLD-2020-266,YNZ0FHB2CORUVDD4X5HM,OpenAPI 3.0,loganjackson729,2300.78,2022-03-16,The system manages customer interactions.,min=6439,Central Park,MX,LHR,4529 Main St,IN,Europe/London,986 Oak Ave,2026-12-06 02:38:34,Mexico,Eiffel Tower,Golden Gate Bridge,"compliance, monitoring, integration, cloud",-45.525227,18220.7,909.23,Statue of Liberty,Sydney,region=us-east,127 days,Shanghai,-69.379109,"-26.212546, -113.263071",Central Park,2.1.39,Port of LA,North America,Boston,batch-20200114-90,8616 Pine Rd,North America,Mexico,Clothing,Chicago,"50.64324, -174.574683",-18.784667,Japan,"Denver, Canada",-83.500804,Shanghai,harper.martin,Sydney,Shanghai,Hamburg,4702 Oak Ave,"Miami, Israel",Big Ben,[CONFIDENTIAL] Formula #336,North America,5I2CP7HOC,OH,Android,Busan,July,GA,Unisex,Denver,America/New_York,682.76,"61.875314, -85.307066",2024-01-21T02:08:04Z,FPN,France,"Phoenix, South Korea",South Bay,8856 Oak Ave,Statue of Liberty,"Houston, Netherlands",14421.9,-91.34017,South Bay,India,Chicago,North Shore,"75.070323, 167.261681",142.349682,"-23.519308, 100.005134",EHW-9060,6119 Park Blvd,-88.920602,85,Golden Gate Bridge,PostgreSQL,5543,Hamburg,Oceania,curated.orders -> reports,Big Ben,"-56.916499, -72.540447",-6.417156,"Atlanta, Singapore",North Shore,v3.0.82: Improved logging.,true,Golden Gate Bridge,Guest,Asia,,Boston,Oceania,Shanghai,Asthma,Africa,892 Cedar Ln,"-43.767474, 124.064419",CA,Bachelor's,Seattle,"Dallas, Italy",EST,"New York, Netherlands",New York,North Shore,_ga=3532994948.6505362,Denver,Guest,JP,America/New_York,2021-11-21T20:05:04Z,477.0,-152.695992,GB,Africa,Austin,Rotterdam
Europe,Phoenix,"-58.195333, 27.947246",Asian,Port of LA,Central Park,"New York, Canada",9466 Main St,"[0.0714, 0.2422, -0.3263, -0.5782, -1.7148, -2.501, -0.2852, 1.3038]",JFK,Big Ben,SFO,7394 Main St,MX,JST,NC,"Denver, Netherlands",Big Ben,This paper presents an analysis for entity resolution.,HOLD-2026-892,70LYMCW1E5T07UJ2JPXJ,OpenAPI 3.0,harper.jones993,726.98,2025-02-11,The product monitors data processing activities.,min=5302,Central Park,FR,ORD,4253 Park Blvd,FR,PST,6617 Oak Ave,2023-06-26T08:43:49Z,Israel,Statue of Liberty,Big Ben,"security, performance",128.770372,38789.4,409.2,Central Park,Tokyo,region=us-east,42 days,Hamburg,89.396459,"4.644253, -126.385523",Eiffel Tower,5.11.89,Shanghai,Oceania,Paris,batch-20191019-87,5550 Oak Ave,Antarctica,Japan,Services,Portland,"38.479388, -8.326272",-54.506508,Norway,"London, Netherlands",-48.316269,Shanghai,mason.moore,Chicago,Rotterdam,Hamburg,7127 Maple Dr,"Tokyo, Japan",Big Ben,[CONFIDENTIAL] Formula #383,South America,3PN1WJDI1,MA,iOS,Rotterdam,May,IL,Unisex,London,JST,170.05,"66.871613, 111.504778",2026-03-13T22:34:23Z,KG,Singapore,"Toronto, Canada",East Side,6920 Pine Rd,Eiffel Tower,"Toronto, Spain",47840.2,134.81649,South Bay,Japan,London,North Shore,"-79.712192, -25.79009",103.753351,"78.43509, -9.495274",MNB-6365,6150 Oak Ave,-41.222149,65,Central Park,Workday,3199,Shanghai,South America,staging.users -> exports,Statue of Liberty,"-19.753863, 7.169793",55.703974,"Los Angeles, Japan",Downtown,v1.20.61: Added support for authentication.,true,Big Ben,Editor,Oceania,2023-04-16 19:46:41,Boston,Africa,Rotterdam,Type 2 Diabetes,South America,3273 Cedar Ln,"-77.854268, -64.758061",AU,High School,New York,"Paris, Norway",America/New_York,"Dallas, Spain",Portland,Downtown,_ga=5252758341.6413153,Phoenix,Guest,IN,Europe/London,2026-12-23 20:40:16,1489.0,103.497053,IN,Oceania,Toronto,Shanghai
