p_en,c_ffrd,frequency,fullname,performanceReview,mean_average_field,raw_middle_name,col_insu,c_jsyv,LANGUAGE,maiden_name,cityTown,budget,d_75,STOCK_RSU_GRANT,recordTypeDiscriminator,ruleConstraint,allergy,lname,middle_nm,val_last,dim_last_name,modified_at,mrs,last_nm,schema_definition_raw,PASSPORT_NUMBER,semver,msngr,src_title_prefix,photograph,dim_maiden_name,employee_record_info,meta_per,mime_type_6,last_name_val,col_925,departmentDivision,VEHICLE_IDENTIFICATION_NUMBER,DEPARTMENT_DIVISION,maiden_nm,legal_hold_document,dt_of_birth,employee_record,salary_compensation_22,val_499,date_of_birth_v2,first_nm,attr_mkxt,database_connection_string_raw,val_ua,acci82,first_name_raw,field_dczu,dept,maiden_name_info,person_name,employeeRecord,v_fir,songname,rbofqk79,d_bonus,LAB_RESULT,EMPLOYEE_RECORD,created_by_info,attr_668,var_titl,scientific_name_v2,x_middl,role_job_title_14,lifecycle,fact_comment_note,bjfc3,created_at,ahcih68,perfrev,yfvho49,rank_rating,bank_account_number_val,field_cl,stratplan,mname,salary_compensation_data,finger_scan,firstName,var_632,stockrsu,user_full_name,middle_initial,role_job_title_val,evaluation,full_nm,hash,staff_record,title_prefix_v2,FIRST_NAME,day_of_week_14,equity,boolean,fact_performance_review,date_of_birth
B,"status IN ('active','pending')",8318.81,Elizabeth Clark,Needs improvement,74.3859,T,CLM-588992,308-46-6245,English,Jackson,Berlin,"$2,345,957",Marketing,145 shares @ $35.34,update,NOT NULL,None,Williams,I,Harris,Harris,2018-09-15T22:53:55Z,Hon.,Martin,CREATE TABLE t (id INT PRIMARY KEY),P48324465,2.2.19,john_jones,Prof.,photo_578da9f6.jpg,Jackson,EMP-62183,Meets expectations,image/png,White,0004-08-1984,Marketing,QEUKERXLVOURSML5N,Marketing,Williams,HOLD-2021-703,0007-20-2008,EMP-16514,"$244,763",U,10/22/2001,Mary,region=us-east,postgresql://user:****@db-prod.internal:5432/analytics,115 days,"$32,893",Elizabeth,(396) 338-3819,Engineering,Anderson,James V. Miller,EMP-54102,Emma,Bohemian Rhapsody,Legal,"$20,232",Glucose: 246.0 K/uL,EMP-15926,oliver.king,I,Rev.,E. coli,C,Sales Rep,Archived,Reviewed and approved.,YES,2019-01-07 16:36:59,emily.davis,Meets expectations,Dune,71,62110687,D,Launch SaaS tier,R,"$165,534",fp_485d88d20f2e5b9e,Linda,EMP-11460,1545 shares @ $203.35,Elizabeth Taylor,T,VP Engineering,Meets expectations,William White,1b2b0752-1178-420a-b40d-8e0bee0b49d7,EMP-49811,Mr.,David,Sunday,1043 shares @ $327.94,JSON,Exceeds expectations,0007-25-1941
N,amount <= 10000,9436.02,Sarah Garcia,Outstanding,83.5618,X,CLM-505651,588-81-9712,Korean,Moore,Boston,"$3,537,316",Engineering,3267 shares @ $156.79,upsert,amount <= 10000,Pollen,Anderson,Y,Walker,Anderson,2022-04-18T02:53:02Z,Dr.,Miller,message Msg { string id = 1; },F77334936,4.1.40,aiden_young,Hon.,photo_c3520590.jpg,Miller,EMP-19532,Needs improvement,application/pdf,Thompson,04-10-1998,Engineering,SH9C0JE6JYH00VE31,HR,Taylor,HOLD-2025-801,0009-12-1950,EMP-55175,"$45,826",G,10/02/1961,Noah,tenant=acme,postgresql://user:****@db-prod.internal:5432/main,178 days,"$14,692",Jennifer,854 941 3099,Marketing,Clark,Elizabeth Clark,EMP-28016,Emily,Bohemian Rhapsody,Support,"$17,381",WBC: 244.6 K/uL,EMP-60984,sarah.thompson,Z,Rev.,H2O,O,VP Engineering,Published,Needs follow-up next quarter.,true,2020-08-25 15:37:46,sophia.brown,Needs improvement,1984,94,46593023,S,Launch SaaS tier,R,"$110,116",fp_c515f28d4f3ef39b,Elizabeth,EMP-44798,4848 shares @ $22.6,Susan Taylor,F,Designer,Outstanding,Emily S. Martin,920addc1-5d58-434b-9180-545ebc25635e,EMP-18289,Ms.,Ethan,Thursday,810 shares @ $309.21,INTEGER,Needs improvement,04-12-1945
N,amount <= 10000,4566.18,Oliver W. White,Meets expectations,-32.1126,T,CLM-668694,XXX-XX-3365,Chinese,Martinez,Miami,"$4,497,110",Engineering,507 shares @ $295.07,update,age >= 18,Peanuts,Martinez,R,Moore,Miller,2018-07-17 23:36:14,Hon.,Moore,message Msg { string id = 1; },C54498625,1.20.11,harper_moore,Hon.,photo_69752778.jpg,Martin,EMP-32682,Outstanding,text/csv,Young,05/03/1968,Finance,94T8J8CYGKJAPHS4I,Marketing,Lewis,HOLD-2023-355,11-11-2004,EMP-39748,"$137,780",G,0003-04-1972,Aiden,tenant=us-east,postgresql://user:****@db-staging.internal:5432/main,144 days,"$36,254",Jessica,927-672-4488,HR,Clark,Ethan Smith,EMP-50857,Linda,Hotel California,Sales,"$41,372",Glucose: 258.3 g/dL,EMP-73359,emma.brown,V,Hon.,E. coli,R,VP Engineering,Published,Escalated to management.,YES,2026-04-03T09:05:13Z,john.wright,Meets expectations,The Great Gatsby,61,7707877585,D,IPO readiness,K,"$61,839",fp_ec973bd25d594c92,Linda,EMP-24668,2258 shares @ $70.8,Richard Thomas,W,Sales Rep,Exceeds expectations,Sophia D. Young,c0120096-5a11-4237-adf9-0213b9260e40,EMP-84009,Mrs.,Richard,Friday,1858 shares @ $396.58,INTEGER,Meets expectations,0004-05-1964
O,age >= 18,9550.02,Mary H. Taylor,Exceeds expectations,-87.6768,G,CLM-975637,432-18-7045,French,Miller,Chicago,"$3,610,870",Finance,1490 shares @ $286.36,insert,age >= 18,Penicillin,Brown,T,Smith,Walker,2023-07-18T02:14:05Z,Mr.,Anderson,"{""type"": ""object"", ""properties"": {}}",K58248020,2.19.82,susan_miller,Ms.,photo_be8f5855.jpg,Lewis,EMP-70461,Outstanding,application/xml,Thomas,05/10/1983,Finance,NOGXOUQVMP74JZSC1,Marketing,Martinez,HOLD-2025-646,01/12/1998,EMP-90069,"$166,330",Z,11/07/1954,Linda,region=2024-01,postgresql://user:****@db-prod.internal:5432/main,85 days,"$11,391",Elizabeth,800-950-4063,Sales,Wright,Mason Martin,EMP-20038,Sarah,Bohemian Rhapsody,Legal,"$28,485",Hemoglobin: 157.2 g/dL,EMP-24704,jessica.king,W,Dr.,NaCl,C,Product Manager,In Review,Escalated to management.,true,2018-03-13T12:05:27Z,emma.walker,Outstanding,Dune,64,220036965999,O,Expand APAC market,W,"$166,933",fp_b1c7d0399e13135a,Mary,EMP-42054,1065 shares @ $143.47,Linda King,Z,Software Engineer,Needs improvement,Mary Jones,1cf77799-08de-4bf9-8b95-ef6743f49182,EMP-51355,Mrs.,Logan,Tuesday,2466 shares @ $401.92,BOOLEAN,Exceeds expectations,07/05/1969
D,"status IN ('active','pending')",2732.39,Anna P. Thomas,Meets expectations,19.342,S,CLM-549998,715-28-1127,Japanese,Miller,San Francisco,"$4,375,076",Operations,2747 shares @ $46.57,update,NOT NULL,None,Brown,L,Davis,Anderson,2022-01-16 00:28:33,Mrs.,Lewis,CREATE TABLE t (id INT PRIMARY KEY),D16352918,4.3.65,harper_wright,Rev.,photo_d4f076ae.jpg,Rodriguez,EMP-98743,Exceeds expectations,text/html,Wright,01/18/1975,Support,S70059B80D6ULA49N,Support,Harris,HOLD-2025-667,0008-21-1945,EMP-74520,"$215,995",M,04-02-1957,Jessica,tenant=acme,postgresql://user:****@db-prod.internal:5432/analytics,137 days,"$48,375",David,540 643 8498,Operations,Wright,Patricia Johnson,EMP-84487,Lucas,Stairway to Heaven,HR,"$3,176",Cholesterol: 74.1 mg/dL,EMP-15985,olivia.king,J,Prof.,Homo sapiens,M,Product Manager,Archived,Flagged for review.,true,2022-12-20 13:33:26,aiden.harris,Needs improvement,Brave New World,41,104792320270,U,Acquire competitor,T,"$200,993",fp_caf8516a2a51495e,Susan,EMP-68555,2992 shares @ $65.65,Richard C. Harris,V,Sales Rep,Needs improvement,Olivia L. Martin,aeb19202-4b49-4e6c-bb35-a1046b1da91d,EMP-53730,Mr.,Jessica,Wednesday,2965 shares @ $383.68,VARCHAR,Outstanding,09-15-1975
R,amount <= 10000,6669.79,Elizabeth Martinez,Meets expectations,-4.4523,O,CLM-589155,XXX-XX-3025,Japanese,Wright,Phoenix,"$2,585,070",Legal,3434 shares @ $338.86,insert,"status IN ('active','pending')",Pollen,Walker,Q,Jackson,Anderson,2026-04-20T09:25:13Z,Hon.,Jackson,message Msg { string id = 1; },U44278194,5.18.36,jennifer_smith,Hon.,photo_dd615b51.jpg,Brown,EMP-28357,Exceeds expectations,text/csv,Robinson,01/06/1983,Support,C15439F7R0WU3TLE3,Marketing,Jackson,HOLD-2024-544,0009-05-2008,EMP-59273,"$57,452",S,08/13/2001,Ethan,dt=acme,postgresql://user:****@db-staging.internal:5432/main,115 days,"$10,591",Jennifer,(327) 684-8600,Marketing,Jones,Richard Harris,EMP-59879,Linda,Stairway to Heaven,HR,"$7,025",WBC: 235.3 K/uL,EMP-31553,harper.lee,Y,Dr.,C6H12O6,B,Data Analyst,In Review,Escalated to management.,true,2020-03-06T08:28:22Z,sophia.clark,Outstanding,Dune,36,156798489290,Q,Launch SaaS tier,Z,"$83,034",fp_d1af3c6d0c30451b,Noah,EMP-91379,4841 shares @ $176.54,Aiden Martinez,V,Sales Rep,Needs improvement,Amy Lee,878b57d2-08f6-4dab-ab46-795dbc44ec8e,EMP-46365,Ms.,Noah,Tuesday,1541 shares @ $444.56,JSON,Meets expectations,0001-17-1976
Y,"status IN ('active','pending')",4470.78,Liam Lewis,Meets expectations,-39.8141,O,CLM-214333,664-66-2799,Arabic,Young,San Francisco,"$4,670,401",Engineering,4550 shares @ $42.73,insert,"status IN ('active','pending')",None,Wright,N,Smith,Harris,2018-03-10 16:18:53,Rev.,Thompson,"{""type"": ""object"", ""properties"": {}}",H38114745,1.13.98,amy_brown,Prof.,photo_ada81d30.jpg,Lee,EMP-82895,Exceeds expectations,application/xml,Moore,02-25-2009,HR,KNUPESCYTDIS1L65S,Marketing,Taylor,HOLD-2026-206,11-20-1993,EMP-76953,"$44,947",B,01-25-1974,Olivia,region=2024-01,postgresql://user:****@db-prod.internal:5432/analytics,334 days,"$1,236",Olivia,604 852 7412,Operations,Walker,William F. Young,EMP-41321,Jessica,Yesterday,Marketing,"$2,161",WBC: 62.8 g/dL,EMP-75950,emma.white,D,Mr.,Homo sapiens,F,VP Engineering,In Review,Reviewed and approved.,YES,2018-01-28 07:22:22,david.jackson,Outstanding,Brave New World,96,022405282471,L,Expand APAC market,D,"$63,085",fp_184dc4e0417a7b8c,David,EMP-82986,3306 shares @ $123.28,Harper Wright,V,CTO,Exceeds expectations,Mason Williams,a4933bc7-1fc1-45f7-b5e7-60d0f1dfb8f8,EMP-32263,Dr.,Amy,Tuesday,1600 shares @ $458.98,VARCHAR,Outstanding,0007-12-1942
O,age >= 18,4041.03,James Martin,Exceeds expectations,88.2665,S,CLM-634553,XXX-XX-9164,Korean,Lewis,Sydney,"$624,732",Marketing,846 shares @ $179.74,update,age >= 18,Pollen,Moore,N,Miller,Lewis,2021-12-21 05:14:32,Dr.,King,CREATE TABLE t (id INT PRIMARY KEY),N92209336,1.16.56,william_miller,Dr.,photo_23a4a4cb.jpg,Moore,EMP-22702,Needs improvement,application/pdf,Lee,0010-19-1996,Marketing,E0BNBQQOQ1WGR4ITN,Finance,Garcia,HOLD-2023-480,03-21-1947,EMP-54971,"$64,989",T,09/18/1991,Olivia,dt=2024-01,postgresql://user:****@db-staging.internal:5432/main,49 days,"$32,926",Elizabeth,256.554.6219,Sales,White,James Johnson,EMP-34704,Sophia,Stairway to Heaven,Sales,"$49,914",Cholesterol: 231.8 K/uL,EMP-93311,liam.young,U,Prof.,Fe2O3,W,Product Manager,Published,Reviewed and approved.,NO,2018-10-20 01:03:31,lucas.robinson,Meets expectations,Brave New World,77,7699180880,V,IPO readiness,O,"$236,162",fp_4e86968014f10797,Ethan,EMP-21925,1564 shares @ $238.29,Mary Jones,N,CTO,Exceeds expectations,Oliver V. Taylor,76747f45-7a80-4640-99c6-ab4e7c103807,EMP-28850,Mr.,Liam,Wednesday,1017 shares @ $93.46,TIMESTAMP,Exceeds expectations,10-03-2003
H,age >= 18,5578.68,Olivia Robinson,Needs improvement,19.2814,D,CLM-133146,850-64-9776,French,Brown,San Francisco,"$3,585,452",Support,2136 shares @ $384.42,insert,NOT NULL,Shellfish,White,X,Anderson,Martinez,2025-10-23T17:32:24Z,Mrs.,Wright,CREATE TABLE t (id INT PRIMARY KEY),E17951059,3.13.56,sophia_garcia,Ms.,photo_4be9994e.jpg,Wright,EMP-11198,Outstanding,image/png,Johnson,07/08/1984,Marketing,7LS4C0EFQQT8DOT5J,Engineering,Davis,HOLD-2022-545,08/20/1980,EMP-21780,"$135,792",I,07-13-2006,Aiden,region=2024-01,postgresql://user:****@db-staging.internal:5432/analytics,235 days,"$1,296",Michael,613 559 5115,HR,Williams,Mary K. Moore,EMP-97475,Emma,Hotel California,Support,"$42,758",WBC: 265.9 mg/dL,EMP-99871,emma.martinez,K,Ms.,C6H12O6,S,Data Analyst,In Review,Resolved — no further action.,false,2023-05-19 17:29:24,logan.davis,Needs improvement,The Great Gatsby,52,70994424,Q,Acquire competitor,Q,"$101,110",fp_ddc657e509e274f8,Richard,EMP-31271,4776 shares @ $389.72,John Moore,B,CTO,Meets expectations,James Harris,ecb92b85-dd8b-41ee-bcb9-f642a2ab02e8,EMP-58619,Hon.,Elizabeth,Saturday,2557 shares @ $124.68,FLOAT,Meets expectations,09/28/1966
Y,amount <= 10000,7819.25,Lucas Johnson,Exceeds expectations,5.2811,H,CLM-485714,XXX-XX-3927,English,Brown,Chicago,"$2,196,583",HR,4779 shares @ $328.86,snapshot,"status IN ('active','pending')",Peanuts,Wright,X,Walker,Jones,2019-04-18 02:19:53,Mr.,Jackson,message Msg { string id = 1; },C63803701,4.6.57,james_williams,Mr.,photo_9ef1e1bd.jpg,Jackson,EMP-14306,Meets expectations,text/html,Rodriguez,10-22-1974,Operations,MS2STK144KQMP66K7,Sales,Lee,HOLD-2026-588,09/09/1950,EMP-97753,"$47,475",P,11-09-1986,Lucas,region=2024-01,postgresql://user:****@db-prod.internal:5432/analytics,17 days,"$32,548",Linda,+16639687577,Marketing,Williams,Lucas I. Taylor,EMP-29230,Aiden,Hotel California,Operations,"$9,820",Glucose: 90.7 g/dL,EMP-26150,robert.harris,O,Mr.,Fe2O3,O,Product Manager,In Review,Escalated to management.,true,2020-08-20 01:17:38,liam.brown,Needs improvement,1984,27,950668680248,L,Launch SaaS tier,C,"$39,686",fp_12f78b5f0999a129,Liam,EMP-58140,3319 shares @ $340.89,William P. Wright,P,CTO,Outstanding,Anna F. Clark,e66b83d1-82cb-441e-8f03-8468cb7da36a,EMP-57607,Ms.,Sophia,Friday,137 shares @ $225.8,VARCHAR,Outstanding,10/24/1950
L,age >= 18,3463.47,Oliver V. Williams,Needs improvement,-15.3713,A,CLM-612392,111-58-9129,Chinese,Brown,Seattle,"$4,799,872",Marketing,4477 shares @ $101.46,snapshot,NOT NULL,Latex,Lewis,B,Thompson,Williams,2023-09-24T14:27:24Z,Ms.,White,"{""type"": ""object"", ""properties"": {}}",E64722434,3.1.39,aiden_williams,Ms.,photo_6da41e21.jpg,Walker,EMP-61208,Exceeds expectations,application/xml,Smith,01/06/1982,Marketing,SV6I59D48IW1LTD6T,Legal,Miller,HOLD-2021-198,06/18/1946,EMP-42409,"$149,646",E,05/07/1988,William,dt=us-east,postgresql://user:****@db-staging.internal:5432/analytics,252 days,"$34,427",Ethan,800 482 2634,Sales,Clark,Anna Thomas,EMP-81811,Patricia,Hotel California,Engineering,"$21,872",WBC: 257.8 mg/dL,EMP-75053,mason.davis,X,Prof.,H2O,Q,Sales Rep,Deprecated,Escalated to management.,false,2022-11-23 14:02:08,aiden.thomas,Needs improvement,Brave New World,86,5667587062,U,IPO readiness,C,"$208,977",fp_5527814231ea1ece,Sarah,EMP-22182,438 shares @ $47.72,Harper Martin,A,Sales Rep,Exceeds expectations,Patricia Martin,dc2df496-8baa-48da-b23b-7cc125dbeb65,EMP-67346,Mrs.,Robert,Saturday,3884 shares @ $257.46,JSON,Exceeds expectations,09-01-1969
R,age >= 18,8010.96,Aiden Smith,Outstanding,97.6547,G,CLM-877633,527-14-4779,Hindi,White,Dallas,"$785,432",Engineering,1775 shares @ $329.05,insert,"status IN ('active','pending')",Shellfish,Davis,T,Williams,Anderson,2023-07-19T03:13:52Z,Rev.,Taylor,CREATE TABLE t (id INT PRIMARY KEY),B82926177,0.11.86,liam_wright,Prof.,photo_d9cb2286.jpg,Moore,EMP-50353,Meets expectations,application/xml,Martinez,0006-11-1942,Marketing,GVKDBFPULHBJVPZKZ,HR,Martinez,HOLD-2021-345,04/11/1982,EMP-33778,"$95,677",H,0007-05-1971,Sophia,tenant=acme,postgresql://user:****@db-staging.internal:5432/main,52 days,"$43,019",Ethan,(818) 474-8117,Operations,Williams,Noah Lee,EMP-62652,John,Imagine,Engineering,"$27,376",Glucose: 126.5 g/dL,EMP-29313,oliver.martin,S,Prof.,NaCl,J,VP Engineering,Published,Reviewed and approved.,true,2020-05-27 23:36:38,susan.davis,Outstanding,1984,18,23235115,H,IPO readiness,J,"$123,449",fp_cbc788189c3c8013,William,EMP-83763,2282 shares @ $146.33,Susan Wright,F,Product Manager,Exceeds expectations,Mary B. Brown,267706f0-b4f7-41bf-9b35-a6b59993b91a,EMP-23921,Ms.,Mary,Sunday,4077 shares @ $38.49,FLOAT,Outstanding,07/07/1993
A,NOT NULL,9672.66,David Anderson,Exceeds expectations,83.6965,X,CLM-233071,XXX-XX-6710,Korean,Martin,New York,"$4,082,501",Operations,3981 shares @ $154.87,upsert,amount <= 10000,Peanuts,White,C,Anderson,Miller,2025-07-23T22:06:18Z,Rev.,Rodriguez,"{""type"": ""object"", ""properties"": {}}",A26919796,2.4.5,elizabeth_taylor,Hon.,photo_dc764d0f.jpg,Martin,EMP-91189,Needs improvement,text/csv,Taylor,06-16-1952,Support,942HIHNWIURE0S01C,Legal,Brown,HOLD-2023-467,0002-24-1954,EMP-19301,"$199,712",M,0010-20-1991,Mason,region=acme,postgresql://user:****@db-prod.internal:5432/main,188 days,"$7,179",Emily,988.783.4369,Engineering,Jones,Jessica Thomas,EMP-77837,Michael,Yesterday,Engineering,"$44,397",Cholesterol: 195.7 K/uL,EMP-82471,emily.white,K,Rev.,C6H12O6,E,Product Manager,Published,Flagged for review.,false,2018-08-20T00:05:44Z,ethan.williams,Needs improvement,The Great Gatsby,43,4189937328,Z,Launch SaaS tier,D,"$92,042",fp_e61c40f424ac32a0,Emily,EMP-14157,4959 shares @ $29.02,Robert Miller,W,VP Engineering,Exceeds expectations,Emma Robinson,afdf048e-9ce2-4001-9fe6-3659157a6e83,EMP-20494,Rev.,Jennifer,Monday,114 shares @ $26.71,JSON,Needs improvement,12/24/1968
V,amount <= 10000,2371.17,Emily Williams,Exceeds expectations,74.492,J,CLM-979987,552-74-2046,English,Rodriguez,San Francisco,"$4,527,803",Marketing,398 shares @ $378.96,upsert,"status IN ('active','pending')",Penicillin,Walker,Q,Martinez,Davis,2024-04-05T10:49:29Z,Mrs.,Harris,"{""type"": ""object"", ""properties"": {}}",F99475083,4.16.20,james_king,Prof.,photo_b1d64c49.jpg,Walker,EMP-95092,Meets expectations,application/pdf,Robinson,09-24-1971,Sales,2QC3NPU1GIA9Z8EIG,HR,Jackson,HOLD-2022-198,11/08/1988,EMP-55915,"$139,757",E,01/16/1946,Jennifer,dt=acme,postgresql://user:****@db-prod.internal:5432/main,291 days,"$24,485",Liam,+13697481938,Support,Walker,Logan Clark,EMP-93590,Jennifer,Yesterday,Marketing,"$46,693",Glucose: 163.1 mg/dL,EMP-87363,sophia.davis,G,Mr.,C6H12O6,R,Sales Rep,Archived,Escalated to management.,false,2024-09-13 10:56:46,john.lewis,Meets expectations,1984,61,69693375,G,Launch SaaS tier,M,"$211,189",fp_4afb2c2ea7afd33b,William,EMP-77677,2464 shares @ $103.18,Oliver D. Johnson,Z,Designer,Meets expectations,Anna Lee,1454a5d4-cba0-424e-9283-0c6c9382fac3,EMP-20224,Ms.,Richard,Wednesday,949 shares @ $463.26,TIMESTAMP,Needs improvement,05/25/1957
S,"status IN ('active','pending')",5510.17,John Miller,Exceeds expectations,44.5193,I,CLM-504978,XXX-XX-4279,English,Martin,Phoenix,"$3,787,622",Sales,3673 shares @ $372.6,update,age >= 18,None,Moore,E,Moore,Rodriguez,2020-11-28T02:42:10Z,Rev.,Lewis,message Msg { string id = 1; },D78150102,4.16.68,mason_wright,Mrs.,photo_50ee2e40.jpg,Young,EMP-19451,Meets expectations,application/xml,Thompson,0012-12-1998,Legal,62RWI264LLX9DOV23,Finance,Miller,HOLD-2026-593,0011-08-1997,EMP-81194,"$162,232",T,07/02/1976,Logan,dt=acme,postgresql://user:****@db-prod.internal:5432/analytics,262 days,"$5,981",Susan,(737) 329-4913,Sales,Smith,John Anderson,EMP-41618,Olivia,Yesterday,HR,"$35,645",Cholesterol: 186.4 mg/dL,EMP-36088,olivia.williams,F,Mrs.,E. coli,L,Software Engineer,Draft,Needs follow-up next quarter.,false,2022-03-18 17:36:47,william.clark,Meets expectations,The Great Gatsby,70,9120470817,Y,Expand APAC market,P,"$240,228",fp_802b0a2aa87c1d48,David,EMP-48179,3086 shares @ $386.84,Anna P. Moore,U,CTO,Exceeds expectations,Sarah A. Moore,6e9eecc9-8419-4427-98da-6a9c960627da,EMP-34983,Hon.,David,Monday,2417 shares @ $439.03,TIMESTAMP,Outstanding,08/26/1983
F,"status IN ('active','pending')",7402.87,Emma Walker,Meets expectations,-24.0306,R,CLM-323301,XXX-XX-7501,Portuguese,Smith,Paris,"$2,029,472",Engineering,773 shares @ $88.33,snapshot,NOT NULL,Pollen,Wright,K,Anderson,Johnson,2018-12-03 22:52:12,Ms.,Garcia,CREATE TABLE t (id INT PRIMARY KEY),P22832408,4.19.24,jennifer_brown,Ms.,photo_18c3b6b4.jpg,Clark,EMP-35630,Exceeds expectations,text/html,White,0009-13-1945,Support,MD2C7OXA5ULIXC0MK,Sales,Davis,HOLD-2022-177,05-11-1974,EMP-23724,"$164,183",S,0010-24-1947,Amy,tenant=acme,postgresql://user:****@db-staging.internal:5432/analytics,274 days,"$21,012",Noah,946-731-7083,HR,Moore,David Harris,EMP-85596,Oliver,Bohemian Rhapsody,Operations,"$43,196",Hemoglobin: 197.7 K/uL,EMP-49427,oliver.wright,E,Rev.,Fe2O3,Q,Sales Rep,Draft,Pending verification.,true,2020-11-02 00:01:25,emma.jackson,Outstanding,The Great Gatsby,16,89280298,I,Expand APAC market,S,"$62,004",fp_572b20f1d975a980,Emma,EMP-22942,497 shares @ $457.37,Patricia Anderson,J,Product Manager,Meets expectations,Oliver Harris,eee33cb4-2955-4967-ac18-e3d682f87eed,EMP-85197,Rev.,Lucas,Friday,2310 shares @ $487.27,TIMESTAMP,Outstanding,0011-18-1972
S,NOT NULL,1873.0,Linda Williams,Meets expectations,-19.6405,V,CLM-362599,XXX-XX-5251,Arabic,Rodriguez,Chicago,"$92,859",Legal,3673 shares @ $57.3,upsert,NOT NULL,Penicillin,Johnson,K,Wright,Anderson,2023-03-18T20:43:08Z,Rev.,Harris,message Msg { string id = 1; },G80088856,1.2.41,robert_king,Hon.,photo_d98327ab.jpg,Jackson,EMP-72246,Needs improvement,text/html,Taylor,0007-01-1967,Finance,6DQL7VM89HAA86F55,Sales,Jones,HOLD-2022-842,04/10/1967,EMP-34407,"$54,479",P,05/16/1967,Harper,region=us-east,postgresql://user:****@db-staging.internal:5432/main,59 days,"$32,718",Jessica,300-778-4051,HR,Miller,Aiden Martin,EMP-16071,Harper,Stairway to Heaven,Finance,"$21,396",Glucose: 294.5 K/uL,EMP-12683,amy.jones,U,Ms.,Homo sapiens,W,Designer,Deprecated,Pending verification.,true,2019-07-10 23:34:12,aiden.lee,Meets expectations,Dune,41,20352850,Q,Launch SaaS tier,G,"$49,847",fp_6e9f3be1bd89d6e5,Logan,EMP-53947,1001 shares @ $215.72,Susan Martinez,K,Data Analyst,Outstanding,Michael Harris,43e00b99-3995-45d4-9e03-ce2db211039d,EMP-30149,Rev.,Sarah,Saturday,641 shares @ $208.84,TEXT,Needs improvement,03/26/2005
O,amount <= 10000,9169.83,Logan Davis,Outstanding,-69.8668,B,CLM-145713,XXX-XX-5633,Hindi,Walker,Paris,"$4,456,667",HR,4427 shares @ $497.27,upsert,"status IN ('active','pending')",Shellfish,Young,G,Taylor,Johnson,2018-05-13 01:42:47,Rev.,King,message Msg { string id = 1; },F68278165,1.0.54,harper_walker,Mr.,photo_8eae2796.jpg,White,EMP-15351,Outstanding,application/pdf,Robinson,10-10-1970,Marketing,G8YWAN0DQHV8BD51I,Support,Walker,HOLD-2025-548,12/04/1980,EMP-33199,"$84,060",D,0006-20-2008,James,dt=acme,postgresql://user:****@db-prod.internal:5432/main,186 days,"$48,146",Logan,444.615.3426,HR,Smith,Aiden Martinez,EMP-35740,John,Hotel California,Legal,"$28,017",Glucose: 204.1 mg/dL,EMP-36097,jennifer.smith,B,Mrs.,NaCl,P,Data Analyst,In Review,Automated processing complete.,false,2022-07-11T02:41:09Z,james.thompson,Outstanding,1984,21,7352686346,J,Acquire competitor,V,"$152,940",fp_7ce64e57dd9d2976,Elizabeth,EMP-63251,2101 shares @ $61.63,Emma Lewis,C,VP Engineering,Outstanding,Lucas Miller,e3fdba44-6042-4781-972d-7ac365cdde43,EMP-37338,Dr.,Olivia,Sunday,1132 shares @ $208.16,VARCHAR,Needs improvement,10-17-1940
B,NOT NULL,3991.2,Liam Martinez,Meets expectations,98.9588,M,CLM-127891,625-90-9413,Chinese,King,Miami,"$4,865,449",Legal,1387 shares @ $261.38,update,"status IN ('active','pending')",Shellfish,Taylor,P,Walker,Garcia,2021-04-21 10:39:00,Hon.,Anderson,"{""type"": ""object"", ""properties"": {}}",R89096527,1.12.38,sophia_taylor,Hon.,photo_d54c28d9.jpg,Clark,EMP-20104,Meets expectations,text/csv,Johnson,03/21/1963,Legal,ERO24E2AI9K8N2MTD,Operations,Harris,HOLD-2023-749,01-24-1941,EMP-74224,"$131,345",A,0009-20-2002,David,region=us-east,postgresql://user:****@db-prod.internal:5432/analytics,86 days,"$33,167",Mary,367.253.4986,Operations,Wright,Oliver Lewis,EMP-94334,Sophia,Hotel California,Marketing,"$34,975",Cholesterol: 80.8 K/uL,EMP-34098,amy.moore,T,Prof.,H2O,C,Software Engineer,Published,Automated processing complete.,false,2022-07-24T00:01:04Z,elizabeth.jones,Needs improvement,1984,58,2326743067,L,Launch SaaS tier,G,"$241,152",fp_a5107282c4ddecd2,Sarah,EMP-86946,2455 shares @ $370.02,John Thomas,H,Software Engineer,Needs improvement,Richard Anderson,d8481793-0c9f-4468-bb80-75892081aebf,EMP-60521,Ms.,Anna,Tuesday,2933 shares @ $202.83,TIMESTAMP,Meets expectations,0003-08-1958
