postalcd,corr,subject_line,ise74,decimal_float_raw,energy,lbpoq47,customer_feature_vector,ALLERGY,sciname,MODIFIED_AT,caption,decimal_float,encoding_6,dim_numeric_range,attr_word_,fact_data_lineage,association,feature_vector_6,nullable_flag_v2,feature_vector_field,raw_correlation,word_embedding_6,val_corre,employeeRecord,image_embedding,CRYPTOCURRENCY_ADDRESS,word_embedding_v2,ordinal_position_v2,SSH_KEY,latitude_data,attr_zi,field_featu,DIGITAL_CERTIFICATE,mean,ohccdp37,SONG_TRACK_TITLE,correlation_raw,f_mbto,dim_integer,gender_pii_data,fact_category,src_length,v_ixgu,attr_issn,raw_iso_currency_code,RISK_LEVEL,nullable_flag,v_su
71712,0.2436,Executive Analysis 2022,"[-1.204, 0.2254, -0.5407, 0.151, 0.5621, -0.0583, 0.3652, 0.4509]",3751.0622,80056.6,40.0606,"[0.978, 0.0165, 0.8216, 0.2118, 0.4313, 0.787, 0.1811, 0.3547]",Latex,H2O,2025-01-14T20:59:56Z,Figure 8: Timeline,7532.6087,ASCII,23-70,"[-0.3778, -0.4778, 0.5359, -0.4754, -0.8761, 0.115, 0.1225, 0.7259]",raw.orders -> analytics,-0.7521,"[0.1953, 0.671, 0.4367, 0.2799, 0.0869, 0.078, 0.6103, 0.7565]",false,"[0.2072, 0.6783, 0.8184, 0.4596, 0.7966, 0.8446, 0.6434, 0.0013]",0.3378,"[-0.4873, 0.3368, -0.3549, 0.1525, 1.9005, -0.5385, 0.0116, -0.6766]",-0.4549,EMP-45246,"[0.1283, -0.7629, 0.8191, 0.611, 0.3723, 0.1749, 0.3369, 0.5016]",0x2624754c2418d74d6038b31affbb8d41689d940c,"[-0.2337, 0.2685, -0.8369, 0.1895, -0.7188, -1.4789, 0.808, -0.3708]",670,ssh-rsa nbuF/UbI2nNTO2ZtHGLa/V/YZjgaqxYa2QYGuV3M4o+X=,41.079583,-65.887,"[0.91, 0.9391, 0.9824, 0.5726, 0.7179, 0.2168, 0.8506, 0.5872]","-----BEGIN CERTIFICATE-----
3mJc1PCYKhQuQ/yW1tM3CAvs329L6aHk7VzprDrbXgmNFGPtCOU+z/dJuM58blF6
-----END CERTIFICATE-----",95.2452,"[-0.9258, -0.8075, -0.3004, 0.088, -0.4109, 0.3076, 0.955, -0.7238]",Bohemian Rhapsody,-0.7221,181,3997,Non-binary,Clothing,402.5,15-87,9510-8674,AUD,Critical,YES,"[0.2397, -0.0846, 0.3044, 0.329, 0.2536, -0.3219, -0.7536, 0.6711]"
76333,-0.8897,Executive Summary 2023,"[-0.2006, 0.5897, 0.1649, 0.6268, -0.5985, -0.3424, 0.7222, -0.5687]",1964.0182,68680.2,29.7303,"[0.9914, 0.1173, 0.0041, 0.4768, 0.8158, 0.2651, 0.9531, 0.223]",None,Homo sapiens,2018-09-04T11:38:30Z,Figure 11: Distribution,3075.0712,ISO-8859-1,43-66,"[-0.9297, -0.7174, -0.7479, 2.6328, -1.2209, -0.9784, -0.4294, -0.9405]",staging.events -> analytics,-0.9902,"[0.2083, 0.4961, 0.5962, 0.7186, 0.0964, 0.7026, 0.8432, 0.5363]",true,"[0.0987, 0.6486, 0.645, 0.4889, 0.5107, 0.0015, 0.5531, 0.7062]",-0.3909,"[-1.249, 1.1227, 0.2141, -0.3944, 1.5729, -0.5162, 0.2722, 1.0467]",0.6975,EMP-71326,"[-0.2094, -0.6681, -0.538, 1.0654, -0.415, -0.1444, 0.3617, 0.3553]",0x97ebf3214966c97b187694c68d23e3600cfb0b8c,"[0.462, -2.3481, -1.6995, 0.0529, -1.1543, 1.0186, 0.0657, -0.0816]",697,ssh-rsa 1K0AJ6KvJVdmH4H/69QsinZ3QoNWllO9xTGp82vr7uUQ=,50.421932,89.332,"[0.6398, 0.133, 0.7582, 0.8071, 0.4144, 0.0204, 0.4689, 0.3212]","-----BEGIN CERTIFICATE-----
jwDEwTya479b0RXhec3jY/5XFxCmpbddJJlssUjxYFIALP2KoL+yu3V6M/OxDcup
-----END CERTIFICATE-----",47.9802,"[1.0987, 0.7986, -1.1838, 0.2886, 0.3951, -1.0409, 0.7312, -0.1504]",Yesterday,0.5874,294,293,Non-binary,Clothing,52.45,17-52,5572-3161,CAD,Negligible,NO,"[-0.1254, -0.2756, -0.1955, 0.5806, 0.1131, -0.2189, -0.5428, 0.3145]"
NG1 1QA,-0.6341,Annual Summary 2026,"[-0.3135, -0.2377, 0.8354, -0.4428, -0.8448, 0.6074, 0.0202, 0.3677]",14.9065,36701.8,17.9722,"[0.2798, 0.6916, 0.2752, 0.4287, 0.7527, 0.2241, 0.6001, 0.6897]",Pollen,E. coli,2018-04-08 14:53:49,Figure 14: Timeline,-461.5785,Latin-1,47-54,"[-0.1429, -0.2091, 1.6592, -1.4903, 0.0628, -0.2046, -0.2968, 1.0147]",raw.users -> analytics,0.5826,"[0.23, 0.0598, 0.3345, 0.0824, 0.6202, 0.0452, 0.6891, 0.7927]",true,"[0.2398, 0.9945, 0.3685, 0.6586, 0.3879, 0.727, 0.9583, 0.0869]",0.1716,"[-0.2233, -1.0952, 0.8686, 1.1253, 1.0598, -0.7673, 1.473, -0.4053]",-0.5084,EMP-87944,"[-0.6936, 0.3025, -0.3174, -0.0228, 0.7554, 0.4932, -0.6436, -0.6306]",0x48a99a06cda9d1c31a340cfce7b8e7d47423376b,"[-2.4267, 0.1948, 1.1578, 0.3142, 0.0839, -1.0083, -0.5261, 1.3706]",383,ssh-rsa IJXTmIeO7rR1ZAp02XCz04y6n0zbBwPkVqefTW69fwX5=,73.015533,-89.0778,"[0.7618, 0.1935, 0.4935, 0.7137, 0.9715, 0.1573, 0.6113, 0.9119]","-----BEGIN CERTIFICATE-----
aRxI4qEXlrPujR2/Lsc4EuNWJAK24MYhKuzPb/NEl/20H+eu/XT7jr7CoXgzFYE0
-----END CERTIFICATE-----",-65.3143,"[-0.7917, 0.0174, 0.0608, -0.1149, -1.1904, 0.0201, -0.4839, 0.4456]",Imagine,-0.7405,934,3253,Female,Food,714.8,40-68,2814-6108,CNY,Critical,false,"[-0.2876, -0.4095, -0.441, -0.4588, 0.5253, 0.8012, 0.7245, 1.1508]"
81667,0.9935,Technical Analysis 2022,"[-0.8609, 0.3677, 0.5835, 0.1129, 0.0995, -0.0068, -0.618, -0.7639]",5426.5697,88762.4,18.0718,"[0.4387, 0.0798, 0.526, 0.1133, 0.5551, 0.5136, 0.6223, 0.8423]",Pollen,Homo sapiens,2024-11-03 08:37:54,Figure 1: Timeline,-644.4467,ASCII,39-86,"[-1.4702, -1.7059, 0.7297, -0.7131, 1.1245, -2.1373, -0.0144, 0.8298]",staging.orders -> exports,0.8584,"[0.6477, 0.6732, 0.9905, 0.1525, 0.0214, 0.2435, 0.1897, 0.935]",false,"[0.1092, 0.1091, 0.2487, 0.1341, 0.5789, 0.6511, 0.9107, 0.0019]",-0.7306,"[-0.7963, 0.1357, -1.3254, -0.3091, 2.0061, 0.7328, 1.2467, 0.036]",-0.9573,EMP-48629,"[-0.6553, -0.1108, -1.0338, 0.0979, -0.0891, -0.1638, -0.3121, 0.4007]",0x03f35fa620958673180f0d087c4c55f2ffecf97d,"[1.4635, -0.9621, -1.4891, 0.7782, 0.5391, -1.0713, 0.1117, -0.8655]",834,ssh-rsa blaS3DmO9WNGL460giXpmF7fpCD1USS57kDy73Ao1p7n=,63.492922,-57.8806,"[0.38, 0.3484, 0.0576, 0.6195, 0.3773, 0.4474, 0.3299, 0.2496]","-----BEGIN CERTIFICATE-----
iRamHSdfQqGcyqnaJj/7i5KxkayNuPG2H0WIhZIM813804p9PZgU6ZRDdCNUqmGM
-----END CERTIFICATE-----",-25.5671,"[-0.0598, -0.3343, 0.6258, 0.5599, -0.8535, 0.3333, -0.2813, 0.3084]",Bohemian Rhapsody,0.5421,869,5834,Non-binary,Food,149.32,42-86,6196-9222,CNY,Negligible,YES,"[-0.8002, -0.6771, 0.3751, 0.9018, -0.1918, -0.2348, -0.5883, 0.4929]"
TV6 2UJ,-0.8699,Annual Review 2023,"[0.1532, -0.2603, -0.068, -0.1825, 0.2488, -0.2057, 0.1434, -0.0336]",8057.694,49430.1,46.7244,"[0.4425, 0.7954, 0.0072, 0.7699, 0.5799, 0.2457, 0.0707, 0.8147]",Shellfish,E. coli,2019-06-09T03:23:41Z,Figure 7: Overview,8370.2526,ASCII,1-65,"[0.6336, 0.6139, -0.6306, -1.5631, -0.3967, -0.5387, -0.7293, 2.0477]",curated.orders -> exports,0.1454,"[0.8427, 0.902, 0.4085, 0.2836, 0.0324, 0.2726, 0.198, 0.1229]",NO,"[0.1567, 0.4651, 0.6121, 0.0095, 0.5385, 0.8336, 0.3463, 0.8655]",0.6403,"[1.0239, -0.2606, -0.6504, -2.6186, 0.0475, 1.1305, 0.6003, 0.4574]",-0.5702,EMP-98147,"[-0.0479, -0.3284, 0.5457, -0.816, 0.688, 0.1658, 0.582, 0.0462]",0xb21d3acb95e9c42b73431961d04fa4988f3ab9e5,"[1.5281, -0.8296, 1.7676, 1.3454, 0.2797, 1.7551, 0.3637, 0.9446]",744,ssh-rsa 1LNE4GeAtMRO25SuXu8PeiYa0x1VubiQP4AevZE7gf+Q=,-48.425676,-23.7741,"[0.7305, 0.5914, 0.2447, 0.6288, 0.9166, 0.8333, 0.1738, 0.5985]","-----BEGIN CERTIFICATE-----
vnstWzneCRSJT4WqOzM1ATcNnrP96EW+DFwEqHK0O1bVpJ41OwdVJhaE6ayXJ0BB
-----END CERTIFICATE-----",23.1209,"[-0.6603, 0.4234, 1.0864, -0.8113, 0.195, -0.1441, -0.2897, 0.013]",Bohemian Rhapsody,-0.9627,74,7405,Male,Hardware,772.05,29-74,8034-3435,EUR,Negligible,false,"[1.0484, -0.1166, -0.488, 0.252, -0.108, -0.258, -0.402, 0.6284]"
50225,-0.9409,Annual Analysis 2022,"[0.4416, -0.8429, -1.1864, -0.3903, 0.3805, 1.1705, 0.9717, 0.4515]",5338.1307,67752.6,1.6169,"[0.724, 0.8268, 0.4512, 0.8941, 0.0439, 0.7489, 0.2784, 0.0131]",Latex,NaCl,2018-12-16T06:33:09Z,Figure 18: Timeline,9372.9369,UTF-16,46-98,"[-2.8728, -0.0098, 0.2569, -1.0332, 1.3567, 0.3972, -0.9853, -1.6842]",staging.events -> analytics,-0.2552,"[0.9755, 0.5636, 0.6864, 0.2208, 0.8144, 0.7787, 0.0413, 0.3821]",false,"[0.4975, 0.1241, 0.8369, 0.0841, 0.442, 0.7481, 0.9689, 0.8402]",0.2012,"[0.1435, 0.0602, 0.2448, 0.523, -0.1207, -0.3245, -2.1713, 0.849]",-0.7702,EMP-12626,"[0.3134, -0.2289, 0.4996, 0.3934, 0.6137, 0.848, -0.0899, 0.4288]",0xea159d9513d445f887f081631c9e4f82b2d31587,"[0.546, -0.9184, 0.657, 1.0208, 0.0733, -0.1497, 0.9622, 0.0176]",41,ssh-rsa V6jrsCunLqWby+Q+qYoyNeoqB+HgcN+g/nA+NW3dmP8F=,-38.809871,53.2881,"[0.08, 0.8661, 0.6346, 0.1123, 0.4965, 0.1303, 0.633, 0.7473]","-----BEGIN CERTIFICATE-----
XglOdZgQuoT/33trvclIEC4J3B3xsIZ8iYDe/4iGCx+1SPSP0LappWg9IUIOMeQx
-----END CERTIFICATE-----",-41.1966,"[-1.6016, 0.0871, -0.0891, -0.2562, -0.5947, -0.1416, -0.0308, 0.2244]",Yesterday,-0.234,758,5051,Male,Clothing,766.47,6-73,8704-9681,AUD,Medium,YES,"[-0.2341, -0.1572, 0.2088, -0.123, 0.1737, 0.3671, -0.1169, 0.2236]"
51727,0.8053,Executive Report 2020,"[0.0212, -0.2628, 0.4562, -0.5982, 0.6254, -0.0046, 0.1196, -0.3496]",3505.9571,21845.5,0.5015,"[0.0171, 0.3523, 0.3441, 0.6083, 0.742, 0.7651, 0.2916, 0.2764]",Latex,C6H12O6,2024-07-07 07:49:07,Figure 15: Overview,6095.7338,ISO-8859-1,7-62,"[-0.4176, 0.217, 0.0046, -0.4423, 0.8207, -0.9649, 0.4987, 1.247]",curated.users -> reports,0.4622,"[0.389, 0.7928, 0.0473, 0.7152, 0.447, 0.1536, 0.5976, 0.1542]",true,"[0.6273, 0.9411, 0.909, 0.3636, 0.7015, 0.5722, 0.5617, 0.5577]",-0.5145,"[0.7257, -1.9141, -2.2223, -1.0432, -0.9056, -0.0338, 1.4769, -0.4108]",0.3383,EMP-56949,"[0.3776, 0.0235, 0.3272, -0.1001, 0.0833, 0.3682, -0.4759, -0.5652]",0xc6b5239feffe7507b59ec85e41dfd59174f7bf26,"[-0.0112, 0.9532, 1.0775, 0.628, -1.5921, 0.3385, -0.7415, -1.229]",100,ssh-rsa 8wm0vslFE2TcMGvJ59mTP9HYq8VO4wFGwHIFeiosPrjk=,-38.545209,36.9129,"[0.784, 0.3131, 0.555, 0.764, 0.8511, 0.5475, 0.9808, 0.9443]","-----BEGIN CERTIFICATE-----
wqJ9q2noOT1Z3PysU64xG2bHb2LrGheQQqqURI9gxwaWKsRmGCYgWssrx8RFn1Zv
-----END CERTIFICATE-----",7.7442,"[-0.3417, 0.231, -0.3819, 0.5787, -0.5253, -0.0872, -0.3602, 0.3218]",Stairway to Heaven,0.3147,947,4064,Non-binary,Electronics,276.2,26-60,8672-7338,EUR,Negligible,false,"[0.2761, -0.0947, -0.1297, -0.1345, 0.3771, -0.638, -0.2204, -0.212]"
90566,-0.3865,Quarterly Report 2022,"[-0.2205, 0.2406, -0.7548, -0.1796, 0.2539, 0.3961, 0.3092, -0.1254]",-732.3092,8388.8,44.2152,"[0.6211, 0.0678, 0.3506, 0.9914, 0.7043, 0.4603, 0.7381, 0.2777]",None,E. coli,2024-08-27 04:19:52,Figure 10: Overview,5794.8989,UTF-16,18-62,"[-0.3428, -1.6327, -1.161, 0.0835, -0.4325, 0.1855, -0.4136, -0.7182]",staging.users -> analytics,0.9745,"[0.5817, 0.1806, 0.1327, 0.7433, 0.8787, 0.9096, 0.4827, 0.8325]",false,"[0.8119, 0.9826, 0.5237, 0.943, 0.0861, 0.9557, 0.0093, 0.8981]",-0.1818,"[1.0184, 0.267, 1.5201, 0.2357, -0.3078, -0.447, 0.641, 0.0678]",-0.1234,EMP-57804,"[-0.3706, 0.7656, -0.0422, -0.2935, -0.4743, -0.5529, -0.1434, -0.609]",0xc6c2bf05c4061605552ac994918b1d508f9b3428,"[-0.6074, -1.7692, 0.689, -1.0964, -0.746, 0.6247, 0.4089, -0.2335]",818,ssh-rsa 9PDkqUAIfqrYg8v4O4mQAnT6SKCydrWEHKw1lQPqEpAn=,16.289401,-26.7747,"[0.7197, 0.8083, 0.1863, 0.3412, 0.7207, 0.3388, 0.5413, 0.5569]","-----BEGIN CERTIFICATE-----
XBrz9jlcmrv/X1gRITYa2SCXplCaZIeIBKCizOImcanChy8846ugc5cVLrmBxwk4
-----END CERTIFICATE-----",14.7716,"[-0.3297, 0.6208, -0.2262, 0.6154, 0.6047, 0.537, 0.252, 0.4831]",Stairway to Heaven,-0.8693,627,4941,Non-binary,Electronics,761.25,37-100,2044-9383,AUD,Low,YES,"[0.1441, 0.3069, -0.5356, -0.3462, -0.0024, 0.8104, 0.2354, 0.3176]"
11847,0.945,Annual Review 2026,"[0.3332, -0.9767, 0.0132, 0.3769, -0.6087, -0.9053, -0.0389, -0.4826]",2705.0608,10381.0,39.7272,"[0.1245, 0.6068, 0.8316, 0.6481, 0.0421, 0.8145, 0.5779, 0.8086]",Latex,E. coli,2024-12-01 13:59:17,Figure 19: Timeline,-72.2037,Latin-1,50-61,"[-1.6591, -0.5286, 0.1857, 0.467, 0.1746, -0.2136, 0.4911, 1.2341]",curated.users -> analytics,0.8672,"[0.1222, 0.978, 0.1234, 0.1678, 0.7624, 0.4629, 0.2182, 0.6772]",true,"[0.9192, 0.0843, 0.1888, 0.0723, 0.7486, 0.8475, 0.5105, 0.6592]",-0.1099,"[-0.8778, -0.9907, 1.1224, -0.8958, -0.7846, -0.3273, 0.2725, 0.1398]",-0.6468,EMP-49095,"[0.2671, 0.4943, 0.7245, -0.2834, -0.5154, 0.5582, -0.377, -0.4479]",0x733352d5970772be04fc85cc3ecfae054f6cd7ab,"[0.5969, 0.9861, 0.218, -0.2744, 0.2899, -1.1162, 0.4856, -0.4231]",379,ssh-rsa BT+8EtUPbsdkW1GWednnl5mENjI9oNBcgHg9U+FtNc9L=,-21.993173,-3.8261,"[0.201, 0.0769, 0.2663, 0.4093, 0.0923, 0.8253, 0.5625, 0.5869]","-----BEGIN CERTIFICATE-----
kOVDy5Kuam01K/jqiWtwIid2EOnsIWp+Ge/d/sp4YYM45wCto08w8A3sE74t8Rt8
-----END CERTIFICATE-----",94.3816,"[-0.7229, 0.6276, -0.3225, 0.6879, 0.2913, -0.1713, 0.1221, 0.2436]",Bohemian Rhapsody,-0.2085,876,508,Non-binary,Electronics,395.57,3-79,7583-9006,CAD,Medium,true,"[0.9129, -0.4599, -0.4872, -0.2375, 0.2266, -0.4724, -0.6706, 0.0691]"
SV9 5GG,0.2461,Executive Report 2026,"[0.3341, -0.3844, 0.2025, 0.2485, 0.1974, -0.7583, -0.2272, 0.3929]",9891.1942,9246.8,26.2433,"[0.5794, 0.2076, 0.8923, 0.5462, 0.5229, 0.376, 0.8717, 0.8957]",Latex,NaCl,2026-02-23 19:12:28,Figure 2: Distribution,5921.6218,Latin-1,6-55,"[1.3736, 0.5244, -0.2897, -1.1201, 1.1938, 0.4033, -1.4403, -0.1879]",raw.users -> reports,0.2132,"[0.4104, 0.5266, 0.9739, 0.8468, 0.9019, 0.7828, 0.8757, 0.3701]",YES,"[0.7671, 0.6747, 0.2969, 0.2574, 0.5858, 0.8465, 0.5486, 0.8816]",-0.682,"[-0.9095, 1.1393, -0.1021, 1.7375, 0.4509, -0.8601, -1.2902, 0.1661]",-0.2964,EMP-66645,"[0.2725, 0.9817, 0.171, 0.0743, 0.8119, -0.0127, 0.6465, 0.3393]",0x28e880d8ede5d67425a65412c181dda9749eb5ae,"[-2.1152, 0.1867, 1.0398, 0.2228, -0.9377, -1.5179, 0.0264, 0.8737]",537,ssh-rsa TlInpKy+I1T2uVkU7PAXgo+jISp9TUfyP6VTSpHz1XV/=,8.506168,94.3856,"[0.3087, 0.4069, 0.8027, 0.4832, 0.5574, 0.2519, 0.4636, 0.8482]","-----BEGIN CERTIFICATE-----
2bTj5GRrSvU5OGlXYVBzdjZtsiajKKnjLfcyv84giRPP1di8+7UlF10KVkpaNBnk
-----END CERTIFICATE-----",-72.5895,"[0.8093, 0.6122, 0.4334, -0.0435, 0.3987, 0.8307, 0.6685, -0.2822]",Stairway to Heaven,-0.0971,720,9321,Other,Clothing,827.49,49-95,2036-6313,CHF,Negligible,YES,"[-0.3298, -0.7999, 0.8895, 0.5967, -0.1286, -0.5257, -0.4727, 0.4004]"
77523,-0.4395,Quarterly Summary 2020,"[-0.8779, -0.3057, 0.0543, -0.5643, -0.7552, -0.3023, -0.1346, -0.2411]",2970.9605,57381.1,16.5408,"[0.3163, 0.7663, 0.1986, 0.1339, 0.0175, 0.7495, 0.1335, 0.6427]",Penicillin,Homo sapiens,2023-05-14T13:28:52Z,Figure 4: Overview,5730.0961,UTF-8,17-87,"[0.7778, 0.3495, -0.8127, 0.7449, 0.4478, 0.4323, 3.0479, -0.1573]",curated.events -> analytics,-0.5302,"[0.953, 0.7533, 0.6533, 0.3022, 0.2609, 0.3921, 0.5235, 0.5795]",false,"[0.7284, 0.4584, 0.9129, 0.0448, 0.2496, 0.4597, 0.2234, 0.6178]",0.4661,"[0.461, -2.3042, -2.2456, -0.2141, -0.6834, -0.614, -1.2416, 0.2689]",0.0016,EMP-39012,"[-0.0429, -0.7057, -1.0427, 0.7386, -0.7664, 0.6272, 0.1299, 0.5543]",0xac4a648931380a62e35888ffc49d6225a17e7487,"[-0.8807, -2.401, -1.4487, -0.794, 1.0453, -1.5928, -1.4201, 0.6305]",418,ssh-rsa EtFWG0r4fISErbflBZWqIRNJ7FtXw8C8YsLxtcb7ceTw=,18.550222,97.1836,"[0.5751, 0.7889, 0.9328, 0.3814, 0.9255, 0.3839, 0.1785, 0.3851]","-----BEGIN CERTIFICATE-----
djv/iKGyusOWMTpjaKkzgh509a7hb/hWXcPv5CzI697KRVPKA0+sJbq3W+aP8NQZ
-----END CERTIFICATE-----",-6.7757,"[0.2211, -0.3536, -0.628, 0.3445, 0.2248, -0.112, 0.2922, -0.2117]",Yesterday,0.3067,982,2859,Non-binary,Hardware,675.93,12-62,6801-3376,BRL,Medium,true,"[0.1594, -0.0111, -0.6802, -0.1903, 0.1173, 1.0466, -0.6982, -0.3168]"
OB1 1HP,0.3151,Executive Summary 2024,"[0.4458, -0.3615, -0.3712, -0.3406, -0.288, 0.3765, 0.5437, 0.14]",6357.4108,74815.9,38.7617,"[0.0258, 0.9036, 0.4345, 0.1741, 0.3792, 0.2124, 0.4051, 0.1017]",Latex,H2O,2024-01-20T23:36:11Z,Figure 9: Overview,2715.9081,UTF-16,1-98,"[0.9023, 1.7742, -0.7534, 0.0811, 2.2787, -0.5782, 0.1963, -0.7633]",curated.users -> exports,-0.3665,"[0.8925, 0.1629, 0.8627, 0.4313, 0.6797, 0.9717, 0.4827, 0.6022]",false,"[0.6963, 0.6132, 0.7187, 0.7471, 0.0228, 0.4971, 0.3738, 0.9557]",-0.0611,"[1.5206, -0.1009, 1.5123, -1.5901, 0.084, 0.2467, 1.4644, -0.7501]",-0.793,EMP-96734,"[-0.6358, -0.0244, -0.1247, -0.1173, 0.3308, -0.3698, 0.4158, -0.5065]",0xc43dbdb0dc4fb87adfae4b630b0dc2cd33394c36,"[1.192, 0.442, -0.9437, -0.1623, 0.9035, -1.3568, 0.537, 0.7441]",101,ssh-rsa dNziknGo94v+uObwgk4i8iFM2UqNitiZ144MprdxPGfT=,77.89319,64.1044,"[0.9883, 0.8066, 0.8666, 0.425, 0.8942, 0.9598, 0.9214, 0.954]","-----BEGIN CERTIFICATE-----
k3szTiKMVJ2iOWEmMRdP45dfSdxGOkbfSM8VZlvdJdpi1J3Qjsq6cu7mVPx5bMKS
-----END CERTIFICATE-----",-56.7938,"[-0.5123, -0.1438, 0.0497, -0.3047, 0.0548, -0.7124, 0.3128, -0.3895]",Bohemian Rhapsody,0.3918,918,9443,Other,Food,462.36,30-90,2804-3650,CHF,Critical,YES,"[0.7295, 0.082, 0.1493, 0.6465, -0.7104, -0.679, 0.2484, 0.0443]"
KZ7 3RB,-0.081,Quarterly Summary 2026,"[-0.567, -0.2359, -0.1364, 0.2658, 0.76, 0.4227, 0.5291, -0.4508]",9179.3122,69124.6,48.6139,"[0.9775, 0.0573, 0.0919, 0.5426, 0.4903, 0.7129, 0.931, 0.019]",None,Homo sapiens,2024-05-26 03:50:09,Figure 2: Timeline,-904.8877,Latin-1,41-68,"[0.7172, -0.9886, -1.2393, 0.5604, 0.1301, -0.3531, -0.0998, -0.1721]",staging.orders -> analytics,0.0282,"[0.8093, 0.8365, 0.7809, 0.3299, 0.6345, 0.505, 0.4459, 0.0209]",NO,"[0.8346, 0.0821, 0.9061, 0.4674, 0.3165, 0.4901, 0.6902, 0.3151]",-0.1792,"[0.7556, -3.4228, 0.0573, -0.8215, 0.607, -0.145, 0.5187, -0.9627]",0.4723,EMP-98544,"[0.768, -0.3082, -0.16, 0.8549, -0.6254, -0.0302, 0.4319, -0.5778]",0xc36e30a5213dc6e3144df2d55f064fbc667ed19e,"[-0.5992, 1.2651, -1.0535, 0.4417, 0.5246, 0.7367, 0.4151, -1.1658]",162,ssh-rsa CCxkl4UBkob/Of9VUgrfnVR3LThGq9Y47ZHJDgceeV8B=,63.826988,21.6714,"[0.5073, 0.3265, 0.5304, 0.406, 0.322, 0.0476, 0.3967, 0.5968]","-----BEGIN CERTIFICATE-----
/CHfp3QlmrBO1dnGFWza7+QFNc1iHtLw295MxHKGkz6HmoKM4W2T/05kGcUuURLa
-----END CERTIFICATE-----",17.1979,"[-0.1626, 0.2763, 0.0029, -0.5573, 0.174, -0.189, -0.4844, 0.5116]",Bohemian Rhapsody,-0.2228,556,4291,Other,Hardware,638.22,44-98,6703-2921,JPY,Negligible,false,"[0.4036, 0.2476, -0.1999, -0.4556, -0.3768, 0.3659, -0.9068, -0.3736]"
56920,-0.7842,Technical Analysis 2021,"[0.2018, -1.3935, -0.2422, 0.2885, -0.335, -0.1227, 0.7715, -0.1474]",8545.9436,72139.8,16.392,"[0.6502, 0.5458, 0.0045, 0.4933, 0.2959, 0.4456, 0.7517, 0.9495]",None,Homo sapiens,2026-05-18T06:14:17Z,Figure 15: Timeline,9257.9232,ISO-8859-1,40-71,"[-0.1629, -0.7062, 0.1576, -0.8177, 0.061, -1.6946, -0.2464, -0.0045]",curated.events -> exports,-0.1047,"[0.8513, 0.4592, 0.1929, 0.7109, 0.9188, 0.3001, 0.3633, 0.5838]",YES,"[0.1322, 0.3496, 0.2728, 0.4719, 0.4274, 0.8216, 0.7936, 0.8814]",0.5541,"[-1.0321, -2.0627, -0.8817, 0.4913, -2.1652, 0.5635, 0.4419, -0.3718]",0.1512,EMP-20250,"[0.3409, -0.8816, 0.4143, 0.6127, -0.2217, 0.4315, 0.2607, 1.206]",0x812fb9692d420e9fa9315ba4048d994c18ab917a,"[0.3957, 1.4481, -1.2366, -0.8105, 2.1061, 0.1371, 0.7989, -0.9991]",291,ssh-rsa 7GFZniVaVrEg4z3AXoffE5N0z8thSLnIkD69fS+327kW=,-81.651978,-12.7814,"[0.6214, 0.4952, 0.6093, 0.408, 0.0137, 0.5133, 0.4344, 0.2589]","-----BEGIN CERTIFICATE-----
tOledJMjTl7oScqzVmFS+d7DS9e0/UXCTV6YWcae/4qvBvhgXlNx+vLGv1GFQ12a
-----END CERTIFICATE-----",92.2823,"[0.6632, -0.346, -0.2614, 0.1028, -0.4202, -0.4397, -0.328, -0.7669]",Hotel California,-0.4872,332,4565,Male,Electronics,924.46,45-90,8132-9124,CAD,High,false,"[-0.2809, 0.3964, 0.508, 0.1058, -0.5008, -0.2855, -0.3975, -0.3409]"
