raw_percentile,pressure_22,category,power,fact_duns_number,kelvin,gtin,fact_frequency,cnqtcx35,issn_v2,customer_password_hash,attr_655,ANGLE,dim_temperature,humidity,frequency_14,gbps,modifiedAt,f_spe,measlon,fact_humidity,pressure_val,v_ynmq,ormwr76,rate,ratio,data_type,title_prefix_30,humidity_14,dim_73,user_percentage,v_ejxl,c_uv,frequency_data,measmktval,age,d_21,humidity_v2,preference,duns_nbr,field_174,customer_bandwidth_data_rate,src_legal_hold_document,scoreIndex,src_unit_of_measure,fact_longitude,sound_level_field,flowRate,raw_duration,field_dw,pressure,dim_ew,retention_policy,x_mq,risk_level,cpu_usage,pypsrp88,mime_type,dev_type,measlat,speed_velocity_field,fact_weight_mass,flightnum,c_ele,v_zntu,tenantid,iyjcd53,cpuUsage,dim_qd,akr17,population,d_sk,attr_844,translation_14,cusip_number_info,soundLevel,d_creat,attr_508,luminosity_brightness_raw,iso_country_cd,fact_length,speed_velocity,POWER,label_tag,age_2,altitude,percentile_14,price_cost_data,umb99,c_918,luminosity_brightness,humidity_2,gakd76,weight_mass_94,mktintel,timeZone,field_165,postal_code,frequency,filterPredicate,measph,product,AGE
84.53,1705.0,Clothing,13737.8,491416560,-25.6,0085075680681,475.22,6716,8382-2591,$2b$12$4RoUWe2aIbnpmafsSdHX9YwVVDI26q7xo8dBGE8oCuHC2JTGiZt8g,208.4,88.32,-13.5,30.7,7931.65,9076,2020-12-09 19:25:33,245.6,-120.817773,62.4,1645.9,9114379,ProSeries,13.12%,4.3202,CSV,Hon.,10.5,-0.651396,31.89%,7.19,65.2,2450.85,"$929,362,522",105,53374.3,46.1,batch_size=78,069432771,amount,819,HOLD-2024-917,3.28,gal,143.704929,104.6,420.41,5822,74658,622.1,true,indefinite,9.1,Medium,0.1,433.85,image/png,IoT,-22.532413,298.0,568.05,EQ2079,7752,19017,tenant-039,33.86,57.4,sarah.young,HOLD-2021-397,8927210,2018-07-14T07:22:36Z,87.22%,Namaste,7J1HVQ8H3,4.3,patricia.miller,EMP49262,20233.9,IN,926.57,144.4,2747.4,experimental,92,7870,96.96,4420.24,"$301,078,158",4.3,54360.7,73.9,97.1158,327.15,Competitor Quantum Dynamics launched FlexPay Platform,EST,60464,WV1 3QD,300.1,date IN 'prod',3.78,FlexPay Platform,40
45.85,1649.5,Hardware,23078.2,451943482,16.6,2515496180371,6955.93,6793,1659-3671,$2b$12$EhXlcmtsW434QhkHkyatZZPMhEx0rtgbRc47cwQZibyirQ9i4YElC,69.8,349.61,12.2,14.2,3352.63,4108,2022-10-21 23:08:05,280.3,105.165383,54.7,1478.0,4661447,ValueMax,0.82%,4.4837,Parquet,Mrs.,84.1,8.717002,25.4%,8.46,414.9,2169.55,"$157,909,972",83,17859.9,43.8,pool_size=426,922153268,status,9615,HOLD-2023-628,7.4,m,81.668056,13.0,254.51,2330,43094,820.2,true,indefinite,36.6,Medium,51.0,340.66,application/pdf,Mobile,39.548118,62.7,862.68,GO5660,3445,45862,tenant-026,83.01,81.7,robert.moore,HOLD-2023-293,7801901,2023-07-20 06:16:44,96.78%,Hola,GNSLL8TL4,80.6,susan.miller,EMP42927,38788.0,DE,170.11,129.8,33098.6,approved,39,3883,76.51,2195.73,"$528,580,266",94.12,67942.8,26.5,98.574,25.64,Competitor Alpine Systems launched FlexPay Platform,America/New_York,84985,39676,5372.83,date > 'active',4.13,AuditTrail Plus,66
82.05,1988.9,Food,46746.5,691088680,37.7,9632525734267,3850.42,1314,7422-5047,$2b$12$yyHEr13xIQmhKCDLDzrunmaHwBPoP89HBNeGSWVFglfAWknAjBER0,327.8,119.45,19.8,46.5,4761.82,2288,2024-06-06 13:29:39,190.5,-61.094095,89.2,399.3,1560627,SmartChoice,4.33%,4.9487,JSON,Dr.,9.4,164.368798,57.47%,2.85,401.2,9148.63,"$522,547,477",56,59035.4,24.1,pool_size=360,955891569,id,7844,HOLD-2021-792,5.97,lb,-176.103199,38.5,521.3,1456,46145,1215.9,false,1 year,26.2,Medium,38.0,989.95,application/xml,Desktop,86.210256,200.0,285.57,RI8916,7638,10293,tenant-028,68.65,38.8,ethan.rodriguez,HOLD-2023-959,5167744,2024-03-15 06:31:59,45.34%,Konnichiwa,ZJE7PEL2A,56.0,ethan.miller,EMP63504,44851.8,US,258.27,44.4,30065.5,approved,20,2594,9.83,8073.75,"$827,934,944",68.86,67110.8,42.7,98.7771,893.65,Competitor Beacon Analytics launched Widget Pro,Europe/London,81192,XY7 2FJ,1482.97,type != 'active',12.29,DataSync 3000,102
97.29,1157.2,Clothing,41231.3,948783903,1.3,8805163266767,9247.04,846,6023-5286,$2b$12$PMy28yKTXdSFf8VmbTsPXFujyhFL2MsPfVI6asg3wkdKvlh3taFCV,297.5,267.57,22.0,0.3,4751.21,3834,2022-02-01T16:31:07Z,156.2,149.859808,45.6,113.7,8629158,ValueMax,55.07%,9.9414,YAML,Prof.,99.0,-126.73234,55.99%,1.0,336.9,9708.79,"$711,960,897",16,34690.9,19.1,pool_size=795,107308778,email,4165,HOLD-2021-592,3.52,gal,-5.159755,116.0,729.37,20184,93511,1845.9,false,indefinite,53.4,Medium,1.2,441.81,application/xml,Wearable,34.466845,16.1,656.48,WP1064,5782,69701,tenant-027,50.59,64.4,logan.lee,HOLD-2022-251,6168218,2018-02-23 14:02:39,78.97%,Hola,QE1S91IZR,74.2,susan.moore,EMP64204,49324.0,AU,19.54,286.3,28233.8,deprecated,93,8366,37.79,9974.65,"$65,002,086",9.51,58154.9,80.3,97.8631,622.09,Competitor TechCo Industries launched DataSync 3000,PST,32912,WM5 9PZ,4004.43,type != 'prod',11.33,Sentinel Monitor,45
3.07,774.8,Software,13498.1,708472320,31.2,8402007491309,7712.97,8375,3072-1501,$2b$12$MSJOJPyDTVwZVyS2jpdb3IqTf8bapGv49bOMazgmT9XPQK3bGFNac,383.5,304.53,3.9,69.2,1624.58,9049,2019-08-07T10:18:04Z,117.4,79.084799,47.4,673.2,1521192,SmartChoice,39.42%,4.6783,Avro,Dr.,27.8,-164.342494,44.23%,5.67,159.7,4899.57,"$647,465,414",105,79902.9,78.7,max_retries=46,360706724,name,4484,HOLD-2023-255,8.19,gal,116.03377,34.1,984.43,39959,88616,470.1,false,1 year,110.3,High,20.2,490.6,text/csv,Smart TV,-60.554158,197.7,413.39,FS4073,2492,3821,tenant-048,69.42,58.0,john.lewis,HOLD-2022-199,6159282,2022-03-17T06:07:17Z,82.06%,Bonjour,QV6YVOQDZ,78.5,emily.wright,EMP18621,56613.3,US,358.53,71.2,42937.5,high-priority,91,6722,91.06,4574.95,"$615,242,778",83.66,39187.0,20.5,98.1904,920.79,Competitor Global Solutions launched Sentinel Monitor,Europe/London,44917,AT1 9IW,91.9,date < 'prod',13.63,VaultKeeper,54
37.41,1441.4,Software,44176.6,360635501,-12.9,9389259350933,114.04,2008,5612-1623,$2b$12$33cw4imQDEtvnZxdvdIaoVlzfYtDTKdqykf2FlEl2jTYlgBEJLYzP,427.6,38.86,-8.8,21.8,6350.9,4026,2020-03-01 17:16:35,143.4,86.880669,6.4,1940.6,6736888,ValueMax,69.86%,6.916,Avro,Mrs.,14.7,-130.971245,2.01%,11.79,62.3,1344.83,"$274,165,616",107,69005.7,22.7,batch_size=20,990326353,type,316,HOLD-2024-198,1.38,gal,123.934887,49.4,466.97,56346,64781,1016.1,false,7 days,35.3,Low,2.4,70.41,text/html,Mobile,-24.684125,293.4,240.16,GD6342,5362,2082,tenant-010,5.14,81.4,lucas.jackson,HOLD-2023-663,6299527,2020-12-18T21:56:44Z,35.93%,Hola,4TDOZ3KO0,28.8,patricia.robinson,EMP25141,80482.1,AU,372.75,79.0,49766.7,high-priority,16,6766,15.38,8394.54,"$573,639,537",47.76,76121.3,38.1,95.5945,48.3,Competitor Alpine Systems launched NanoCore SDK,Europe/London,68950,UG4 3TT,8903.81,type > 'prod',6.11,FlexPay Platform,25
60.78,1129.0,Hardware,33648.7,154828631,-39.9,8386707748669,6338.77,1389,5065-1136,$2b$12$8Y3QcLRUfReQAMH5Sqa79Z2GsVt9SMpjtn1cgEwJXyWHma5ujrZq0,103.3,315.64,17.4,34.1,889.63,1858,2020-02-27 19:43:26,203.2,-28.730264,71.5,869.4,9215958,EcoLine,34.96%,6.4551,Parquet,Prof.,7.2,-69.01082,96.94%,12.88,423.6,5685.44,"$853,304,167",6,54060.2,69.2,timeout_ms=357,745614587,id,9311,HOLD-2025-747,7.96,m,154.359783,16.0,624.02,28363,11747,1341.0,false,indefinite,5.9,Negligible,96.2,864.24,application/xml,Desktop,66.143803,122.2,69.52,FA6217,8179,82504,tenant-014,29.93,68.4,emma.robinson,HOLD-2025-854,7189623,2025-07-25 13:13:22,83.67%,Konnichiwa,945AJR420,117.3,aiden.robinson,EMP53548,48704.1,JP,923.79,157.3,16514.4,experimental,19,7755,46.23,1131.14,"$809,479,527",25.93,77301.7,57.8,98.7214,816.73,Competitor Pioneer Software launched AuditTrail Plus,America/New_York,89574,IM3 8LD,2389.53,date < '2024',11.17,StreamLine ERP,29
23.32,131.1,Software,3481.5,906325863,21.7,8255749052899,9966.56,2959,2241-5172,$2b$12$Nzni5dFkLjSGePV6aiDPfYX4vyXG0shjCjJpfjGwZNV0SFgpPT1dK,400.8,34.84,11.0,37.3,6633.68,9349,2020-07-09 14:09:08,132.4,-35.439958,26.9,249.0,6668181,EcoLine,49.15%,0.8822,XML,Ms.,94.2,154.240855,42.51%,2.75,60.2,9506.47,"$116,114,933",13,20023.4,54.2,max_retries=746,460044306,email,524,HOLD-2021-433,9.35,gal,73.694798,23.0,739.96,49988,85763,1660.1,false,1 year,96.0,Medium,78.9,677.4,application/xml,Desktop,-9.744498,94.3,29.14,LJ6887,6281,10610,tenant-007,78.91,53.1,emily.miller,HOLD-2022-379,4485081,2023-12-07T20:54:16Z,88.41%,Namaste,3HWR7WL4Y,102.5,oliver.thompson,EMP68711,74119.1,BR,919.66,275.6,31366.9,high-priority,10,5364,13.17,7141.03,"$889,316,723",90.83,85482.8,45.1,95.9787,151.93,Competitor Meridian Health launched VaultKeeper,Europe/London,23914,42911,4594.57,date = 'prod',3.48,Widget Pro,61
23.85,1913.4,Food,19109.2,642765562,43.5,4133536250056,6696.08,8556,5878-2218,$2b$12$fKFrvihPMOWgkf5TbuVvKHKsjxzEqUJ9eQ9VPxptE58hdKP7OzBJR,0.4,57.46,21.3,56.8,1631.21,7920,2022-12-12 22:25:50,120.3,168.665382,79.5,228.7,3101055,EcoLine,0.18%,2.9561,Avro,Mrs.,97.1,-165.292127,3.1%,6.98,453.0,2868.51,"$983,904,089",9,98792.6,35.2,pool_size=685,777150689,amount,8517,HOLD-2023-175,4.93,°C,66.255048,3.5,737.47,57152,81551,1045.0,false,7 years,63.0,Negligible,92.6,72.57,text/html,Smart TV,5.91036,74.3,908.42,JL5369,1692,51253,tenant-031,11.2,63.0,richard.miller,HOLD-2021-736,7627908,2026-10-10T04:09:02Z,53.29%,Bonjour,492ZU62NP,25.4,patricia.brown,EMP34122,19279.6,DE,508.44,148.0,31719.7,needs-review,104,5708,31.96,8226.7,"$835,559,905",31.13,44323.1,46.3,96.53,280.06,Competitor Meridian Health launched SmartHub X1,JST,99035,91791,2480.12,status < 'prod',9.35,AuditTrail Plus,104
14.0,1355.0,Software,40076.2,064969840,30.9,4219724726715,15.1,952,7548-8437,$2b$12$E4zRLuRFNMpwPONi0pf3id8EuMZRCbkHDHJcVONolGL8St5fzi3g7,252.0,130.18,35.3,91.6,6637.44,1058,2025-08-09T10:12:21Z,41.7,76.868825,95.9,98.2,118461,SmartChoice,39.75%,9.2909,CSV,Mr.,3.8,124.64142,37.89%,11.19,361.1,4916.89,"$547,431,973",53,39917.7,42.4,max_retries=728,185146137,created_at,2430,HOLD-2023-593,9.15,m,92.309917,90.3,701.14,75980,87244,859.5,false,7 days,28.5,Critical,4.3,662.44,text/csv,Desktop,76.385657,79.7,969.24,NL5186,10,63387,tenant-034,45.11,22.7,ethan.rodriguez,HOLD-2025-599,4575331,2019-10-03T15:40:12Z,20.67%,Konnichiwa,WURDQDF5O,83.8,mason.moore,EMP51844,55824.7,IN,933.6,187.0,33064.3,needs-review,74,3140,65.75,5092.68,"$584,493,100",98.4,44699.9,87.1,97.4231,653.25,Competitor Pioneer Software launched CloudGuard,JST,12903,PM2 4PJ,5082.61,type < 'prod',11.4,StreamLine ERP,75
15.4,1902.4,Hardware,11424.1,581098537,-30.7,9908592870825,4997.96,7898,3168-3930,$2b$12$7QwbgfzURfv5syfNuRNU200Xk6yN49dmhrSoU5bd8lmuFvhEb3rJe,336.9,337.21,-22.2,44.1,2955.36,4456,2019-06-22 11:58:11,139.8,150.459413,14.1,1522.3,1949629,EcoLine,14.37%,4.916,Parquet,Mr.,74.7,119.992368,41.13%,7.03,4.4,5511.59,"$694,195,362",42,7075.4,20.5,batch_size=737,537101001,type,1276,HOLD-2022-351,9.71,°C,-158.329696,10.5,501.15,12549,57778,1117.0,false,indefinite,44.3,Medium,37.1,640.21,application/json,Mobile,53.208232,14.1,409.95,KU8871,6174,79459,tenant-009,82.01,22.9,elizabeth.lewis,HOLD-2022-175,9765704,2025-07-15 12:58:16,96.21%,Konnichiwa,LTFUA3HZR,18.2,susan.rodriguez,EMP62786,40208.9,FR,456.01,79.6,8625.6,experimental,9,2667,88.89,8784.39,"$841,030,025",56.52,97800.2,47.3,96.2878,913.19,Competitor Vertex Technologies launched CloudGuard,America/New_York,71389,77997,5070.16,status != '2024',10.01,FlexPay Platform,42
8.26,1816.0,Electronics,40385.7,303669917,-6.9,7709693616237,4840.81,6800,1769-3092,$2b$12$quYmFwH5DRRTHIdCE25Hj9oBsdNyYnK0VTkyjmogheVGouHZq0hey,388.3,261.05,3.9,16.9,6389.83,4446,2024-08-04T13:09:45Z,158.3,39.469835,33.7,1807.0,1044529,ProSeries,46.0%,8.8765,Parquet,Mrs.,14.9,-145.71855,76.1%,6.89,129.5,2926.09,"$153,770,537",33,26254.8,73.8,pool_size=849,991279981,created_at,9431,HOLD-2024-517,9.07,m,-149.918289,101.8,22.4,985,81771,117.8,false,indefinite,103.5,High,3.1,282.83,text/csv,Wearable,-4.46785,53.0,88.83,HH8863,1457,63500,tenant-025,23.07,73.9,william.johnson,HOLD-2021-889,4808986,2026-02-11T05:50:30Z,68.07%,Konnichiwa,1ZMZ7FFDQ,119.0,susan.anderson,EMP53978,53581.5,JP,980.49,73.4,44436.9,stable,35,8559,93.79,4051.85,"$493,202,370",21.95,1770.4,67.8,95.8395,140.46,Competitor Meridian Health launched VaultKeeper,PST,978,DN6 2NZ,1940.42,status != 'active',11.43,SmartHub X1,36
