insurance_id_6,x_bil,p_294,val_520,rutrst65,equity,BANK_IDENTIFICATION_NUMBER,user_bank_account_number,kfgkgn18,ordinalPosition,cd_verification_value,yfhbk81,card_expiry_date_data,investment_account,investmentAccount,val_title,routing_number,lbkx12,v_209,confidenceInterval,yqtph69,paypal_acct,mapping,financial_forecast,etl_batch_id_6,col_inves,fraud_score_6,tenantIdentifier,channel,cryptoaddr,hcr34,magstripe,shipmethod,routingNumber,x_214,val_973,bank_account_number_v2,insurance_id,axpsk17,priceCost,field_388,ts,decimalFloat,col_700,salary,bin,NULLABLE_FLAG,apprvstat,raw_stock_rsu_grant,fraud_score_v2,cred_score,invest,column_field_nm,d_881,card_verification_value,credit_score_field,standard_deviation,p_insur,stock_rsu_grant_14,ahgfh10,dataFormat,stock_rsu_grant_raw,income,INSURANCE_ID,dim_budget_allocation,curname,PRICE_COST,REVENUE_SALES,col_wc,meta_804,credit_score,billingAccount,field_billi,measprice,issuer,fact_distance,rzrk29,c_767,cardVerificationValue,TRANSACTION_AMOUNT,meta_670,col_154,sbkh9,src_bank_identification_number,bonus_variable_pay_field,digital_object_identifier,bank_account_number,user_investment_account,role_job_title_raw,raw_api_key_token,longitude,attr_hhjw,investment_acct,bonus_variable_pay,creditScore,CARD_VERIFICATION_VALUE,PAYMENT_CARD_NUMBER,pctile,cardExpiryDate,v_739,ijr6,datatype,ROUTING_NUMBER,tnz42,rate,uzkumu60,FRAUD_SCORE,insid,src_salary_compensation
INS-416532,BILL-817483,INS-768467,556,2560x1440,594 shares @ $456.57,578223,6837222917,1287,79,445,313,04/27,INV-959581,INV-969624,Quarterly Summary 2022,250800448,6011-1835-9930-4225,Anxiety,"[1.22, 75.36]",4345-6898-1502-1797,elizabeth.thomas@outlook.com,source_col -> field_b,Q2 2024: $97M projected,batch-20220328-98,INV-610884,57.3,tenant-001,Phone,0xdbd74b328eda5024f2cd09013ec3e9a07e7ded4d,732380281613,%B9013674663328183^JONES/DAVID^2810,Freight,448678940,11/24,2865.16,0187078663,INS-624093,Other,817.4,"$98,567.99",2022-06-28T02:20:56Z,7445.241,5350,"$138,041",53113,false,Approved,1107 shares @ $282.23,65.4,323,INV-381066,email,Figure 9: Overview,630,755,49.8967,INS-387992,2405 shares @ $185.84,3840x2160,XML,4587 shares @ $230.98,"$237,183",INS-328950,"$1,934,668",Japanese Yen,7301.6,"$8,588,181",42115.07,INV-744415,314,BILL-258261,BILL-529163,3940.62,3710115,2846.4,"$4,275,476",5731-4443-9214-5499,315,"$90,279.70",62.5,Peer,In Review,60116343,"$36,906",10.8428/v609.45,5469204279,INV-242284,Sales Rep,sk_9oLTRGAEXKAX8REKCb2b9wfUkxkLtcQm,-108.064638,23.7,INV-373449,"$42,929",602,6345,6011-2423-8871-6053,16.4,04/29,66.8,%B9628835533458025^WHITE/AIDEN^2409,VARCHAR,614538524,98.9538,8089.19,British Pound,52.5,INS-309689,"$131,370"
INS-868606,BILL-537100,INS-526290,3421,1920x1080,3428 shares @ $411.2,60119725,057041456327,6124,854,4650,578,06/30,INV-771158,INV-860503,Executive Review 2024,759856594,3716-7733-1968-7804,Type 2 Diabetes,"[33.75, 73.95]",4004-0370-3449-1278,liam.anderson@gmail.com,source_col -> output,Q4 2026: $47M projected,batch-20251001-74,INV-659449,7.5,tenant-021,Phone,0x2dd982bdae5e96dd7a32e35632411de6f0485509,57995772,%B6840046347648152^KING/AIDEN^2504,Same Day,005405377,11/30,9846.77,5983008412,INS-526616,Asian,8297.97,"$16,537.22",2026-10-22 08:50:36,3662.9434,5252,"$244,205",536277,NO,Approved,545 shares @ $377.22,40.7,601,INV-105158,type,Figure 9: Distribution,0005,762,27.8843,INS-771310,567 shares @ $314.59,1920x1080,XML,907 shares @ $496.04,"$150,380",INS-792870,"$1,953,037",British Pound,7902.5,"$5,896,542",20298.14,INV-984051,831,BILL-290902,BILL-156487,682.37,60112633,9358.3,"$7,630,200",6011-1594-3450-3677,768,58000.78,10.3,Sibling,Pending,41436,"$3,546",10.5709/q963.39,142873368310,INV-500297,Designer,sk_7dBPI1YtvLAAkCYSp3mVDhTDOdlbfORH,-121.535167,80.8,INV-848074,"$19,609",684,330,5072-7056-6914-6986,84.99,04/24,16.6,%B1733543657420056^CLARK/JAMES^3008,FLOAT,656575290,11.8434,5137.03,Swiss Franc,18.8,INS-706911,"$137,204"
INS-592020,BILL-444698,INS-481008,591,1280x720,4649 shares @ $177.71,40525,988589367258,2092,20,3672,325,07/24,INV-246638,INV-492416,Annual Review 2023,370680377,5557-6252-9413-2358,Migraine,"[4.5, 95.15]",5154-4857-7831-5463,amy.king@outlook.com,source_col -> field_b,Q1 2027: $76M projected,batch-20221224-39,INV-722549,13.8,tenant-044,In-Store,0x3e44652d7126861613346950c51ffe725eed61fc,9710684111,%B7776927631890005^ROBINSON/HARPER^3008,Economy,878723156,05/24,4375.71,229870524056,INS-300064,White,8195.55,34095.21,2021-09-22T02:24:54Z,8138.4629,9035,"$77,539",60111156,YES,Pending,1529 shares @ $309.92,21.5,333,INV-323337,type,Figure 6: Distribution,192,543,36.1432,INS-364981,3413 shares @ $414.59,2560x1440,Avro,2846 shares @ $143.62,"$245,455",INS-867730,"$2,349,912",US Dollar,4646.14,"$5,092,893",34627.45,INV-292541,384,BILL-818854,BILL-492113,1043.27,601118130,9872.5,"$614,175",3739-1844-6129-3738,972,61713.84,9.8,Spouse,Rejected,556264,"$21,731",10.9548/x333.23,56647302,INV-477288,Designer,sk_DJfu4NPjxENkJk8dcg1Hi2vlTYxdIEZz,129.281243,84.9,INV-678901,"$49,477",613,4522,3725-3409-4964-3770,11.54,05/25,77.4,%B7575571416751876^WHITE/WILLIAM^2712,VARCHAR,362189113,70.5174,4524.65,US Dollar,20.2,INS-744217,"$83,608"
INS-152036,BILL-372659,INS-899484,8036,3840x2160,1418 shares @ $298.81,374230,958043962425,3633,331,2848,416,10/30,INV-312549,INV-219564,Annual Summary 2023,677122214,6011-4643-9805-2238,Hypertension,"[12.75, 68.71]",5724-1382-6700-8331,michael.miller@yahoo.com,source_col -> output,Q2 2025: $43M projected,batch-20200527-27,INV-128637,68.5,tenant-039,Web,0x7364aa7f0d2ed545c9ea7411b3ef9da74da2abc9,030752122030,%B9660986229514433^JACKSON/WILLIAM^2504,Overnight,813321694,04/29,672.65,39618236,INS-401518,Hispanic,2668.0,27066.41,2018-05-27 22:16:36,1019.3936,2789,"$219,832",370748,true,Pending,2962 shares @ $490.08,58.5,473,INV-117491,status,Figure 6: Timeline,8884,580,39.0348,INS-365736,1009 shares @ $246.16,3840x2160,Parquet,1254 shares @ $28.55,"$167,607",INS-589851,"$4,799,420",British Pound,7660.88,"$6,884,696","$37,764.25",INV-245594,452,BILL-912137,BILL-533706,3669.72,47549,5712.2,"$4,792,894",XXXX-XXXX-XXXX-1836,582,67076.86,80.3,Manager,Rejected,3714862,"$32,992",10.6787/m538.5,63130538,INV-569231,VP Engineering,sk_rojvqiBjVUj4jfj6EL89qsmkVjei6RVy,168.070914,97.6,INV-583329,"$25,835",538,4009,XXXX-XXXX-XXXX-9405,3.69,11/27,58.6,%B7633501009465568^KING/RICHARD^2407,BOOLEAN,820568884,23.4277,2117.83,British Pound,76.4,INS-469778,"$130,899"
INS-759577,BILL-859075,INS-201555,3410,1920x1080,3937 shares @ $402.99,411420,1725399143,6953,367,8897,487,12/25,INV-256747,INV-442191,Executive Report 2026,932596197,6011-3039-7079-5897,Asthma,"[7.04, 97.09]",6011-9648-6666-4561,mary.jackson@yahoo.com,field_a -> target_col,Q1 2025: $44M projected,batch-20201126-38,INV-449076,15.7,tenant-019,In-Store,0xe0bb56ae5d5a47f91bbf9ebf96a5c98d45499180,146005242162,%B2887328580926182^CLARK/EMILY^2401,Economy,095515381,07/27,437.84,14837465,INS-676952,Mixed,6989.65,"$34,189.40",2018-03-11T21:40:34Z,8140.7665,541,"$165,338",60118480,false,Pending,1654 shares @ $294.7,28.7,796,INV-431386,created_at,Figure 11: Timeline,5764,397,13.9672,INS-143029,3662 shares @ $131.14,1280x720,Parquet,226 shares @ $155.32,"$74,113",INS-953900,"$4,381,721",Euro,7004.62,"$1,644,575",8942.85,INV-437304,336,BILL-890583,BILL-251756,6386.0,60117132,3416.3,"$2,937,178",5019-7101-7615-3989,3513,51082.82,58.1,Child,Rejected,601150736,"$32,372",10.3887/l926.28,76444684,INV-777151,VP Engineering,sk_s0gsAf6mFyrrrchQQ6QVYTj6qXsY33LK,-143.253669,80.8,INV-986483,"$22,498",474,7145,4918-5788-3903-7000,42.63,04/25,79.4,%B8409777234350700^THOMAS/AMY^2707,INTEGER,980329473,28.0197,7835.4,British Pound,58.9,INS-561460,"$169,875"
INS-682712,BILL-938869,INS-153317,942,2560x1440,3673 shares @ $384.85,376286,178919702008,9826,810,600,800,09/30,INV-691080,INV-225506,Executive Summary 2022,569018682,4139-1177-2652-2613,Asthma,"[5.41, 91.54]",6011-5571-7440-1540,patricia.williams@yahoo.com,field_a -> output,Q2 2025: $6M projected,batch-20241129-23,INV-455934,42.3,tenant-015,Chat,0xb817e2ec5079fd2c66d22394071768c1f8ef864d,5809361553,%B2863682740718027^RODRIGUEZ/WILLIAM^2409,Freight,027801717,09/27,6458.54,20500699,INS-554848,Asian,5331.72,"$46,524.77",2024-12-27 04:26:01,-26.9995,9677,"$142,206",44163,YES,In Review,2475 shares @ $404.56,8.2,640,INV-257431,created_at,Figure 13: Distribution,6642,793,14.9364,INS-150668,4851 shares @ $361.49,1280x720,Avro,347 shares @ $263.1,"$70,545",INS-481989,"$2,952,588",Swiss Franc,4957.61,"$1,692,930",57568.44,INV-637210,761,BILL-317380,BILL-676959,9782.36,59725,3969.3,"$1,518,097",6011-3484-0899-3250,3333,"$8,614.92",60.0,Parent,Approved,371701,"$1,743",10.1656/w799.45,3819778814,INV-963312,VP Engineering,sk_6ikOQydcl7Zlub4ITzAjZH3F9brVtmWr,-173.898934,62.5,INV-852724,"$40,616",384,7534,XXXX-XXXX-XXXX-2608,15.52,04/25,83.6,%B5903956934722062^WHITE/EMMA^2511,INTEGER,792092650,101.5353,9933.41,Japanese Yen,88.9,INS-920473,"$122,390"
INS-484818,BILL-600999,INS-783468,3820,2560x1440,1674 shares @ $278.19,416673,96038843,2724,870,8231,530,08/24,INV-237870,INV-848484,Technical Summary 2022,486980806,5977-6965-0136-1599,Migraine,"[22.63, 98.92]",4279-1054-4934-7657,robert.clark@yahoo.com,source_col -> target_col,Q2 2027: $25M projected,batch-20240802-55,INV-287206,85.4,tenant-033,Mobile,0x3ba4ef94d5d8fe100cc723b35387230c350daca9,1841108661,%B5136788563642494^JONES/SOPHIA^2809,Express,386696698,03/24,9861.82,8088003253,INS-209460,Black,6556.71,95707.90,2025-11-02 02:12:33,919.8905,6856,"$64,691",405434,false,Rejected,196 shares @ $329.12,31.9,353,INV-897741,status,Figure 7: Timeline,5775,801,36.6902,INS-395520,2618 shares @ $73.83,2560x1440,CSV,3549 shares @ $52.93,"$167,045",INS-469159,"$3,800,978",British Pound,5324.17,"$5,696,733","$82,787.81",INV-470770,720,BILL-715888,BILL-526586,5837.59,601183011,5568.3,"$6,609,249",6011-9533-4305-7905,3777,"$12,254.12",52.2,Spouse,Pending,375474,"$6,018",10.7296/c664.8,6855589316,INV-419218,Software Engineer,sk_hp71jMhjDUUwNelY2LaZeFV6WBX3xld5,42.209199,58.5,INV-966511,"$19,740",849,701,4150-0162-7603-4425,83.05,02/25,24.0,%B0928266314627129^MILLER/SARAH^2801,TIMESTAMP,015332283,83.6681,3699.1,Euro,55.7,INS-475350,"$90,983"
INS-391729,BILL-330276,INS-816314,527,1280x720,1523 shares @ $323.15,504910,09939941,1676,685,480,741,10/27,INV-105925,INV-257858,Technical Summary 2021,516845919,6011-0019-0947-9772,Migraine,"[24.9, 73.97]",5762-3527-2700-7151,amy.robinson@yahoo.com,field_a -> target_col,Q4 2024: $64M projected,batch-20180702-73,INV-823368,91.9,tenant-043,Email,0xcbb470d65a79aeb61b57fe9ebc599d2373f4a10d,340384446622,%B0061952539505786^GARCIA/MARY^2809,Economy,383617063,06/30,6294.02,2954336929,INS-268567,Mixed,1877.05,49287.36,2018-06-24 18:22:35,8399.4087,2852,"$64,640",3763814,true,Approved,1219 shares @ $481.48,43.6,431,INV-107678,amount,Figure 10: Overview,0304,444,4.1317,INS-713277,4679 shares @ $412.76,1920x1080,CSV,1399 shares @ $225.79,"$177,107",INS-389714,"$4,176,131",Swiss Franc,9656.65,"$8,821,055",71056.83,INV-705601,514,BILL-216563,BILL-966829,1112.3,48284,6313.3,"$9,873,276",3749-3441-6057-3047,738,22897.04,62.6,Child,Pending,60110489,"$2,209",10.2660/d850.35,473527941286,INV-318791,Data Analyst,sk_du2UvFpeiZ5GFAV9fU1gXQyFEJZ1NJVN,-140.862525,27.1,INV-501527,"$35,337",436,2218,6011-6841-8621-7264,49.85,03/29,76.4,%B4460393437020194^DAVIS/MARY^2610,BOOLEAN,398973478,139.3877,740.55,Euro,59.6,INS-889127,"$164,575"
INS-471073,BILL-328193,INS-143892,5306,3840x2160,4781 shares @ $486.41,53067,9893340915,2056,304,0932,445,09/24,INV-867496,INV-201173,Technical Report 2024,402903214,XXXX-XXXX-XXXX-8496,Type 2 Diabetes,"[33.98, 79.49]",XXXX-XXXX-XXXX-3965,william.king@gmail.com,input -> output,Q1 2025: $16M projected,batch-20241203-81,INV-274527,76.3,tenant-038,Web,0xc6abc337136eb46da54379dae56ff9b4bfb4c63c,213107717938,%B4169048121357359^LEWIS/JESSICA^2407,Freight,299961483,03/28,9438.59,2966450288,INS-734485,White,6004.92,"$75,886.89",2022-01-18T18:21:03Z,4093.5237,0548,"$115,253",467000,NO,Approved,396 shares @ $315.61,66.0,374,INV-556667,status,Figure 17: Comparison,946,344,23.1398,INS-835388,3297 shares @ $424.5,3840x2160,CSV,3063 shares @ $34.01,"$108,014",INS-261139,"$335,003",Euro,7223.1,"$8,871,457","$88,720.08",INV-553224,508,BILL-545987,BILL-531391,6912.64,478509,3823.4,"$6,127,294",6011-5019-9935-6231,2195,56235.23,12.8,Parent,Pending,60114749,"$28,833",10.1385/b247.24,89388352,INV-731704,Data Analyst,sk_L8aFrBaRFT3YcmJ13uxWanItAykBAgmF,18.667548,23.5,INV-683081,"$21,721",693,8481,4930-2792-5535-9406,46.11,08/25,72.0,%B0264172699859738^THOMAS/MASON^2511,FLOAT,075314286,148.5442,5172.49,US Dollar,70.4,INS-398428,"$215,409"
INS-441655,BILL-798191,INS-730227,8831,1280x720,2006 shares @ $374.39,47871,548474241560,9209,244,195,334,02/30,INV-675956,INV-122981,Executive Review 2020,952188395,3791-9837-9086-6296,Migraine,"[3.61, 68.56]",6011-8283-4699-4743,sophia.young@gmail.com,source_col -> output,Q2 2027: $14M projected,batch-20250430-66,INV-921048,62.9,tenant-021,Web,0x8ee1de92ae6a10afa2dc0477522d3d5a2edbaad9,33011163,%B5667776488204252^JONES/ELIZABETH^2401,Economy,355845474,08/25,2492.96,5411183507,INS-864740,Other,8631.31,27543.02,2022-09-13 11:08:24,9924.8746,1521,"$98,717",379973,true,Rejected,3439 shares @ $382.74,40.7,828,INV-954576,id,Figure 18: Comparison,452,563,40.9067,INS-274068,1393 shares @ $313.92,1280x720,Avro,2127 shares @ $314.24,"$79,256",INS-666362,"$1,072,385",US Dollar,2381.96,"$9,952,841",57051.89,INV-780973,615,BILL-796772,BILL-285497,5302.08,3793096,2908.4,"$6,167,509",XXXX-XXXX-XXXX-4836,4875,"$31,092.89",46.7,Peer,Pending,582781,"$21,597",10.5514/k371.46,718123256626,INV-453343,Data Analyst,sk_TztMGpWsColAPuOaC9DNiSN3niQHP9BY,-20.274858,95.2,INV-832395,"$24,191",789,5121,6011-8480-3459-7097,65.42,10/27,9.3,%B1567732187984803^YOUNG/OLIVER^2607,FLOAT,813212269,57.545,6050.18,Swiss Franc,50.6,INS-785144,"$119,535"
INS-540547,BILL-798204,INS-206945,6845,2560x1440,3151 shares @ $194.41,376803,20199402,4117,505,915,668,06/26,INV-265833,INV-157669,Technical Summary 2024,899610015,5136-7909-0302-3326,Depression,"[8.49, 63.52]",XXXX-XXXX-XXXX-5154,elizabeth.king@yahoo.com,source_col -> field_b,Q3 2027: $85M projected,batch-20200403-65,INV-747778,14.8,tenant-022,Phone,0xd298164a167fd85d5449701e704ec5d745bef39a,048727106672,%B5973078528333103^MARTINEZ/SARAH^2904,Standard,026694893,08/29,8989.85,89788509,INS-401808,Mixed,9063.13,37960.57,2022-04-15 20:16:54,9465.3517,0875,"$156,151",431892,false,Pending,4616 shares @ $103.88,25.8,826,INV-626112,email,Figure 11: Timeline,766,559,25.3841,INS-500598,67 shares @ $374.6,2560x1440,CSV,2251 shares @ $303.97,"$245,325",INS-575588,"$4,927,066",Euro,2802.84,"$1,802,145","$44,410.26",INV-710868,314,BILL-576785,BILL-732523,5216.12,3723105,9337.5,"$6,048,874",6011-5488-2808-6470,9453,86723.96,30.3,Peer,Approved,601139088,"$44,957",10.3757/y964.27,364258216564,INV-431662,Designer,sk_49DQ13vZ8rcXCrCFF5ETEQBw3OuPZzit,101.298118,12.2,INV-765454,"$45,643",582,9200,5976-0878-7432-3138,3.05,12/24,14.1,%B7814540002000888^TAYLOR/ELIZABETH^2912,VARCHAR,679345413,80.8243,5890.51,British Pound,34.7,INS-681786,"$33,210"
INS-169907,BILL-596119,INS-508702,288,2560x1440,4849 shares @ $174.85,60118085,22662225,7111,750,7786,372,07/24,INV-200616,INV-570369,Executive Summary 2024,309234014,4090-1328-0131-8947,Asthma,"[15.35, 94.74]",6011-5110-1653-3713,patricia.martin@gmail.com,source_col -> field_b,Q2 2024: $13M projected,batch-20220422-04,INV-102484,68.6,tenant-011,Social Media,0x09f9f06c4cc2eb3ac972dae95c451193e3d50768,685105010922,%B1596862320085704^WRIGHT/ANNA^2910,Express,396465720,02/25,9868.9,30720625,INS-921443,Mixed,2646.17,"$69,307.33",2022-10-18 17:22:48,8811.1852,126,"$127,303",601187480,NO,Rejected,2858 shares @ $428.12,96.8,320,INV-271253,name,Figure 20: Distribution,965,408,41.2766,INS-913749,1089 shares @ $58.2,3840x2160,Avro,4262 shares @ $303.95,"$248,083",INS-125358,"$3,660,227",US Dollar,3353.78,"$1,409,921",$626.67,INV-543421,681,BILL-672275,BILL-247273,1921.87,60111570,2174.6,"$7,668,069",XXXX-XXXX-XXXX-6962,1472,33700.92,18.8,Peer,Pending,60113911,"$13,230",10.1505/x784.44,35405136,INV-318691,VP Engineering,sk_ex3IKFBYU1vtJdYKbppzf9WbmtzF5FOX,-89.169423,94.0,INV-996777,"$49,364",495,372,6011-7245-1429-8626,10.12,04/26,4.3,%B1162355793685025^WHITE/HARPER^3008,TIMESTAMP,951993780,91.3419,421.32,Japanese Yen,78.9,INS-196527,"$185,293"
INS-665592,BILL-194912,INS-361926,398,3840x2160,2252 shares @ $294.28,3786198,54084668,2258,40,509,549,11/30,INV-392929,INV-607541,Technical Report 2020,058400876,4116-3782-0274-7542,Depression,"[18.34, 68.89]",4034-1583-4731-4152,mason.taylor@yahoo.com,input -> field_b,Q2 2025: $83M projected,batch-20220710-25,INV-898244,46.9,tenant-012,Social Media,0xfba36e3dcaf06533354483f40b33e79310c0ba26,2133732060,%B8161468754069771^ROBINSON/DAVID^2703,Overnight,888530315,06/29,1997.34,8861837484,INS-233187,Black,2914.72,6186.51,2026-08-18 22:50:30,2857.223,5307,"$248,724",58243,YES,In Review,4964 shares @ $30.46,69.1,826,INV-965586,id,Figure 1: Timeline,153,688,39.7217,INS-287578,1517 shares @ $93.23,2560x1440,CSV,4429 shares @ $423.86,"$67,414",INS-614625,"$4,829,965",Swiss Franc,2153.25,"$1,683,762",39676.98,INV-409077,735,BILL-615030,BILL-852292,5396.68,60116280,8618.2,"$7,431,407",5771-0425-9829-6879,4517,"$77,221.53",95.2,Spouse,Approved,404482,"$49,886",10.4775/t171.20,7639801266,INV-226626,VP Engineering,sk_pDTXasJVbpIazAOFXAS0EOEnFy6UdyEE,-54.724953,45.1,INV-627296,"$43,770",525,348,XXXX-XXXX-XXXX-2761,89.3,09/30,34.1,%B2340388054019256^RODRIGUEZ/SUSAN^2407,BOOLEAN,314176419,41.1195,7586.94,Euro,30.4,INS-316213,"$112,858"
INS-303733,BILL-147671,INS-349960,450,1920x1080,303 shares @ $434.21,601153053,41560370,4645,209,589,626,06/27,INV-701572,INV-971504,Technical Analysis 2021,658621001,3790-0191-6354-4599,Migraine,"[25.03, 73.24]",XXXX-XXXX-XXXX-4453,oliver.martin@yahoo.com,input -> output,Q2 2025: $12M projected,batch-20190408-68,INV-247131,59.7,tenant-012,Chat,0xe3dad3771d7972f3eacf11ead8ccfb06e5c065fa,19123541,%B1821258795941557^MILLER/WILLIAM^2606,Same Day,358597385,02/26,6887.51,4993321008,INS-726078,Asian,5587.18,12371.37,2020-05-18T21:24:52Z,1800.193,886,"$56,133",601192631,YES,Rejected,4521 shares @ $455.23,48.2,637,INV-387079,name,Figure 6: Timeline,478,307,21.5689,INS-193577,4097 shares @ $123.42,2560x1440,Parquet,2189 shares @ $273.38,"$84,466",INS-150785,"$4,200,423",US Dollar,7242.87,"$5,270,865","$16,690.24",INV-525455,563,BILL-673290,BILL-725691,7847.47,3771645,717.1,"$7,577,153",3751-7704-8304-7266,2216,"$86,170.07",76.5,Child,In Review,601120159,"$37,618",10.6780/i529.23,936971861143,INV-662932,Software Engineer,sk_PAXyoOm1Oqrtr060Z3rrNcGwj7jbaPzc,15.494092,41.8,INV-296427,"$29,183",803,769,3759-6737-9202-8471,69.13,10/28,41.4,%B4267850855287102^LEWIS/JESSICA^2910,BOOLEAN,708246984,96.0502,5682.12,Euro,47.0,INS-519345,"$98,863"
INS-780892,BILL-912632,INS-341413,4033,1280x720,3533 shares @ $461.77,3747623,7432872321,8728,42,457,837,06/24,INV-732730,INV-638992,Annual Review 2022,961969002,XXXX-XXXX-XXXX-5339,Arthritis,"[37.03, 74.68]",5716-3039-2873-1979,logan.jones@gmail.com,field_a -> output,Q4 2024: $11M projected,batch-20261025-99,INV-413924,26.6,tenant-047,Web,0x1f2c5266a209fe5290f05aa6c76db2f84e7ac828,615992269603,%B6845169994629515^TAYLOR/PATRICIA^2805,Overnight,131824637,03/28,3759.53,32260880,INS-445449,Asian,2.19,69376.35,2018-03-22 22:03:15,4708.072,776,"$83,634",524494,YES,Rejected,3717 shares @ $62.5,76.5,767,INV-473969,created_at,Figure 20: Overview,353,722,48.2454,INS-932328,2069 shares @ $23.88,1280x720,Parquet,645 shares @ $491.39,"$69,461",INS-353836,"$986,891",US Dollar,724.27,"$7,401,864","$40,971.29",INV-929355,346,BILL-533572,BILL-337849,6061.65,60114096,4206.2,"$3,075,293",6011-1416-2094-0530,596,"$57,963.41",57.2,Manager,Approved,60116050,"$41,137",10.1956/s356.35,87354687,INV-134918,CTO,sk_Tp3zP7Zk0WYSo2tk1aKlLMSLgKigxRcc,-127.778974,77.7,INV-537643,"$4,726",495,5596,5839-7622-5775-3275,92.7,09/26,34.9,%B1335739282442117^JACKSON/JOHN^2806,VARCHAR,903640141,142.265,3514.27,British Pound,88.8,INS-633154,"$226,013"
INS-162378,BILL-170176,INS-432542,436,1920x1080,4016 shares @ $303.25,44462,77315103,3609,965,5551,545,06/29,INV-965099,INV-715798,Technical Report 2022,103126870,XXXX-XXXX-XXXX-1635,Anxiety,"[16.51, 77.07]",6011-8570-7612-2738,richard.garcia@yahoo.com,field_a -> target_col,Q4 2025: $8M projected,batch-20230830-48,INV-444527,48.6,tenant-042,Chat,0xecacc1dbc01bbb0d3babcde65a89d02d99bfd1df,5675578467,%B7084707971735366^HARRIS/SUSAN^2908,Express,520826965,06/30,7538.59,958234034674,INS-223715,Hispanic,3548.85,"$45,583.40",2021-06-06 08:06:14,9588.7161,977,"$129,170",60114277,true,In Review,4657 shares @ $403.89,45.2,752,INV-366523,amount,Figure 12: Overview,863,658,31.9512,INS-610346,1798 shares @ $68.7,1280x720,Parquet,2156 shares @ $452.4,"$101,680",INS-189008,"$1,817,473",US Dollar,2894.17,"$4,136,672","$57,548.57",INV-304357,673,BILL-564679,BILL-105443,459.14,559118,494.6,"$2,899,436",4711-8726-1005-3779,836,"$12,820.52",34.8,Spouse,Approved,405584,"$17,809",10.1389/n775.15,3600513142,INV-415255,Data Analyst,sk_wvcqcAGOmIk323OoBZGyhZP4USVDaq8g,-47.716109,86.8,INV-394641,"$36,907",793,1403,4136-7456-2617-9575,0.46,10/28,53.5,%B3239078588551279^CLARK/MARY^2612,FLOAT,289773037,73.3635,2671.87,Swiss Franc,39.5,INS-750228,"$89,920"
INS-662613,BILL-523155,INS-843193,593,3840x2160,692 shares @ $356.18,60114701,03236826,3303,525,439,712,11/24,INV-930894,INV-262990,Technical Review 2023,134658713,5177-2813-7492-3706,Migraine,"[19.57, 90.45]",XXXX-XXXX-XXXX-2398,sophia.martin@gmail.com,source_col -> output,Q4 2026: $2M projected,batch-20230924-58,INV-179333,51.2,tenant-012,Web,0x25973103fadcfbe72d45150546b9e26133db0fd5,8473850159,%B4467260214007990^WILLIAMS/NOAH^2503,Freight,446047271,09/29,9817.32,14973453,INS-131210,Mixed,6372.08,50657.06,2025-01-21 06:45:47,6992.6204,010,"$220,436",46525,YES,Approved,1296 shares @ $333.07,6.6,521,INV-142884,status,Figure 12: Timeline,221,559,16.0628,INS-645111,2466 shares @ $34.38,2560x1440,YAML,287 shares @ $458.32,"$192,490",INS-543926,"$4,687,115",Swiss Franc,6693.7,"$9,964,629",89029.07,INV-351157,795,BILL-132691,BILL-975949,5582.46,411578,1224.2,"$4,548,388",6011-6982-6305-7955,441,231.26,7.6,Spouse,Pending,3796088,"$10,408",10.7875/d388.42,732966183889,INV-688450,VP Engineering,sk_DoDOzQDYsBRpb38UzGsaRhEPPHwR2j8F,37.159477,47.5,INV-820190,"$32,253",635,1618,4377-4278-9462-2438,74.12,03/24,58.9,%B2263422541306003^THOMPSON/LOGAN^2904,VARCHAR,838283540,64.6209,5933.21,Euro,86.4,INS-879812,"$186,202"
INS-740885,BILL-315200,INS-614763,795,3840x2160,4112 shares @ $391.22,51696,6923902718,6396,120,551,741,11/26,INV-433229,INV-163945,Quarterly Analysis 2022,701777056,5530-6735-0501-1495,Type 2 Diabetes,"[28.46, 62.86]",XXXX-XXXX-XXXX-5184,william.smith@yahoo.com,field_a -> target_col,Q1 2026: $5M projected,batch-20240602-02,INV-109572,7.3,tenant-023,Web,0x1d3b6a17ab819454a58b8c4d6763901e9711026d,763174167062,%B0611807708817487^ANDERSON/JESSICA^2412,Same Day,239928661,08/30,8910.92,377000258327,INS-409256,Black,134.16,"$14,202.27",2022-03-28 23:27:38,-131.478,9101,"$146,479",447985,false,In Review,2653 shares @ $445.71,45.0,794,INV-690359,name,Figure 3: Timeline,1199,419,28.5689,INS-892015,704 shares @ $415.19,2560x1440,XML,4363 shares @ $265.98,"$66,172",INS-240847,"$428,605",British Pound,3557.31,"$2,996,370",15591.13,INV-320364,326,BILL-474545,BILL-568054,3299.8,46814,3898.3,"$5,803,528",5353-3004-9864-6931,284,67248.67,92.0,Parent,Pending,42003,"$22,446",10.5877/k417.11,0501285414,INV-453666,Data Analyst,sk_ZaOMm8VbcM8EodR8K6ZYkzCMSqSHLwVF,13.480083,46.4,INV-222098,"$48,066",457,998,XXXX-XXXX-XXXX-8124,55.88,02/30,86.4,%B9551355920702526^MILLER/SARAH^2903,INTEGER,851647914,42.5501,2197.69,British Pound,76.8,INS-209252,"$85,497"
