txnamt,p_504,meta_cvv,bank_identification_number_field,f_961,col_836,paypal_acc,src_username,customer_card_verification_value,billing_acc,HASH_IDENTIFIER,strategic_plan,crd_verification_value,billing_account_field,dim_routing_number,CRYPTOCURRENCY_ADDRESS,field_802,iso_4217,d_shyz,card_verification_value_val,billing_account,salary_compensation,raw_ph_level,binary_value_val,billingAccount,rflgsb34,cryptoaddr,decimalFloat,fraud_score_v2,timestamp_v2,expiration,x_921,var_frau,meta_pmlg,salaryCompensation,bonus_variable_pay_field,trend_growth_rate,col_addre,priceCost,checksumHash,bank_identification_number,v_jmdr,default_value_field,bankIdentificationNumber,marital,partition_key,fglbx30,bankAccountNumber,content_type_6,continent_data,insurance_id_22,field_uwtx,BANK_IDENTIFICATION_NUMBER,card_verification_value,routing_no,credit_score,payment_card_number,customer_flow_rate,bin,caption,paymentCardNumber,routing_number_v2,global_trade_item_num,BANK_ACCOUNT_NUMBER,payment,issuer
"$6,041.22","$14,513",1466,599531,JPY,9897,aiden.brown@gmail.com,william_harris50,2263,BILL-648034,0eaa84aaf94fd6870ec205f9e39634a5720ebbd66ddbf190e8c39c79311dc7ea,Acquire competitor,149,BILL-109051,114457707,0xa2d7268b94ecec12afde7033d86697612c8991c0,LDH,CHF,CURRENT_TIMESTAMP,532,BILL-854463,"$179,980",1.66,1,BILL-831359,3.9,0xe6150f1f61cfde34ddaae3f074c2a5d45d2728f8,9106.9709,17.1,2023-07-01 20:56:43,08/26,"[0.0558, 1.5731, 0.5848, 0.4788, 0.2738, -0.5588, -1.6868, 0.6396]",69.6,0xa0cfba1e4e2d815fbefa5e20e7bddf72e35c51f7,"$210,011","$30,558",-28.93%,"8924 Cedar Ln, London, WA 65586",5718.34,f511bfd849652fc5fd7635f280b5013732e6210f342cfefb54d6d73f6b18d770,478318,1126,false,601166018,Widowed,dt=us-east,White et al. (2010),8813395272,Article,Europe,INS-348969,4514,53119,471,240150048,606,4256-6606-8253-2450,191.78,601134975,Figure 10: Comparison,6011-5575-7248-1715,624188642,4161317007928,575555082766,97549.60,3739930
"$42,643.96","$3,874",0099,601124260,CNY,3451,michael.taylor@outlook.com,lindarobinson982,1883,BILL-721162,890932becb239784f459e784b3593a3e49bf536fd535b2d8b83ff0fa44f8a907,IPO readiness,0621,BILL-190070,156812428,0x0cecfa11fe56c2ea19bd21c205a6122d0702313b,VZW,JPY,0,673,BILL-565900,"$55,666",10.15,1,BILL-125384,15.5,0xa55359a0a39ac28a01d7ad5dc258ff2f764f820d,6318.4763,97.4,2018-11-09T01:57:16Z,08/25,"[-0.7471, 0.9743, -0.1469, -1.6764, -0.6605, 0.9578, 0.7483, 2.201]",48.2,0xea88063615964a4ebad20fcd0349f6777a5057b4,"$51,898","$14,159",-24.26%,"8606 Elm St, London, FL 16103",1738.34,853516cfa21eb0bed1700f373ddb7704a7a69cbf6769817eee13368db5516690,428881,0025,1,522216,Single,dt=us-east,Martinez et al. (2013),75207036,Video,Oceania,INS-887280,6555,51944,163,811161886,411,5854-2552-1992-2027,427.72,371059,Figure 19: Overview,5730-8252-0821-8556,732788044,6598381016818,798738067080,16960.67,54969
44350.56,"$38,603",7322,3747215,USD,4025,elizabeth.smith@gmail.com,david.smith357,231,BILL-556857,9d8c6bb4f4f5f800964205bbb12e2f4d9da2369dd770e9b250b5a49b9b09ef17,Launch SaaS tier,4671,BILL-185763,330348942,0xb2af52d92a3608a45e7f979099f70611ba7c240e,AKE,CHF,0,8771,BILL-272130,"$241,695",11.52,0,BILL-650771,38.3,0xe67c001c8c37e8eea3af1c4fcf3b053de098eaf0,552.3599,22.3,2020-02-06T00:40:35Z,06/28,"[-0.7974, -0.0034, 1.1767, 0.3164, 0.8715, 0.6796, -0.0279, -0.9512]",36.7,0x01bcdc6ecd595d9d28d67999e66a38af8609f166,"$72,903","$8,524",9.82%,"8858 Cedar Ln, Los Angeles, MA 99273",7832.09,67ef043e59adae9e67073ced05aab62543e28dcd72968418f76bdbfd35fe47d9,421845,6345,1,466232,Married,tenant=acme,Jackson et al. (2011),3643875634,Image,North America,INS-303615,8325,60118605,6860,533362182,407,XXXX-XXXX-XXXX-8574,454.25,544560,Figure 16: Distribution,XXXX-XXXX-XXXX-6888,922829215,3309905781566,39646478,"$14,904.27",44219
"$87,968.20","$5,241",0751,3795641,USD,1213,susan.johnson@gmail.com,amy_wright851,9803,BILL-154855,53d2bdc97e53af557a908d1ea69aae3375083de463bc2bd6d805b35a11ec0fbf,Acquire competitor,975,BILL-282076,261019374,0xd53e8437fd3e9f9fec01ccaeb3a9a5b602a64d90,IWS,CHF,'',6211,BILL-867545,"$117,768",3.91,1,BILL-807158,14.6,0x0cc0a663f1e7244157048004e721a1ca57d6e473,1129.2868,10.4,2021-11-03T08:10:06Z,09/25,"[-1.1152, 1.2994, 0.9608, -0.8701, 0.3998, 0.4968, 0.4088, -0.1065]",67.1,0xf01f06d8939aa8c7a0f740c9b2e63cafcd9d4fa4,"$248,283","$14,421",-24.46%,"8633 Park Blvd, Paris, IL 80683",5403.5,de04a1ec765175faea3ab2581e21ce10c3b1180daab9aeeb7f9b706112fbcba8,3723067,0754,'',3702779,Widowed,tenant=2024-01,Miller et al. (2016),709999967254,Article,Asia,INS-103260,2359,57362,5325,697221582,372,XXXX-XXXX-XXXX-7974,780.35,45376,Figure 8: Overview,XXXX-XXXX-XXXX-8873,113115768,9712200050963,6849304396,7132.23,378411
98828.12,"$44,641",7044,408161,INR,6041,logan.moore@gmail.com,davidgarcia694,411,BILL-497013,7be19e604d295685909a82832f858f15e02f7a5c1ee2612ef4d218c0a6ceb9bf,Expand APAC market,571,BILL-973863,403714312,0xcd61bd4837afd01bc71ff750b5b2309af624880b,ZZM,EUR,1,780,BILL-740480,"$248,585",9.85,1,BILL-246703,96.7,0x9d1d1f035e9c53267e07595b92e82b0e21fe0257,463.7214,1.7,2024-09-03 10:50:11,02/24,"[-0.1086, -1.5758, 0.651, -0.0777, 0.3634, -0.1886, 1.4642, -1.1231]",78.8,0x382de46f8464436d69156861401d42d1c684bd15,"$103,986","$49,960",37.75%,"3885 Oak Ave, London, NY 75512",6143.96,a62a92c9bf1e3aab654d11d4d4226f9fb3c272e8ff20f94cff45d7967448adbd,601194305,3994,null,479595,Divorced,tenant=us-east,White et al. (2017),87792074,Podcast,Asia,INS-310452,5457,377677,346,840440107,635,6011-3350-5884-3756,750.71,60116006,Figure 12: Distribution,6011-6600-0400-0249,202900485,0483915923583,152233735335,95806.91,601171317
"$16,416.39","$30,174",8092,56979,USD,7582,sarah.williams@gmail.com,oliver.davis728,357,BILL-315263,9834f3a9bfa44d1610c08720e7be8e21402faf659e916f0b724f78f436247926,Expand APAC market,7437,BILL-332897,187966393,0x6d24eb94c71de53a0ed3bcdf0fcf4b5c93f31d24,VEO,CNY,false,9299,BILL-152206,"$193,302",11.25,1,BILL-725681,28.5,0x87868804d6425747d64ca60270e61d3e024ba6c9,5303.3154,15.3,2018-07-28T02:25:33Z,09/24,"[-0.4947, 0.7618, 0.7973, -1.7301, 1.2554, 0.2712, -1.9718, -1.1086]",23.6,0xc7012f9900131bace8c97b2e22054bc4727f9f4a,"$101,934","$40,125",-39.7%,"5691 Cedar Ln, Sydney, IL 15410",2496.38,8f196cafd54ac86b7c1cd21078cdae1f5d2b78b5570c4001c6c57e2dc2cc573d,413228,6306,'',58346,Divorced,region=2024-01,Young et al. (2016),94085755,Image,South America,INS-470132,2524,3707626,742,303663766,515,3761-9296-3392-2778,669.13,373451,Figure 1: Comparison,6011-9868-5656-7563,894330001,2620386898863,692622200174,"$17,901.00",41894
66629.40,"$22,465",557,372153,CAD,5230,noah.thomas@yahoo.com,emma_clark163,306,BILL-479621,a03077224a8714b0b458bb6e2e3b154de7715b69d0e398bce2456a4bc5a2e2e4,IPO readiness,6036,BILL-677644,307293605,0x35198c0b49bef676c9fbedf6394b0665288f2296,QHS,BRL,0,306,BILL-138629,"$59,995",3.27,1,BILL-133965,95.9,0xa3c693f119302c5af7b243b1c7cd7f604af686e1,5381.6891,66.4,2024-05-27T02:36:42Z,06/24,"[0.4493, -0.0286, 0.5999, 1.8654, -0.1385, -0.3724, 0.3185, -0.3045]",0.2,0x2f8b00a4d33c12881039d2d38f080ae6f9a868b9,"$97,119","$31,026",-44.84%,"6121 Park Blvd, Portland, TX 73587",1025.58,f1e56b35f0d15139bc1e40874b9127f7d497abccaa7d2274ea954ba9eb2757e3,601126339,2582,CURRENT_TIMESTAMP,60111694,Widowed,tenant=us-east,White et al. (2003),48475807,Video,Africa,INS-315779,1676,601171761,119,311263550,835,XXXX-XXXX-XXXX-6691,4.39,601148024,Figure 16: Distribution,XXXX-XXXX-XXXX-1813,277282745,4450150136136,2581210817,"$62,109.14",56347
"$90,240.75","$40,165",1183,53976,CNY,8796,richard.robinson@gmail.com,jessica.king332,7458,BILL-984297,ed83b57318c93929c8d6be3fc00ecbb7744819b59b47547f272ebc8c2fcdf4cd,Launch SaaS tier,115,BILL-709428,723832028,0x3939278fdc1cb8591a008dce7748b46b5a68cb65,EPT,AUD,0,5808,BILL-208405,"$118,942",2.09,1,BILL-321773,50.0,0xa47ce88b29a3608d4a65157725c93e6e18a181ae,6111.1448,65.2,2018-01-09T16:06:59Z,11/25,"[-0.3332, -0.0253, -0.1847, 0.6662, 1.2012, 0.0463, -1.2041, -0.4943]",2.2,0x84a7787191ed0917c4f094929b4a27899a4211ed,"$72,122","$34,088",-31.69%,"2928 Park Blvd, Dallas, OH 34228",5690.58,a0ac2b0952588f0840ad76454281c8351defb6515a81929980dca62355992f47,3753878,1407,0,56568,Widowed,region=acme,Wright et al. (2011),2935158252,Infographic,Antarctica,INS-394706,5406,3776445,0697,997701015,651,5516-0997-1164-7577,591.1,3723457,Figure 19: Timeline,XXXX-XXXX-XXXX-1681,968405445,5759297513311,901653257506,"$13,484.03",421826
"$37,346.80","$13,459",8793,519324,CAD,8119,amy.miller@gmail.com,amy.lewis166,4402,BILL-759619,00bceec80d082bd9f338ea2afb5e8ec9624ff1870ff21211aedddd6e10838764,Acquire competitor,999,BILL-283085,940820934,0xbdae77a7ca46c9b6f8993bf72d2f97002cb5436a,IUA,AUD,false,4416,BILL-697668,"$106,800",10.29,1,BILL-151976,54.1,0x423b29d4a3c3dacb9777e2bec90b2ab9b51c3f6b,7784.8691,75.4,2026-11-16 18:55:25,09/30,"[-0.1889, -0.3127, -0.2514, 0.8837, -0.6532, -1.3326, 0.4224, 0.8404]",77.0,0x65cf940ee886350da7bf26227caf89ec87becfbe,"$241,688","$8,588",-29.64%,"3628 Main St, Phoenix, OH 97282",7964.32,9afe2a70e1142ebc261c6acc24e9808f75ac4086619c428bdbaed56d73c003ac,601107835,6597,false,430993,Widowed,region=us-east,Garcia et al. (2010),0886777461,Infographic,Oceania,INS-182855,7430,53300,307,497552952,794,3747-3787-4392-5276,711.03,44816,Figure 4: Comparison,XXXX-XXXX-XXXX-5211,288491149,2458804591867,4079626172,60151.01,43692
97269.85,"$5,913",2599,60113183,BRL,6167,noah.anderson@gmail.com,logan_lee257,662,BILL-404812,55a93ccdb283bc3a7b28b93941a1fc843213a2d433823163596a79be6af95814,Acquire competitor,7925,BILL-162817,729083679,0x1dd38be4552a9b3b49f252e81262e101280d3f71,HET,JPY,0,501,BILL-753570,"$242,494",13.62,1,BILL-294790,81.0,0x3514ddce1c9a1ff1da3197252848c19d28a5410d,2772.3435,43.0,2020-03-12 05:32:25,06/30,"[-2.6401, -0.5241, 0.7146, 0.1955, 1.4287, -0.4509, -0.829, 0.3022]",97.0,0x8554d9e4c1a8d339314d230c80e119141a1f3b73,"$153,147","$19,772",-15.83%,"7950 Maple Dr, Atlanta, WA 86604",5902.53,b89be999341075bdb8ceb499d00ab9250af6bb7597dba90d8a61718d135f8cfc,582021,2442,1,60116096,Married,dt=2024-01,Thompson et al. (2011),211805916981,Video,North America,INS-736040,1357,53045,840,456920654,810,XXXX-XXXX-XXXX-6828,41.86,40152,Figure 20: Distribution,5226-6075-3978-2034,463684869,8356087689385,91053961,48946.02,60111607
"$92,566.54","$29,818",8695,378465,EUR,5588,emily.lee@gmail.com,elizabeth.brown996,870,BILL-900168,fbb439b6bc7a38e612334811fefbabf0792b4da4f5ef555895c0e16ca221ddde,Acquire competitor,4475,BILL-720794,033461193,0xb7311d3bffb2f3b907e7061e533ba0f139881bd5,HNM,CNY,null,7813,BILL-651977,"$164,157",6.21,0,BILL-828939,71.1,0x2b07849c2f551b02bb32fc5054e3beb5bd0c4517,5523.6291,80.2,2025-07-12 12:51:18,02/29,"[0.2089, 0.0266, 0.2057, -1.0361, 0.0598, 0.0615, 0.0465, -0.8094]",2.7,0xb78e6e846719c48eeb939e0e9b43cdb3e02c50ba,"$118,642","$8,331",-9.85%,"5423 Main St, Miami, GA 34550",5537.35,a62abc86e6bef68c30b3d5f7416c5ad3dbe08756c9ec181928a7550ba14a6671,378374,8704,'',601127199,Single,dt=us-east,King et al. (2002),89430082,Article,North America,INS-820617,5515,60116137,0825,664235449,666,XXXX-XXXX-XXXX-6493,987.18,466282,Figure 3: Distribution,6011-2503-0474-2273,048809230,3196064521592,96674140,80168.89,441677
17197.99,"$22,895",5851,529683,JPY,2819,william.lewis@outlook.com,olivia.davis21,311,BILL-486756,7757f0e6f54410b194660e1a5b7d7a8de2a985872abba1340a2499cd718822f4,Expand APAC market,7387,BILL-560918,141561819,0x482a2550e22d51b7fc6a52c425deabe9b1658a29,VQI,EUR,'',2262,BILL-676474,"$148,645",1.09,0,BILL-857514,22.4,0x61fa76c800ff7e79aed6f5e34c2e0890e4599a91,2478.3329,32.6,2023-11-26T18:05:30Z,09/26,"[0.4866, 0.2241, -1.2999, -0.6708, -0.529, 0.9971, 1.7587, 1.8942]",87.3,0x8b0c03d7f7e43ef3483ac8d3c1079c3a2331cf9f,"$231,060","$44,692",-31.93%,"9649 Park Blvd, Atlanta, FL 65688",1587.53,99718c3ac81963814ea3991ea8c6935b8c5d73b151ce9620034bd01e99ecd386,582796,4197,CURRENT_TIMESTAMP,3792384,Married,tenant=2024-01,White et al. (2010),129134773514,Image,Europe,INS-205723,6871,601108384,691,192322082,753,5894-5495-7344-8208,831.64,439842,Figure 17: Comparison,6011-8968-9843-2269,855798365,1841697261599,246234474777,"$68,818.61",58617
"$76,265.56","$25,662",585,601116695,AUD,9292,liam.moore@outlook.com,noah.smith493,4568,BILL-418988,e43a3524735689979fcd42ae866beab9afd651dc2d4feb0a9b8b7097a3604831,IPO readiness,646,BILL-800930,058035632,0x182ef1318690a4b918711b74ee4971278c1da0f6,FKV,EUR,0,328,BILL-154189,"$80,493",13.66,1,BILL-827607,95.1,0x3ecfe91dc2bca6c81ef7d72ef7dfc15947f653b8,6189.271,42.8,2022-07-01T06:31:36Z,08/24,"[-0.1895, 1.6736, 0.7465, 0.3764, 0.3857, 2.0203, -1.2009, -0.8589]",10.1,0xc6fab4e5f7b7f29b412253c76ce8513cfb7db6fc,"$82,849","$9,981",-22.16%,"601 Oak Ave, Tokyo, CO 73954",6223.87,8013b1f26566a5c97367be53c49c5faa27e20ec1381ff1d728c3f2ac9e88197b,565014,3329,null,493342,Divorced,region=2024-01,Harris et al. (2010),096831775947,Video,North America,INS-778448,4424,558294,252,762373607,675,6011-7867-8152-6811,820.0,60115227,Figure 20: Distribution,XXXX-XXXX-XXXX-7874,553225265,9424680359243,170996972151,52303.40,60115129
