var_45,ordinal_position_data,int,artname,stat_code,raw_integer,stddev,correlation_14,word2vec,event,likelihood,v_633,semver,c_cor,swift,ksmpsa64,integer_22,iso_currency_code_v2,val_zs,NUMERIC_RANGE,val_corre,TRANSLATION,fchd84,val_atlj,c_gzl,bucket,jqa15,given_name,fact_standard_deviation,raw_schema_table_name,c_236,integer,partitionKey,binval,addressLine,src_decimal_float,col_vari,yyv37,binary,median_14,integer_2,image_embedding_14,fact_word_embedding,PARTITION_KEY,f_280,meta_586,fact_probability_confidence,INTEGER,probability_confidence_14,meanAverage,zip,raw_market_value,min_max,MAIDEN_NAME,standard_deviation_14,user_trend_growth_rate,correlation,f_role,probability_confidence_v2,duration,decimal_float_14,trend_growth_rate_14,standard_deviation_val,confidence_interval,MODIFIED_AT,customer_numeric_range,MEAN_AVERAGE,numeric_range_14,intval,col_wab,percentile_field,c_hds,mean,vital_sign_22,ordinal_position,image_embedding_val,standard_deviation
-11.06%,900,870,The Persistence of Memory,cancelled,5455,38.6676,0.4486,"[-0.3532, -1.4833, 0.8957, 0.7999, 1.1651, 1.823, -0.0422, 0.5782]",Tech Forum 2021,0.8398,C6H12O6,2.5.45,0.6359,322145022,"[0.3054, -0.2082, 0.7858, -0.5368, -0.0245, 0.3981, -0.4792, -0.3647]",3921,EUR,4521,15-88,0.0811,Guten Tag,2975-5503,36.5139,0,43.25,66.99,Michael,37.0627,hr.employees,Non-conformance: access control,7506,region=2024-01,0,2720 Pine Rd,5947.5669,"[11.15, 72.73]",E. coli,0,-32.4685,1059,"[0.0188, 0.0697, -0.134, 0.129, -0.4283, -0.3855, -0.3713, 0.191]","[2.2856, 2.173, -0.378, 1.2114, 0.1131, 0.4247, 1.4016, -2.5703]",tenant=2024-01,Carbon Fiber,26-67,0.4281,8164,0.427,92.6563,LN8 6CT,"$446,245,041",4-64,Martin,12.6133,-36.46%,-0.1094,Data Analyst,0.86,28327,9961.2473,-25.41%,44.4854,"[17.76, 98.76]",2026-02-18 05:57:59,42-51,-72.6307,1-68,8182,4.6159,95.08,"$4,472,176",6.6715,BP 99/104 HR 73,559,"[0.2006, 0.0494, -0.2033, -0.943, 0.5824, -0.539, -0.0617, -0.3589]",3.0164
-46.31%,950,7154,The Persistence of Memory,active,8409,2.0132,0.2534,"[1.0546, -0.4303, 1.3873, -0.7406, -1.9245, 0.2062, 0.7272, -0.3203]",Data Conference 2023,0.94,C6H12O6,3.2.48,-0.5837,498271530,"[-0.5767, 0.1884, -0.081, 0.188, 0.2579, 0.0903, 0.2076, -0.4319]",2469,AUD,4712,30-79,0.2194,Konnichiwa,8377-9343,43.4124,0,7.28,25.98,Mary,45.713,sales.orders,Observation: backup schedule,3277,tenant=2024-01,1,3814 Cedar Ln,1754.3712,"[39.98, 74.75]",H2O,0,-13.1403,1130,"[1.1281, 0.5784, 0.302, -0.6128, 0.6847, -0.7394, 0.6025, 0.2637]","[2.3905, -0.7065, -0.4131, -1.2358, -0.9707, 0.2389, -0.9053, -1.5448]",dt=us-east,Carbon Fiber,21-94,0.1695,1398,0.5494,-1.3635,78804,"$418,392,929",21-57,Taylor,11.8122,0.54%,-0.1424,Data Analyst,0.5313,41146,8914.5466,-39.2%,47.9426,"[23.49, 85.71]",2022-01-06 18:38:06,19-93,1.8016,13-51,229,0.9798,64.86,"$1,999,316",-5.226,BP 104/86 HR 114,56,"[0.3185, 0.53, 0.0616, -0.0334, -0.1633, -0.0388, 0.5542, -0.4676]",15.4481
17.22%,139,4812,The Persistence of Memory,failed,9147,25.8068,-0.2199,"[-0.0181, -0.503, -0.7803, 0.5127, -0.3935, 0.3726, 1.7653, 1.0831]",Annual Summit 2026,0.7357,E. coli,1.19.68,-0.1509,508247540,"[-0.0342, -0.4032, 0.2007, -0.51, -0.3363, -0.345, -0.2704, 0.6122]",8675,USD,8923,10-69,0.8542,Guten Tag,4343-1951,35.7415,0,88.33,88.34,Ethan,37.4732,sales.orders,Non-conformance: access control,6709,dt=acme,1,2532 Oak Ave,1484.1482,"[22.51, 62.39]",NaCl,1,-67.6217,9018,"[-0.5088, -0.4971, 0.3403, 1.0029, 0.1763, 0.0711, -0.2235, 0.1728]","[-1.2345, -0.1202, 1.7242, 0.9387, 0.2752, 0.254, 0.3832, -0.1036]",dt=2024-01,Carbon Fiber,41-73,0.7868,6005,0.9646,-38.2977,33393,"$441,401,560",40-99,Wright,19.2739,1.67%,-0.6479,Data Analyst,0.9779,42178,5038.0078,26.77%,21.6811,"[14.85, 63.67]",2021-06-22T22:04:55Z,22-84,22.9515,32-92,5473,6.7157,47.59,"$4,911,202",-88.782,BP 122/98 HR 89,13,"[0.8787, -0.7005, 0.3526, -0.3006, 0.4125, -0.3375, 0.3961, -0.44]",39.7674
-26.83%,21,7794,The Persistence of Memory,inactive,3040,34.683,0.7329,"[-1.3174, 1.4377, 1.2231, 0.0264, 1.6484, -1.0795, -0.7644, 0.7055]",Global Expo 2022,0.6873,Homo sapiens,0.3.2,0.7313,172659622,"[0.273, 0.9613, -0.0778, 0.3677, 0.6775, -0.7829, -0.4431, -0.136]",2744,CAD,9173,37-71,-0.2274,Hola,2603-5485,36.014,0,8.03,77.77,Anna,33.8845,analytics.events,Non-conformance: access control,5121,tenant=2024-01,1,3809 Cedar Ln,6564.7221,"[12.82, 75.12]",NaCl,0,-12.8371,9213,"[0.4816, 0.7297, -0.7138, 0.3133, -0.2103, -0.1114, 0.0716, -0.3082]","[-0.1757, -1.0428, 1.2491, -0.3511, 0.0472, 0.3382, 1.1878, -2.3206]",dt=acme,Carbon Fiber,37-80,0.0144,9769,0.7275,-30.916,36512,"$553,943,556",30-56,Rodriguez,26.5864,-9.86%,-0.7638,Data Analyst,0.0184,18175,5219.7449,42.51%,48.7739,"[23.54, 72.44]",2020-10-19T19:14:40Z,33-82,35.4813,19-76,4902,7.6227,60.77,"$4,493,346",-60.7833,BP 105/78 HR 59,352,"[0.2772, 0.2215, -0.6553, 0.1749, 0.0231, -0.1506, 0.328, -0.2282]",4.308
5.89%,391,756,The Persistence of Memory,approved,7184,40.1617,0.349,"[1.2483, -1.6155, -0.6149, -0.6413, 0.3943, -0.6643, -0.4573, 1.9022]",Annual Conference 2025,0.2009,H2O,4.14.65,0.391,173269542,"[0.8685, -0.5145, 0.6048, -0.3751, 0.1757, 0.6765, 0.4183, 0.1171]",6401,GBP,8947,49-95,-0.5569,Namaste,9367-1066,2.522,0,85.06,56.46,John,1.478,sales.orders,Major finding: data retention,2014,dt=acme,0,4325 Cedar Ln,3710.076,"[38.68, 70.02]",Homo sapiens,1,-3.7643,2317,"[-0.1845, -0.32, -0.7619, -0.3191, -0.4181, 0.0143, -0.6331, -1.1109]","[-1.1242, -0.7111, -1.1647, -0.9399, -0.8989, -0.6916, -1.5639, -0.6255]",dt=2024-01,Aluminum,29-69,0.6988,2911,0.717,0.7012,QF6 7EO,"$798,333,425",19-94,Wright,24.6985,-10.51%,0.9024,Product Manager,0.5848,8176,3757.0954,3.6%,19.906,"[10.11, 65.87]",2025-05-19T22:16:10Z,27-85,9.5055,46-73,3996,8.8674,1.74,"$4,467,134",-36.2271,BP 141/101 HR 65,223,"[0.5261, 0.2894, 0.2965, 0.3473, 0.2469, -0.4729, -0.216, 0.005]",10.4181
-3.77%,369,2323,The Scream,pending,3066,28.0412,-0.1058,"[-0.6296, 1.4468, -1.5403, -0.1858, -0.1665, -0.37, -1.6688, -0.9677]",Data Summit 2023,0.1903,E. coli,5.10.64,0.6081,346087743,"[1.2916, 1.247, 0.1794, -0.0273, -0.034, 0.0148, 0.1507, -0.6028]",1462,USD,629,16-62,-0.2755,Guten Tag,2433-3945,39.4839,1,59.48,63.35,Olivia,33.8028,analytics.events,Observation: backup schedule,647,region=2024-01,1,3132 Oak Ave,5099.9794,"[18.58, 89.34]",H2O,0,-66.8193,6583,"[-0.7499, 0.5273, 0.3696, -0.0205, -0.2315, -0.2736, -0.8148, 0.0971]","[-2.0502, -0.6297, 2.0198, 0.1556, 0.1178, 1.9365, -0.3497, 0.7283]",tenant=acme,Aluminum,42-56,0.5827,7923,0.998,-74.5769,EG4 5ZP,"$579,722,294",14-73,Jackson,27.1711,-35.74%,0.9611,Sales Rep,0.8449,73037,9530.9567,-9.64%,25.8838,"[6.43, 77.55]",2025-09-02 09:35:51,39-74,32.4201,40-76,4229,0.0651,6.93,"$2,404,545",70.3598,BP 114/100 HR 91,301,"[-0.1279, -0.154, -0.5983, 0.8359, -0.2107, 0.8896, 0.315, -0.0475]",13.2494
-44.8%,803,2387,Water Lilies,approved,4441,28.2314,-0.6739,"[0.1423, -1.6799, -0.058, 0.5322, 0.9329, -0.6013, -1.3244, 1.8397]",Annual Summit 2020,0.3587,Fe2O3,3.6.32,-0.3076,856578857,"[-0.3242, 0.5981, -0.3412, -0.882, 0.6368, 0.1969, -0.4075, -0.0355]",1529,AUD,1535,23-68,0.5658,Konnichiwa,7095-9430,48.1019,0,60.61,4.46,Mary,34.1986,hr.employees,Non-conformance: access control,6986,tenant=us-east,1,8512 Oak Ave,8774.029,"[11.09, 99.66]",NaCl,0,54.2694,8959,"[0.2304, 0.2924, -0.4437, 1.0959, 0.0575, 0.3666, 1.2042, 0.3388]","[-0.6347, -0.4072, -2.2535, 0.1738, -0.7921, 1.5106, -0.0069, -0.9448]",tenant=acme,Glass,26-76,0.3203,6314,0.355,58.8737,WR3 4KR,"$909,385,743",29-53,Moore,11.5726,-49.88%,0.163,VP Engineering,0.5404,58265,4343.4455,25.91%,42.7924,"[39.17, 98.17]",2019-07-21 04:08:28,18-73,61.8152,20-65,6482,4.5598,62.73,"$2,831,499",61.7301,BP 137/85 HR 98,22,"[0.6234, 0.6917, 0.4556, 0.3861, -1.2305, -0.9686, -0.0993, 0.8674]",15.1599
23.04%,50,6372,Water Lilies,active,8336,17.7927,0.1561,"[-1.0015, 1.115, -1.8876, 0.4828, -0.8277, -0.5664, 1.3111, 1.3043]",Annual Summit 2025,0.2754,H2O,0.16.72,0.7535,626088047,"[0.214, 0.2885, -0.3706, -1.0367, -0.932, -0.4374, 0.1203, -0.3398]",3853,BRL,7174,47-57,-0.504,Bonjour,6039-8180,20.1782,1,19.58,72.01,Jessica,2.7864,hr.employees,Major finding: data retention,5741,region=us-east,0,5921 Main St,4706.9257,"[25.14, 75.7]",NaCl,1,-80.3666,4732,"[-0.7603, -0.1848, 0.1328, 1.085, -0.2208, 0.1592, 0.3073, 0.5254]","[-0.0085, 1.086, -1.4265, 0.1918, 0.3201, -2.0121, 1.0693, 0.5518]",dt=2024-01,Polyethylene,8-75,0.5892,8786,0.301,76.5432,59581,"$727,851,189",43-72,Anderson,29.5857,47.96%,-0.8975,Data Analyst,0.0268,57175,2158.0792,23.49%,5.8822,"[14.02, 80.73]",2023-12-18T17:17:39Z,38-91,-2.0126,10-100,1505,6.8644,52.17,"$881,745",-86.4547,BP 125/83 HR 104,301,"[-0.2038, -0.4051, -0.127, -0.244, 0.5944, -0.9541, -0.2988, 0.4656]",39.8714
9.59%,440,4027,The Scream,failed,52,22.3922,-0.7383,"[0.0222, 2.4968, 1.0855, 0.4416, -2.1097, 1.7983, 0.4098, -0.2551]",Annual Summit 2024,0.7418,NaCl,2.7.89,-0.1217,263530496,"[0.7081, 0.1654, -0.2323, 0.9826, -0.6024, -0.1952, 0.1058, -0.4147]",6494,CNY,9056,17-71,-0.6543,Guten Tag,2388-4953,29.3209,1,57.13,65.66,Patricia,20.3824,sales.orders,Observation: backup schedule,9029,region=2024-01,1,3513 Oak Ave,771.057,"[34.55, 82.29]",Homo sapiens,1,64.3608,2444,"[0.2399, 0.7979, 0.2731, 0.2043, 0.5445, -0.0159, 0.1881, -0.3787]","[-0.4259, 0.1556, -0.3544, 0.3013, 1.3068, 0.2712, 1.4987, -0.678]",dt=2024-01,Glass,6-59,0.6503,7304,0.2207,-83.2078,21765,"$706,679,519",14-64,Lee,9.4255,41.29%,0.1556,VP Engineering,0.4123,27936,7072.9473,-23.03%,14.9041,"[10.93, 66.93]",2019-05-26T20:32:06Z,44-67,85.1075,31-84,4145,4.6687,56.98,"$1,039,190",-51.5922,BP 103/75 HR 118,295,"[-0.1424, -0.5111, 0.31, 0.5829, -0.9128, 0.5253, 0.3496, -1.0071]",31.0415
36.69%,767,9975,Water Lilies,completed,9666,1.0265,0.1158,"[0.2624, 0.5332, -0.5368, -0.5286, -0.5253, 0.8654, 0.8914, -0.5423]",Tech Summit 2026,0.2649,C6H12O6,0.3.32,-0.2353,042061134,"[-0.0015, 0.1233, 0.3327, 0.2216, -0.0147, 0.6705, -0.4908, -0.2821]",8143,BRL,7001,37-91,0.9387,Bonjour,1609-2137,8.417,1,15.95,30.38,Jennifer,17.322,sales.orders,Non-conformance: access control,9600,dt=acme,1,2365 Elm St,5491.0316,"[33.95, 94.24]",Fe2O3,0,12.9152,7567,"[0.1201, 0.132, -1.3261, -0.4625, 0.1166, 0.3579, 0.7071, 0.5234]","[0.6796, 0.1465, 0.2706, -0.7854, 0.0193, 0.1664, 0.5332, -0.6439]",dt=2024-01,Aluminum,38-61,0.8776,3610,0.8585,91.2689,WY1 8QK,"$687,250,706",33-83,Walker,0.887,-2.02%,0.2524,VP Engineering,0.6005,40790,9266.0755,-15.86%,9.8116,"[33.69, 62.12]",2018-10-07 01:10:34,5-69,-50.687,31-55,1463,3.1852,40.43,"$4,423,436",79.1556,BP 129/73 HR 66,476,"[-0.6254, -0.0484, -0.777, 0.0996, 0.4125, -0.3461, -0.2091, -0.1311]",49.0007
