ordinal_position,bank_identification_number_data,f_bil,region_state_province_14,salary_compensation_v2,dim_cicu,user_revenue_sales,x_878,x_legal,tenantIdentifier,BILLING_ACCOUNT,src_landmark_poi,d_ordi,relationship_type_6,val_ziw,transactionAmount,energy_info,dim_bonu,d_lqxg,field_ban,correlation,dim_igp,d_esy,f_771,BONUS_VARIABLE_PAY,f_iso,price_cost_info,TITLE,revenue_sales_22,EXCHANGE_RATE,src_magnetic_stripe_data,card_last_four_data,val_pric,v_last,src_encoding,paypal_account,leghold,dim_bank_account_number,STOCK_RSU_GRANT,cas,bnk_account_number,meta_orle,encoding_22,fraudscore,stockrsu,deleted_at_22,magnetic_stripe_data_22,cardLastFour,pan,user_mapping_transform,raw_payment_card_number,wrj76,salary_compensation,attr_dec,field_vdx,memory_usage_30,continent,attr_zf,f_yy,f_mok,standard_deviation_data,cd_expiry_date,chemical_id,last4,card_expiry_date_raw,priceCost,measspd,revenue_sales_data,attr_bin,MEDICAL_PROCEDURE,bankIdentificationNumber,vhogjh13,ayrn10,paypalAccount,region_state_province_raw,BANK_IDENTIFICATION_NUMBER,cryptocurrency_address_data,INVESTMENT_ACCOUNT,meta_bonu,fact_quarter,rupee,stock_symbol,f_wbq,latency_response_time_v2,iso_currency_code,billacct,routnum,field_811,cd_verification_value,pese80,bonus,insid,hash,dnmmc93,invest,src_currency_name,v_son,raw_billing_account,fact_record_type_discriminator,commandAction,PAYPAL_ACCOUNT,load_timestamp,globalTradeItemNumber,aiy37,ahu73,kvejmg53,card_verification_value,emailAddress,cardVerificationValue,risklevel,intmemo,fact_stock_rsu_grant,payment,trade_secret,bin,cred_score,revenue_sales,var_kc,stock_rsu_grant_38,paypal,isoCurrencyCode,currency_nm,puf11,ISO_CURRENCY_CODE
819,495234,BILL-142983,WA,"$196,891",2547.52,"$308,206",BRL,HOLD-2024-462,tenant-029,BILL-680401,Eiffel Tower,579,Manager,614112034,"$64,192.28",45917.8,"$20,178",6011-3431-4139-4550,9379389909,-0.8902,0x9fb6e578c53cb36640cc6c0e8b067f68fcaf720f,"$68,673.02","$6,713","$21,332",EUR,1413.12,Technical Analysis 2025,"$2,234,158",8.7564,%B1641725510180653^MOORE/SARAH^2804,4110,8630.87,7605,Latin-1,aiden.lee@gmail.com,HOLD-2023-854,549930280368,2930 shares @ $470.56,5915-74-9,59427865,049,UTF-8,72.7,2166 shares @ $369.89,,%B5164364274060588^MILLER/NOAH^2403,4462,XXXX-XXXX-XXXX-8222,source_col -> field_b,5521-9733-1632-3553,289446091,"$57,418",735.7077,"$78,077.23",31.0,Oceania,9867,message Msg { string id = 1; },99.8,22.1357,07/26,96787-66-0,8426,08/25,3724.97,86.4,"$3,311,032",374866,Physical Exam,601134401,3743 shares @ $169.4,Euro,robert.williams@outlook.com,OH,44237,0x4d8fe4cffa910a05d63cc00e825eb8cb3e3ae25f,INV-973746,"$17,923",Q4 2026,US Dollar,VKJY,12/27,46,CHF,BILL-531829,354739284,BILL-942577,593,Lucas Jackson,"$48,234",INS-902138,$2b$12$f7czqP226unFXIK71gvh7GNBexAO1rPNsm4ntLDIRNxMboskWsG1R,11/26,INV-107853,Japanese Yen,Yesterday,BILL-871360,insert,POST /api/orders,aiden.martin@gmail.com,2018-08-21T11:25:18Z,7961619574891,280,tenant-024,8054,0549,william.anderson51@yahoo.com,9083,Negligible,[INTERNAL] Q3 strategy review pending board approval,2445 shares @ $476.14,43351.33,[CONFIDENTIAL] Formula #717,50869,304,"$7,543,058",6754641794,3376 shares @ $27.81,oliver.martinez@yahoo.com,CAD,US Dollar,0574,USD
641,42319,BILL-831006,GA,"$160,496",8427.33,"$3,176,959",USD,HOLD-2023-482,tenant-009,BILL-127026,Central Park,197,Child,390758553,76840.44,5757.4,"$8,353",5360-0615-1824-0675,30942607,-0.8687,0x051dfa0196ca7fc5d1434038258f2ae9d101a074,2976.53,"$25,687","$34,136",CNY,1735.09,Quarterly Review 2021,"$252,213",80.2603,%B2785598135760843^TAYLOR/EMMA^2509,3408,900.24,8971,ISO-8859-1,ethan.williams@gmail.com,HOLD-2025-688,6834370860,2484 shares @ $254.07,67919-69-5,9682511694,8778,Latin-1,23.6,3215 shares @ $325.21,,%B2940967787657447^JONES/PATRICIA^2410,2675,4663-7526-6679-0133,field_a -> output,XXXX-XXXX-XXXX-8541,862635822,"$187,352",6392.4632,"$93,268.57",22.6,Europe,1858,CREATE TABLE t (id INT PRIMARY KEY),24.5,32.7323,10/30,88759-27-3,5938,07/28,4414.13,285.6,"$7,232,411",378220,ECG,3788545,948 shares @ $130.48,Euro,michael.garcia@yahoo.com,IL,601156279,0xba01ef374f7bf4141d9ce2bcc26769850ea23b3f,INV-998159,"$10,291",Q2 2025,Swiss Franc,IC,06/30,2737,INR,BILL-940983,332576021,BILL-720383,8746,Olivia Garcia,"$40,367",INS-370197,$2b$12$sTZpr97ojFscZr0Qi8D22udNl1yQ12d4IlQEFjx4TQYXNe2NE1QJs,03/29,INV-864397,Swiss Franc,Stairway to Heaven,BILL-172649,insert,GET /api/users,patricia.garcia@outlook.com,2020-10-26T16:14:02Z,4612466241158,856,tenant-033,4227,991,liam.thomas@yahoo.com,596,Critical,[INTERNAL] Q2 strategy review pending board approval,4381 shares @ $63.34,"$38,691.68",[CONFIDENTIAL] Formula #543,601109076,360,"$737,618",7546009948,2858 shares @ $222.31,amy.brown@yahoo.com,JPY,British Pound,0596,GBP
948,3745857,BILL-640671,FL,"$79,135",9803.1,"$473,583",AUD,HOLD-2021-398,tenant-035,BILL-306918,Central Park,200,Spouse,628522817,"$64,135.71",19894.4,"$10,420",6011-0303-1178-9917,9723000146,-0.4616,0x0a042e8fe312f0083e67729d8f798d879f84c86c,98974.20,"$10,980","$47,815",GBP,9096.66,Technical Analysis 2024,"$3,901,975",115.6947,%B7897467476037772^RODRIGUEZ/WILLIAM^2912,8840,8220.3,6623,Latin-1,aiden.wright@gmail.com,HOLD-2022-256,466600787462,1469 shares @ $302.13,45480-72-6,89759092,445,Latin-1,35.6,628 shares @ $357.93,,%B3301492420506871^WILLIAMS/SOPHIA^2701,1424,3795-0677-0600-0796,input -> output,XXXX-XXXX-XXXX-4404,522780208,"$65,072",1447.7266,"$16,639.62",80.3,Europe,6962,message Msg { string id = 1; },43.0,4.7886,04/26,83067-62-2,2698,01/24,2643.4,194.6,"$2,755,747",58799,Colonoscopy,601134888,948 shares @ $79.89,British Pound,mason.jones@yahoo.com,CO,601180307,0x63f2a3a324a998556ff51c123a2bf61f01cac8b7,INV-475702,"$3,519",Q3 2026,Swiss Franc,VFRI,01/26,2973,INR,BILL-851928,318691006,BILL-568876,7860,Liam Williams,"$24,032",INS-259707,$2b$12$mjczGVPSS1WikjkELIK0YlVcmY9ItOquLfeT8oKncSnq0T7qTwjxd,06/25,INV-253453,US Dollar,Yesterday,BILL-443577,insert,kubectl apply,lucas.martinez@outlook.com,2026-03-10T00:11:09Z,3837259144241,629,tenant-049,6459,060,sarah.rodriguez@company.com,5285,Critical,[INTERNAL] Q1 strategy review pending board approval,4787 shares @ $39.56,"$45,582.51",[CONFIDENTIAL] Formula #697,601165643,495,"$1,032,453",1789884017,565 shares @ $348.55,elizabeth.wright@yahoo.com,CNY,Euro,9418,EUR
469,60119557,BILL-824833,IL,"$87,696",2200.54,"$1,975,797",CAD,HOLD-2021-269,tenant-029,BILL-798436,Golden Gate Bridge,905,Child,287467694,76232.76,94277.0,"$25,583",XXXX-XXXX-XXXX-7283,62651456,-0.1528,0x9b39da889be436e0549e191642a58961b5247edb,72949.13,"$41,765","$22,201",CAD,8636.56,Quarterly Summary 2023,"$633,510",6.8228,%B8812651344104937^YOUNG/OLIVIA^2408,6966,8414.28,4202,ISO-8859-1,mary.thompson@outlook.com,HOLD-2024-587,83576155,2363 shares @ $51.37,7161-27-2,717878217726,2858,ASCII,53.6,1781 shares @ $153.25,,%B2023750623559423^WILLIAMS/ROBERT^2906,0158,3767-4670-9412-9203,input -> target_col,6011-6318-3185-4882,166240980,"$58,279",7981.4662,99315.41,23.7,Oceania,1441,CREATE TABLE t (id INT PRIMARY KEY),78.8,46.7566,12/26,50066-94-7,1018,12/28,3859.21,112.9,"$9,755,538",374002,ECG,377007,4738 shares @ $181.66,US Dollar,lucas.harris@gmail.com,WA,3776836,0xf371a2bfb5ec111907227e9eb77d44fa0d78ac03,INV-515586,"$30,837",Q1 2024,British Pound,VOMZ,12/25,665,CHF,BILL-232006,761924565,BILL-111340,5176,Noah Miller,"$8,710",INS-484083,$2b$12$QeX5hVeMk1zqd53CUZe4P0t1AcROfi86IT7EvER3X6cn1yXiag5i3,11/28,INV-284184,British Pound,Yesterday,BILL-645669,delete,kubectl apply,susan.miller@gmail.com,2026-12-28 01:28:19,7572759373762,264,tenant-050,592,985,ethanrodriguez@yahoo.com,834,Negligible,[INTERNAL] Q4 strategy review pending board approval,1080 shares @ $314.24,69230.25,[CONFIDENTIAL] Formula #377,562618,364,"$8,540,441",276892474698,4779 shares @ $434.35,ethan.thomas@gmail.com,USD,British Pound,3780,EUR
236,373765,BILL-670675,NY,"$91,955",3021.81,"$8,174,561",INR,HOLD-2020-262,tenant-013,BILL-617160,Eiffel Tower,633,Child,830266575,28102.78,73013.3,"$41,767",4750-8796-6858-9495,42289262,0.4036,0x1cfc58b90840b5e9fea4f45b0bf74b8c354af5e3,"$6,825.14","$48,860","$4,806",EUR,1527.81,Executive Summary 2024,"$6,882,796",141.8903,%B4920658977003215^KING/JESSICA^2807,8449,9384.46,2211,UTF-8,logan.harris@gmail.com,HOLD-2024-516,00936826,2060 shares @ $211.5,12491-12-3,0112465695,0492,UTF-8,82.3,2051 shares @ $15.95,,%B9703662520681490^MILLER/JOHN^2601,2732,6011-5999-6319-4152,input -> target_col,6011-9293-6249-9572,184117136,"$165,254",4282.4941,89544.80,87.8,Oceania,3898,CREATE TABLE t (id INT PRIMARY KEY),16.0,40.3675,01/28,34654-14-3,4321,04/26,2205.98,291.3,"$8,044,925",40021,ECG,53666,1143 shares @ $120.04,Swiss Franc,aiden.thompson@gmail.com,CO,51467,0x003c9d51fbda01073fe1e61d686a08f254155e53,INV-700642,"$45,272",Q1 2025,Japanese Yen,TY,05/26,42,CHF,BILL-482342,257822201,BILL-280800,9536,Richard Taylor,"$27,957",INS-564986,$2b$12$oHrIbcAcn1njay7JWItXMrhR631Ye10rqFh90HzYjpomLdFlMtjvd,06/30,INV-644787,Swiss Franc,Stairway to Heaven,BILL-756727,delete,kubectl apply,mason.young@outlook.com,2026-10-01T22:13:48Z,4037027701650,753,tenant-009,3180,9331,olivia.anderson@outlook.com,2427,Negligible,[INTERNAL] Q4 strategy review pending board approval,1185 shares @ $26.51,74373.81,[CONFIDENTIAL] Formula #914,47614,813,"$4,428,120",17520522,2562 shares @ $352.56,linda.taylor@yahoo.com,USD,Euro,7919,BRL
316,60118628,BILL-190512,CA,"$90,262",1416.9,"$9,532,144",USD,HOLD-2023-117,tenant-010,BILL-744120,Eiffel Tower,108,Peer,970530908,656.22,59728.1,"$42,042",3733-9631-2566-4010,474240303325,0.3378,0xeea6a7562155dded6cfc81b5a75189f4a163af85,85017.26,"$30,296","$49,574",JPY,7026.24,Technical Review 2022,"$8,455,693",109.4526,%B6686149740699623^ANDERSON/OLIVIA^2406,2331,9282.1,1941,ISO-8859-1,james.thomas@gmail.com,HOLD-2025-938,429713605827,1238 shares @ $107.58,13259-98-0,756316980332,105,UTF-8,69.1,4940 shares @ $256.41,,%B5470750918580840^JOHNSON/ROBERT^2405,9166,XXXX-XXXX-XXXX-8031,input -> output,XXXX-XXXX-XXXX-7448,625939599,"$54,440",4428.0656,"$30,451.45",83.6,Antarctica,5896,"{""type"": ""object"", ""properties"": {}}",16.7,18.3058,07/28,32826-47-1,1594,11/25,4188.69,174.7,"$3,911,387",60113481,X-Ray Chest,43562,770 shares @ $226.61,British Pound,sophia.lewis@outlook.com,OH,601148019,0xdc533a9057e3ef0f620e134794f36b21ecbc387f,INV-599118,"$3,403",Q1 2022,Swiss Franc,TOYL,06/24,4319,INR,BILL-305653,195437860,BILL-543667,174,Logan Robinson,"$20,832",INS-197730,$2b$12$bHxeO8JJpbvHhCx4J9GDbbgHAi0PTuvbteDc6XTDKdJYeEo5Hlas4,03/28,INV-229010,British Pound,Hotel California,BILL-389827,insert,POST /api/orders,david.davis@yahoo.com,2019-06-14 01:23:40,1257469526234,184,tenant-012,5397,732,maryrobinson@example.com,7154,High,[INTERNAL] Q2 strategy review pending board approval,4372 shares @ $71.69,"$20,499.09",[CONFIDENTIAL] Formula #629,49091,584,"$4,022,011",6125004698,2675 shares @ $394.28,emily.taylor@outlook.com,EUR,Swiss Franc,8451,BRL
962,3748230,BILL-291422,IL,"$192,053",1929.44,"$8,647,811",INR,HOLD-2022-387,tenant-032,BILL-973219,Statue of Liberty,847,Parent,172112421,20312.15,60935.2,"$20,877",5592-6362-9542-2954,92706359,0.1966,0x07e3c81c370b4c23f9e47abd903a820b9ba27e6f,48010.02,"$7,767","$38,082",CHF,7511.36,Technical Review 2026,"$7,751,552",147.1755,%B3540439088928285^LEE/ETHAN^2503,2274,7234.09,6267,UTF-16,sarah.lewis@outlook.com,HOLD-2024-310,90451959,2093 shares @ $406.71,16801-13-0,793009679811,4836,UTF-8,5.1,820 shares @ $368.77,,%B4649912827428548^GARCIA/ELIZABETH^2703,1215,6011-4178-8574-5707,field_a -> output,XXXX-XXXX-XXXX-3054,886518312,"$62,058",6419.2269,"$28,162.76",97.8,Europe,6322,message Msg { string id = 1; },14.5,21.1595,09/27,64476-23-9,6136,12/27,4804.27,151.6,"$4,515,290",601110221,Blood Draw,544215,2757 shares @ $207.86,Japanese Yen,oliver.brown@outlook.com,TX,60117127,0xe0c2f5388c347f88248f9e684231789b9b26802a,INV-364750,"$47,368",Q4 2026,Swiss Franc,OIIQ,04/25,2004,GBP,BILL-220332,767568832,BILL-614393,2398,Michael Wright,"$34,223",INS-935013,$2b$12$dRw6GDkmk2pg13QijNhEhv3F72yUQmV2cRYdOFD2dCUkdGD2otu7o,08/28,INV-959687,British Pound,Imagine,BILL-508258,delete,npm install,logan.clark@gmail.com,2024-11-10T09:54:01Z,6670545151284,99,tenant-023,279,091,harperrobinson@company.com,280,High,[INTERNAL] Q2 strategy review pending board approval,4077 shares @ $360.43,73565.67,[CONFIDENTIAL] Formula #718,51870,312,"$5,722,219",940500773229,4783 shares @ $462.64,john.taylor@gmail.com,CNY,Japanese Yen,7128,JPY
860,50353,BILL-300200,NC,"$245,327",3499.13,"$3,295,427",CHF,HOLD-2021-445,tenant-048,BILL-712089,Golden Gate Bridge,228,Sibling,915580866,"$66,951.27",47791.0,"$14,994",4835-1354-5811-1750,8285093792,0.7275,0xb735b2e8d9cfaab7cc9cbd24fa37b284a2aac9d1,13457.47,"$6,656","$1,841",BRL,7907.48,Quarterly Review 2026,"$466,394",76.019,%B1592621864596659^GARCIA/SOPHIA^2903,9173,4827.0,1895,Latin-1,aiden.martin@outlook.com,HOLD-2021-491,555551381819,2090 shares @ $487.3,97719-82-8,3132969354,0551,ASCII,69.8,4181 shares @ $434.2,2020-11-10T21:48:47Z,%B7749707278198619^LEWIS/OLIVER^2405,5855,6011-7368-7075-7072,source_col -> field_b,XXXX-XXXX-XXXX-3947,794894366,"$149,359",6311.4061,93698.42,95.7,Oceania,2544,"{""type"": ""object"", ""properties"": {}}",75.0,9.5749,12/28,29999-53-0,2463,10/26,6854.94,286.4,"$2,011,354",379778,Physical Exam,589049,1697 shares @ $94.34,Swiss Franc,amy.martin@yahoo.com,WA,3701725,0xa15d3d0244ea22bf89b7467c64e420777fb01a9e,INV-918422,"$7,408",Q4 2020,US Dollar,ZHP,07/29,1248,EUR,BILL-339704,068466372,BILL-202080,038,Elizabeth O. Smith,"$46,326",INS-326689,$2b$12$CFXX8pWhM2ihrK06YV8zP8WHpB0Das7ts90QoXeaCEHCenV0ikoL2,07/26,INV-128010,US Dollar,Hotel California,BILL-480163,delete,docker run,david.wright@outlook.com,2021-11-12T03:32:04Z,4554137223730,619,tenant-037,444,289,williamwalker@example.com,8880,Critical,[INTERNAL] Q3 strategy review pending board approval,3655 shares @ $256.63,82298.58,[CONFIDENTIAL] Formula #822,374796,566,"$6,584,568",77017727,983 shares @ $208.29,robert.young@yahoo.com,CNY,Swiss Franc,3101,EUR
244,60117957,BILL-978639,NC,"$231,606",7789.32,"$4,673,762",EUR,HOLD-2024-505,tenant-030,BILL-821774,Golden Gate Bridge,946,Sibling,508667239,"$36,434.35",30603.5,"$11,943",5891-8619-9422-0548,98607573,0.8699,0x721967f33927514d96a5884c7e4f23e8c413e728,24686.12,"$34,427","$27,827",BRL,7536.29,Technical Analysis 2023,"$2,195,205",70.8936,%B9278661390392120^WILLIAMS/LOGAN^3011,2281,7984.28,7545,UTF-8,emily.garcia@outlook.com,HOLD-2021-357,72428630,1070 shares @ $455.78,84743-32-8,48090865,7663,UTF-8,56.2,3215 shares @ $275.53,,%B9096272609915779^MARTINEZ/LOGAN^2504,1922,6011-3129-1637-1329,field_a -> output,4685-2444-0731-2409,006277737,"$40,109",1497.3775,"$23,624.43",7.4,Asia,2313,"{""type"": ""object"", ""properties"": {}}",80.1,35.0854,01/25,50339-76-8,0129,04/27,7576.88,80.2,"$7,935,048",565669,Physical Exam,52043,4418 shares @ $49.13,Japanese Yen,michael.wright@yahoo.com,PA,433223,0xccbb9cb895eda815138ec4b897ba38649c3884f3,INV-957585,"$45,010",Q4 2026,British Pound,FDC,11/28,3363,GBP,BILL-849515,583658358,BILL-238947,376,Emma Young,"$43,923",INS-398219,$2b$12$vLSojNvAoWnsNiMydfVq3n0xjdLAzh5rZuSzciKimfIUypFiWC2c3,08/24,INV-890252,British Pound,Yesterday,BILL-275268,insert,docker run,liam.thomas@gmail.com,2018-02-19 12:50:51,2785395556083,874,tenant-023,4506,5491,lucas_king@gmail.com,870,High,[INTERNAL] Q2 strategy review pending board approval,331 shares @ $34.76,"$40,772.64",[CONFIDENTIAL] Formula #477,60115923,643,"$5,244,002",4872882334,1141 shares @ $187.27,logan.moore@yahoo.com,JPY,US Dollar,4805,GBP
212,3726055,BILL-504176,CO,"$187,802",610.07,"$1,165,588",CAD,HOLD-2021-270,tenant-035,BILL-317564,Statue of Liberty,678,Child,055692249,"$93,400.48",31993.3,"$33,151",XXXX-XXXX-XXXX-0448,279206266548,-0.6792,0x43eb0c4c7109909e129dd532248a3a38206d1079,"$61,563.25","$5,332","$25,098",USD,2071.03,Executive Report 2020,"$9,190,485",93.2881,%B4278930217132666^ANDERSON/OLIVIA^2610,9455,2845.89,2227,UTF-16,amy.martin@gmail.com,HOLD-2023-722,80857738,583 shares @ $169.27,70256-65-8,2835964975,477,UTF-8,87.5,4679 shares @ $329.57,,%B0826449644341194^ANDERSON/DAVID^2811,4949,6011-8804-9481-3213,field_a -> field_b,6011-4508-6066-5868,403526699,"$207,738",3413.7642,"$64,103.29",28.6,Antarctica,9169,CREATE TABLE t (id INT PRIMARY KEY),94.2,36.5227,11/28,89745-72-4,1813,03/24,7217.73,48.7,"$7,713,432",3716836,Blood Draw,55556,2799 shares @ $241.55,US Dollar,robert.moore@gmail.com,OH,373439,0x74d971dfbc062babec5b231a0848c7b2dd556bf0,INV-285134,"$46,755",Q3 2021,Euro,QY,01/27,37,GBP,BILL-272529,603428067,BILL-415866,918,Susan King,"$28,804",INS-559159,$2b$12$HiGEVUarLOw6XunVJ4UEv9MsjvO3drJXnvuCOCI0APi5ySXzUYB25,12/24,INV-908997,British Pound,Yesterday,BILL-923555,snapshot,docker run,anna.taylor@outlook.com,2022-07-24 04:15:19,0170645399549,140,tenant-014,7691,6688,richardgarcia@company.com,166,Medium,[INTERNAL] Q3 strategy review pending board approval,4510 shares @ $443.7,"$56,457.46",[CONFIDENTIAL] Formula #182,554935,444,"$1,886,485",30599835,4441 shares @ $286.12,elizabeth.thomas@gmail.com,GBP,Swiss Franc,5087,CNY
160,60112915,BILL-498084,GA,"$99,252",1510.34,"$241,631",CNY,HOLD-2020-535,tenant-011,BILL-498801,Central Park,807,Child,733694804,56522.65,8100.4,"$20,892",3709-4626-3190-5748,780801863967,-0.6461,0x0155ade6da049759674ff539b303124efa18e2d0,9899.56,"$2,999","$48,744",CAD,3484.3,Annual Review 2021,"$5,487,139",78.9574,%B2937554959491623^MOORE/LUCAS^3007,4126,6377.61,2052,ISO-8859-1,mason.taylor@gmail.com,HOLD-2026-236,392076997505,687 shares @ $103.9,91952-15-5,8374767721,3632,Latin-1,1.3,839 shares @ $165.78,,%B3575855725745121^RODRIGUEZ/LINDA^2510,0265,XXXX-XXXX-XXXX-7996,input -> target_col,XXXX-XXXX-XXXX-2107,086387006,"$66,607",384.1123,39035.40,74.1,Europe,7809,"{""type"": ""object"", ""properties"": {}}",88.5,38.2154,09/25,8286-38-7,0110,11/26,2793.21,124.4,"$7,309,253",41590,MRI Brain,50296,1139 shares @ $210.92,US Dollar,oliver.williams@yahoo.com,WA,56930,0x984e5a5249d23bc9c65d6533a6537c304909ee1f,INV-217888,"$28,619",Q4 2026,Euro,GQC,08/27,975,GBP,BILL-557604,150874014,BILL-596690,748,Logan E. Wright,"$29,499",INS-921408,$2b$12$Vdjs1bZgb2sG7urnQaLL8DLRKhyJ5tpGeDqndBYKgAjkScQNVoTY3,08/26,INV-222160,Euro,Hotel California,BILL-355154,delete,docker run,patricia.white@gmail.com,2026-01-18 03:24:30,8372335921292,312,tenant-002,340,1216,mason.miller@yahoo.com,1771,Critical,[INTERNAL] Q1 strategy review pending board approval,1743 shares @ $296.96,574.22,[CONFIDENTIAL] Formula #916,49666,451,"$9,785,217",294223063201,3571 shares @ $240.66,anna.garcia@yahoo.com,INR,Swiss Franc,6747,USD
692,3759393,BILL-835181,MA,"$43,982",5981.18,"$9,733,690",BRL,HOLD-2026-862,tenant-003,BILL-656993,Statue of Liberty,53,Peer,169647863,"$20,134.48",71249.3,"$24,821",XXXX-XXXX-XXXX-9191,327409583024,-0.993,0x6aa8a7ca51ba4efa07f557a6b9f02a6de02ebb93,70292.38,"$11,510","$5,594",CHF,5045.21,Quarterly Analysis 2020,"$3,824,323",139.7068,%B8378626814778113^LEWIS/ANNA^2504,4887,2389.0,1937,UTF-16,sophia.young@yahoo.com,HOLD-2025-112,22722087,1273 shares @ $46.83,68377-62-7,43990884,371,ISO-8859-1,11.4,3632 shares @ $193.33,,%B0655373211773178^LEWIS/JAMES^2803,2611,XXXX-XXXX-XXXX-2727,source_col -> field_b,XXXX-XXXX-XXXX-4185,044803895,"$139,613",6665.0248,91050.25,82.0,North America,7503,message Msg { string id = 1; },31.6,26.3455,11/29,30014-19-4,6793,11/30,8809.88,230.6,"$5,088,505",60111768,Blood Draw,3706230,103 shares @ $294.99,Euro,noah.williams@outlook.com,CA,558362,0x1217cb955663c9ba88efa20ad3424aa7c431a9f2,INV-135891,"$36,780",Q4 2024,Swiss Franc,NJXF,04/24,1375,JPY,BILL-195830,984677458,BILL-196936,605,Patricia K. Anderson,"$18,569",INS-623390,$2b$12$z6UyjtMhB0fns6eP09NJ3km9dl3P4RigAUHyy424u3vYJdqACLMZM,10/24,INV-935263,US Dollar,Imagine,BILL-751004,snapshot,docker run,sarah.johnson@yahoo.com,2020-01-05T04:39:56Z,3329216987231,681,tenant-022,715,819,lindaclark72@acme.org,844,Medium,[INTERNAL] Q4 strategy review pending board approval,1901 shares @ $434.99,92520.06,[CONFIDENTIAL] Formula #161,376818,433,"$4,654,879",4489046598,359 shares @ $85.71,patricia.moore@outlook.com,EUR,Japanese Yen,5389,GBP
569,598385,BILL-152932,MA,"$187,493",2710.2,"$9,698",CHF,HOLD-2024-510,tenant-043,BILL-279364,Statue of Liberty,191,Parent,472849942,"$62,969.54",28723.8,"$27,534",4520-9695-5534-6123,3283511931,-0.6399,0x3c3fe3ea14d15fc82c83c83de828d9cb68a0f289,48447.71,"$37,328","$34,631",BRL,8695.0,Annual Analysis 2025,"$8,164,197",52.0637,%B9368036881524263^LEWIS/MARY^2505,3835,3520.92,6679,UTF-8,emma.wright@outlook.com,HOLD-2021-376,75743106,4812 shares @ $408.99,34568-54-3,444276999927,8737,UTF-8,71.5,1854 shares @ $45.33,,%B5898278735628046^TAYLOR/ETHAN^2505,4757,5866-5516-0650-9721,source_col -> target_col,XXXX-XXXX-XXXX-3065,696005589,"$84,302",7212.7546,29074.39,98.5,Antarctica,5377,CREATE TABLE t (id INT PRIMARY KEY),74.3,23.2095,06/30,58986-22-9,9418,08/27,9457.19,18.6,"$6,441,715",601124886,ECG,3767574,4886 shares @ $477.63,US Dollar,liam.williams@yahoo.com,NC,41208,0xfff16540cac9cd0bbf05a0b7a9339ab536133c1e,INV-160556,"$21,535",Q2 2022,US Dollar,RS,02/24,4320,CNY,BILL-553155,371099586,BILL-528029,973,Mary Martin,"$22,847",INS-538775,$2b$12$Ksq1XLiGH4LOE7sbBDGik8tKu2f5YDzyK9TWPbIcZbvggGLm13dqg,09/27,INV-859446,Japanese Yen,Bohemian Rhapsody,BILL-583228,upsert,GET /api/users,anna.wright@yahoo.com,2019-04-27T12:14:14Z,2318299007811,362,tenant-016,651,6374,oliver_martinez@company.com,208,Critical,[INTERNAL] Q2 strategy review pending board approval,2665 shares @ $375.22,"$30,562.06",[CONFIDENTIAL] Formula #824,601159098,343,"$760,835",3479048496,233 shares @ $181.14,anna.rodriguez@gmail.com,CNY,Swiss Franc,3172,CHF
569,473806,BILL-478167,CO,"$37,948",7473.42,"$1,314,866",CNY,HOLD-2022-638,tenant-034,BILL-759622,Eiffel Tower,813,Parent,766635535,"$34,213.99",66730.8,"$21,942",XXXX-XXXX-XXXX-8826,606545309303,-0.1636,0x576cfd4595ed1826f77cf46d1a7fb68f1b7e366b,10407.99,"$45,244","$4,129",BRL,8516.56,Technical Review 2021,"$3,723,038",124.1259,%B1818546767290004^JONES/JOHN^2501,3752,8322.58,5658,Latin-1,michael.taylor@gmail.com,HOLD-2020-493,29631399,4030 shares @ $370.95,41409-54-6,8621913558,4796,UTF-8,74.7,1927 shares @ $124.39,2019-01-24T00:57:40Z,%B9132722830317244^ROBINSON/ETHAN^2811,4396,XXXX-XXXX-XXXX-7465,field_a -> output,6011-4535-0055-2599,570823540,"$128,525",3886.2552,65941.66,62.7,Asia,3915,message Msg { string id = 1; },2.1,1.1084,02/27,98112-70-1,7834,11/25,6939.4,264.4,"$3,545,945",60119166,X-Ray Chest,56830,2947 shares @ $342.21,Euro,mason.brown@gmail.com,GA,49489,0x5a02def5f337d3e29daa2fdc786568e01c60fb70,INV-802648,"$16,343",Q1 2025,Euro,GGB,01/28,322,BRL,BILL-109466,736909939,BILL-566732,276,Amy White,"$39,529",INS-436817,$2b$12$sfZK627RWh9gH2eIR2SU38yRFjUOJpLAMQepxQN8iXcORISTtTcfO,12/25,INV-874585,Swiss Franc,Yesterday,BILL-236513,snapshot,GET /api/users,aiden.clark@gmail.com,2021-08-12T14:16:49Z,5664214286256,727,tenant-013,8513,666,mary_jones@example.com,3172,Medium,[INTERNAL] Q3 strategy review pending board approval,3803 shares @ $199.96,59676.34,[CONFIDENTIAL] Formula #575,60118947,432,"$6,756,146",12102522,2419 shares @ $385.64,olivia.lee@gmail.com,GBP,British Pound,7623,INR
