endDate,social_media_handle_field,date_time,BROWSER_USER_AGENT,month_name,meta_pif,QUARTER,dim_date_time,source,artwork_creative_work_info,dim_date,qiqrcm91,f_374,yearval,TIME_OF_DAY,routing_num,timeval,periodval,numericRange,issn,dt_time,calendar_year,medicalProcedure,CRON_SCHEDULE,customer_year,work_permit_14,var_cjh,INSURANCE_ID,STORAGE_SIZE,gnlw47,qtrval,field_day_,cronval,customer_month,field_465,var_268,raw_device_type,dev_type,chrome,year_30,span,fact_period_interval,axuhmd96,typecls,src_channel,investment_account,device_type_field,anzbw57,phonefmt,year_data,year,raw_browser_user_agent,book_title_6,grade,var_lyf,weight_mass,p_hash,startdt,encoding,period_interval_30,date_time_2,channel_46,var_476,month,fact_score_index,hh_mm,cron,dateTime,q2,c_month,channel_val,MONTH,geographic_nm,effective_date,URL_PII_CONTEXT,raw_quarter,d_day,internal_communication_22,device_type,lon,channel,decimal_float_data,histogramBin,ztw73,browser_user_agent_38,score_index_54,customer_start_date,p_cont,dim_cron_schedule,period_interval_val,quarter_46,monthval,fact_retention_policy,flight_number_val,val_uht,mfmso86,until,middle_nm,modified_by_30,channel_2,f_we,month_number,kqvvdu6,quarter_info,DATE_TIME,c_sm,measstor,CHANNEL,dow,DEVICE_TYPE,c_567,field_92,start_dte,quarter,speed_velocity_14
2023-08-01,@jenniferyoung238,2022-05-07T00:00:00Z,Opera,June,Sunday,Q4 2022,2020-09-09T00:00:00Z,Phone,The Persistence of Memory,2023-10-27,2023-02-27,Tablet,2020,07:39:38,543766470,23:03:30,H2 2023,45-56,2408-3604,2024-08-13T00:00:00Z,2012,ECG,57 8 * * *,1994,WP-BR-600390,5.88,INS-584899,53315,2019-04-03T00:00:00Z,Q1 2022,Sunday,48 16 * * 1-5,May,JSON,Safari,IoT,IoT,Firefox,2019,FY 2025,Q1 2024,2025-10-03,Basic,Email,INV-478070,Tablet,July,+1-XXX-XXX-XXXX,2012,1990,Firefox,To Kill a Mockingbird,8.91,September,817.85,33d1f5088c02cd9cc1f5006fdc97941b766bd5cab0b51bd83c62b3b654f89e67,2022-07-23,UTF-16,2020-2025,2020-04-22T00:00:00Z,Mobile,2021-08-15,August,8.2,21:55:22,38 20 * * 1-5,2021-10-27T00:00:00Z,Q2 2020,April,Mobile,October,Japan,2020-10-17,https://example.com/users/ea842680/profile,Q1 2020,Saturday,[INTERNAL] Q4 strategy review pending board approval,Tablet,32.12756,Phone,5339.6738,39.87,Smart TV,Chrome,3.15,2019-05-14,Video,33 1 * * *,Q1 2024,Q2 2023,June,30 days,WY877,YES,Firefox,2024-05-25,R,anna.moore,Phone,Snowflake,October,0.4,Q3 2025,2023-10-01T00:00:00Z,inactive,275151,Chat,Friday,Tablet,2023-07-23,5.5.92,2025-04-21,Q3 2020,256.8
2025-07-16,@loganyoung294,2026-05-24T00:00:00Z,Firefox,September,Thursday,Q4 2025,2018-10-16T00:00:00Z,Social Media,The Persistence of Memory,2022-01-04,2025-05-16,Wearable,2023,03:14:42,748006301,15:37:05,FY 2025,2-94,4660-2815,2020-03-09T00:00:00Z,2013,ECG,5 8 * * 1-5,2002,WP-MX-793895,8.94,INS-290975,805484,2026-06-28T00:00:00Z,Q1 2024,Tuesday,47 16 * * *,October,YAML,Edge,Mobile,Mobile,Edge,2000,FY 2025,Q1 2024,2023-09-27,Standard,Email,INV-993146,Tablet,October,+81-XX-XXXX-XXXX,2003,1993,Safari,The Great Gatsby,1.46,September,48.56,1ad9856dcf38f884447004293579532dd40ece3cbd4d2b3e211bcf58e1901690,2024-12-09,ISO-8859-1,Q1 2024,2020-11-01T00:00:00Z,Chat,2020-06-09,October,6.05,08:51:29,"4 7 * * 0,6",2024-05-20T00:00:00Z,Q1 2020,February,Mobile,July,India,2018-02-03,https://example.com/users/ba528383/profile,Q3 2022,Monday,[INTERNAL] Q2 strategy review pending board approval,Tablet,-9.808201,Chat,9683.0055,75.36,Tablet,Edge,3.4,2021-12-12,Video,"33 15 * * 0,6",Jan-Mar,Q2 2024,February,7 days,LE3331,true,Opera,2024-12-13,U,elizabeth.smith,Phone,Kafka,May,0.86,Q4 2026,2023-02-20T00:00:00Z,pending,945471,Mobile,Sunday,Desktop,2019-05-26,0.13.69,2021-05-06,Q2 2020,99.5
2018-08-22,@johnwright90,2024-10-08T00:00:00Z,Edge,January,Monday,Q4 2022,2024-02-11T00:00:00Z,Phone,The Persistence of Memory,2024-07-03,2025-05-11,Mobile,2011,03:29:15,311573949,22:14:41,2020-2025,8-71,4609-7601,2024-11-07T00:00:00Z,2003,MRI Brain,48 14 * * *,2012,WP-JP-371427,6.6,INS-938387,671877,2025-10-15T00:00:00Z,Q3 2022,Tuesday,34 5 * * 1-5,January,JSON,Safari,Tablet,Tablet,Safari,2022,Jan-Mar,H2 2023,2024-01-13,Free,Mobile,INV-432478,Mobile,December,+1-XXX-XXX-XXXX,2009,1996,Edge,1984,6.24,September,942.54,351c6c18c97c6011dabcc7dad68452693dc3ff62ad532320812095bd2f0b6dc0,2023-08-15,UTF-8,2020-2025,2024-11-29T00:00:00Z,Web,2019-01-25,August,6.49,13:01:49,36 18 * * 1-5,2020-08-16T00:00:00Z,Q4 2021,November,In-Store,November,India,2023-03-28,https://example.com/users/2df42874/profile,Q4 2020,Tuesday,[INTERNAL] Q3 strategy review pending board approval,Mobile,7.068466,Web,8047.5107,36.26,Tablet,Brave,5.88,2022-10-11,Image,2 15 * * 1-5,FY 2025,Q1 2025,November,7 days,GN5007,true,Brave,2022-06-12,E,david.rodriguez,Web,Kafka,January,4.66,Q1 2024,2019-12-14T00:00:00Z,completed,548110,Email,Thursday,Smart TV,2024-02-06,4.20.59,2026-09-18,Q1 2025,224.9
2020-05-30,@johndavis605,2025-05-14T00:00:00Z,Edge,March,Friday,Q3 2025,2020-05-03T00:00:00Z,Email,The Scream,2021-01-01,2024-10-31,IoT,2017,06:13:47,984729438,18:53:19,2020-2025,31-87,1334-6419,2018-08-25T00:00:00Z,2021,ECG,36 12 * * *,2003,WP-MX-501007,7.81,INS-230539,431190,2020-03-30T00:00:00Z,Q3 2025,Saturday,"26 10 * * 0,6",December,XML,Brave,Tablet,IoT,Edge,1999,2020-2025,Q1 2024,2025-10-11,Basic,Web,INV-916641,Mobile,October,+81-XX-XXXX-XXXX,2000,2014,Chrome,1984,7.11,September,114.44,dc2bd6143c38e4ab5c8825fb7ce7d0c045e867923130304f0599e3ca80c962b6,2025-08-25,UTF-8,H2 2023,2020-09-10T00:00:00Z,Mobile,2019-05-12,July,1.34,02:51:23,52 6 * * 1-5,2025-02-07T00:00:00Z,Q3 2024,March,Web,June,Netherlands,2019-08-23,https://example.com/users/25533201/profile,Q4 2023,Monday,[INTERNAL] Q4 strategy review pending board approval,Smart TV,-27.377767,In-Store,1220.2095,9.48,Wearable,Edge,6.81,2020-09-04,Podcast,3 3 * * 1-5,FY 2025,Q4 2021,November,1 year,CM5668,YES,Safari,2018-03-14,B,sarah.white,Phone,Snowflake,June,8.38,Q3 2024,2021-06-27T00:00:00Z,rejected,957878,Chat,Tuesday,Mobile,2018-04-23,3.19.82,2026-10-05,Q2 2020,33.2
2025-09-05,@williamdavis939,2026-03-21T00:00:00Z,Edge,December,Wednesday,Q2 2022,2024-01-07T00:00:00Z,In-Store,Starry Night,2018-04-11,2022-01-19,Desktop,2023,02:04:08,726150492,07:57:34,Jan-Mar,44-90,8400-3140,2021-04-30T00:00:00Z,2005,Colonoscopy,"45 0 * * 0,6",2016,WP-CA-590925,7.7,INS-841034,320496,2025-12-09T00:00:00Z,Q1 2022,Friday,"42 8 * * 0,6",November,CSV,Brave,Smart TV,Wearable,Safari,2021,Q1 2024,H2 2023,2023-08-07,Trial,Phone,INV-533336,Mobile,January,+1-XXX-XXX-XXXX,1996,2000,Chrome,The Great Gatsby,6.94,January,826.49,066ce9e81ed5b0be0f247400fc535da2d90a586a7b22b0b98fcda78793c4d3eb,2021-09-20,ASCII,2020-2025,2019-02-22T00:00:00Z,Chat,2023-10-29,August,9.51,04:39:31,18 19 * * *,2021-02-09T00:00:00Z,Q1 2021,September,Email,March,India,2019-02-19,https://example.com/users/d6fe5835/profile,Q3 2024,Friday,[INTERNAL] Q2 strategy review pending board approval,IoT,41.568669,Mobile,6464.8977,30.2,Mobile,Firefox,8.44,2019-11-13,Image,46 4 * * 1-5,2020-2025,Q3 2026,January,30 days,GX4262,false,Chrome,2026-08-14,O,mary.garcia,Web,Kafka,July,4.37,Q1 2023,2021-11-13T00:00:00Z,cancelled,327816,Social Media,Saturday,Mobile,2022-02-09,1.10.68,2023-03-19,Q1 2020,49.3
2024-07-26,@amydavis213,2022-08-14T00:00:00Z,Safari,March,Friday,Q4 2022,2024-05-23T00:00:00Z,Email,The Persistence of Memory,2019-08-30,2023-10-16,Tablet,2012,02:12:56,933491727,21:22:04,Q1 2024,21-69,5554-6613,2019-08-08T00:00:00Z,2011,X-Ray Chest,29 15 * * 1-5,2009,WP-BR-757693,5.41,INS-586476,794432,2018-01-02T00:00:00Z,Q4 2024,Wednesday,"50 15 * * 0,6",February,JSON,Safari,Smart TV,Smart TV,Brave,2013,Jan-Mar,H2 2023,2021-02-19,Trial,Mobile,INV-943890,Smart TV,May,+81-XX-XXXX-XXXX,2000,1998,Brave,Dune,4.2,March,206.63,240011711651a2604a8876d3c7d1dba94df137774227c040f9a696d2ba869c5e,2024-03-13,ISO-8859-1,Jan-Mar,2020-04-10T00:00:00Z,In-Store,2022-10-21,July,6.9,02:33:58,"4 23 * * 0,6",2024-05-14T00:00:00Z,Q3 2023,October,Social Media,September,Australia,2026-09-09,https://example.com/users/6dccf023/profile,Q2 2021,Wednesday,[INTERNAL] Q2 strategy review pending board approval,Tablet,-97.741834,In-Store,9623.3502,33.99,IoT,Chrome,9.57,2019-06-30,Article,53 0 * * 1-5,Q1 2024,Q2 2021,May,7 years,NH1888,YES,Safari,2026-05-18,M,john.clark,Web,Salesforce,February,9.32,Q2 2022,2025-09-09T00:00:00Z,rejected,95584,Phone,Sunday,Wearable,2026-05-09,3.8.64,2026-11-17,Q1 2024,8.5
2018-08-04,@marylee961,2024-03-03T00:00:00Z,Safari,March,Friday,Q4 2026,2018-08-10T00:00:00Z,Phone,Water Lilies,2019-11-30,2020-06-08,Smart TV,2026,16:44:18,372043586,08:42:04,Q1 2024,6-84,6058-9926,2023-01-30T00:00:00Z,2006,MRI Brain,0 16 * * 1-5,2008,WP-US-573564,4.16,INS-595550,452993,2024-12-30T00:00:00Z,Q1 2022,Sunday,38 0 * * 1-5,June,CSV,Firefox,Tablet,Desktop,Chrome,2004,H2 2023,FY 2025,2020-12-04,Standard,Social Media,INV-688670,Smart TV,August,+44-XXXX-XXXXXX,1998,2015,Chrome,The Great Gatsby,4.32,March,548.88,3424cd0d6e79f669ad8165e1ebf49270689d11bf4107832a5b6de301a28244d5,2018-05-25,UTF-8,Jan-Mar,2025-01-15T00:00:00Z,Social Media,2021-05-15,October,7.98,19:43:56,27 19 * * 1-5,2021-05-17T00:00:00Z,Q2 2025,March,Web,June,Netherlands,2023-12-08,https://example.com/users/9163acd6/profile,Q4 2023,Wednesday,[INTERNAL] Q4 strategy review pending board approval,IoT,76.282106,In-Store,2317.2799,87.25,Desktop,Brave,6.23,2025-01-06,Video,25 0 * * 1-5,Q1 2024,Q3 2024,July,indefinite,RB5507,false,Firefox,2023-08-26,Y,liam.wright,In-Store,Salesforce,May,1.41,Q1 2022,2024-03-30T00:00:00Z,completed,721407,Chat,Monday,Wearable,2023-11-16,0.6.45,2023-08-23,Q1 2024,101.1
2019-12-02,@lucasjones960,2019-12-13T00:00:00Z,Brave,February,Wednesday,Q1 2024,2023-11-02T00:00:00Z,Social Media,The Persistence of Memory,2018-11-25,2018-11-23,Mobile,2004,06:15:42,993347806,23:32:42,H2 2023,50-78,5726-9843,2020-10-10T00:00:00Z,2006,Colonoscopy,18 4 * * 1-5,2001,WP-GB-327180,1.24,INS-973334,98652,2023-03-10T00:00:00Z,Q4 2023,Thursday,22 5 * * *,April,XML,Brave,Wearable,Wearable,Brave,2005,Q1 2024,Jan-Mar,2019-08-03,Free,Web,INV-748812,Wearable,December,+1-XXX-XXX-XXXX,2022,2003,Firefox,The Great Gatsby,0.85,September,491.89,124a3ba4a8a28b7f882b05965756c2f3153955e29c2b58d10e54df6ce98f4b17,2025-10-03,ASCII,Jan-Mar,2023-05-25T00:00:00Z,Email,2020-12-02,December,1.88,19:38:32,"15 22 * * 0,6",2021-10-24T00:00:00Z,Q3 2023,April,Chat,October,Brazil,2018-06-14,https://example.com/users/c43a893b/profile,Q3 2026,Monday,[INTERNAL] Q2 strategy review pending board approval,Tablet,-0.089744,Social Media,6741.952,36.72,Wearable,Brave,4.79,2018-10-26,Infographic,"55 8 * * 0,6",2020-2025,Q1 2023,March,30 days,HZ2703,true,Firefox,2022-08-02,L,robert.brown,Email,PostgreSQL,September,1.55,Q1 2022,2020-08-08T00:00:00Z,pending,408161,Web,Friday,Wearable,2026-03-20,3.0.64,2026-06-22,Q3 2021,206.5
2020-02-02,@williamking526,2022-11-08T00:00:00Z,Brave,October,Friday,Q1 2021,2025-12-10T00:00:00Z,Mobile,Water Lilies,2024-10-24,2023-12-01,Tablet,2015,07:54:45,993078698,14:14:02,Jan-Mar,31-59,5281-6604,2026-01-18T00:00:00Z,2019,Blood Draw,32 1 * * *,2014,WP-BR-943952,4.95,INS-160062,764464,2023-05-30T00:00:00Z,Q2 2022,Sunday,54 17 * * *,October,Avro,Firefox,IoT,Desktop,Safari,2014,Q1 2024,H2 2023,2023-03-10,Trial,Web,INV-629046,Mobile,February,+1-XXX-XXX-XXXX,2010,2014,Chrome,1984,9.22,December,545.77,8c00ec93541f7b9cf4977285e5be0e1b7b58c6fb382a549be25ef7902b183b01,2018-02-09,UTF-8,FY 2025,2021-12-18T00:00:00Z,Social Media,2018-10-11,December,7.14,07:48:56,6 8 * * *,2026-01-02T00:00:00Z,Q3 2026,December,Chat,January,United Kingdom,2025-07-07,https://example.com/users/61020eed/profile,Q3 2021,Sunday,[INTERNAL] Q1 strategy review pending board approval,Desktop,-140.890547,Phone,3137.9537,44.75,Mobile,Brave,0.68,2021-05-07,Infographic,39 4 * * 1-5,H2 2023,Q1 2021,April,7 days,FN4562,false,Safari,2021-09-07,W,jessica.martinez,Web,Workday,December,3.01,Q2 2022,2020-03-22T00:00:00Z,completed,287227,Mobile,Friday,Tablet,2021-05-05,3.20.95,2022-06-20,Q4 2020,184.5
2022-11-02,@emilyjones938,2026-09-15T00:00:00Z,Edge,April,Saturday,Q4 2023,2023-01-14T00:00:00Z,In-Store,The Persistence of Memory,2018-09-16,2026-05-09,Tablet,2022,15:05:48,492362457,09:26:52,Q1 2024,32-87,7025-2165,2019-06-25T00:00:00Z,2023,MRI Brain,25 3 * * *,2006,WP-MX-489701,5.64,INS-570204,921478,2022-05-23T00:00:00Z,Q4 2020,Monday,"15 2 * * 0,6",June,JSON,Chrome,Smart TV,Smart TV,Edge,2009,2020-2025,H2 2023,2020-03-28,Trial,Email,INV-755218,Tablet,January,+81-XX-XXXX-XXXX,1994,2018,Edge,1984,3.14,July,758.11,2bf75f6e8c89088cfd2f69b715bddfde1abd0d5062c0d57521f5a3cb8b41799a,2021-01-10,UTF-8,Jan-Mar,2024-01-19T00:00:00Z,Chat,2023-11-28,April,7.28,00:09:35,"8 22 * * 0,6",2018-04-03T00:00:00Z,Q2 2020,March,Web,July,Mexico,2021-05-14,https://example.com/users/93e3c6c0/profile,Q2 2025,Friday,[INTERNAL] Q2 strategy review pending board approval,Mobile,75.733696,Web,2999.4172,74.79,Mobile,Brave,6.08,2026-04-17,Infographic,"23 19 * * 0,6",FY 2025,Q1 2026,June,7 days,XU5374,true,Safari,2025-06-07,Q,linda.brown,Web,Snowflake,August,9.71,Q3 2021,2020-02-28T00:00:00Z,inactive,131395,Chat,Thursday,Smart TV,2025-02-23,0.5.17,2019-03-23,Q2 2022,252.1
2023-08-17,@emmajackson814,2021-10-04T00:00:00Z,Opera,December,Friday,Q2 2023,2021-02-25T00:00:00Z,Web,The Scream,2024-02-06,2020-02-26,Wearable,2010,23:06:23,309543765,21:44:21,H2 2023,28-96,7538-1374,2025-10-18T00:00:00Z,1997,Colonoscopy,"26 15 * * 0,6",1993,WP-GB-221668,1.81,INS-276073,193346,2026-08-16T00:00:00Z,Q1 2025,Saturday,"29 22 * * 0,6",July,Avro,Chrome,Mobile,IoT,Firefox,1990,Q1 2024,Q1 2024,2025-10-19,Free,Email,INV-365930,Wearable,December,+81-XX-XXXX-XXXX,2018,2005,Brave,1984,5.22,July,405.55,cbf8ff1896ccdd84edcf8df6e6e96f45e3e4607ecaa0b53ee35420b28d26b292,2023-04-13,ISO-8859-1,FY 2025,2026-11-07T00:00:00Z,Social Media,2018-03-18,February,9.5,11:19:43,"59 3 * * 0,6",2018-01-22T00:00:00Z,Q4 2021,August,Social Media,January,Sweden,2018-11-23,https://example.com/users/8e1b627c/profile,Q2 2025,Friday,[INTERNAL] Q4 strategy review pending board approval,Smart TV,75.750825,Social Media,2535.7084,5.79,Desktop,Brave,8.97,2025-01-15,Image,26 19 * * 1-5,FY 2025,Q3 2024,September,30 days,CF3423,true,Chrome,2020-05-01,P,harper.white,Mobile,Workday,November,2.93,Q4 2022,2023-10-31T00:00:00Z,cancelled,840144,Phone,Thursday,Smart TV,2021-04-17,4.9.37,2023-10-24,Q2 2025,113.7
2024-11-14,@noahdavis34,2025-05-17T00:00:00Z,Firefox,December,Tuesday,Q4 2026,2022-07-25T00:00:00Z,Web,The Scream,2019-12-22,2020-02-20,IoT,2001,21:36:25,872772659,15:45:42,Q1 2024,17-65,3702-2282,2020-10-21T00:00:00Z,2014,ECG,41 10 * * 1-5,1991,WP-CA-115146,9.53,INS-341403,608520,2023-06-23T00:00:00Z,Q2 2021,Sunday,44 6 * * *,August,CSV,Chrome,Wearable,Tablet,Edge,2003,FY 2025,2020-2025,2018-05-17,Trial,Phone,INV-459374,Smart TV,July,+81-XX-XXXX-XXXX,1999,2020,Chrome,1984,5.29,November,90.59,8d58de6cfaa1ebbdc00f6a98c1e6a0b07e60fc41d0ad47a7d0e7f025d945a92f,2023-07-29,UTF-8,2020-2025,2023-10-03T00:00:00Z,Social Media,2021-08-27,June,1.65,12:09:33,35 16 * * 1-5,2026-06-25T00:00:00Z,Q1 2022,January,Chat,April,Australia,2026-04-20,https://example.com/users/ba583f7b/profile,Q4 2023,Thursday,[INTERNAL] Q4 strategy review pending board approval,IoT,19.174381,In-Store,2101.4894,75.51,Desktop,Firefox,6.64,2023-11-23,Article,50 21 * * *,2020-2025,Q2 2023,December,1 year,SA2756,true,Opera,2020-05-10,W,noah.lee,Email,Snowflake,April,6.0,Q1 2025,2018-10-18T00:00:00Z,completed,380480,Social Media,Thursday,Mobile,2018-09-07,0.12.38,2024-02-29,Q1 2025,246.4
2021-11-28,@lindamiller535,2026-05-18T00:00:00Z,Firefox,March,Friday,Q1 2022,2024-12-26T00:00:00Z,Mobile,The Persistence of Memory,2026-02-08,2019-01-12,Desktop,2012,08:46:50,012360415,20:29:37,H2 2023,24-84,6536-7037,2018-09-10T00:00:00Z,2006,Colonoscopy,9 5 * * 1-5,2018,WP-GB-384062,1.66,INS-621062,3306,2023-05-12T00:00:00Z,Q2 2021,Saturday,"34 14 * * 0,6",March,CSV,Brave,Desktop,Tablet,Safari,2001,2020-2025,2020-2025,2024-07-01,Free,Social Media,INV-985994,Mobile,March,+81-XX-XXXX-XXXX,2024,2012,Safari,To Kill a Mockingbird,3.45,June,574.3,f01b4f71cab5ba89f87fd447531912cd978f2f384c10f67b1df22dc33e5044e7,2022-07-13,UTF-8,FY 2025,2025-09-21T00:00:00Z,Social Media,2021-08-31,April,1.59,03:10:29,57 17 * * 1-5,2025-12-03T00:00:00Z,Q3 2023,June,Phone,January,France,2019-07-22,https://example.com/users/a85e4d3c/profile,Q2 2023,Wednesday,[INTERNAL] Q4 strategy review pending board approval,Smart TV,-125.679648,In-Store,2023.5129,46.73,Tablet,Brave,1.84,2021-07-18,Infographic,"33 13 * * 0,6",Jan-Mar,Q3 2025,July,indefinite,GY8328,NO,Brave,2018-08-08,X,linda.brown,Chat,Workday,June,8.79,Q2 2022,2025-12-12T00:00:00Z,inactive,576889,Chat,Wednesday,Smart TV,2020-12-07,4.16.84,2026-10-10,Q2 2022,48.7
2022-01-29,@amymoore745,2021-08-16T00:00:00Z,Firefox,January,Tuesday,Q2 2023,2024-06-25T00:00:00Z,Web,Starry Night,2018-01-27,2019-07-12,IoT,2016,09:39:52,161476354,05:54:03,2020-2025,36-90,6008-8059,2020-05-24T00:00:00Z,2004,Colonoscopy,57 15 * * *,2016,WP-MX-121545,7.49,INS-518731,97910,2022-11-22T00:00:00Z,Q3 2025,Friday,49 13 * * 1-5,April,JSON,Firefox,Smart TV,Mobile,Chrome,2025,Q1 2024,2020-2025,2021-10-07,Free,Mobile,INV-698011,Tablet,November,+44-XXXX-XXXXXX,2025,2002,Brave,To Kill a Mockingbird,1.24,May,935.46,512a74ffcb99233bb0e4ce5be99f0a5cace5b2c1efe2e3cdaeefeb06af824d4f,2026-12-06,ASCII,Jan-Mar,2022-01-07T00:00:00Z,Social Media,2018-04-21,March,4.31,15:37:52,"18 4 * * 0,6",2023-01-13T00:00:00Z,Q3 2023,May,Mobile,February,United States,2024-08-22,https://example.com/users/69e72bae/profile,Q2 2025,Tuesday,[INTERNAL] Q2 strategy review pending board approval,IoT,-83.160538,Mobile,-192.0844,71.21,Tablet,Edge,6.4,2023-12-10,Image,7 5 * * 1-5,2020-2025,Q4 2023,January,indefinite,TE3624,true,Edge,2022-12-13,Q,logan.lee,Mobile,Kafka,May,0.26,Q4 2025,2025-10-16T00:00:00Z,active,738508,Chat,Tuesday,Smart TV,2024-10-23,3.11.20,2024-10-30,Q1 2025,38.2
2024-05-13,@lucasdavis822,2018-12-03T00:00:00Z,Edge,March,Monday,Q1 2020,2025-08-15T00:00:00Z,Web,The Persistence of Memory,2022-12-18,2023-07-09,IoT,2014,18:46:10,188183480,17:40:56,Q1 2024,0-86,7265-3053,2019-06-04T00:00:00Z,2001,X-Ray Chest,35 14 * * 1-5,2012,WP-FR-700453,2.34,INS-544293,997668,2025-10-25T00:00:00Z,Q2 2024,Saturday,15 10 * * 1-5,October,XML,Chrome,Tablet,Mobile,Opera,2009,Q1 2024,Q1 2024,2021-04-26,Enterprise,Phone,INV-402063,Mobile,June,+44-XXXX-XXXXXX,2013,2002,Chrome,1984,9.04,April,497.43,c8cafaa91d068c6aaf0de9ac330610783de9394e86d031d1db4e22dc1628e70d,2022-02-01,ASCII,Jan-Mar,2022-09-03T00:00:00Z,In-Store,2022-11-13,July,5.34,13:50:24,"37 1 * * 0,6",2020-07-09T00:00:00Z,Q1 2024,March,Mobile,July,Norway,2018-10-16,https://example.com/users/9923af27/profile,Q2 2021,Sunday,[INTERNAL] Q1 strategy review pending board approval,Desktop,164.267774,Email,9457.6431,94.34,Wearable,Edge,8.72,2025-02-10,Video,"54 22 * * 0,6",2020-2025,Q2 2021,September,indefinite,IR2112,true,Safari,2022-04-24,C,james.rodriguez,Social Media,Workday,March,2.38,Q3 2022,2022-05-29T00:00:00Z,inactive,773486,Social Media,Thursday,Smart TV,2020-12-01,0.9.97,2018-08-28,Q2 2025,199.5
2024-10-31,@emilywilliams295,2023-06-08T00:00:00Z,Edge,November,Friday,Q3 2025,2018-06-28T00:00:00Z,Chat,The Persistence of Memory,2025-04-14,2025-06-01,Wearable,2002,15:32:52,073276052,03:41:30,H2 2023,22-75,3927-2503,2019-01-27T00:00:00Z,2007,Colonoscopy,0 21 * * 1-5,2021,WP-US-569195,1.14,INS-993373,438429,2021-02-14T00:00:00Z,Q1 2020,Saturday,"28 16 * * 0,6",August,JSON,Firefox,Smart TV,Wearable,Chrome,2022,FY 2025,2020-2025,2023-05-02,Enterprise,Email,INV-600292,Smart TV,October,+81-XX-XXXX-XXXX,2024,2013,Edge,To Kill a Mockingbird,4.4,August,903.15,4d669a65f5237f6d08c69b2ae560636e8515ed41d578592d241340eb8781b90f,2026-11-30,Latin-1,2020-2025,2019-06-30T00:00:00Z,Phone,2023-05-22,March,4.6,10:22:34,21 5 * * 1-5,2018-02-28T00:00:00Z,Q3 2024,November,Web,January,United Kingdom,2018-05-29,https://example.com/users/07a18019/profile,Q2 2026,Wednesday,[INTERNAL] Q4 strategy review pending board approval,Mobile,-94.66771,In-Store,9755.6182,11.56,Smart TV,Safari,1.98,2019-08-13,Podcast,12 10 * * *,Q1 2024,Q3 2023,September,7 years,RV3207,false,Safari,2026-01-16,L,elizabeth.robinson,In-Store,Workday,February,7.73,Q2 2021,2020-12-07T00:00:00Z,cancelled,780103,Chat,Thursday,IoT,2026-04-14,2.13.1,2020-09-14,Q3 2021,290.1
2018-06-11,@masontaylor206,2023-07-22T00:00:00Z,Brave,December,Monday,Q1 2022,2024-01-14T00:00:00Z,Chat,Water Lilies,2020-01-11,2026-02-07,Smart TV,2011,09:55:48,077175706,13:06:32,H2 2023,12-84,4449-4886,2025-05-08T00:00:00Z,2006,ECG,49 2 * * 1-5,2003,WP-CA-635636,4.98,INS-251362,784335,2026-09-18T00:00:00Z,Q2 2020,Friday,36 7 * * *,July,Avro,Brave,Mobile,Desktop,Firefox,2002,Jan-Mar,H2 2023,2025-04-21,Premium,In-Store,INV-824998,Tablet,July,+44-XXXX-XXXXXX,2019,2015,Brave,The Great Gatsby,8.23,October,395.85,3db8a3722ea6242925a3e42b88fdfafac0f88d16b44bd925b5e4e196be1cb523,2019-08-03,Latin-1,Q1 2024,2021-08-23T00:00:00Z,Web,2021-03-01,June,9.33,17:06:23,2 18 * * 1-5,2022-04-02T00:00:00Z,Q2 2023,January,Social Media,June,Netherlands,2022-12-28,https://example.com/users/41882877/profile,Q1 2024,Wednesday,[INTERNAL] Q3 strategy review pending board approval,Tablet,110.353645,In-Store,7610.8348,40.97,Smart TV,Firefox,7.34,2023-09-08,Article,29 23 * * 1-5,H2 2023,Q2 2020,September,30 days,TI4149,YES,Edge,2026-04-02,D,richard.williams,Email,PostgreSQL,July,4.36,Q4 2025,2018-01-19T00:00:00Z,rejected,818510,Email,Saturday,IoT,2019-06-23,1.14.28,2024-06-21,Q1 2020,108.3
2022-06-11,@robertbrown989,2020-01-27T00:00:00Z,Firefox,December,Sunday,Q4 2023,2023-11-13T00:00:00Z,Social Media,The Persistence of Memory,2025-09-05,2024-07-12,Smart TV,2016,17:43:02,822443282,07:16:48,FY 2025,29-66,7431-2998,2020-09-29T00:00:00Z,1998,ECG,24 7 * * *,2011,WP-JP-894836,4.94,INS-681913,128950,2018-01-20T00:00:00Z,Q4 2023,Friday,"59 7 * * 0,6",May,CSV,Brave,Wearable,Desktop,Safari,2021,H2 2023,Q1 2024,2025-04-22,Basic,Mobile,INV-850093,Mobile,January,+1-XXX-XXX-XXXX,2008,2003,Firefox,Dune,7.03,December,402.48,50528269b5af54e1293fa7b8295aff095b0df66bfe6b0528a9f259d17a1180f4,2026-06-20,UTF-16,2020-2025,2023-06-01T00:00:00Z,Mobile,2025-09-23,February,0.58,11:10:09,26 17 * * *,2026-02-21T00:00:00Z,Q4 2021,May,Social Media,January,Singapore,2025-08-29,https://example.com/users/7ac110d4/profile,Q2 2020,Sunday,[INTERNAL] Q4 strategy review pending board approval,IoT,164.4275,Social Media,870.884,59.02,IoT,Opera,3.61,2021-08-22,Infographic,53 20 * * *,FY 2025,Q3 2026,May,30 days,EI3111,true,Brave,2019-03-08,S,robert.anderson,Web,Snowflake,November,8.23,Q3 2022,2019-07-16T00:00:00Z,failed,646604,Phone,Friday,IoT,2018-01-06,0.12.55,2024-07-31,Q3 2026,177.8
