fact_boolean_flag,x_role,xjxj50,DEVICE_IDENTIFIER,src_tenant_identifier,department,dateOfBirth,LATENCY_RESPONSE_TIME,load_ts,middle_name_raw,ezxnk25,user_salary_compensation,performance_review,distance_raw,f_183,RATIO,col_176,src_duration,xcq75,meta_594,middle_name,country_info,attr_stock,soft_delete_flag,vehicleIdentificationNumber,charset,day_of_week_raw,x_iut,dug46,maiden,time_zone,salary_compensation_data,mailing_address,FIRST_NAME,sourceSystem,dgff93,department_division_raw,name,mqq13,handle,department_division,tier,attr_627,EMPLOYEE_RECORD,v_330,dim_inves,val_xf,user_bonus_variable_pay,rbzbjb12,c_378,middleName,MIDDLE_NAME,nee,var_vuw,meta_562,val_pops,DEPARTMENT_DIVISION,caption,v_maide,maiden_nm,given_name,v_224,measpwr,user_performance_review,stock_rsu_grant,c_547,f_hvma,x_confi,stockRsuGrant,maiden_name,dob,dept,src_uptime_availability,user_first_name,maidenName,mname,DATA_FORMAT
0,Software Engineer,Low,cccfd2db-5538-421f-b961-cc7702666307,tenant-017,Engineering,0009-04-1948,2678,2024-01-04 05:10:31,K,"50 14 * * 0,6","$228,838",Meets expectations,9390.1,sig_8909e2691c317f24,6.0174,Engineering,7740,HR,Rodriguez,B,Germany,3104 shares @ $280.44,false,T0B63VKMXD9F8E89G,Latin-1,Friday,Brown,"$202,869",Miller,EST,"$103,815","8756 Maple Dr, Denver, MA 86290",Sarah,Salesforce,07/18/1994,Legal,Jennifer King,2020-01-04 22:07:13,susan_moore542,HR,Services,"$11,190",EMP-89226,dt=us-east,INV-712049,3104 shares @ $310.18,"$15,830",168.665629,Engineering,T,R,Thomas,TVH-3846,Olivia,failed,Sales,Figure 19: Distribution,Miller,Moore,Liam,2024-12-09 08:43:24,13810.6,Meets expectations,4523 shares @ $31.88,Outstanding,Lewis,"[9.03, 61.53]",464 shares @ $350.98,Martinez,07/20/1995,Legal,98.3069,Ethan,Walker,O,JSON
0,VP Engineering,Low,8312a515-f70e-4bcc-afb5-913cfec8e3f3,tenant-038,Operations,03/05/1966,3832,2020-10-22T02:23:37Z,N,54 3 * * *,"$54,323",Meets expectations,5623.7,sig_9b9b0599036a3171,7.4586,HR,12908,Legal,Young,J,Germany,3018 shares @ $462.44,false,UFJUGQ1NO9IQ8KH4L,UTF-16,Saturday,Rodriguez,"$213,498",Davis,America/New_York,"$175,636","3277 Pine Rd, Chicago, TX 17491",Mary,PostgreSQL,0002-23-1971,Legal,Liam Brown,2021-07-17 14:49:08,michael_taylor866,Engineering,Hardware,"$27,600",EMP-67288,region=2024-01,INV-459007,1484 shares @ $478.06,"$42,485",-148.985046,Engineering,R,O,Miller,OFX-5284,Jessica,rejected,Finance,Figure 19: Overview,Lee,King,Noah,2026-03-26 05:34:50,37368.0,Outstanding,4246 shares @ $227.04,Meets expectations,Thomas,"[26.51, 78.51]",3328 shares @ $127.79,Young,12/24/1977,Engineering,97.4206,Amy,Martin,K,YAML
yes,Product Manager,Critical,e73ba91a-338e-4f7d-a3d9-1b2840a31e40,tenant-001,Sales,0012-24-1975,3432,2021-08-26 10:18:37,C,32 7 * * *,"$245,675",Meets expectations,5638.4,sig_31b457b5a2524ff1,0.1547,Marketing,73200,Operations,Martinez,V,Italy,268 shares @ $112.98,false,RVNELFLR0REOWVN19,ISO-8859-1,Sunday,Young,"$233,584",Smith,JST,"$226,846","5136 Cedar Ln, Berlin, WA 58402",Amy,Salesforce,07-02-2000,Legal,Logan Brown,2025-11-19T15:44:27Z,harperthomas147,HR,Food,"$43,376",EMP-78372,region=acme,INV-112447,2862 shares @ $90.38,"$30,678",158.002358,Operations,L,J,Brown,RKC-5956,John,completed,HR,Figure 19: Distribution,Anderson,Martin,Amy,2019-02-27T20:44:44Z,25800.5,Meets expectations,4415 shares @ $306.1,Exceeds expectations,Johnson,"[27.56, 74.93]",649 shares @ $71.4,Smith,0001-07-1991,Engineering,98.2304,Logan,Taylor,S,XML
true,Sales Rep,High,02e1b449-958d-4f92-9b8e-a95ca4c207b3,tenant-046,Support,0010-21-1942,4884,2019-06-09 04:08:26,B,3 8 * * 1-5,"$129,404",Meets expectations,4737.5,sig_0da6afadab2b7b89,7.5518,Legal,79337,Sales,Lewis,H,Italy,4544 shares @ $107.97,false,7DDQ8O3111PPBM421,UTF-8,Monday,Lewis,"$226,884",Anderson,Europe/London,"$212,887","2949 Pine Rd, New York, NC 40604",Patricia,PostgreSQL,01/01/1995,Support,Jessica P. Robinson,2023-05-23 21:30:20,noahrobinson939,Engineering,Food,"$22,392",EMP-54805,dt=2024-01,INV-440030,3915 shares @ $22.05,"$17,454",-52.132198,HR,K,B,Williams,TVB-1532,Noah,completed,Support,Figure 18: Distribution,Smith,Johnson,Elizabeth,2019-03-17 05:20:57,31657.8,Outstanding,1945 shares @ $260.43,Meets expectations,Davis,"[14.54, 66.78]",3642 shares @ $96.13,King,03/08/2009,HR,96.3055,Elizabeth,Thompson,A,Parquet
true,VP Engineering,Low,73013cbe-a1dd-460b-bab2-199f3dadec3b,tenant-006,HR,0009-25-1991,1734,2025-03-06 17:58:23,A,"5 20 * * 0,6","$112,660",Outstanding,3204.9,sig_1d36dfc83bf066ea,0.6008,Operations,29873,Legal,Smith,Y,Japan,3072 shares @ $60.8,true,DWIKC9VL1MAFK0BHI,UTF-8,Sunday,White,"$111,588",Robinson,JST,"$124,939","7129 Main St, Sydney, GA 40828",Susan,SAP,04/25/1989,Marketing,Liam Taylor,2024-08-12 20:59:20,logan.brown83,Operations,Services,"$47,768",EMP-50178,tenant=2024-01,INV-388928,4623 shares @ $224.49,"$32,344",177.88974,Engineering,T,Y,Jackson,YUV-1276,Noah,approved,HR,Figure 17: Timeline,Miller,Clark,Jessica,2023-08-09 10:18:56,686.3,Exceeds expectations,1232 shares @ $378.55,Exceeds expectations,Taylor,"[31.89, 82.85]",2489 shares @ $408.48,Garcia,08/17/1944,Support,96.3157,Richard,Garcia,I,Avro
no,Software Engineer,Medium,ba1ada7b-1339-416e-9b0b-27b40fbc2b6c,tenant-027,Marketing,0010-14-1950,909,2023-02-22T12:20:07Z,L,"48 9 * * 0,6","$49,300",Exceeds expectations,3745.1,sig_2c096e1ecf9921b6,7.3804,Marketing,28364,Legal,Moore,G,Singapore,2412 shares @ $276.9,false,QMGV0896VZSKQMVWK,UTF-8,Sunday,Harris,"$146,638",Anderson,CET,"$224,101","5921 Main St, Paris, OH 72349",Mason,Workday,0005-02-1949,HR,John Johnson,2019-04-24T05:26:01Z,michael_walker909,Finance,Food,"$2,045",EMP-99923,region=2024-01,INV-657698,3724 shares @ $115.76,"$4,818",-174.656226,Support,X,N,Jackson,TXU-5145,Harper,active,Sales,Figure 19: Timeline,Jones,Garcia,Harper,2022-10-01 16:09:17,42272.8,Meets expectations,1740 shares @ $427.29,Meets expectations,Miller,"[18.86, 93.32]",2911 shares @ $208.07,Johnson,0012-23-1953,Sales,98.2936,David,Harris,R,Parquet
false,CTO,Critical,e09a931d-dce3-451e-a35f-85d3f55aa81a,tenant-009,Support,03/27/1994,4490,2025-08-18T08:13:08Z,I,14 11 * * *,"$33,699",Exceeds expectations,150.7,sig_520aaad084298619,9.9606,Support,78322,Support,Davis,L,Canada,1307 shares @ $82.33,false,1SBGTUOM7VX8L7APK,UTF-16,Saturday,Wright,"$241,462",Clark,JST,"$63,468","9218 Elm St, Dallas, NC 22730",Mason,Workday,03/02/1958,Finance,James D. Martinez,2026-02-06 15:56:42,richard_martin188,Legal,Electronics,"$18,466",EMP-29634,region=2024-01,INV-854894,4080 shares @ $165.01,"$46,169",-72.235775,Operations,T,O,Smith,MHS-3080,Susan,active,Support,Figure 3: Comparison,Miller,Clark,Susan,2018-06-22T11:18:20Z,10321.9,Exceeds expectations,2547 shares @ $354.48,Needs improvement,Williams,"[22.04, 71.05]",2549 shares @ $274.16,Rodriguez,07-25-1995,Support,95.3016,Elizabeth,Rodriguez,K,Avro
1,Software Engineer,Low,9c9d719d-da1a-4002-9b7f-ce7148fc5395,tenant-033,Marketing,12/25/1981,4448,2026-05-03 14:49:24,R,"49 2 * * 0,6","$184,941",Outstanding,6155.2,sig_e00655d955e3c7e2,0.7434,HR,8851,Support,Davis,A,South Korea,2216 shares @ $36.95,false,EKRTRY0BDEH7AZOQB,Latin-1,Wednesday,Garcia,"$33,203",Davis,EST,"$77,482","4476 Oak Ave, San Francisco, MA 15626",Aiden,Snowflake,0007-02-1949,HR,Mason Williams,2019-06-07 17:55:53,sarah.robinson307,Engineering,Services,"$35,951",EMP-83417,region=acme,INV-243941,2847 shares @ $63.03,"$9,791",136.631719,HR,P,C,Robinson,HBH-2889,Mary,inactive,Sales,Figure 9: Comparison,Lee,Garcia,Emily,2021-04-06 09:05:31,2351.2,Outstanding,4732 shares @ $287.55,Outstanding,Lewis,"[36.57, 89.84]",2393 shares @ $395.57,Wright,0011-05-1999,Engineering,99.7003,Elizabeth,White,D,Parquet
1,VP Engineering,Critical,bf87582c-d818-418f-b7d8-471522160bd6,tenant-014,HR,12-28-1954,1377,2023-05-03 15:38:07,W,41 4 * * *,"$194,538",Exceeds expectations,6294.5,sig_03a3a8ecccb2c374,3.6403,HR,40691,Engineering,Brown,I,Sweden,398 shares @ $68.51,true,S2S7KLM6ELN3NFJ4A,UTF-8,Friday,Martinez,"$94,247",Johnson,EST,"$53,199","6550 Maple Dr, Boston, GA 11653",Patricia,PostgreSQL,0008-21-1982,Engineering,Robert Martinez,2019-02-01 00:12:14,richard.robinson312,Support,Clothing,"$26,061",EMP-21315,region=2024-01,INV-809809,4390 shares @ $197.9,"$22,547",-92.185033,HR,V,D,Moore,XCV-2558,Liam,pending,Support,Figure 5: Comparison,Martinez,Young,Patricia,2023-03-27 02:00:50,27629.1,Meets expectations,3779 shares @ $261.47,Exceeds expectations,Young,"[6.88, 96.89]",636 shares @ $283.73,Garcia,02/22/1988,HR,97.3085,Aiden,Rodriguez,J,YAML
true,VP Engineering,Medium,b44aa192-d3f6-4a93-9737-bd50bdad548d,tenant-005,Marketing,08-19-2002,3219,2022-11-24T01:33:09Z,E,22 12 * * *,"$227,463",Needs improvement,1112.2,sig_dd7da8d85d3f2407,7.596,Engineering,50045,Marketing,Martinez,O,France,2490 shares @ $318.83,false,9VX1RQPUUG3TZDP63,ASCII,Monday,White,"$92,977",Robinson,EST,"$183,688","2386 Maple Dr, Atlanta, WA 40496",Patricia,Salesforce,03-14-1945,Finance,Logan O. Thomas,2020-03-13 03:06:04,john.jones603,Sales,Services,"$10,698",EMP-77909,dt=us-east,INV-680297,1804 shares @ $455.58,"$49,794",-125.784353,Marketing,E,P,Lewis,PGO-1347,Susan,cancelled,Engineering,Figure 10: Overview,Garcia,Clark,Logan,2023-09-24T17:28:39Z,44478.7,Needs improvement,4373 shares @ $138.57,Needs improvement,Davis,"[30.59, 77.29]",3152 shares @ $336.31,King,07/22/1996,HR,97.1149,Amy,Brown,O,YAML
true,Software Engineer,Low,f642c217-dccd-46eb-9dca-73a1cfb9f450,tenant-050,Finance,0002-27-2003,2303,2019-01-12T05:40:16Z,U,9 23 * * 1-5,"$37,435",Needs improvement,7620.5,sig_1791a7ad66008a7f,8.3942,Marketing,67736,Marketing,Lewis,B,United Kingdom,2604 shares @ $234.7,false,VGTQORZJQSNKP232Q,UTF-8,Wednesday,Taylor,"$214,636",King,America/New_York,"$216,485","9237 Maple Dr, Sydney, MA 86315",Harper,Workday,01/20/1970,Engineering,Sophia Rodriguez,2021-12-09 01:45:25,liam_smith512,HR,Services,"$45,354",EMP-18201,region=2024-01,INV-846164,3966 shares @ $477.87,"$23,293",-49.421165,Finance,C,O,Garcia,DSX-8121,Mason,completed,Support,Figure 4: Comparison,Anderson,Martinez,Patricia,2020-04-24T19:11:28Z,39110.9,Exceeds expectations,2979 shares @ $490.71,Meets expectations,Wright,"[33.02, 66.64]",4182 shares @ $199.38,Jones,02-11-1984,Finance,95.1626,Jessica,King,K,JSON
0,Data Analyst,Medium,83c43ed5-92e9-4d2b-b58a-1e314ef815b7,tenant-017,Legal,11/14/1967,3449,2024-12-16 04:05:57,Z,"7 4 * * 0,6","$227,434",Needs improvement,7678.8,sig_bb0181083b758b5d,2.1648,Sales,18406,Engineering,Walker,C,Norway,848 shares @ $109.64,false,CBIQJWPKCTBF1HFRS,ISO-8859-1,Tuesday,Lewis,"$207,321",Thompson,CET,"$60,048","6861 Cedar Ln, London, CA 10587",Robert,Kafka,06-25-1942,Marketing,Linda White,2022-03-20T23:37:46Z,olivia.martinez754,HR,Food,"$3,728",EMP-77443,dt=us-east,INV-798833,3454 shares @ $421.4,"$4,523",3.392147,Finance,H,J,Harris,PTG-6426,Noah,inactive,Operations,Figure 6: Overview,Wright,Smith,Ethan,2025-11-13T22:25:24Z,45213.7,Needs improvement,4400 shares @ $221.87,Outstanding,Williams,"[14.85, 62.52]",131 shares @ $339.79,Williams,0011-02-1940,Marketing,99.1267,Liam,Lewis,Y,XML
true,Data Analyst,Critical,e43e893f-925d-470c-94a8-e32a5f8bb810,tenant-050,Engineering,06/17/1999,3427,2020-08-13T10:28:04Z,V,14 2 * * 1-5,"$123,491",Outstanding,3241.9,sig_fca09f34ce822764,2.6514,Sales,76212,Operations,Taylor,T,France,990 shares @ $441.6,true,HZ3E6LI0CSYJA3VJN,Latin-1,Wednesday,Martinez,"$101,356",Miller,CET,"$204,077","7480 Cedar Ln, Los Angeles, FL 69707",Logan,SAP,02/09/1985,Marketing,Ethan J. Jackson,2020-11-20 16:40:58,jessica.king121,Finance,Food,"$24,852",EMP-19689,dt=acme,INV-559188,2348 shares @ $249.18,"$31,609",-6.026413,Operations,V,R,Thompson,TTY-2620,Logan,cancelled,Operations,Figure 4: Overview,Harris,Harris,John,2024-01-10 21:17:59,42214.7,Outstanding,2232 shares @ $299.49,Outstanding,Moore,"[31.55, 90.21]",3076 shares @ $250.62,Jackson,0011-28-1973,Sales,97.3666,John,Clark,M,Avro
false,Software Engineer,Medium,b8e527df-a169-4b2c-8bf1-e7cd486a1336,tenant-017,HR,11-12-1964,3775,2021-10-24 11:32:39,B,44 19 * * 1-5,"$37,753",Meets expectations,94.1,sig_4b67424d03fad065,3.522,Sales,17902,Support,Moore,C,Mexico,629 shares @ $83.97,false,KEE9HET7UE7CCK0KK,ASCII,Sunday,King,"$153,888",White,PST,"$211,526","8812 Park Blvd, Boston, FL 31251",Lucas,Kafka,02-11-1953,Marketing,Harper H. Walker,2022-06-12 01:23:51,jenniferdavis264,HR,Hardware,"$14,256",EMP-18480,region=acme,INV-420334,2299 shares @ $238.09,"$16,550",-111.169065,Finance,Y,N,Jones,PZC-5377,David,inactive,Support,Figure 7: Timeline,Garcia,White,James,2023-02-22T09:40:57Z,6364.0,Needs improvement,2877 shares @ $224.16,Needs improvement,Rodriguez,"[35.18, 63.2]",4932 shares @ $43.88,Johnson,04/12/1975,Marketing,97.829,Emily,Robinson,X,CSV
false,CTO,Low,90cb57c8-7a21-4632-9cbe-7b095fb63659,tenant-020,Finance,05-24-1983,653,2018-04-26 21:14:37,R,34 23 * * 1-5,"$60,689",Needs improvement,7094.2,sig_e201a36e2e5be1b0,6.5695,Engineering,14812,HR,Martinez,A,United States,1872 shares @ $413.79,false,Q7DWK3RQ6HVI3V1K0,Latin-1,Thursday,Walker,"$72,799",Johnson,EST,"$41,666","9803 Oak Ave, Berlin, GA 88532",Aiden,Snowflake,04-03-2010,Marketing,James Y. Williams,2021-03-21T12:59:34Z,aidenanderson676,Operations,Clothing,"$16,882",EMP-92354,dt=2024-01,INV-699286,1122 shares @ $270.22,"$31,449",-165.464236,Support,W,H,Rodriguez,CTI-4383,William,approved,Sales,Figure 11: Timeline,Miller,Johnson,Jessica,2024-07-15T13:57:51Z,24239.5,Meets expectations,536 shares @ $86.68,Needs improvement,Robinson,"[9.66, 68.75]",4618 shares @ $67.26,Young,04/27/1948,Engineering,99.6961,Mary,Williams,K,Avro
