meta_mbwy,field_add,user_airport,measlon,passhash,district_borough_raw,transactionAmount,meta_tf,col_99,ram,city_town,CONTINENT,latitude,portHarbor,continent,cas_registry_num,val_973,customer_photograph,build,district_borough,TRADE_SECRET,rec_identifier,address_text_field,src_version_identifier,f_alx,lon,addressLine,PORT_HARBOR,airport_data,mean_average,RELATIONSHIP_TYPE,val_bvcp,birthPlace,attr_kt,attr_iso,raw_contract_value,songTrackTitle,cityTown,modified_by_v2,user_location_text,data_format_v2,LATITUDE,fax_number,dim_airpo,ADDRESS_LINE,addrline,raw_landmark_poi,ip_address_info,measlat,x_134,customer_time_zone,advertiser_id,f_dist,val_aw,time_zone_22,v_idn,src_continent,country_22,tenantIdentifier,kby80,airport,yicii63,c_701,landmark_poi_38,CITY_TOWN,attr_600,time_zone_field,time_zone,port,middle_name_info,data_format,country,val_163,lat,district,longitude_30,location_text_30,AIRPORT,url_pii_context,building,airport_2,raw_latitude,continent_30,continent_data,longitude_info,meta_fraud,terminal,longitude,titlePrefix,pipeline_run,city,municipality,airfield,ctatmo43,domname,customer_address_line,raw_port_harbor,nationality,f_landm,landmark_poi,col_coord,source_system_22,dim_iuhe,c_jx,country_2,var_lati,longitude_2
input -> field_b,767 Cedar Ln,JFK,57.627878,$2b$12$WBxIUJXZwzFXIxcABaLdIv2z3VORP23YnFKF2aqd1ytMzKK8nEmt1,West End,"$51,484.08",Rotterdam,LHR,19.9,Phoenix,Europe,17.658427,Hamburg,South America,10135-94-3,North America,photo_d733a946.jpg,5.18.37,North Shore,[CONFIDENTIAL] Formula #742,USR-894393,"3587 Park Blvd, London",0.0.94,Food,32.678529,7239 Cedar Ln,Port of LA,SIN,33.1762,Parent,created_at,London,MA,AU,"$6,950,265",Bohemian Rhapsody,Los Angeles,david.thompson,"Seattle, Brazil",XML,27.638373,+1-582-909-7398,CDG,8003 Maple Dr,9039 Elm St,Eiffel Tower,204.245.49.188,50.910834,138.934441,UTC,ADV-9PRP8N92ML,Midtown,"-16.244077, -160.4994",America/New_York,JP,Asia,Mexico,tenant-046,France,LHR,53.6147,AUSAI,Statue of Liberty,Chicago,Mr.,UTC,CET,Busan,S,Avro,Italy,Midtown,52.949918,South Bay,-62.818124,"Dallas, Canada",LAX,https://example.com/users/9a5eb84a/profile,5274 Oak Ave,CDG,-74.213676,Europe,North America,-125.752662,9.3,Singapore,-59.914284,Ms.,batch-20221226-97,Atlanta,Paris,LAX,"-5.223425, 5.00854",data.io,1436 Elm St,Singapore,Switzerland,Big Ben,Statue of Liberty,"45.325638, 100.344499",SAP,GB,Phone,Spain,16.663838,167.843319
source_col -> field_b,3545 Maple Dr,SIN,88.063842,$2b$12$GBvekXIjVGkNLT0Ciu4orlQoMWLSR9NJ0ww5FJxCzWMOwG9uXr1ti,South Bay,"$84,349.18",Singapore,LAX,92.7,Tokyo,North America,-64.205792,Busan,North America,71439-95-2,Oceania,photo_8614b857.jpg,1.2.37,South Bay,[CONFIDENTIAL] Formula #849,3813103,"9904 Cedar Ln, Miami",4.12.77,Food,98.117799,7677 Maple Dr,Port of LA,LAX,-36.6924,Manager,id,Sydney,IL,FR,"$5,206,254",Stairway to Heaven,Seattle,mason.walker,"Denver, Sweden",CSV,-9.33411,+1-976-208-8627,NRT,6642 Main St,8886 Cedar Ln,Golden Gate Bridge,251.43.148.120,74.594911,-155.592145,JST,ADV-H46HKVUSWV,South Bay,"7.909719, 153.832722",America/New_York,CA,Africa,Canada,tenant-012,Netherlands,LAX,94.1814,DHVB,Central Park,Tokyo,Rev.,PST,America/New_York,Shanghai,E,CSV,Singapore,North Shore,-45.709625,Midtown,-7.779461,"Phoenix, Singapore",LAX,https://example.com/users/ebf0ae52/profile,8284 Elm St,SIN,18.82942,Asia,Africa,-82.489785,71.3,Busan,134.218277,Ms.,batch-20230821-77,Dallas,San Francisco,CDG,"44.981317, -97.594402",acme.org,1940 Elm St,Hamburg,Australia,Big Ben,Golden Gate Bridge,"-30.118576, -59.790609",Snowflake,IN,Social Media,South Korea,23.4463,-136.282791
field_a -> field_b,3056 Park Blvd,SFO,-120.409054,$2b$12$tJGSClwjGNloPCTFU7Jvcj6zj4wjZwTFlqvddoOk5yIv4Iew2wNl0,East Side,"$61,043.29",Port of LA,SFO,9.0,Seattle,Oceania,-6.347689,Singapore,Africa,50582-31-2,Oceania,photo_43e9981a.jpg,5.8.56,Downtown,[CONFIDENTIAL] Formula #543,TXN-235908,"4894 Maple Dr, San Francisco",4.13.66,Services,-88.786618,294 Elm St,Rotterdam,LHR,-49.2172,Spouse,name,Miami,NC,CA,"$8,611,568",Imagine,Houston,michael.wright,"Dallas, India",XML,-73.986017,+1-828-655-9832,SIN,3615 Oak Ave,997 Main St,Golden Gate Bridge,208.115.227.133,-16.777162,156.090011,PST,ADV-812UOMBFHQ,Downtown,"-11.113, -97.389407",Europe/London,JP,Europe,Germany,tenant-043,Spain,LAX,35.3455,XFOXC,Eiffel Tower,Tokyo,Hon.,Europe/London,Europe/London,Hamburg,H,JSON,Japan,South Bay,41.810845,South Bay,-133.153673,"Chicago, Canada",SFO,https://example.com/users/88191342/profile,4257 Main St,JFK,-28.141372,Africa,South America,-167.899854,86.2,Busan,75.258457,Mr.,batch-20260513-87,Sydney,Portland,ORD,"37.19895, -133.30073",company.net,8189 Elm St,Port of LA,Switzerland,Big Ben,Central Park,"16.790065, -52.782993",Workday,CA,Social Media,United States,1.472435,164.952946
input -> field_b,6918 Cedar Ln,SIN,-12.620298,$2b$12$TOseACzL5vJc3FxGq0vzHhDwt8p5M0wlP1Z7pUYcwxMzUPO4RW2KO,West End,"$42,576.01",Busan,LHR,94.1,Phoenix,North America,2.370426,Singapore,Africa,8154-48-7,Asia,photo_10cd1d62.jpg,0.13.62,Midtown,[CONFIDENTIAL] Formula #721,USR-466171,"7750 Elm St, Houston",3.11.28,Services,176.111846,8114 Main St,Shanghai,JFK,60.8547,Sibling,email,Phoenix,NY,IN,"$6,829,750",Hotel California,Paris,liam.brown,"Boston, Italy",JSON,-53.138586,+1-715-580-1848,ORD,6573 Oak Ave,8931 Maple Dr,Big Ben,74.247.55.217,-39.641714,-123.265361,EST,ADV-1Z28POQ653,North Shore,"-75.82746, 65.521409",America/New_York,BR,North America,Spain,tenant-035,Italy,SFO,22.7723,TPIYH,Statue of Liberty,Berlin,Ms.,CET,CET,Port of LA,A,CSV,Israel,North Shore,5.532272,West End,-47.899909,"Los Angeles, South Korea",SFO,https://example.com/users/f2ceac16/profile,3110 Cedar Ln,SIN,59.475346,Africa,North America,-160.078784,91.4,Rotterdam,-170.528273,Prof.,batch-20181223-51,Dallas,Seattle,CDG,"-35.415565, -71.93721",acme.org,5665 Elm St,Rotterdam,Norway,Eiffel Tower,Statue of Liberty,"-27.988841, -168.055809",SAP,FR,Social Media,South Korea,47.031413,-55.761067
source_col -> output,6621 Main St,JFK,-29.727288,$2b$12$k3lIWfB63Z5irRi7kql2LXqHELxFjlrg5tlU13ULL5LrCSXXEd1dV,East Side,96869.72,Port of LA,SFO,5.6,Paris,Oceania,-87.018078,Singapore,Europe,431-33-1,Africa,photo_87dfb03b.jpg,2.20.59,West End,[CONFIDENTIAL] Formula #321,3496530,"8935 Elm St, Boston",5.14.93,Services,-87.161083,120 Main St,Rotterdam,SIN,48.6575,Manager,email,Toronto,FL,AU,"$3,098,256",Imagine,Houston,sarah.thompson,"Paris, India",XML,44.885153,+1-728-939-9266,CDG,6863 Maple Dr,938 Maple Dr,Statue of Liberty,140.120.113.192,65.794438,160.220844,UTC,ADV-1B7MJUFUOB,Downtown,"-58.872889, -60.198843",Europe/London,CA,Europe,Australia,tenant-006,Canada,LAX,-43.8158,XG,Golden Gate Bridge,Paris,Dr.,America/New_York,PST,Port of LA,Q,XML,India,Downtown,-49.749984,North Shore,12.630457,"Houston, Sweden",NRT,https://example.com/users/68d481e6/profile,2449 Elm St,CDG,-70.754957,North America,Oceania,-156.111596,79.2,Rotterdam,-95.804639,Prof.,batch-20181218-08,Toronto,New York,LAX,"-59.177026, 155.563908",acme.org,8728 Elm St,Rotterdam,Israel,Central Park,Big Ben,"26.521986, 169.40671",PostgreSQL,MX,Web,Canada,-8.949152,-109.852738
input -> output,7175 Elm St,SFO,-86.092951,$2b$12$dCziyf5ko9DxHzeQIibFR5YQNKiBWFI8DYC826Ns0L9fDBRDPBbAR,Downtown,58814.20,Rotterdam,ORD,80.1,London,Antarctica,-53.505982,Hamburg,Africa,18494-62-3,Africa,photo_8148141d.jpg,5.18.76,East Side,[CONFIDENTIAL] Formula #859,ORD-370548,"5404 Pine Rd, Dallas",2.1.19,Electronics,7.948184,4052 Park Blvd,Busan,LHR,-8.4811,Child,type,Tokyo,GA,FR,"$6,538,356",Bohemian Rhapsody,London,olivia.clark,"Sydney, Spain",CSV,34.901167,+1-919-216-6073,CDG,7121 Main St,2968 Elm St,Eiffel Tower,218.68.133.247,15.606483,-142.74615,Europe/London,ADV-FWFNEOH3FL,Downtown,"0.477805, 8.048723",EST,DE,Asia,Norway,tenant-008,Spain,NRT,-31.8287,ZX,Statue of Liberty,Paris,Dr.,EST,Europe/London,Shanghai,Y,Parquet,Sweden,West End,-18.18554,North Shore,-25.014981,"Los Angeles, Australia",LHR,https://example.com/users/f6254c9a/profile,5223 Maple Dr,ORD,-23.893592,Asia,Europe,0.182461,8.6,Hamburg,-163.349728,Mrs.,batch-20200504-65,Tokyo,Houston,LAX,"78.747531, 89.21991",example.com,8670 Main St,Shanghai,Norway,Statue of Liberty,Golden Gate Bridge,"-13.393881, 56.101691",SAP,FR,Email,Canada,74.299102,-8.024268
field_a -> target_col,9801 Cedar Ln,SIN,-30.963867,$2b$12$VvzmlBUwCSEyYqQIyllZO426ubSBHjpZB6qR6bDF7nIlXXkR8Bj6K,North Shore,"$85,909.07",Singapore,NRT,45.3,Denver,Asia,18.266819,Port of LA,Antarctica,95166-17-6,Asia,photo_e7e256e4.jpg,4.11.80,Midtown,[CONFIDENTIAL] Formula #796,5744948,"1350 Oak Ave, Los Angeles",3.3.74,Hardware,-50.66902,2950 Cedar Ln,Singapore,LAX,95.397,Spouse,name,San Francisco,WA,FR,"$4,379,284",Yesterday,San Francisco,anna.jones,"Boston, Spain",XML,-70.335882,+1-755-989-9501,SFO,2763 Cedar Ln,8618 Main St,Golden Gate Bridge,74.232.122.231,57.835112,166.186066,JST,ADV-Q6TQTF2S3K,South Bay,"-39.337332, 141.620541",UTC,MX,South America,India,tenant-011,Singapore,LHR,-9.3874,LOO,Eiffel Tower,Sydney,Hon.,UTC,Europe/London,Port of LA,R,YAML,Germany,North Shore,-27.50387,South Bay,-21.153435,"Boston, Israel",JFK,https://example.com/users/37838c8c/profile,6672 Pine Rd,SIN,-54.582105,Antarctica,North America,77.629851,50.4,Port of LA,93.146937,Ms.,batch-20260920-48,San Francisco,Atlanta,JFK,"-54.807559, 47.05061",acme.org,3930 Main St,Busan,Netherlands,Statue of Liberty,Golden Gate Bridge,"15.4163, 65.615817",PostgreSQL,DE,Email,Singapore,31.29671,129.73963
field_a -> target_col,2106 Elm St,SIN,108.660854,$2b$12$1I0t49zyv2hwCc0MRaBSxA7aaaHdmbs2radVgmaVK9i2fx0KIS6Yz,East Side,48719.15,Rotterdam,LAX,75.6,San Francisco,Asia,-54.315717,Port of LA,North America,71831-38-0,Africa,photo_c9abb897.jpg,2.4.39,Downtown,[CONFIDENTIAL] Formula #104,REC-393445,"6240 Maple Dr, Denver",3.18.35,Electronics,-6.068019,7177 Maple Dr,Busan,LHR,-7.9932,Spouse,type,Miami,NY,MX,"$7,020,716",Imagine,Miami,mason.thomas,"Tokyo, Norway",XML,-86.309234,+1-433-993-2920,SIN,3519 Oak Ave,9171 Oak Ave,Golden Gate Bridge,30.68.147.98,-53.788725,-153.088127,EST,ADV-5TLJRE9AXC,North Shore,"-61.385981, 163.846383",UTC,DE,Europe,Japan,tenant-001,Brazil,CDG,-88.1021,LWRL,Big Ben,Chicago,Hon.,EST,PST,Port of LA,V,CSV,Singapore,West End,-10.758106,Downtown,143.734632,"Los Angeles, Australia",SIN,https://example.com/users/1130d6f8/profile,6033 Pine Rd,NRT,36.677704,Oceania,North America,-64.648377,24.7,Shanghai,161.452276,Mrs.,batch-20240105-89,Sydney,Berlin,SIN,"22.916224, -137.296864",service.cloud,9650 Main St,Shanghai,Sweden,Big Ben,Statue of Liberty,"-5.51523, -93.025211",Salesforce,MX,Email,Sweden,67.022775,-33.07751
source_col -> field_b,5686 Cedar Ln,NRT,174.994244,$2b$12$TWCYFx9GAuFAPtZAy8vy0TfHaRvobywBmqhWwkAB0mvRvACZrHMfu,North Shore,49772.60,Rotterdam,CDG,68.7,Berlin,Africa,26.369039,Hamburg,Africa,805-31-2,South America,photo_0e62274c.jpg,5.12.39,South Bay,[CONFIDENTIAL] Formula #556,8401506,"9835 Cedar Ln, Denver",5.15.91,Food,-46.158715,598 Maple Dr,Shanghai,NRT,80.9365,Parent,amount,Dallas,IL,DE,"$9,551,994",Yesterday,Phoenix,william.lewis,"Austin, Australia",Avro,-17.530266,+1-298-855-9545,CDG,289 Main St,1547 Cedar Ln,Eiffel Tower,223.240.229.43,-76.496561,123.975226,JST,ADV-5WNX5Q3OF7,Midtown,"58.119172, -62.333647",JST,DE,North America,South Korea,tenant-022,United Kingdom,LAX,-97.8173,ZT,Central Park,Berlin,Hon.,UTC,EST,Busan,G,CSV,Netherlands,Midtown,81.353919,West End,79.527601,"Dallas, Netherlands",CDG,https://example.com/users/3d24ef8d/profile,8909 Oak Ave,JFK,-55.753319,Asia,North America,68.633439,82.6,Rotterdam,113.497039,Rev.,batch-20231214-67,Los Angeles,Los Angeles,JFK,"44.843433, -169.263037",data.io,2625 Elm St,Rotterdam,Canada,Central Park,Central Park,"58.940393, -16.262646",Workday,US,Web,Switzerland,56.381411,-134.111584
field_a -> field_b,8958 Elm St,NRT,128.749471,$2b$12$zu6sri3Iokz8y2UlzOj9WdFtmixrFU8OeCVuZV7OxLMrGzxhVF9uS,East Side,94055.55,Hamburg,SIN,74.9,Berlin,Africa,56.833964,Rotterdam,Asia,40248-58-5,Antarctica,photo_3b1321fc.jpg,1.1.11,South Bay,[CONFIDENTIAL] Formula #491,4923208,"2355 Maple Dr, Houston",2.11.88,Clothing,-125.402414,3142 Oak Ave,Hamburg,SFO,-43.0685,Peer,type,Boston,CA,BR,"$4,209,939",Yesterday,Paris,jessica.garcia,"Boston, Australia",Parquet,-87.084303,+1-476-302-6781,LAX,3352 Maple Dr,3947 Oak Ave,Statue of Liberty,224.139.237.143,61.588003,-99.805863,EST,ADV-HQ4YYX1MLS,South Bay,"47.999771, -174.656683",America/New_York,FR,Europe,Norway,tenant-016,Australia,NRT,-63.6424,LDC,Eiffel Tower,Houston,Prof.,Europe/London,JST,Shanghai,S,Parquet,Singapore,Downtown,78.404608,North Shore,-139.375952,"Denver, Germany",ORD,https://example.com/users/85cbbe62/profile,1679 Elm St,LAX,30.612812,South America,Oceania,-38.529509,65.4,Rotterdam,52.67308,Rev.,batch-20231018-59,Tokyo,London,JFK,"2.717801, 52.190108",company.net,4333 Main St,Shanghai,United States,Eiffel Tower,Statue of Liberty,"47.441938, 7.882341",Snowflake,GB,Mobile,Mexico,-23.074541,43.597107
input -> field_b,8389 Maple Dr,CDG,-31.413284,$2b$12$68j2ZWwJIaqDmIPs8fjVZw8h6AIXiQSNzhbCnzcyXvrq5HrUyMN6i,Midtown,"$19,130.39",Rotterdam,ORD,31.6,San Francisco,North America,-58.128259,Busan,North America,39105-38-5,Africa,photo_88f2ea13.jpg,1.4.56,Midtown,[CONFIDENTIAL] Formula #565,9073585,"8546 Oak Ave, Austin",0.19.11,Food,-21.914343,7119 Main St,Rotterdam,NRT,61.4847,Child,id,Houston,CO,JP,"$5,855,395",Hotel California,San Francisco,olivia.martinez,"Sydney, Japan",YAML,-51.044124,+1-986-559-1350,ORD,9592 Park Blvd,3548 Cedar Ln,Statue of Liberty,142.228.100.236,-51.621057,-151.582061,JST,ADV-JRDEKPMV16,South Bay,"46.241503, -133.069956",Europe/London,DE,Antarctica,Japan,tenant-028,South Korea,LAX,-17.0347,JZ,Statue of Liberty,London,Rev.,JST,EST,Rotterdam,B,XML,Mexico,East Side,66.225833,South Bay,-172.273782,"San Francisco, India",SFO,https://example.com/users/30392391/profile,6739 Cedar Ln,LHR,13.35,Oceania,Asia,79.315425,29.2,Singapore,134.37531,Hon.,batch-20180420-87,Denver,Atlanta,SIN,"-33.357121, -162.464061",service.cloud,8081 Pine Rd,Singapore,Brazil,Eiffel Tower,Big Ben,"30.837373, -177.754728",Workday,GB,Phone,Japan,-57.490206,75.816962
input -> output,3482 Pine Rd,NRT,22.286833,$2b$12$uYAFIvOpGENmHql91lsWiRCVP8W3grz42iy66TP3tH6wIKSUSABoC,West End,"$12,110.21",Port of LA,NRT,80.0,Boston,Africa,10.261168,Busan,South America,15917-25-6,North America,photo_2ee356b2.jpg,3.19.70,South Bay,[CONFIDENTIAL] Formula #479,8165304,"6424 Elm St, Chicago",2.3.15,Food,108.524784,1931 Main St,Rotterdam,CDG,72.4008,Spouse,name,Portland,CO,GB,"$5,594,109",Stairway to Heaven,London,emma.lee,"Phoenix, Japan",JSON,-26.266438,+1-847-556-6633,SIN,565 Main St,2154 Main St,Eiffel Tower,105.204.170.70,-46.984715,35.427333,EST,ADV-B9PB6EHT6D,South Bay,"2.703091, -127.800478",CET,US,South America,Netherlands,tenant-014,Netherlands,NRT,17.1385,AI,Statue of Liberty,Austin,Dr.,America/New_York,PST,Port of LA,Y,Avro,Israel,North Shore,-69.485821,North Shore,-107.547849,"Boston, Mexico",SIN,https://example.com/users/3856a0ca/profile,5087 Main St,JFK,31.435635,Africa,North America,-32.595121,56.5,Hamburg,-107.989928,Dr.,batch-20200123-67,Portland,Paris,ORD,"37.883914, 26.106357",acme.org,3684 Park Blvd,Busan,Sweden,Golden Gate Bridge,Big Ben,"-59.425854, -56.065839",Salesforce,FR,Mobile,Singapore,56.434689,0.425589
field_a -> target_col,5414 Park Blvd,LHR,21.844875,$2b$12$WL42GLrayDTCCMs0GY8UyoRVp7WcPaaSdF9lUsGSrlngtPb4hFJM5,West End,28982.09,Rotterdam,CDG,35.0,Toronto,South America,-1.695706,Singapore,Europe,59632-81-3,Asia,photo_542c80da.jpg,4.16.17,West End,[CONFIDENTIAL] Formula #966,REC-734261,"9953 Cedar Ln, Houston",2.2.81,Services,-3.764245,513 Park Blvd,Hamburg,JFK,64.0144,Spouse,id,Miami,IL,CA,"$9,562,155",Imagine,Chicago,harper.taylor,"Paris, Canada",CSV,-59.739431,+1-918-987-9308,SFO,8874 Main St,8830 Cedar Ln,Eiffel Tower,16.132.185.77,60.251314,-147.897046,JST,ADV-A4OMMRRK2T,Downtown,"54.327503, -78.561041",PST,AU,Antarctica,United Kingdom,tenant-038,Singapore,SIN,18.532,ZOHJM,Big Ben,Seattle,Rev.,CET,JST,Port of LA,L,JSON,India,North Shore,-34.555139,Downtown,122.007474,"Dallas, Spain",CDG,https://example.com/users/1cdbcd6b/profile,1299 Park Blvd,CDG,26.031116,South America,Oceania,160.006832,98.1,Rotterdam,-78.135857,Mr.,batch-20260904-85,Phoenix,Sydney,SFO,"-55.62058, 27.765104",service.cloud,2231 Cedar Ln,Hamburg,Switzerland,Statue of Liberty,Statue of Liberty,"-4.179175, 113.227618",Salesforce,GB,Web,Singapore,-43.494344,-33.282925
input -> target_col,8964 Oak Ave,JFK,72.103006,$2b$12$dhCOYWGHgWISREA5PXkKjtkTbvUNAixrwSKNXUqsn9LZJIRD6waz4,South Bay,"$36,311.31",Rotterdam,ORD,5.1,Phoenix,Africa,56.532805,Rotterdam,South America,59047-22-0,Asia,photo_9c872173.jpg,2.13.60,East Side,[CONFIDENTIAL] Formula #689,4167882,"890 Main St, Austin",3.4.78,Clothing,10.361631,9178 Park Blvd,Hamburg,SIN,-65.6484,Parent,email,Boston,CO,CA,"$6,388,945",Stairway to Heaven,Portland,michael.thompson,"New York, United States",CSV,22.036332,+1-210-293-3163,LAX,7546 Park Blvd,5876 Park Blvd,Statue of Liberty,126.101.40.10,-30.752652,-151.465385,UTC,ADV-25Y954KTH2,West End,"22.516877, -2.456803",CET,AU,North America,United States,tenant-015,Netherlands,LHR,77.892,MNUGY,Golden Gate Bridge,Austin,Dr.,EST,CET,Rotterdam,G,CSV,Germany,Midtown,26.543427,North Shore,-75.473691,"Berlin, Norway",LAX,https://example.com/users/fffb7214/profile,1192 Pine Rd,JFK,-56.727034,South America,Europe,-1.886749,29.4,Port of LA,115.598193,Rev.,batch-20210408-08,Los Angeles,Los Angeles,LHR,"16.29756, -160.302096",acme.org,4087 Elm St,Busan,Switzerland,Central Park,Central Park,"30.522197, -43.669292",Kafka,IN,Phone,Sweden,44.537718,-18.184624
field_a -> field_b,8404 Maple Dr,SFO,0.666633,$2b$12$SDBgFgSpUCvQMVxXpBqHl6jsh42QNGSuWHzdacbUN0cjhl2PmH1b9,South Bay,71849.29,Singapore,LHR,90.0,Austin,South America,70.1129,Singapore,Africa,42891-13-7,Asia,photo_eb556fe5.jpg,5.11.64,Downtown,[CONFIDENTIAL] Formula #176,5635554,"4292 Maple Dr, Sydney",5.17.31,Electronics,-55.531903,7494 Elm St,Singapore,ORD,70.6643,Child,id,New York,CA,IN,"$7,495,637",Imagine,Dallas,emma.moore,"Portland, Canada",Avro,-88.204541,+1-671-395-3232,CDG,1424 Main St,1086 Pine Rd,Central Park,152.234.14.150,25.658102,-54.941233,America/New_York,ADV-8GJSBNDFIS,West End,"-68.596216, 19.216449",UTC,IN,Europe,United Kingdom,tenant-047,Israel,SFO,-82.4764,RB,Big Ben,Atlanta,Dr.,America/New_York,CET,Hamburg,J,Parquet,United Kingdom,West End,51.812188,South Bay,-38.673841,"New York, Canada",LAX,https://example.com/users/14d4f236/profile,7681 Maple Dr,CDG,41.392637,Asia,Asia,-82.275849,16.6,Singapore,-4.005892,Dr.,batch-20260809-07,Sydney,Sydney,LHR,"43.437884, -178.946638",acme.org,9257 Maple Dr,Busan,Mexico,Golden Gate Bridge,Eiffel Tower,"-7.22409, -170.753003",Snowflake,US,Chat,Sweden,-86.500971,1.503532
source_col -> output,9824 Oak Ave,SFO,124.720399,$2b$12$WApwH3uz6KDemDcsJdPXucd0fr8uhiYxKDw9HsiJgZlXaQU7uOXcX,West End,"$4,779.20",Busan,LHR,67.8,London,Oceania,1.953959,Rotterdam,North America,15023-55-4,Oceania,photo_56a72728.jpg,5.12.37,East Side,[CONFIDENTIAL] Formula #722,6746097,"3567 Elm St, Portland",3.0.72,Services,-65.011618,1731 Oak Ave,Shanghai,CDG,-97.1062,Spouse,created_at,Miami,OH,US,"$1,226,786",Stairway to Heaven,Atlanta,anna.williams,"Dallas, France",Avro,51.283128,+1-586-582-1061,SFO,6166 Maple Dr,2478 Oak Ave,Golden Gate Bridge,145.52.221.98,60.632367,-140.23495,CET,ADV-J3SNHUOMTP,Midtown,"19.79239, 97.843806",JST,BR,Antarctica,Brazil,tenant-005,Norway,NRT,-83.1327,CKIQZ,Big Ben,San Francisco,Hon.,PST,JST,Singapore,X,JSON,France,West End,-76.496563,Midtown,88.209322,"Boston, Mexico",LAX,https://example.com/users/e09d10bf/profile,6568 Main St,CDG,21.286409,South America,Oceania,31.219974,2.0,Singapore,-38.632648,Mr.,batch-20230621-57,Sydney,Toronto,CDG,"13.153414, 178.742223",company.net,6058 Park Blvd,Singapore,Brazil,Statue of Liberty,Big Ben,"-67.061143, -114.457586",Kafka,GB,Social Media,Netherlands,-38.338337,159.192939
source_col -> output,8590 Elm St,LAX,113.831168,$2b$12$XbY2FGknG2zu8LUnd5zdlHjS3JkjDYTxE0NUhbOpaMJcp2TmkYfA5,West End,"$29,259.04",Port of LA,SIN,53.7,Dallas,Asia,-39.642225,Busan,North America,44954-81-0,Asia,photo_7dd8fc6e.jpg,0.20.76,Downtown,[CONFIDENTIAL] Formula #980,731245,"6136 Main St, Portland",1.16.81,Hardware,85.277876,3787 Oak Ave,Singapore,CDG,33.7078,Sibling,type,Austin,NY,IN,"$595,691",Imagine,Paris,noah.brown,"Toronto, South Korea",JSON,14.535278,+1-980-213-9909,LHR,7798 Elm St,6093 Elm St,Central Park,91.144.184.106,-84.907012,-64.371857,PST,ADV-3I2MGNSM9U,North Shore,"7.256885, 23.938053",UTC,FR,Oceania,Switzerland,tenant-012,Mexico,NRT,-12.9035,QDWO,Central Park,Paris,Mr.,Europe/London,UTC,Rotterdam,L,JSON,Switzerland,West End,32.075755,West End,92.043322,"Portland, United Kingdom",ORD,https://example.com/users/94073b25/profile,4887 Cedar Ln,LAX,41.289936,Antarctica,North America,9.091824,61.8,Port of LA,140.693984,Dr.,batch-20220313-09,Phoenix,Portland,CDG,"-64.085259, 100.475882",data.io,4921 Pine Rd,Shanghai,Canada,Big Ben,Golden Gate Bridge,"58.472266, 21.744835",Kafka,DE,In-Store,Italy,24.317361,-149.632668
source_col -> output,6503 Maple Dr,LHR,-35.490986,$2b$12$y9SFCPObe0VeYyutZ4s7ChjNi42yj3n8fJkIb3h547KXSPgdTieQ8,East Side,34163.51,Busan,LHR,64.9,Los Angeles,Oceania,78.32125,Rotterdam,Asia,40340-61-1,North America,photo_0a1a809b.jpg,5.13.73,East Side,[CONFIDENTIAL] Formula #377,6217810,"7764 Oak Ave, Seattle",5.6.6,Food,-104.598647,4696 Oak Ave,Rotterdam,JFK,-2.9906,Parent,type,Denver,NY,BR,"$2,553,932",Bohemian Rhapsody,Portland,sophia.wright,"Paris, Switzerland",CSV,79.943661,+1-373-206-6867,CDG,2945 Pine Rd,9605 Pine Rd,Golden Gate Bridge,141.39.60.121,-58.944607,20.118954,UTC,ADV-W1JVFTS7DS,Midtown,"46.739646, 152.80541",CET,BR,Antarctica,Singapore,tenant-013,India,LAX,99.4954,NJ,Central Park,Sydney,Dr.,PST,America/New_York,Shanghai,A,Parquet,United States,Midtown,13.601307,East Side,-9.788676,"Miami, South Korea",NRT,https://example.com/users/38c19011/profile,7999 Oak Ave,ORD,24.589179,Africa,Oceania,178.225604,14.4,Port of LA,141.96994,Prof.,batch-20210212-54,Seattle,Seattle,JFK,"-52.954579, 117.137645",company.net,6416 Main St,Port of LA,Mexico,Statue of Liberty,Statue of Liberty,"-32.519284, 16.244532",Snowflake,IN,In-Store,Brazil,34.172573,-150.851686
