day_of_week_38,cronSchedule,apprvstat,CRON_SCHEDULE,monthval,gtin,ts,start_date,meascpu,date_time_info,col_bro,src_permission_level,month_number,x_51,day_of_week_v2,c_adv,meta_801,device_type,DATE,src_period_interval,ISO_CURRENCY_CODE,score_index,day_of_week,prescription_54,channel_info,scientific_name,dateval,END_DATE,dim_month,username,enddt,genericIdentifier,dim_153,x_glhl,f_664,user_event_name,START_DATE,user_agent,field_score,deviceType,date,dim_voiceprint,user_date,fact_end_date,SCORE_INDEX,field_angle,quarter,yearval,end_dte,DEVICE_TYPE,c_cooki,NUMERIC_RANGE,devtype,review_text,quarter_2,mjthkc73,maphxg27,dt,startdt,naics,file_path_field,lab_result_46,qft39,risk_level,date_info,end_date_info,vehicle_identification_number,insert_time,effective_date,iot,soft_delete_flag,index,customer_score_index,score_index_70,c_317,cronval,x_ea,vintage,val_jna,color,c_vnnk,x_ih,length,cron,mtr31,month_46,time_of_day,ynefvy1,x_yea,dim_dev,user_gender_pii,month,jvh26,var_bro,nullable_flag_field,date_2,dim_start_date,x_kvmj,channel,score_index_2,dev_type,QUARTER,val_euyv,attr_start,channel_2,passwordHash,CHANNEL,device_type_info,os,p_vw,DATE_2,field_ytc,x_hbg,DATA_LINEAGE,period_interval_38,wordemb,start_date_raw,timeOfDay,val_750,val_nzr,val_kww,period_interval_field,user_created_at,default_value,medium,start_date_2,digital_certificate_46,nxkzfp7,landmark_poi_54,dim_tta
Sunday,17 14 * * *,Rejected,"57 22 * * 0,6",December,5720001961905,2025-12-25 08:27:16,2024-12-08,35.8,2025-01-08T00:00:00Z,Firefox,Owner,July,source_col -> field_b,Wednesday,ADV-EGZLQRNU4W,2019-07-20,IoT,2022-02-16,H2 2023,AUD,4.83,Saturday,Albuterol 90mcg,Mobile,H2O,2022-01-04,2019-08-07,August,harper_white9,2020-01-06,ebdd40b7-c668-4e11-bf83-01beb2a52551,2022-09-03,MZSHTHVBNKPIET6Y3,2024-12-01,Annual Conference 2020,2026-10-19,Opera,1.42,Mobile,2026-08-14,voice_9958708d768f27be.wav,2021-03-05,2024-06-05,4.52,70.85,Q3 2020,2024,2018-10-23,Desktop,_ga=9182601848.9214030,5-96,IoT,Not recommended.,Q4 2022,https://example.com/users/2fc72199/profile,4.52,2025-05-05,2026-04-09,198747,/var/data/batch_365.log,Hemoglobin: 226.6 g/dL,58-7360952,Critical,2025-01-22,2019-04-10,R3GB9OZ5ZQ4QKEQUL,2023-03-20T00:55:17Z,2023-11-07,IoT,false,8.05,7.83,3.54,Census Bureau,"35 9 * * 0,6",Asia,2017,3.17,Green,2023-05-10,7 days,608.91,"8 19 * * 0,6",0x727c8d472c8837064f43e9a9104d7e067ec85328,September,17:39:15,January,2004,Desktop,Female,November,BILL-957430,Brave,YES,2022-04-08,2022-11-29,"7 16 * * 0,6",Social Media,8.56,Smart TV,Q2 2026,3740-8372-6937-0544,2022-11-28,Social Media,$2b$12$Q6fBTxeOsALP0WRb6GTb1Bldxk5Q6kKt3k7kgeJHYvRMoYATotryh,Mobile,Wearable,Chrome OS,2.02,2026-09-05,Email,Competitor Acme Corp launched FlexPay Platform,curated.events -> reports,FY 2025,"[-1.2821, -0.1581, 1.2872, -0.2835, 1.0272, -1.2926, 0.7235, 0.2695]",2022-10-29,00:42:52,Inactive,September,February,Q1 2024,2020-11-25 19:08:51,1,Email,2026-03-08,"-----BEGIN CERTIFICATE-----
2tnHmuAKBJETLPN3aPuZo0VP2iUuRTHJ0nXEQ83JpesvuV6/cXTSCTtBaIv+EkWb
-----END CERTIFICATE-----",Wearable,Eiffel Tower,2022-03-07
Wednesday,"37 10 * * 0,6",Pending,"11 9 * * 0,6",March,5580850884812,2018-06-14T07:31:21Z,2022-10-16,48.0,2024-12-28T00:00:00Z,Safari,Viewer,August,field_a -> field_b,Monday,ADV-DGYKCO4GF2,2018-01-04,Desktop,2018-10-28,Jan-Mar,CAD,2.78,Wednesday,Omeprazole 20mg,Email,Fe2O3,2022-03-11,2026-04-20,March,susanrodriguez426,2024-05-31,df1f8ce6-5ead-4a06-992f-e39c4a54f77d,2021-01-02,ZOJTRN5JENXIFEXGR,2022-10-15,Global Forum 2020,2022-04-30,Opera,0.99,Desktop,2022-12-15,voice_e1848788b143b473.wav,2018-03-12,2021-08-07,4.81,183.79,Q4 2024,2000,2021-04-27,Mobile,_ga=7502995173.2675348,31-81,Mobile,Needs improvement.,Q2 2021,https://example.com/users/fadb2ab6/profile,9.27,2020-01-25,2026-05-31,905364,/var/uploads/batch_522.parquet,Cholesterol: 216.0 K/uL,27-4237484,Low,2018-12-03,2025-05-12,G9VVR1G6B6EHVT8VL,2024-02-16 09:37:15,2021-08-06,Tablet,true,5.44,7.97,5.05,Bloomberg,34 1 * * 1-5,North America,2022,5.59,Green,2026-01-03,30 days,931.51,58 17 * * 1-5,0xe0db27ea351b03e49f0a72f5230ccd805308cb81,February,03:27:38,May,2016,Desktop,Female,December,BILL-609861,Chrome,YES,2024-10-15,2020-05-06,"53 14 * * 0,6",Mobile,2.44,Wearable,Q4 2023,XXXX-XXXX-XXXX-6873,2018-12-24,Email,$2b$12$xPyflGK9ACE2MY9ibSwKGrQVePlgmNI5pAN0QyRfJtY5wGq5YUF2a,Web,Smart TV,Chrome OS,1.56,2019-01-05,In-Store,Competitor Meridian Health launched VaultKeeper,staging.orders -> exports,Q1 2024,"[0.8383, 0.148, 1.9261, 0.2248, -0.938, -0.8784, 1.7948, 0.4499]",2018-09-03,15:34:22,Disabled,January,April,Jan-Mar,2020-04-25T09:05:57Z,CURRENT_TIMESTAMP,Web,2023-08-27,"-----BEGIN CERTIFICATE-----
jZDQpJrq3JeS2sPWo7qngVoGY93nGIuB5aeWH3O1Dv9muB3RltFBI5nDi/dmfPLG
-----END CERTIFICATE-----",Mobile,Statue of Liberty,2018-08-18
Saturday,5 8 * * 1-5,Rejected,"1 13 * * 0,6",December,3176921665730,2019-11-24 21:45:02,2025-06-28,69.5,2019-12-12T00:00:00Z,Safari,Admin,December,field_a -> target_col,Friday,ADV-XDGIM97VKY,2024-04-10,Mobile,2020-06-11,FY 2025,JPY,4.68,Wednesday,Albuterol 90mcg,Phone,Fe2O3,2018-03-06,2025-06-28,June,sophia_harris817,2023-04-14,4e865fe7-bf54-47dc-af88-1c6aaae9e28c,2021-11-30,WEVW8T6UVVENZF0CS,2019-07-17,Annual Summit 2020,2020-03-07,Chrome,8.33,Tablet,2023-04-18,voice_62d98841a151dab6.wav,2025-02-27,2022-04-27,9.42,313.91,Q1 2022,2014,2019-03-09,IoT,_ga=6326361659.6658347,8-76,Tablet,Great product!,Q3 2024,https://example.com/users/35998ac6/profile,3.98,2023-09-29,2024-04-23,785393,/var/uploads/batch_376.yaml,Glucose: 115.2 mg/dL,91-7219455,Critical,2021-11-21,2019-05-21,YDLKE4WWAGAX0ZH8A,2026-07-22T22:26:00Z,2021-03-02,IoT,true,2.01,6.54,5.18,Eurostat,"42 21 * * 0,6",Antarctica,2008,9.68,Yellow,2022-05-02,30 days,701.81,5 6 * * 1-5,0xc7c7c347bb78b34301d7cdcd05322e625117992f,January,07:46:19,July,1996,Desktop,Male,July,BILL-450715,Opera,NO,2023-07-01,2019-09-09,36 11 * * 1-5,In-Store,4.4,IoT,Q4 2022,5140-5091-0361-2795,2019-10-30,Mobile,$2b$12$Oth7JKhB8PD99OO1hvMoPSsHzoZsudYZdASjNecCRTupjZLjtnrHX,Phone,Mobile,iOS,0.38,2020-02-13,Mobile,Competitor Vertex Technologies launched SmartHub X1,raw.orders -> analytics,Jan-Mar,"[-0.9551, 0.6935, 1.7768, -0.3731, 0.4562, 0.1998, -0.0095, 0.0987]",2021-09-25,12:17:48,Enabled,May,August,FY 2025,2021-07-14 07:07:33,'',Email,2018-02-14,"-----BEGIN CERTIFICATE-----
uxZlJBnSHjY1UYxPTC/L5koNJFH/9VhU+ACmOJMebZTY1NklJotjrCPNhtt5tnGz
-----END CERTIFICATE-----",IoT,Central Park,2025-10-23
Friday,46 15 * * 1-5,Pending,37 7 * * *,September,6412596044026,2024-11-15T19:48:07Z,2022-01-16,77.0,2024-03-10T00:00:00Z,Chrome,Admin,August,field_a -> field_b,Monday,ADV-9PE37B5W34,2020-04-18,Desktop,2024-09-13,Jan-Mar,AUD,5.22,Tuesday,Ibuprofen 200mg,In-Store,H2O,2019-08-02,2025-04-05,August,oliviarodriguez403,2018-10-23,74e37627-9f4f-4cec-9ab8-68a9e9575ec9,2019-09-13,BRGHDJXXCPEVSHTIU,2026-04-14,Annual Expo 2026,2018-04-19,Chrome,7.68,Tablet,2020-05-19,voice_e0f7ffe362a6d184.wav,2025-09-02,2022-04-02,9.24,218.98,Q4 2022,2000,2019-10-24,Smart TV,_ga=7297524753.8466767,43-62,Tablet,Needs improvement.,Q4 2020,https://example.com/users/e303dd35/profile,4.58,2020-06-08,2021-06-06,673105,/var/exports/batch_99.parquet,Cholesterol: 272.6 K/uL,88-8552904,High,2026-03-29,2022-08-16,RTTK4K6VU9LVP1Q7C,2026-07-21 08:00:44,2024-07-25,Wearable,false,2.45,7.27,2.25,Bloomberg,35 18 * * 1-5,Africa,2001,7.06,Orange,2024-08-15,1 year,141.44,"39 14 * * 0,6",0x0b5b1fb16b36167d59f4102d8999a2d8c4b77234,July,08:17:51,April,2019,Tablet,Non-binary,December,BILL-716802,Firefox,NO,2023-03-19,2024-10-27,16 1 * * 1-5,Social Media,5.53,Tablet,Q1 2026,3732-9321-2487-2952,2020-03-13,Mobile,$2b$12$3b9VpI8e5X1aj6gCAS7DxCBULh8WbwEHVSU60Pp4SqEQXZG9sjnne,In-Store,Smart TV,macOS,0.11,2020-03-04,Email,Competitor Pacific Research Group launched CloudGuard,raw.events -> analytics,FY 2025,"[-0.5053, 0.5586, -0.5424, -1.2821, -0.3985, 0.307, -1.1437, 0.4018]",2019-06-27,01:43:45,Inactive,February,June,H2 2023,2018-09-24 16:57:09,false,Web,2020-10-29,"-----BEGIN CERTIFICATE-----
V5pr/8Bc/YC5rMUJTu+F9uZb5AJ2lbugWrR7XNGOp9mFjBr2aX8krAuPysns56z1
-----END CERTIFICATE-----",Smart TV,Golden Gate Bridge,2019-06-22
Tuesday,29 9 * * 1-5,Approved,13 5 * * *,September,1301815482230,2023-02-13T04:13:53Z,2022-02-24,92.9,2018-10-02T00:00:00Z,Edge,Admin,August,input -> target_col,Tuesday,ADV-2QJL0E4WSY,2022-05-24,Smart TV,2025-01-21,2020-2025,GBP,1.92,Tuesday,Albuterol 90mcg,Mobile,Fe2O3,2021-10-03,2026-04-18,March,david.taylor876,2020-08-16,a4851481-8471-4fb9-95aa-c6fadd89d98a,2023-04-09,7T79X0P0KWVEUVU76,2022-06-20,Annual Forum 2025,2021-10-09,Brave,3.37,Desktop,2022-10-08,voice_8d0ebc3388be8234.wav,2022-06-25,2018-09-05,7.57,325.33,Q2 2022,2009,2026-08-13,IoT,_ga=1725934256.4851140,45-100,Tablet,Great product!,Q1 2025,https://example.com/users/3900158a/profile,2.66,2025-03-24,2026-03-22,551396,/var/data/daily_197.xml,WBC: 106.4 g/dL,20-9044637,Negligible,2020-05-07,2021-09-22,UHEVTM9GRE59QFCVE,2021-08-03 13:28:47,2020-08-14,Mobile,true,1.53,9.5,0.94,Eurostat,44 1 * * 1-5,Oceania,2004,9.78,Blue,2022-01-27,7 years,656.29,"21 1 * * 0,6",0x0496a711ddd5efedd1ffeeb3177d913b2df6f857,December,03:23:20,July,1994,IoT,Male,April,BILL-353590,Safari,NO,2024-02-05,2024-09-18,"48 18 * * 0,6",Web,8.77,IoT,Q3 2024,4025-1140-6956-3312,2026-09-18,Web,$2b$12$IOboUmRyhHhrspoAA9h7pSI0H77MuyKKH5Qjkvjd8rgiAXWZTPzqe,Chat,IoT,Android,5.45,2026-06-03,Phone,Competitor Pioneer Software launched Widget Pro,raw.orders -> exports,H2 2023,"[-0.7324, 0.183, 0.7203, 1.4459, -1.3745, -0.4012, 2.175, -0.3127]",2025-09-05,18:10:50,Enabled,January,June,Jan-Mar,2022-11-08 11:21:15,1,Chat,2019-06-14,"-----BEGIN CERTIFICATE-----
/TyDCMlCGW72lADRmOHhWSlDj8XNl0EK41ksAiVHdwXIdUZNF0bpEqAUWynPJCcL
-----END CERTIFICATE-----",IoT,Central Park,2023-07-06
Friday,15 8 * * *,Pending,"32 22 * * 0,6",November,4218799456370,2026-05-27 22:19:06,2024-11-16,83.4,2020-07-11T00:00:00Z,Brave,Admin,February,field_a -> target_col,Thursday,ADV-R1AZ3I3AWM,2023-10-09,Wearable,2026-02-20,2020-2025,CAD,0.75,Saturday,Lisinopril 10mg,Web,NaCl,2021-03-16,2022-04-13,May,ethan.thompson423,2025-04-26,a80f073a-352a-4e22-b843-ae04ca2463f2,2019-05-27,SBOYZH9XRE5SAGNOX,2026-04-15,Global Forum 2025,2020-11-26,Chrome,3.78,Wearable,2024-02-22,voice_0c5af6a2741ce1d4.wav,2022-03-05,2020-09-19,3.68,0.34,Q4 2022,2005,2019-04-25,Wearable,_ga=4245737086.4222869,42-61,Tablet,Excellent service.,Q3 2023,https://example.com/users/9a7ae0b3/profile,8.87,2020-11-18,2025-04-16,264892,/var/config/export_232.log,Glucose: 106.4 mg/dL,88-6107578,Negligible,2023-12-25,2019-06-18,WOORC2J8RV5GHE9GF,2018-10-09 15:38:46,2024-10-01,Smart TV,false,8.58,9.31,0.29,CDC,2 15 * * 1-5,Oceania,2018,6.19,Orange,2021-07-08,30 days,630.6,"19 18 * * 0,6",0xeeea74f4b5647b96eb248202b9c7bc981762f3b4,July,23:08:48,October,2024,Smart TV,Non-binary,October,BILL-255258,Edge,false,2022-03-23,2021-09-24,20 11 * * 1-5,Social Media,9.76,Tablet,Q2 2024,4073-4395-1439-6216,2025-10-12,Chat,$2b$12$IJtV6VSEhifZXm6BWbV4J44AEMsP0gk685neuR1W43XSpEQUiaOEO,Email,Tablet,Chrome OS,8.2,2022-03-13,In-Store,Competitor Pioneer Software launched Sentinel Monitor,curated.events -> reports,H2 2023,"[-0.9905, -0.1199, -0.9199, 0.7148, 1.4056, 1.1265, -1.0114, -0.1546]",2026-09-12,12:31:27,Inactive,August,June,H2 2023,2019-05-21 11:05:44,0,In-Store,2023-10-17,"-----BEGIN CERTIFICATE-----
r9cWj4+ygqS0kTlxy/nZ+j2LO7juQBjBfRb0UTnMDJhCQs5rJiSR92/pLW8YNaff
-----END CERTIFICATE-----",Tablet,Central Park,2019-02-03
Sunday,25 20 * * 1-5,In Review,15 4 * * *,June,9237190880777,2025-12-17T06:50:20Z,2025-02-19,10.3,2018-08-01T00:00:00Z,Opera,Guest,February,source_col -> target_col,Wednesday,ADV-E253VA3TLI,2025-12-10,Smart TV,2026-03-17,H2 2023,JPY,9.02,Friday,Metformin 500mg,Email,NaCl,2020-05-11,2025-10-08,February,sophiamoore160,2023-05-22,2b453dcb-d891-421e-8b78-f86f7b9e9120,2026-05-20,68IEJ09W1BJ436PXF,2018-04-17,Tech Conference 2023,2019-05-09,Opera,6.32,Desktop,2018-09-11,voice_b69db8532fa70eef.wav,2018-10-06,2025-08-30,1.04,186.14,Q3 2023,1999,2024-02-20,Tablet,_ga=2488396985.1743731,50-75,Smart TV,Great product!,Q1 2022,https://example.com/users/9c4b49b5/profile,5.23,2018-04-26,2020-01-18,769205,/var/exports/daily_717.csv,Hemoglobin: 118.4 g/dL,66-8821120,Critical,2026-03-14,2020-07-08,BDS80J9936L0H1S7F,2020-07-03 09:58:08,2026-06-25,IoT,true,7.41,1.86,2.86,Eurostat,51 21 * * 1-5,Africa,2003,6.71,Brown,2021-03-10,7 days,403.61,"56 0 * * 0,6",0xdd3fc41cab030a1ef74ccc5626c1dcd14f8bfbcf,August,23:32:00,April,2023,Desktop,Male,May,BILL-656549,Chrome,true,2026-09-16,2018-11-14,24 17 * * 1-5,Chat,7.18,Mobile,Q4 2022,3716-4792-8959-9507,2022-01-09,Email,$2b$12$niOxYTAH7POs78ndOoRHF3MpQTbuDZPtVvV9MaTtNMVPF86AaGKWb,In-Store,Tablet,Windows,6.51,2018-07-08,In-Store,Competitor Vertex Technologies launched CloudGuard,raw.orders -> reports,Jan-Mar,"[-0.573, -0.4406, -1.5911, -1.5997, 1.5936, -0.2376, 1.529, -0.3619]",2026-08-22,20:38:44,Enabled,May,June,H2 2023,2020-03-23T14:42:22Z,1,Phone,2023-08-30,"-----BEGIN CERTIFICATE-----
14OZMvymnGUhdQUxbXUDm1r54pN2NR3brVMmo4PWsRiBlGrXyaFYgGuwaMyGFoAH
-----END CERTIFICATE-----",Mobile,Statue of Liberty,2018-11-20
Friday,"41 22 * * 0,6",Rejected,41 17 * * 1-5,January,1993258591840,2026-07-18T16:51:14Z,2020-08-20,85.0,2022-01-15T00:00:00Z,Chrome,Guest,January,input -> output,Thursday,ADV-JTB5OW3KBU,2024-05-06,Tablet,2024-12-29,Jan-Mar,EUR,5.16,Sunday,Lisinopril 10mg,Mobile,Fe2O3,2019-04-17,2024-07-12,July,davidharris65,2022-02-10,2cebc2ca-01bf-4b75-8896-d6c1b80657d3,2018-04-19,M9YVBYR15XGQXOD2O,2019-08-02,Global Summit 2023,2024-07-28,Edge,2.69,Mobile,2024-07-03,voice_8912d9cc12f9a3aa.wav,2023-04-23,2025-08-20,8.68,301.4,Q1 2022,2003,2024-08-25,Wearable,_ga=4547870695.6773489,17-75,Mobile,Great product!,Q4 2021,https://example.com/users/77b990f0/profile,5.72,2022-09-05,2020-07-27,113616,/var/uploads/batch_975.csv,Hemoglobin: 114.0 K/uL,18-5003589,Negligible,2021-10-01,2021-11-19,QCDDCEONULHELXDDS,2021-05-01T12:27:51Z,2019-09-02,Tablet,false,7.9,9.79,0.29,CDC,9 1 * * 1-5,Oceania,1990,2.53,Gray,2020-09-05,1 year,787.21,29 13 * * *,0x9d21eaf8842190cc6802d4556e8dbc5b39ca70de,June,18:49:51,March,2009,Wearable,Male,January,BILL-825499,Opera,true,2026-12-04,2022-03-05,28 16 * * 1-5,Social Media,2.57,IoT,Q4 2020,5252-0448-7780-1422,2020-10-09,In-Store,$2b$12$bsov2NPjJ1fOLKEkWezYx8DYLN7P7RBTpPycWBgOTWDipKvaaBpnK,Web,IoT,Windows,9.36,2024-06-01,Mobile,Competitor Vertex Technologies launched FlexPay Platform,staging.events -> analytics,Jan-Mar,"[0.3427, 0.0911, 0.6592, 1.0737, 1.1601, 0.5514, -0.2623, -0.4067]",2022-03-06,10:50:55,Enabled,February,October,2020-2025,2024-12-28T17:27:36Z,1,Social Media,2023-12-23,"-----BEGIN CERTIFICATE-----
4YyqUGwlYp+md/dEFWUm5BI8fJbazuqV3QiMOKiscfyhr9A3RKkY0RrdUabXByzm
-----END CERTIFICATE-----",Wearable,Golden Gate Bridge,2023-03-18
Monday,53 20 * * 1-5,In Review,3 23 * * *,November,3864416993705,2022-12-14T17:25:50Z,2025-04-08,45.8,2022-11-06T00:00:00Z,Brave,Admin,December,source_col -> field_b,Sunday,ADV-HV9FMEWA25,2019-10-25,Desktop,2023-01-09,2020-2025,CNY,4.94,Wednesday,Albuterol 90mcg,Chat,E. coli,2020-10-18,2025-01-09,December,davidsmith154,2025-07-20,a6cfdfeb-b1ea-40d1-96d0-4f11fbb9361b,2025-03-12,ZU5J3RS3EG7MTG4GW,2023-04-28,Annual Conference 2024,2026-11-01,Brave,7.03,Smart TV,2025-11-12,voice_006139ed3bbeba8e.wav,2020-01-18,2023-11-03,0.87,305.38,Q2 2021,2014,2018-09-14,Smart TV,_ga=0984024492.1119039,37-100,Smart TV,Excellent service.,Q1 2024,https://example.com/users/2ba06282/profile,3.27,2024-09-25,2022-08-17,548165,/var/uploads/daily_343.parquet,Cholesterol: 206.9 mg/dL,85-8405397,Medium,2018-05-02,2025-07-18,K2Q0GCFCIFJQURXSB,2025-09-25 13:38:23,2019-11-01,Tablet,false,1.19,3.73,0.27,CDC,"6 12 * * 0,6",Europe,1999,7.58,Gray,2021-10-07,indefinite,225.39,28 18 * * *,0x91b4ed475669f32b4be1d6277d73bfd6098d8f4c,June,06:17:40,September,2025,Smart TV,Male,October,BILL-279663,Opera,true,2022-02-10,2023-01-25,"54 1 * * 0,6",Email,0.46,Mobile,Q4 2026,3742-5060-1057-0407,2019-11-26,Email,$2b$12$5XuJ5dhiskI1AOyXjE3zbUwqCixOOVFeqnnne6Pct4lV06WODfsC7,Social Media,Smart TV,Windows,0.47,2018-06-15,In-Store,Competitor Alpine Systems launched FlexPay Platform,curated.orders -> reports,Q1 2024,"[-0.8314, -0.6169, -0.404, -0.4412, -0.7362, -0.265, 0.8707, -0.2757]",2024-02-23,00:22:53,Enabled,February,December,H2 2023,2021-02-02 11:12:11,CURRENT_TIMESTAMP,Chat,2024-02-20,"-----BEGIN CERTIFICATE-----
d4btKnIM/jE68MzcBKeHvJiRozXOUs87hPEz2eCEqYO4M8jJG0uuUE7i10VH1v9a
-----END CERTIFICATE-----",Tablet,Central Park,2018-07-01
Friday,"36 23 * * 0,6",In Review,"5 14 * * 0,6",April,5400998662036,2023-07-24T23:41:29Z,2026-02-28,25.7,2025-08-14T00:00:00Z,Opera,Guest,April,input -> target_col,Tuesday,ADV-HK1W8WH2UH,2026-08-10,Mobile,2021-01-20,Jan-Mar,BRL,9.57,Monday,Lisinopril 10mg,Email,Fe2O3,2024-02-22,2021-05-01,October,patricia.miller384,2019-01-22,5bb44a72-680e-445a-9ab4-378535494785,2021-07-20,T6B3JVRXQYLXOEO03,2023-06-12,Global Conference 2025,2023-10-14,Brave,4.58,Mobile,2023-07-16,voice_fc276cdabdea6e45.wav,2019-04-25,2023-10-03,1.06,318.72,Q3 2023,1997,2018-07-06,Desktop,_ga=9063723158.9614604,49-78,Tablet,Needs improvement.,Q2 2024,https://example.com/users/052f65ae/profile,1.66,2018-08-30,2026-12-11,997744,/var/tmp/export_952.yaml,Cholesterol: 145.3 mg/dL,77-3408748,Medium,2025-07-18,2021-11-09,TWSFU0E9EUOPJXZPW,2024-09-22T05:00:34Z,2025-09-17,Smart TV,false,9.93,5.65,3.36,Eurostat,"9 14 * * 0,6",Europe,2006,3.99,Red,2023-12-03,7 years,841.98,53 21 * * *,0x347cb8f99083674555dbaead1ad7ad10c6607ca6,October,09:57:42,June,2001,Mobile,Other,May,BILL-557087,Chrome,true,2023-09-11,2018-12-13,"43 0 * * 0,6",Mobile,3.72,Tablet,Q4 2026,5829-2665-4986-7059,2025-09-30,Mobile,$2b$12$ZkD1iLnYNF1HSOr8TmckA6gX45pWVatt6kwP3IxgDwkhNolZS0Rlx,In-Store,Desktop,Windows,9.14,2019-04-17,Email,Competitor Quantum Dynamics launched NanoCore SDK,raw.events -> exports,H2 2023,"[-0.0907, -0.6136, -0.3145, 3.1576, -0.9192, 0.6963, -0.4676, 0.3762]",2023-02-20,21:28:51,Enabled,May,October,H2 2023,2025-08-05T18:57:13Z,'',Chat,2018-11-20,"-----BEGIN CERTIFICATE-----
GArTMUeldZiStI2U8GajMYSes3YLHH5kzPWDEqmzIpKfOKspFwKVl2rVfmSF4MVg
-----END CERTIFICATE-----",Desktop,Central Park,2021-03-28
Monday,38 4 * * *,Approved,"3 10 * * 0,6",August,4479188661169,2026-02-14 11:12:35,2024-02-09,5.4,2024-06-24T00:00:00Z,Brave,Guest,September,source_col -> output,Sunday,ADV-86V6D8CTO7,2022-04-27,Desktop,2025-05-20,Jan-Mar,CHF,9.41,Monday,Lisinopril 10mg,In-Store,Fe2O3,2025-04-15,2019-04-21,March,johnsmith931,2025-01-31,220a31b7-a4df-4897-8c7b-466e5f8bac71,2026-09-24,0VQ4R29AYBHEXPEQQ,2023-09-19,Annual Expo 2022,2021-04-08,Chrome,6.15,Smart TV,2024-08-23,voice_8516f67250741a45.wav,2022-05-16,2020-04-08,1.93,37.67,Q1 2021,2013,2019-07-31,Mobile,_ga=3424954237.5989884,28-100,Tablet,Needs improvement.,Q1 2023,https://example.com/users/ac3e6416/profile,6.72,2026-01-30,2022-08-24,328606,/var/config/export_103.log,Hemoglobin: 278.4 g/dL,91-5750990,Critical,2022-08-07,2024-08-02,OGLP8VC9GO81TW09F,2022-10-25T22:20:27Z,2026-05-25,IoT,true,3.2,1.77,8.17,Bloomberg,"12 23 * * 0,6",South America,1994,7.9,Orange,2021-04-10,indefinite,129.65,34 16 * * *,0x547f117e2b1f3dc84839de2227323cc85b6b49da,October,14:23:51,January,1994,IoT,Other,June,BILL-647801,Opera,false,2023-06-01,2018-01-22,"12 21 * * 0,6",Mobile,7.25,Mobile,Q4 2020,6011-0156-1793-6357,2026-12-01,In-Store,$2b$12$H2BcRnV53V333DaMwVay0QElbSdBIt9NjyCpIZ4yppLnDbkwQZpll,Mobile,Tablet,Linux,2.71,2022-03-25,Social Media,Competitor DataCraft Inc launched FlexPay Platform,staging.events -> exports,Jan-Mar,"[1.415, -0.8458, -2.3156, 0.114, -0.9689, 0.8972, 0.7778, 0.5938]",2026-04-28,12:24:14,Inactive,March,April,H2 2023,2024-02-24T16:32:01Z,CURRENT_TIMESTAMP,Phone,2024-11-15,"-----BEGIN CERTIFICATE-----
D4bnnQVKh0AZYL3K3apSVU3Kl2bZa1z6+JNsrXwKJs0w/MCrhqr1xR/sDPu6usGF
-----END CERTIFICATE-----",Mobile,Golden Gate Bridge,2019-02-04
Thursday,"26 20 * * 0,6",Pending,"35 16 * * 0,6",June,4651730995716,2026-06-08 00:05:59,2024-06-04,58.6,2026-03-14T00:00:00Z,Edge,Admin,July,input -> output,Thursday,ADV-ZXY58G4RSA,2020-02-19,Desktop,2018-08-18,Q1 2024,AUD,3.19,Monday,Metformin 500mg,Phone,C6H12O6,2023-06-27,2021-04-08,January,noah.white46,2022-11-20,dbe5384f-977c-42ec-a1d2-b2b7a2392747,2020-01-15,Q7CVSUD3WMAGZ3R0A,2018-03-14,Annual Summit 2023,2020-02-11,Opera,9.29,IoT,2025-08-20,voice_26fab54367632688.wav,2022-07-14,2018-07-22,2.04,307.08,Q4 2024,1991,2018-11-26,Desktop,_ga=7478940140.5014625,33-81,Smart TV,Not recommended.,Q1 2024,https://example.com/users/93960b8a/profile,6.58,2018-09-01,2025-04-04,624515,/var/tmp/batch_372.yaml,WBC: 159.0 K/uL,77-9492403,Medium,2018-11-12,2018-04-22,AWZEBLUDAR2MZ76OO,2024-02-25 22:39:49,2023-07-29,Tablet,false,1.34,5.3,5.69,Bloomberg,"28 5 * * 0,6",Oceania,2012,2.63,Brown,2018-02-18,1 year,82.15,9 7 * * *,0x130c9e7521089ea42052b11c82883ecccf7d5b93,May,00:15:33,January,1990,Smart TV,Non-binary,March,BILL-431190,Firefox,false,2022-10-30,2021-04-23,"59 16 * * 0,6",Email,6.06,IoT,Q1 2020,6011-9304-3857-0487,2023-10-19,Web,$2b$12$vJBVbeHyY967Erq49CO0VJBH1MndZYFh2JqqZR47M00ldJpojCQ8l,Mobile,Desktop,Windows,7.3,2020-03-28,Email,Competitor Catalyst Ventures launched VaultKeeper,raw.events -> exports,2020-2025,"[-0.4766, 2.2938, -0.9179, -1.4684, -0.1107, -0.5328, 0.6942, -0.9372]",2022-07-17,07:08:06,Disabled,November,March,2020-2025,2021-02-13 10:23:59,null,Chat,2023-06-17,"-----BEGIN CERTIFICATE-----
Cwk6FMtSAvlksZIeXTmbo+TEmJ3sfGZO6z8g4Ymy+4T6olnTpQxTQp7dhbmTpwmP
-----END CERTIFICATE-----",Mobile,Big Ben,2021-08-13
