x_ban,stock_rsu_grant_field,cvv,v_joni,measdist,insuranceId,d_726,bnk_identification_number,investment_acc,photograph,attr_credi,salary_compensation_30,medicalRecordNumber,wjqaz75,MAGNETIC_STRIPE_DATA,feed,oqsigr33,investment_account_data,credit_rating,TIMESTAMP,magstripe,var_iz,stock_rsu_grant,paypal_acct,fact_credit_score,meta_881,BANK_ACCOUNT_NUMBER,attr_eu,locationText,investment_account,swipe_data,CARD_EXPIRY_DATE,image_embedding_22,investmentAccount,paypal_account_raw,zsvx56,modifiedBy,VERSION_NUMBER,stockRsuGrant,dim_iso_currency_code,CONFIGURATION,iata,exp_date,attr_per,voltage,PAYMENT_CARD_NUMBER,jzn7,dim_price_cost,perfrev,permission_level_raw,meta_830,wkeqg68,income,ban,cvv_2,date_time
3876524183,4170 shares @ $188.44,021,Boston,6425.2,INS-768450,INS-141495,60111663,INV-233822,photo_87254f3c.jpg,464,"$76,930",MRN-311777,mary.rodriguez@outlook.com,%B2850642094940448^WILLIAMS/DAVID^2801,Kafka,insert,INV-916124,670,2022-01-09T20:27:47Z,%B7426282267707059^WILLIAMS/PATRICIA^2512,"$3,062,165",1818 shares @ $229.88,william.thomas@outlook.com,675,5.9,5198707617,6605.29,"Dallas, Norway",INV-811071,%B2447012953890832^THOMAS/PATRICIA^2508,09/27,"[-0.5242, -0.3786, 0.3476, 0.0847, 0.1236, -0.1616, -0.5828, 0.3386]",INV-705832,sarah.lee@yahoo.com,06/28,jennifer.lee,1.1.17,2946 shares @ $355.27,BRL,batch_size=434,CRL,12/24,David Lewis,434.2,XXXX-XXXX-XXXX-7161,-89.6647,4820.98,Needs improvement,Guest,K09PJX63O5J9OII2ZCCZ,07/25,"$6,898,479",8328409711,6833,2021-10-03T00:00:00Z
02413110,1312 shares @ $256.27,115,Tokyo,9683.6,INS-368301,INS-145003,60112214,INV-467862,photo_a11da836.jpg,368,"$114,562",MRN-472500,mason.rodriguez@gmail.com,%B9677734868556757^WRIGHT/SARAH^2810,Snowflake,update,INV-244395,455,2023-04-20T01:00:45Z,%B4221293422299825^GARCIA/DAVID^2509,"$2,558,294",3266 shares @ $240.51,noah.davis@yahoo.com,378,29.1,415069415433,9390.49,"Phoenix, Singapore",INV-797417,%B9873272733926202^BROWN/LINDA^2407,01/26,"[-0.7887, 0.1576, -0.4761, -0.4597, -0.3226, -0.3085, -0.2588, 0.4705]",INV-284266,emma.lewis@yahoo.com,12/30,emily.williams,5.8.46,189 shares @ $245.2,CHF,pool_size=860,TTD,03/30,Sarah White,333.6,5021-3699-8652-4992,6.3656,9144.38,Meets expectations,Guest,W7SQ7W09FATGQ1BAN7VP,07/29,"$8,240,953",629954376354,3741,2023-04-02T00:00:00Z
6642152858,3745 shares @ $332.47,4305,Seattle,4018.3,INS-814468,INS-120022,601117866,INV-385870,photo_42c95a98.jpg,750,"$115,535",MRN-326406,linda.taylor@outlook.com,%B2433167899746267^LEWIS/EMILY^2908,SAP,snapshot,INV-177424,371,2026-04-13T03:22:31Z,%B5939069560542089^TAYLOR/LUCAS^2903,"$3,348,279",1162 shares @ $371.88,noah.harris@gmail.com,621,91.4,6794811806,9993.22,"London, United Kingdom",INV-954390,%B5433595210720950^JOHNSON/LINDA^2910,03/28,"[0.4976, -0.2771, -0.1048, 0.2122, -0.0383, -0.2794, -0.3703, 0.4127]",INV-982172,susan.robinson@gmail.com,09/28,oliver.walker,2.16.7,1146 shares @ $383.99,GBP,max_retries=58,NPA,07/30,Ethan Jackson,351.8,5140-0145-5084-1624,48.9918,8720.16,Outstanding,Owner,989UB6ZBL22JQDMD00W6,07/28,"$2,749,046",2265152701,401,2019-01-09T00:00:00Z
3529449558,4444 shares @ $23.83,0560,Chicago,3213.4,INS-372273,INS-875809,601178051,INV-198636,photo_0f0ced7d.jpg,357,"$84,168",MRN-843098,mason.anderson@outlook.com,%B6681142090184314^WALKER/DAVID^2405,Kafka,upsert,INV-395155,466,2023-11-19 13:59:34,%B2370515600521809^LEWIS/MASON^2703,"$4,397,926",540 shares @ $39.16,sophia.king@outlook.com,818,62.9,861354630759,4452.01,"Paris, Israel",INV-482210,%B2790109123919855^WRIGHT/SOPHIA^2702,08/28,"[-0.2942, -0.742, 0.068, -0.1381, 1.0182, -0.1343, 0.1252, -0.0]",INV-937776,william.lewis@outlook.com,03/25,richard.anderson,5.14.49,4919 shares @ $388.71,CHF,max_retries=783,LUF,06/24,Patricia Wright,413.1,XXXX-XXXX-XXXX-2390,98.6828,3136.1,Needs improvement,Editor,Y1LS3VRDRY4GW574CJ64,05/30,"$7,743,024",61644112,2781,2021-12-15T00:00:00Z
3168859608,3827 shares @ $247.07,3974,Tokyo,1449.8,INS-653112,INS-823257,601101786,INV-374028,photo_2ae723b7.jpg,579,"$109,985",MRN-193246,jessica.martin@gmail.com,%B0757877783792434^WHITE/ELIZABETH^3010,SAP,update,INV-408806,551,2019-06-04T12:27:08Z,%B7146853015322673^GARCIA/HARPER^2902,"$309,475",4925 shares @ $470.83,anna.johnson@yahoo.com,587,19.8,25933712,7712.84,"Atlanta, Japan",INV-467313,%B8280358724243120^KING/MARY^2910,04/28,"[0.466, 0.1514, -0.2752, -0.201, -0.3353, -0.8635, 0.3525, 0.2182]",INV-739900,elizabeth.walker@gmail.com,01/25,olivia.taylor,0.20.33,873 shares @ $389.41,JPY,pool_size=532,GMV,08/24,William Lewis,457.2,XXXX-XXXX-XXXX-8741,-14.4775,9054.13,Exceeds expectations,Owner,EFEBPP4G7DCTJ19E4HZI,08/28,"$8,657,720",828118380128,7884,2023-08-02T00:00:00Z
446245284139,3325 shares @ $451.69,4647,Phoenix,427.4,INS-798952,INS-995125,3788527,INV-809248,photo_89208443.jpg,701,"$101,186",MRN-449160,olivia.anderson@gmail.com,%B7521549532845591^WHITE/NOAH^2709,PostgreSQL,upsert,INV-334167,405,2025-06-11 21:53:33,%B6585239298021400^CLARK/OLIVIA^3005,"$7,780,662",4783 shares @ $369.42,liam.anderson@yahoo.com,694,29.6,375169752852,3275.57,"Phoenix, Switzerland",INV-950633,%B8931143002266878^ROBINSON/LINDA^2711,02/27,"[0.68, -0.4537, -0.845, -0.6776, -0.1353, -0.5122, 0.5137, -0.5174]",INV-579259,ethan.davis@yahoo.com,02/27,aiden.lewis,0.6.71,2269 shares @ $196.64,AUD,timeout_ms=718,JEA,01/29,Amy Martin,328.3,XXXX-XXXX-XXXX-7705,-91.9285,1278.78,Meets expectations,Owner,RV80IFUZBSW9BI21WWKT,12/30,"$1,195,949",1304927178,8956,2020-11-08T00:00:00Z
728174972810,1656 shares @ $138.55,756,Los Angeles,3943.0,INS-948591,INS-503821,60116255,INV-944819,photo_e3296ac7.jpg,314,"$75,233",MRN-384707,susan.johnson@outlook.com,%B2145402585879167^TAYLOR/JENNIFER^2806,Kafka,upsert,INV-820714,671,2026-07-08T08:25:29Z,%B0179887509595667^THOMAS/DAVID^3010,"$4,057,286",2756 shares @ $357.37,sarah.walker@yahoo.com,581,54.5,44220641,1842.32,"Boston, Singapore",INV-374537,%B5020055525966913^WHITE/EMMA^2811,12/28,"[0.3789, 0.1717, 0.2629, 0.6994, -0.4924, 0.2003, 0.1073, 0.4975]",INV-355044,william.williams@gmail.com,02/27,sarah.harris,1.15.74,4564 shares @ $313.85,EUR,timeout_ms=107,FHF,09/28,Liam Anderson,355.3,XXXX-XXXX-XXXX-9740,-70.5291,2547.96,Exceeds expectations,Admin,EA397PGGGZ89Y3R3MQVE,12/29,"$9,945,416",73213581,9213,2025-08-06T00:00:00Z
8555155517,2008 shares @ $331.72,2458,Austin,6405.2,INS-669049,INS-908133,42265,INV-780713,photo_65f5c66b.jpg,581,"$195,025",MRN-220573,john.jones@outlook.com,%B2842144150119000^MARTINEZ/ELIZABETH^2706,Salesforce,delete,INV-492249,486,2026-01-23T12:36:20Z,%B4200954208698363^MARTINEZ/JAMES^2408,"$8,839,956",4942 shares @ $121.89,lucas.miller@gmail.com,755,79.9,356135690576,571.4,"Paris, Mexico",INV-180743,%B8266774100606376^MOORE/LINDA^2907,10/26,"[-0.5251, 0.0877, -0.4154, -0.2817, -0.3307, 0.546, 0.0236, -0.6109]",INV-311342,susan.martin@yahoo.com,08/30,mary.king,1.2.45,3766 shares @ $226.43,EUR,timeout_ms=423,GEQ,07/24,Jennifer Wright,125.4,4703-6032-1952-3639,53.3113,6181.04,Meets expectations,Guest,6RFSE82E9WIEPHQTBGAN,10/28,"$7,617,704",9192717222,668,2024-10-28T00:00:00Z
1623602027,2101 shares @ $431.89,9337,Dallas,7740.9,INS-873309,INS-710185,46548,INV-426061,photo_8a487ca4.jpg,560,"$166,793",MRN-461125,michael.rodriguez@gmail.com,%B9017635640932769^CLARK/JAMES^2911,Snowflake,update,INV-873405,633,2024-01-27 15:04:20,%B7587050318029269^JOHNSON/PATRICIA^2804,"$2,924,457",655 shares @ $367.97,elizabeth.lee@yahoo.com,313,42.4,030077957872,1535.68,"Boston, Sweden",INV-452981,%B3467334368673102^JOHNSON/RICHARD^2910,01/28,"[-0.3163, 0.1575, -0.4022, -0.5523, -0.0335, 0.1412, 1.0013, 0.3812]",INV-286281,patricia.taylor@outlook.com,04/27,sophia.lewis,4.0.88,3274 shares @ $298.62,GBP,max_retries=255,HOZ,10/28,Patricia Walker,7.0,XXXX-XXXX-XXXX-8924,29.9598,911.3,Meets expectations,Guest,RL24CVSQYSS67ZUGJM2I,10/29,"$7,395,295",456812026705,381,2022-03-16T00:00:00Z
09531793,2554 shares @ $287.83,011,Toronto,6180.8,INS-554851,INS-469679,451341,INV-212592,photo_ac91fefe.jpg,378,"$148,747",MRN-437686,noah.rodriguez@yahoo.com,%B5550211779579194^THOMPSON/MASON^2611,Snowflake,delete,INV-287805,526,2024-12-18T02:21:24Z,%B8740025782075000^ANDERSON/JENNIFER^2601,"$338,558",3277 shares @ $247.35,david.anderson@yahoo.com,413,92.4,11201043,8941.95,"Chicago, United Kingdom",INV-179944,%B7881825658559506^MARTINEZ/JENNIFER^2801,03/24,"[0.7556, -0.9182, 0.0855, -0.237, -0.3553, -0.6197, 0.4874, 0.52]",INV-831068,amy.white@gmail.com,08/25,john.king,0.19.59,1677 shares @ $113.65,JPY,max_retries=336,HFW,05/25,James Williams,65.1,5042-5367-4806-6611,-13.9568,868.96,Needs improvement,Viewer,YAUZ65BI4IXKMJTS09O0,08/24,"$9,529,898",033565494284,3879,2019-10-12T00:00:00Z
06049575,2234 shares @ $75.55,812,Paris,192.5,INS-484024,INS-901528,47474,INV-533016,photo_96c78b81.jpg,566,"$101,333",MRN-737446,aiden.thomas@yahoo.com,%B7417885622071151^ANDERSON/ELIZABETH^2806,SAP,snapshot,INV-426810,544,2020-02-20T15:25:07Z,%B3302931910733130^RODRIGUEZ/PATRICIA^2605,"$1,160,897",503 shares @ $249.38,anna.martin@outlook.com,593,89.8,900893002439,2638.99,"Miami, United Kingdom",INV-498108,%B4689568990656583^THOMAS/LOGAN^2407,10/29,"[0.1236, 0.2354, 0.3943, 0.2565, 0.7092, 0.5388, 0.0377, -0.0596]",INV-465445,david.young@outlook.com,06/30,mary.martin,5.6.90,3975 shares @ $106.82,INR,timeout_ms=897,XWL,05/30,Aiden Thompson,76.3,3747-9139-8786-9985,-17.3502,4045.46,Exceeds expectations,Owner,04PLS0XRBZ26OGOCNRJI,05/25,"$8,934,728",422242275977,9977,2018-08-28T00:00:00Z
