iata_code,wnkogq85,f_466,attr_dis,weight_mass,x_yh,RECORD_TYPE_DISCRIMINATOR,DISTANCE,book_title,customer_iso_country_code,iata,integer,var_vin,vehicleIdentificationNumber,measdist,digital_certificate,VEHICLE_IDENTIFICATION_NUMBER,weightMass,x_fjij,WEIGHT_MASS,f_wdv,email_address,license_plate_number,proximity,raw_iata_code,tenantIdentifier,grams,vitalSign,attr_iat,v_170,scoreIndex,iata_code_2,user_weight_mass,integer_2,weight_mass_6,currency_name,INTEGER,user_distance,d_iata,col_678,d_vin,weight_mass_raw,distance_6,v_798,weight_mass_2,deleted_at,createdBy,distance,weightMass_2,WEIGHT_MASS_2,f_il,email_domain,rowCount,c_kiy,bodyText,DISTANCE_2,measwt,source_system,language,modifiedBy,raw_vehicle_identification_number,airline_code,p_ng,timestamp,measdist_2,distance_2,elevation_altitude,weight,data_type,user_iata_code,fact_weight_mass,cryptocurrency_address
YUO,WII,YYR,2552.9,103.68,CWJ,snapshot,1558.7,1984,BR,MFW,1790,7M0N66WKMY6MO3F0I,Z5CFZYVWYNIE32KPY,8755.6,"-----BEGIN CERTIFICATE-----
i1fBqME1VYw6kW3gCXl0ZTo+os48HjGcRSTpKJxVwIul4XHWhSRQR7ljiolcuGYH
-----END CERTIFICATE-----",LOLFFNYUZTJATW2YG,320.7,ANH1NXDNDZUBS29ZZ,561.17,268.6,liamthomas@example.com,RPL-2221,1988.4,PTH,tenant-031,362.86,BP 151/84 HR 87,KRL,EEC,0.71,VAS,859.27,8116,867.54,US Dollar,6287,5313.0,BCW,UNW,4D6HR13NF6Z90ZZ5Y,557.05,1326.3,3208.8,123.75,2018-09-12 20:35:51,lucas.jones,6780.1,617.34,65.35,3155.2,company.com,84903,LAL,The customer account monitors transaction histories.  This record tracks data processing activities.  This record tracks customer interactions.,6009.0,135.78,Salesforce,Korean,susan.robinson,WJT10MEV1IUBELT69,OAQ,CDC,2026-05-28T22:51:15Z,7942.4,1132.0,2252,276.09,VARCHAR,ZXW,789.14,0x2d951a1aa2042ca40b0f3879bda74c4c2b509b4d
IEQ,GCR,BMQ,6958.7,841.03,WLM,insert,2386.0,Dune,GB,EMA,7706,77EH385IG559JBE8Y,9ZEM61Q313DSWQY5Z,2863.2,"-----BEGIN CERTIFICATE-----
U1fQ//LfbPpiS4bJGzJ1Rq5GIJDqh1HdoO0ncTQ6QDHbSM1cxF+WbX3KF/mc5B7/
-----END CERTIFICATE-----",6QRV5Y4GQGLORDEU0,693.68,KIMZ3UFOLSYYL01DW,336.83,392.96,annawright@gmail.com,QAN-1042,6013.2,IRK,tenant-030,751.56,BP 131/60 HR 120,QLO,PRK,4.5,RUT,937.72,8077,688.39,Euro,6684,9038.4,OYJ,IYZ,01ZD6BYJ4IXE4NUNY,894.58,509.8,5206.1,791.02,,anna.young,2438.4,241.57,157.72,462.8,company.com,74086,XCE,The system manages data processing activities.  The system represents operational metrics.  The system represents transaction histories.,2357.6,14.21,Salesforce,Japanese,john.clark,HND6HHSE7Z5MEUH25,ESE,Reuters,2020-07-17 00:09:56,1741.3,6847.0,1166,777.92,INTEGER,AWZ,602.77,0x422f739b2f512b1a01f4c8727d2d6d551ebfbe84
EQN,HXT,QTE,4596.9,929.06,YPF,update,1880.8,To Kill a Mockingbird,FR,TGN,9529,9UDSV2KLDW0PXF3ZY,B9NMPAN2FLXL884LG,9520.0,"-----BEGIN CERTIFICATE-----
tnhmHMTbxAaViqrQDI6J1MlgUwtXztDlBjZo+qd/C98Ppxk1KFQIrCG7i8ldezMQ
-----END CERTIFICATE-----",1QJM2Z4WWHZRL7F19,801.76,N7BKIDUEZ9H22JRMG,432.95,734.01,williamclark@company.com,PLA-9746,5221.5,PGW,tenant-006,129.92,BP 166/92 HR 111,IJU,TNK,7.8,UFE,224.43,5027,205.18,British Pound,5403,4643.8,YOJ,FGT,DOMAYLG7YU5OWAPWV,240.46,1186.2,7877.4,645.23,2021-08-23T17:56:05Z,susan.clark,8927.8,458.51,393.76,7480.7,example.com,27361,JUQ,The customer account includes compliance records.  The service includes transaction histories.  The system includes data processing activities.  The service represents customer interactions.,9718.1,445.25,Salesforce,German,emma.anderson,RHRCY7Y4FYMVQ8BRQ,KIQ,Bloomberg,2023-02-20T13:27:14Z,1786.7,5167.4,7728,601.37,INTEGER,QOP,6.51,0x40e5f4c011ceaf41bacfd60df735cce6fcba0d8b
DRS,EIO,KZG,1345.4,579.43,CDS,snapshot,5004.1,To Kill a Mockingbird,CA,JIP,6378,4869CEZCTEZSNWM7Y,F7KG3NLU5PCY2N3Y8,3207.6,"-----BEGIN CERTIFICATE-----
THt5TADpdnkY0cZ8sQP4Wq/n1CBbblG4VyOKc8N4bYCOR2wZNIvy770PBOCmtHtp
-----END CERTIFICATE-----",MEGTHX7DJ9FEGP1OT,826.84,CS6BK2JE51B162M63,907.39,191.88,olivia.johnson@gmail.com,GZL-6957,3946.8,DDX,tenant-006,331.01,BP 170/92 HR 120,CCY,TGA,0.6,SPN,732.17,1322,393.45,Japanese Yen,190,6028.1,RKJ,WJO,ECCUU8021JRQHNUAI,277.25,4979.2,8496.1,777.69,,mary.white,9421.0,404.17,162.45,1858.5,outlook.com,20353,MUC,The product manages compliance records.  This record monitors operational metrics.,28.0,647.2,SAP,Spanish,susan.garcia,KM0PAUP1Z0NXXTYR6,ZXP,Bloomberg,2026-12-09 20:05:42,5670.4,3644.4,3392,332.91,VARCHAR,XUU,544.12,0x6e914f233b3067ed3f31522d5c33826af79aee1a
OYP,ECG,MYA,450.5,286.15,UCE,delete,1659.7,To Kill a Mockingbird,JP,QVF,3983,MCJ1E7PLMKB6HKU0T,BSUTBYS5WE3HCXQW0,2017.7,"-----BEGIN CERTIFICATE-----
giEpEiW+qjfJapiIo7NwjJb65BqcfJC3wjXTlTHFclQJv1C1CQat0OPqIMol5IJG
-----END CERTIFICATE-----",N2WEZCI73OHVMGL1B,422.73,Q4UEQ9T9626IGR0P9,228.35,631.44,sophiawalker@company.com,TMT-3317,6141.3,NSR,tenant-048,826.81,BP 92/78 HR 114,IOF,LPC,9.06,ZGV,968.7,180,424.61,Japanese Yen,1744,1998.4,XUJ,GCW,9RUJEYITC12RPC3LA,113.87,6418.4,2827.5,715.34,2025-11-24T13:15:34Z,noah.harris,3949.9,831.97,382.54,3572.9,yahoo.com,22550,WCK,The product monitors operational metrics.  The product includes operational metrics.  This record monitors data processing activities.  The product manages compliance records.,881.8,260.94,Kafka,French,harper.brown,R4MK71VKV4OG47I16,OMV,Eurostat,2019-04-07T17:32:46Z,4134.4,468.7,6601,112.1,BOOLEAN,VJE,516.22,0x9bd7f52b8b76b0d9622768d830f236c339fa9541
KCV,KTL,VCB,2527.9,827.65,CTP,update,6320.1,The Great Gatsby,CA,ZYX,3290,GS7KYJZAA4J1XP4II,SD1ILPKMYCTGFDQ5G,1720.6,"-----BEGIN CERTIFICATE-----
1TU4m1YPPqLKG8lrHZQZPJkPE4R7Aeg7h/Shr0wxTtXbNg/Fcja4t39zA9/TLNpG
-----END CERTIFICATE-----",K69BLDU97HNF8ZQAW,742.47,AGYDPNDCB7TWKED05,195.73,834.86,oliver.young52@company.com,KDK-6438,4811.9,IHT,tenant-021,302.62,BP 170/63 HR 92,DMS,IRO,6.94,MKV,822.06,517,875.14,US Dollar,614,7440.4,EZS,MXQ,4TOLLUNAGYW25DG94,372.22,8931.1,7430.5,22.3,,jessica.young,1566.1,103.4,186.11,2864.1,example.com,74306,KIT,The system monitors data processing activities.  This record manages operational metrics.,8072.2,905.74,PostgreSQL,Arabic,emily.clark,MN3XNZWMES9C4S40V,DFB,CDC,2020-09-20 11:12:08,4764.4,1457.6,8368,923.13,JSON,YAY,492.5,0x617f8ebfb2291bd3244d5b001c19c7eeca8bb371
UXB,DPC,VRN,7634.5,757.56,HOK,update,4846.1,Dune,IN,GHI,4256,5VP4T8NV47WMY4U5I,BKMFOR1B3OR83ZXR0,1488.9,"-----BEGIN CERTIFICATE-----
5r7CoXNC01VV4Nay3uaLEAZEAwtX2l94oAZRq7I61nKR5Bfjh4eoqor681qj7ycw
-----END CERTIFICATE-----",0JQIZQVU4JU5KLVI1,583.14,OBT4KJMQ3ZGRWR3V0,524.55,264.84,william_thomas@company.com,ODK-4186,7667.8,MLI,tenant-025,242.32,BP 93/66 HR 56,DJY,HMK,2.13,MRJ,187.4,2074,495.13,Swiss Franc,9514,597.2,NAN,ZGU,GVOS6MRIU4O9SHUME,249.84,7211.6,5551.6,166.78,,susan.taylor,6814.6,290.2,198.36,9070.3,gmail.com,95462,VDO,This record monitors compliance records.  This record represents transaction histories.  The product represents customer interactions.,6314.0,916.82,Snowflake,French,mary.brown,IOF1XSXVSXRSF84BS,YFJ,Census Bureau,2022-01-08T20:52:22Z,7664.9,9408.7,8233,377.67,TEXT,NIS,146.98,0x3a9beb0584250041d0d3ae0b10071521894bdd2e
PFO,OOW,CWL,4520.0,260.96,KTI,insert,2223.9,The Great Gatsby,JP,EEX,8184,YH3SMI77XHVE9TML5,11CH7ZOBCRQ4K6Z7K,6046.3,"-----BEGIN CERTIFICATE-----
OfYQziHnGHvgsTr+Qb9AncCEoJ4esg4waHg7EMN/4ZApQY6uaYvD0L3bXW9FiNxF
-----END CERTIFICATE-----",P9DXSXYKMY23EHHXI,59.81,M3OPC1XA6EG4ESEG1,465.85,669.09,sarahwhite@gmail.com,IYO-9913,8759.0,FVN,tenant-026,527.13,BP 156/63 HR 69,TVC,NTW,5.43,HZI,759.09,4327,330.73,British Pound,3648,1246.2,BAS,VTK,78LUZZKLPN3QBM552,587.44,3092.3,6150.5,196.94,2022-02-10T12:59:55Z,patricia.jones,3611.7,146.38,799.3,51.0,gmail.com,99599,GFV,The customer account monitors transaction histories.  The customer account represents customer interactions.,256.8,697.92,Snowflake,Hindi,patricia.harris,7E3EDKRWXPQW7YGI5,CFG,WHO,2021-09-07 16:19:46,9200.0,9543.2,6988,241.01,TIMESTAMP,LGD,815.04,0xc9357d89417ac747abf8ca11c9cadc7b6f5b4fa8
YKD,SWA,UVU,5911.0,389.16,XAM,update,2993.8,Dune,CA,WST,9441,56TL4GZAH5SDBIYUH,38MROY5FGTPKC8SCR,2237.8,"-----BEGIN CERTIFICATE-----
EkAucbT1uFD5q8tpwPNaPKqkpTfCljLlVm/Ve7zaQEGlD+Wcb9q4VWWt5M21G5n+
-----END CERTIFICATE-----",25PHJNFHRA3E3KMRO,832.61,212WPKRUDTCEL8V3P,528.04,46.34,amymartinez43@acme.org,RZQ-8592,6863.6,IZP,tenant-049,288.4,BP 143/73 HR 61,MDP,RKX,6.11,XJD,655.59,3623,155.71,British Pound,4542,694.5,LMW,ILT,3KWKMWIU7I4MNACA5,745.29,9290.7,8233.8,487.1,,david.smith,2297.7,761.04,778.14,1437.4,outlook.com,88620,DZS,This record manages compliance records.  The customer account manages compliance records.,6502.0,348.84,SAP,Portuguese,patricia.martin,ABJSO4EUS0PGLI02P,CAZ,WHO,2019-09-18T13:15:51Z,7633.3,8594.2,1518,826.97,TEXT,IPR,636.57,0x168e5243152cadeb0fffc62d5769c761a8f06c9a
XJE,IIM,IKT,2983.9,132.01,FIP,snapshot,2773.0,To Kill a Mockingbird,US,MHG,6516,Y62T5N1HTX92BTNFA,KPKZBDE1TEHN8D888,4163.8,"-----BEGIN CERTIFICATE-----
OkGoNjcFGVQqcCTAM+gnHlOT1yxSDXk5wQdXRzT5rTJFFGrpZiTR8VKiF/Pb1lSw
-----END CERTIFICATE-----",A8BYQUVOT30C9LWV3,235.06,Q2L6X25QVRUI3PPD4,957.46,66.99,sarahsmith@acme.org,CQO-5581,7959.1,CAW,tenant-026,848.84,BP 110/88 HR 100,FOF,FJN,8.84,HQY,483.84,1022,892.56,Swiss Franc,2068,1771.9,NGG,HDT,65R1SVE9UKI709DJY,633.06,5093.1,6954.3,116.2,,william.king,7480.9,827.29,630.44,6484.0,company.com,79726,DDX,The customer account includes compliance records.  The service manages compliance records.,210.0,695.25,PostgreSQL,English,emily.garcia,7SE2MJ8Z1VPC8ZS2A,WTJ,Census Bureau,2020-03-07 14:31:10,8826.0,3611.0,3130,560.93,BOOLEAN,TGZ,835.45,0xe4285ffcf377f47ad6e8a0f70485c11af7078153
ONT,UWX,DJE,1273.4,480.84,HOA,snapshot,8535.4,To Kill a Mockingbird,AU,DFW,4090,XDUJ7DBSMC3NSVKI4,KWS6V2QEH3FS21ERX,3693.8,"-----BEGIN CERTIFICATE-----
O2cYPbJN8W5qh+psa5O3KL+yabhsOfhujxeAL+Rdf2eEJtVPgwYLk6qUDlhKWWgR
-----END CERTIFICATE-----",HSGYYCCUEUK6S5PJ6,365.62,KLDPJKO4JUPJ2A54G,925.98,42.19,logan.garcia66@company.com,SLV-2877,3267.4,ODQ,tenant-004,971.26,BP 174/76 HR 104,VQL,VAB,7.14,QMD,171.5,801,274.3,Japanese Yen,5191,5654.0,BEZ,RVF,4EFSP27I7L7TMX15F,393.59,9665.3,6781.3,645.56,,harper.anderson,2512.1,395.35,376.3,2534.3,example.com,65844,SJI,The product manages compliance records.  The service monitors data processing activities.  The system manages data processing activities.  This record manages compliance records.,2843.3,961.07,Snowflake,German,elizabeth.rodriguez,NB844FIJP1UUOE3OZ,CAO,WHO,2023-01-21 14:56:01,9654.7,6708.4,2362,36.86,TEXT,RJP,36.6,0x7f67181a7f0c7244e326d3d431256e378c226e6f
VHP,YRE,PCI,4557.5,430.7,EQU,delete,2347.1,Dune,JP,OLK,5389,8K5BX1SOH7IRX4148,8DA3W2QW2XG8N8HIG,9595.4,"-----BEGIN CERTIFICATE-----
E1NExDLPxPQgTWZ3MrSjd7fiz9fwqjf+xHUND4i9jCmDPYzTLUJgMMt/AOuKpJE3
-----END CERTIFICATE-----",8MOX0C08N7SQNA3IA,171.51,ERCRBPWFZBDJZ2SQG,249.82,267.22,harperjones33@acme.org,WRA-5452,590.0,UQR,tenant-049,274.67,BP 174/63 HR 108,ZER,MVR,7.17,NKN,181.91,8311,220.9,US Dollar,2727,8800.5,EUW,EGQ,R2IZD0V3T4ZHBHA7Y,156.05,731.6,6931.6,443.61,,michael.thomas,8538.1,582.71,687.31,5471.1,yahoo.com,37987,NAJ,The system represents customer interactions.  The system includes data processing activities.,1401.5,647.09,PostgreSQL,Korean,olivia.miller,TY0IEOXS56XLEAIGB,XCC,Census Bureau,2018-08-15 19:58:47,9161.6,6208.5,5498,14.2,TIMESTAMP,SLC,919.58,0x5da14be372f10f4800b4f7974066833fdb71b212
