c_953,soundLevel,numeric_range,featureVector,dehwe69,numericRange,NUMERIC_RANGE,FEATURE_VECTOR,ordinal_position,v_tl,raw_integer,trendGrowthRate,landmark_poi,MEDIAN,meta_102,CREATED_AT,median,author,histogram_bin,CONFIDENCE_INTERVAL,decimalFloat,jps19,DECIMAL_FLOAT,integer_6,address_text_data,data_format,iso_country_cd,histogramBin,lwerzd49,word_embedding,var_ao,meta_zh,puymg50,probval,field_ran,customer_load_timestamp,likelihood,standardDeviation,x_land,TREND_GROWTH_RATE,dim_152,integer_info,v_445,trend,unitOfMeasure,dim_integ,50th_percentile,size_dimension_category,ordval,STANDARD_DEVIATION,area,HISTOGRAM_BIN,var_decim,stddev,position,time_of_day_raw,percentile,wordEmbedding,correlation,c_293,SCHEDULE_PLAN,change,src_probability_confidence,WORD_EMBEDDING,attr_rang,integer,ci,src_median,dim_phwd,INTEGER,percentage,featvec,src_ordinal_position,meta_113,rank_rating,imgemb,p_qqbh,p_sxtn,intval,double,var_273,user_decimal_float,dim_bank_identification_number,first_name,meanAverage,median_6,user_standard_deviation,visual_features,src_confidence_interval,startdt,confidence_interval_6,c_ima,binval,x_83,content_type,fgavi11,ordinal_position_6,0_1,wordemb,voiceprint,confidence_interval_field,feature_vector,d_79,histbin,attr_uecr,bin_edge,SCIENTIFIC_NAME,median_val,CORRELATION,cryptocurrency_adr,food_ingredient_name
application/json,98.4,18-89,"[0.5927, 0.2409, 0.5755, 0.2008, 0.9885, 0.1781, 0.8085, 0.9027]",08J2ITTU7,9-55,1-70,"[0.7932, 0.0043, 0.4546, 0.546, 0.238, 0.5493, 0.8182, 0.3111]",210,-6.24%,9062,-6.17%,Golden Gate Bridge,-90.4743,"$6,749,351",2019-04-11 05:29:25,-73.5518,jennifer.lewis,88.63,"[10.57, 61.68]",1926.5129,BILL-969481,4685.7248,3119,"4554 Oak Ave, Chicago",Avro,FR,6.49,true,"[0.5682, 0.5324, -0.7369, 0.0867, 1.0821, -0.3643, -0.4948, 0.7546]",303,995,Weekly on Monday,0.2801,7-95,2026-09-03 19:26:53,0.3514,44.902,Eiffel Tower,-44.64%,"[0.2596, 0.4866, 0.8803, -0.5074, -0.8561, 0.4846, -0.9888, -0.3415]",2268,Pollen,-31.96%,lb,5878,76.1902,XS,131,0.6256,73906.3,31.55,-211.3244,35.4506,989,04:48:50,27.59,"[1.4887, -1.6771, 0.7401, -2.2874, 0.2157, -1.0373, -0.3801, -0.9045]",0.1757,44.4832,Weekly on Monday,16.97%,0.0417,"[0.6765, -0.9263, -0.9456, -1.3941, 1.9473, -0.219, -0.0459, -2.2727]",31-67,775,"[17.84, 88.61]",46.4469,"[25.39, 63.36]",1189,71.63%,"[0.7878, 0.3058, 0.0009, 0.6623, 0.0382, 0.0044, 0.6153, 0.268]",20,CLM-820581,69,"[-0.0682, -0.2132, -0.0328, 0.0439, -0.1755, -0.1201, -0.3973, 0.2711]",8b5cf775c3f5bc38f0507eaff11b2ff0b47252ad8a9ebd9e58cdacb54978d8fe,-27.46%,1252,4916.9592,1280,101.6622,3759838,Oliver,-65.0513,76.4807,49.173,"[-0.1547, 0.3698, 0.4226, -0.2315, -0.3868, 1.3894, 0.555, -0.1111]","[38.46, 70.71]",2018-10-23,"[4.17, 95.4]","[0.4517, -0.1797, 0.5293, 0.3025, 0.4334, -0.1096, -0.0237, 0.0563]",1,18.73,Image,0.383,205,0,"[-0.3754, -1.1651, -0.0882, 1.2943, 0.3389, -2.6523, -2.0409, -0.434]",voice_76e475c8811eef04.wav,"[16.77, 88.88]","[0.522, 0.0131, 0.3387, 0.154, 0.4516, 0.0698, 0.6948, 0.6807]","[0.8523, -0.8322, 0.2532, -0.1176, 0.2388, 0.4951, 0.5754, -0.5823]",78.25,05/27,58.85,NaCl,58.7852,0.2582,0xd435deac5e8a21341691685d869a2d2073b087a7,Sushi
application/pdf,50.7,21-64,"[0.6219, 0.4127, 0.1622, 0.4135, 0.9173, 0.1105, 0.1913, 0.4333]",M81U7YVWC,25-70,29-72,"[0.0012, 0.042, 0.2901, 0.2754, 0.387, 0.1646, 0.8489, 0.7896]",44,39.87%,2982,4.44%,Golden Gate Bridge,-29.3005,"$8,724,086",2019-04-13T02:10:49Z,-91.3836,james.moore,36.59,"[6.73, 79.31]",541.7814,BILL-232107,2743.9877,7391,"4084 Pine Rd, Denver",CSV,GB,40.37,NO,"[-1.1545, 1.2677, -1.4842, -0.8102, -0.525, 0.3395, 0.7827, -1.4796]",365,750,Weekly on Monday,0.7607,41-63,2025-02-20T11:18:25Z,0.3465,49.2086,Eiffel Tower,-8.33%,"[-0.0858, -0.8594, 0.1334, 0.413, -1.0364, 0.2868, 0.5044, -0.1265]",5253,None,-39.02%,gal,5603,-21.6908,XL,195,28.5649,68735.6,59.24,-981.6436,31.8519,665,08:50:02,11.11,"[0.5741, -1.0784, 0.8935, 0.1863, -0.2327, -0.1358, -1.2177, 0.1937]",-0.2719,44.3213,Monthly on 1st,-41.56%,0.162,"[-0.1223, 1.2121, 0.6756, -1.3145, 0.2152, -0.703, -0.4326, 1.7973]",43-94,6821,"[34.31, 62.52]",-93.5083,"[5.99, 62.44]",2784,32.83%,"[0.8109, 0.4137, 0.7742, 0.5945, 0.7213, 0.501, 0.77, 0.923]",196,CLM-143445,3,"[-0.3842, 0.0126, 0.047, 0.6391, 0.204, 0.2004, -0.009, -0.1868]",c89bffb034092bd1c498daa5d850ca6d214b697412d52c256cb4fb7a8209be90,-17.34%,5956,93.4028,2212,3002.3959,601175944,Sophia,52.5651,-41.0711,23.1706,"[0.0707, -0.4211, -0.1805, 0.5331, 0.3597, -0.526, 0.2273, -0.1414]","[1.64, 91.26]",2021-05-15,"[39.73, 77.38]","[-0.3586, 0.4471, -0.3574, 0.0955, 0.631, 0.3886, -0.6735, -0.7039]",0,67.19,Article,0.2824,562,1,"[-0.3539, 1.339, 1.3859, 1.2255, 0.4526, -1.5961, 1.9748, -1.9073]",voice_d25538a11fe14cbd.wav,"[11.53, 99.24]","[0.1377, 0.3753, 0.5791, 0.6913, 0.268, 0.0311, 0.7394, 0.9936]","[-0.1999, 0.4745, -0.0749, -0.3576, -0.5297, 0.199, -0.0265, 0.0544]",32.84,05/29,26.67,Homo sapiens,-6.6505,0.1814,0x4de1eebdb4cf8ec967c57697629de99f2eaf451a,Pasta
application/pdf,76.7,49-74,"[0.4308, 0.1586, 0.4081, 0.6739, 0.5319, 0.0853, 0.6461, 0.007]",Z2IOMRR40,28-93,14-100,"[0.4231, 0.3606, 0.5074, 0.0659, 0.6724, 0.3703, 0.1033, 0.2484]",269,-39.3%,3108,31.92%,Big Ben,-24.4181,"$7,490,469",2021-03-03T12:47:34Z,-1.2378,emily.white,46.26,"[34.51, 70.73]",8273.3677,BILL-683759,46.5393,5776,"325 Cedar Ln, Miami",JSON,US,29.82,YES,"[0.0417, -0.9087, 1.007, -0.4554, 1.8444, 1.2417, 0.1624, -0.004]",977,61,Weekly on Monday,0.0921,37-52,2020-08-27 09:13:27,0.4068,8.1653,Statue of Liberty,11.89%,"[-0.3798, 0.1252, 0.3747, -0.2283, -0.0861, -0.698, -0.2608, 0.2376]",4054,Pollen,-49.56%,m,3872,-12.5567,M,972,43.0725,15627.8,82.46,9351.158,12.1741,394,12:41:16,91.31,"[1.6281, -0.744, -0.5744, -0.276, 1.0122, -0.5581, 0.6162, -1.2968]",0.6896,36.8077,Every 15 minutes,40.26%,0.6614,"[-1.0139, 0.463, 0.5811, -1.1577, 0.4962, 1.3237, 0.1421, 0.1067]",14-85,26,"[13.48, 68.08]",14.5909,"[29.93, 78.35]",4147,86.09%,"[0.5642, 0.1545, 0.0616, 0.1351, 0.9122, 0.7989, 0.6527, 0.865]",841,CLM-609498,82,"[0.3576, -0.3692, 0.3389, 0.3933, -0.2561, 0.1289, 0.2716, -0.3165]",0bcc3041ad0f2709b0805bff80fb49dfa3f32fb8274dc3506dc1ee59cab23745,36.6%,4522,9066.0831,1408,-383.1727,60113849,Jessica,66.3821,-58.758,34.4048,"[0.8515, 0.0382, -0.3965, 0.4477, -0.3203, 0.3818, 0.7159, 0.3012]","[9.39, 68.47]",2021-12-20,"[17.3, 92.46]","[0.0551, 0.0616, 0.1998, -0.2845, -0.2544, -0.1786, 0.3258, 0.423]",1,87.85,Article,0.7026,291,1,"[-0.0748, 0.4807, 0.6223, 0.6049, 0.2876, -0.998, -0.6525, -1.0305]",voice_23aa656ba637c290.wav,"[2.98, 68.22]","[0.2618, 0.8473, 0.6221, 0.5058, 0.8966, 0.2194, 0.4325, 0.6143]","[0.4254, -0.7641, -0.2239, 0.1474, -0.2155, -0.5566, 0.0227, -0.1916]",96.28,09/24,9.77,H2O,56.9187,-0.5946,0x868321c4478054293284d52e8d22133d2699722e,Pizza
application/json,20.5,4-77,"[0.1269, 0.3813, 0.9655, 0.2716, 0.1989, 0.3601, 0.0437, 0.0756]",MHBB6NXWZ,36-84,25-64,"[0.1921, 0.914, 0.2967, 0.2652, 0.892, 0.3497, 0.9679, 0.7933]",643,-11.43%,7776,3.85%,Golden Gate Bridge,-2.1071,"$5,582,617",2025-07-25 01:20:12,-89.4572,mary.jackson,36.5,"[15.75, 63.32]",1714.813,BILL-238371,8311.7846,1665,"6395 Pine Rd, Los Angeles",JSON,AU,44.82,false,"[-1.0513, 0.8909, 1.2531, 0.488, 1.0841, 0.8099, -1.3209, 0.4228]",359,551,Monthly on 1st,0.3307,12-95,2023-08-01 23:17:38,0.1091,49.1605,Eiffel Tower,-29.38%,"[0.9909, -0.0442, 0.3138, 0.0053, -0.473, -0.2709, 0.0571, -0.5948]",6143,Shellfish,22.62%,lb,3920,4.894,L,528,32.0248,35807.6,31.56,5348.6468,38.0992,418,05:43:28,21.16,"[0.0994, 0.8603, 1.0235, 0.6959, 0.7964, -0.1994, -0.6256, 1.603]",-0.782,19.6887,Every 15 minutes,-11.06%,0.4135,"[-0.7601, -0.5057, 0.8357, -0.2411, -0.38, -1.3842, -0.2029, -0.5046]",30-55,758,"[34.9, 75.07]",-61.7763,"[38.91, 64.92]",5547,28.08%,"[0.4595, 0.0582, 0.1482, 0.1459, 0.3296, 0.1641, 0.9608, 0.8136]",911,CLM-768836,23,"[0.6257, -0.1553, 0.4555, -0.2515, -0.3884, -1.625, 0.0812, 0.3178]",8ee47bc9982789bfc4885ec57641a7e0d498b710a69a10f865019f917fb86f29,-8.63%,6859,-577.5441,6600,1244.5931,56203,Noah,84.0019,36.6736,38.7234,"[0.0765, 0.1038, -0.5542, 0.1985, -0.223, -0.3268, 0.1222, 0.0805]","[21.04, 77.04]",2025-11-28,"[5.28, 97.69]","[0.1528, -1.5365, -0.3753, -0.0612, 0.1569, -0.1731, 0.1831, -0.9873]",1,11.19,Video,0.0679,853,1,"[-0.4355, -0.46, 1.6143, -0.0873, -0.6396, -0.4516, 0.1236, 0.1954]",voice_12e7ab8fea6a603f.wav,"[0.99, 74.9]","[0.9573, 0.8982, 0.7436, 0.5186, 0.6119, 0.3418, 0.259, 0.0524]","[-0.4262, -0.611, -0.4138, -0.6662, -0.2791, 0.2705, 0.5454, 0.0857]",7.87,06/29,42.4,NaCl,-35.0936,0.3561,0xcb80da4010b44562589165b4eaf8ac28670bd492,Pasta
text/csv,6.5,9-85,"[0.0454, 0.401, 0.9398, 0.7171, 0.0725, 0.4095, 0.1695, 0.6462]",TM9NXBKVC,46-58,6-76,"[0.999, 0.9167, 0.8382, 0.5645, 0.377, 0.194, 0.4688, 0.1798]",219,18.62%,4628,30.76%,Eiffel Tower,21.0416,"$1,234,988",2025-06-27 18:58:15,96.2428,emma.thompson,45.25,"[5.66, 81.21]",6058.5567,BILL-209078,9089.761,3448,"8269 Maple Dr, Austin",JSON,BR,29.16,true,"[-2.8379, 1.6921, -0.6088, -0.3296, 1.5105, 0.5844, -1.664, 1.4911]",365,307,Monthly on 1st,0.5431,3-94,2025-09-11 21:27:41,0.6396,38.3756,Statue of Liberty,14.33%,"[0.7678, 0.774, -0.8979, 0.147, 0.3516, 0.879, -0.1658, 0.413]",228,None,-13.78%,lb,5469,-96.9766,L,314,22.1639,61125.6,37.76,814.1739,1.4873,89,00:35:35,38.1,"[0.2449, 0.5919, 0.9211, -0.8083, -0.7843, 1.495, -0.2755, -0.1727]",0.9803,48.9401,Monthly on 1st,-9.11%,0.5746,"[-0.0266, 0.099, -0.0634, -0.7236, -1.5769, 0.2257, 2.5534, 1.4519]",15-73,1809,"[16.75, 83.77]",-86.704,"[9.8, 86.29]",9170,46.38%,"[0.0876, 0.4209, 0.4781, 0.5676, 0.9214, 0.0377, 0.9614, 0.8289]",300,CLM-872305,47,"[-0.3659, -0.2565, -0.9974, -0.8928, -0.2452, 0.3776, 0.3804, -0.835]",2b658ed4b1aad7fe5052126054b984247005eaa2c5c18f81cbd5e2be87a064d2,24.9%,539,9809.514,1642,2997.7778,52380,Olivia,46.5172,-23.6719,20.5054,"[-0.9897, 0.0282, -0.0765, -0.9755, -0.1075, -0.0148, 0.0216, -0.5052]","[1.23, 96.32]",2025-08-12,"[38.26, 80.84]","[1.0996, 0.0221, -0.6831, -0.7087, -0.7218, -0.1432, -0.3679, 0.5446]",0,77.33,Article,0.722,769,1,"[0.4486, 1.2407, 1.3722, -1.0149, -0.3096, 0.0359, -0.4054, -1.2626]",voice_0bdab921bdd6577d.wav,"[15.59, 83.02]","[0.2929, 0.4212, 0.3597, 0.1909, 0.4597, 0.4144, 0.9028, 0.0674]","[0.2601, 0.3615, -0.3485, -0.0817, 0.461, 0.1048, 0.0671, -0.0833]",25.71,05/24,67.69,Homo sapiens,16.6689,0.848,0x4200d3f1ce1af722304006ccb5213c6316c5f188,Pasta
application/xml,124.5,48-86,"[0.3326, 0.9612, 0.3839, 0.261, 0.8461, 0.8135, 0.8995, 0.114]",RY750WDUZ,50-63,20-67,"[0.5467, 0.5956, 0.8226, 0.486, 0.5127, 0.6827, 0.0204, 0.4996]",683,-45.47%,7589,26.56%,Golden Gate Bridge,76.0898,"$6,264,621",2025-09-07 19:24:04,-45.2965,olivia.martin,59.48,"[15.72, 81.54]",3871.1811,BILL-356647,4551.8456,4241,"4243 Main St, San Francisco",CSV,CA,79.28,false,"[-0.6483, -1.8005, 1.1531, 2.192, 1.2681, 0.9916, -0.7223, -0.3043]",393,271,Monthly on 1st,0.2873,49-96,2026-11-14T03:26:53Z,0.6351,42.5166,Golden Gate Bridge,37.57%,"[-0.1365, -0.633, -0.3065, -0.1318, -0.392, 0.0917, 0.9991, 0.681]",8741,Pollen,29.0%,ft,4593,-29.7246,XL,744,34.7045,50972.4,4.38,741.3798,34.3538,60,05:57:42,17.91,"[-1.0218, -0.4095, 0.134, 1.0518, 2.0388, -0.4431, -0.4684, -0.6397]",-0.6678,44.3257,Monthly on 1st,32.43%,0.8087,"[0.3885, -0.0882, -0.5997, -0.2386, 0.9762, -0.9859, 4.2508, 0.2114]",30-67,3046,"[16.2, 86.44]",0.8833,"[13.97, 70.42]",2573,95.56%,"[0.7755, 0.8887, 0.6438, 0.2688, 0.4262, 0.7502, 0.9848, 0.1732]",744,CLM-127261,10,"[0.4406, 0.1748, -0.0254, -0.5182, -0.1308, -0.3398, -0.9519, -0.0277]",2fa89d6a6e21aac063e62c56ed7250261fd3f71252ed5417092024ebd795d75c,37.78%,6582,7064.9618,1925,6631.6462,3726938,Robert,84.1996,16.2055,4.0138,"[0.6452, -0.8259, 0.1087, 0.3199, 0.1761, 0.4774, 0.6508, 0.0527]","[23.42, 60.92]",2019-01-14,"[18.67, 67.46]","[-0.8619, -0.4787, -0.259, -0.1489, -0.2183, 0.8576, -0.1309, -0.0216]",1,25.74,Image,0.5248,586,0,"[-1.271, -0.3784, -1.8694, 0.6673, -0.478, 2.5403, 1.7645, -2.282]",voice_93b9bb6daf050996.wav,"[4.75, 79.74]","[0.7564, 0.9974, 0.5746, 0.8035, 0.4247, 0.7691, 0.6841, 0.8568]","[-0.9269, -0.5564, 0.1364, 0.0547, -0.4477, 0.0262, -0.1557, 0.5347]",26.45,08/25,43.08,C6H12O6,-38.9965,-0.4288,0xb597b7e455f2f52e39fe45eb3e3a9352b7e4ef21,Tacos
application/xml,98.2,0-82,"[0.6735, 0.7789, 0.3994, 0.3394, 0.0193, 0.8363, 0.7798, 0.9581]",61XFXN3ID,44-84,15-99,"[0.5934, 0.2269, 0.5552, 0.7827, 0.5117, 0.9922, 0.5836, 0.6629]",821,21.57%,2146,37.6%,Statue of Liberty,-25.696,"$1,210,948",2018-12-08T08:15:24Z,8.7311,michael.davis,48.31,"[3.03, 70.31]",2667.7671,BILL-407062,3903.7445,74,"5295 Main St, Los Angeles",XML,JP,69.29,false,"[-0.5849, 0.2193, 0.394, 0.6359, -1.7958, -0.4154, 0.1345, 0.5095]",987,91,Every 15 minutes,0.8444,15-79,2024-08-06T12:58:43Z,0.3335,15.6914,Eiffel Tower,-3.05%,"[-0.1983, -0.2764, 0.3181, 0.1523, -0.6253, -0.1835, -0.1493, 0.2004]",3999,Penicillin,21.08%,°F,3124,68.6743,XL,963,30.9909,32758.5,48.34,4390.2016,42.2871,435,19:04:46,17.69,"[0.8355, -0.2149, 0.5565, -0.1477, -0.9798, -0.7765, -0.6457, -0.0585]",0.6767,29.9452,Daily at 2am,19.23%,0.2443,"[0.5007, 1.321, -2.4828, 0.6098, -0.4959, -0.388, 0.5717, 0.2379]",48-71,8846,"[32.91, 64.83]",-10.1597,"[38.43, 74.2]",8660,75.08%,"[0.5886, 0.5348, 0.9341, 0.8624, 0.2184, 0.8869, 0.3165, 0.5572]",401,CLM-896913,7,"[-0.3017, -0.0838, 0.3657, 0.8771, 0.2739, -0.4793, 0.8183, -0.5406]",2b7293dd41e149d3348f7d0d261b35501b40f805d70210505298ad627154f1e8,-39.34%,2609,-937.3515,3374,8598.9365,379989,Robert,95.724,-90.8877,25.4281,"[-0.1533, 0.3353, -0.4621, -0.306, -0.1772, -0.9163, 0.5566, -0.7678]","[31.36, 97.47]",2023-09-29,"[34.66, 64.14]","[-1.3699, 0.0836, -0.8966, -0.878, -0.0111, 0.0332, 0.2671, -0.2246]",0,29.87,Image,0.8455,771,0,"[-0.0776, -0.3561, 1.0888, 1.3307, -0.8605, 0.5698, -0.877, -0.3972]",voice_94343fb837c6f8e2.wav,"[28.3, 92.02]","[0.7805, 0.7602, 0.7013, 0.8471, 0.2406, 0.2881, 0.3853, 0.3089]","[-0.2451, -0.1638, 0.2514, -0.2892, 0.2244, 0.2688, -0.3557, -0.2333]",92.82,11/28,50.01,Fe2O3,60.8099,-0.9597,0x1582ff7831d53b55d4aff4207890391aabaeb75f,Sushi
text/html,36.5,8-73,"[0.8695, 0.1347, 0.0964, 0.7687, 0.1985, 0.4194, 0.389, 0.9714]",T81BJMKID,33-60,33-75,"[0.8661, 0.9611, 0.2792, 0.2582, 0.1613, 0.2484, 0.596, 0.9139]",424,-46.19%,2241,-16.76%,Central Park,73.2346,"$2,020,790",2022-04-08 06:50:00,-65.5291,mason.taylor,34.47,"[2.16, 89.8]",1061.5634,BILL-308769,2540.8137,4454,"9057 Park Blvd, New York",XML,IN,59.33,true,"[-0.2414, -0.0751, 0.9448, -0.3515, -0.5551, -0.5274, -0.2198, -0.2182]",756,588,Daily at 2am,0.5797,12-79,2021-06-21 04:39:00,0.4033,11.1225,Eiffel Tower,36.69%,"[0.1741, -1.334, 0.0616, -0.4791, -0.6317, 0.2975, 0.4952, 0.3256]",9499,Pollen,-4.45%,°F,795,-9.3575,M,630,13.1003,97032.9,46.84,6957.9495,34.4435,800,05:51:16,48.03,"[-1.018, 0.9133, -0.0983, -0.4951, 0.4101, 0.7063, -0.5137, 0.235]",0.7929,40.2486,Weekly on Monday,-25.56%,0.7755,"[0.1539, 1.9012, -1.2614, 1.1004, -0.5351, 1.1993, -0.3108, 0.3397]",38-57,9073,"[35.95, 90.55]",40.6035,"[29.05, 83.33]",1369,60.51%,"[0.683, 0.7117, 0.2862, 0.4356, 0.742, 0.392, 0.656, 0.5462]",166,CLM-873537,1,"[-0.3018, -0.4969, -0.3567, 0.2858, 0.4723, 1.5351, -0.4116, 1.2878]",290c49bf5ca89480391bea1e04f0ed6530cb86ef434215182c53bbef86e1f852,47.25%,4452,2378.2781,868,4509.2527,51906,Susan,36.1035,46.7787,14.8765,"[-0.7964, -0.0986, -0.739, -0.079, -1.2449, -0.777, -0.775, -0.2634]","[28.99, 76.64]",2025-08-04,"[28.94, 62.03]","[0.0859, 0.4396, 0.5562, 0.8939, -0.3152, -0.3308, -0.3092, -0.3917]",1,70.53,Infographic,0.5848,471,1,"[-0.6216, 1.2378, 0.7568, -0.2164, -0.2427, 0.9887, -0.1983, -0.4815]",voice_43847ad18067cf12.wav,"[35.86, 66.0]","[0.1341, 0.7062, 0.9822, 0.355, 0.3696, 0.5791, 0.065, 0.3328]","[0.0063, 0.3654, 0.4908, -1.068, -0.6147, -0.197, -0.0197, 0.1786]",23.51,02/25,43.67,Homo sapiens,98.7568,0.2839,0x366da33737573c4f13bb520a69953e938ff16cd1,Curry
application/json,66.3,11-87,"[0.1518, 0.9089, 0.7311, 0.7261, 0.7417, 0.3217, 0.7413, 0.5277]",BI8TA7UDI,8-56,2-97,"[0.652, 0.4728, 0.3375, 0.9938, 0.4014, 0.6359, 0.5076, 0.9998]",401,-35.86%,3697,-28.93%,Central Park,28.0235,"$1,608,416",2020-06-26 14:09:37,42.8847,lucas.williams,56.68,"[16.22, 82.06]",5004.9413,BILL-386445,8669.664,2809,"5674 Park Blvd, New York",JSON,US,64.34,NO,"[-0.0033, -2.7641, 1.2373, 0.8808, 0.2973, 1.0071, -0.307, 2.1361]",634,621,Every 15 minutes,0.8231,22-57,2022-09-07 04:58:25,0.8203,12.7197,Statue of Liberty,24.99%,"[0.0626, 1.047, 0.1153, -0.0672, -0.4042, -0.2338, -1.0337, 0.4101]",9579,None,6.75%,L,4322,6.6125,S,545,43.21,62780.3,63.86,8450.1055,38.8814,631,10:33:52,40.4,"[2.77, -0.6267, -1.4386, 0.3005, 0.6188, 0.1428, 1.2048, -1.0863]",-0.5389,18.9775,Monthly on 1st,-19.3%,0.421,"[1.0445, 1.6784, -1.0224, -0.5339, 1.1712, 1.2159, -1.1318, -0.5165]",41-65,9096,"[16.35, 71.61]",37.0685,"[15.45, 82.23]",9369,30.41%,"[0.3759, 0.8167, 0.1154, 0.3716, 0.5655, 0.4024, 0.5705, 0.004]",768,CLM-276584,87,"[0.0845, -0.2514, 0.3055, 1.027, -0.0271, -0.2214, -0.1012, -0.5037]",b8480ca3a1652703ee2d18deccaf77424d2fc04a67dffed26d04fa5c57440341,35.15%,93,-263.3272,8568,7849.0878,60114225,John,79.0131,-51.6086,8.3458,"[0.0325, 0.7224, 0.1107, 0.6799, -0.1681, -0.5267, -0.3451, -0.4533]","[32.28, 94.67]",2020-08-12,"[33.62, 76.19]","[0.5306, -0.5957, -0.3505, -0.2757, 0.4625, 0.9037, 0.0622, 0.3144]",0,71.57,Podcast,0.4276,883,1,"[-1.2322, -0.7701, -0.5541, -1.2946, -1.8117, 0.3256, 1.0591, 1.1709]",voice_780ce13140e04f37.wav,"[25.43, 77.57]","[0.6741, 0.3798, 0.7393, 0.8431, 0.8037, 0.2088, 0.9884, 0.4498]","[-0.0075, 0.1164, -0.6294, 0.641, -0.3813, -0.5044, 0.14, 0.1571]",5.77,12/26,59.29,C6H12O6,0.2082,0.9493,0x0e01b920a93afb7340332b487da656eb97813590,Salad
image/png,33.0,47-87,"[0.1606, 0.998, 0.9792, 0.1065, 0.0973, 0.5388, 0.9721, 0.9022]",B9R1F6NS1,14-92,26-74,"[0.233, 0.5257, 0.8255, 0.9191, 0.9759, 0.0865, 0.7418, 0.5292]",302,-9.91%,1939,1.41%,Central Park,51.1979,"$6,607,565",2018-05-28T23:01:36Z,53.56,lucas.williams,8.08,"[2.06, 81.92]",1790.234,BILL-197355,3234.801,7621,"9273 Pine Rd, Los Angeles",Parquet,CA,78.5,false,"[-0.6337, -0.0258, 0.2517, 0.6767, -0.9469, -0.6389, 1.7455, 1.799]",773,281,Every 15 minutes,0.2116,45-63,2026-10-03 00:06:04,0.742,45.7777,Golden Gate Bridge,17.89%,"[0.428, 1.1821, 0.4011, 0.1522, -0.082, -0.1082, 0.6467, -0.6743]",2032,Latex,-25.18%,gal,3084,56.5181,XXL,384,18.0462,87078.0,81.17,6343.6816,18.3926,748,07:55:57,99.14,"[-0.1686, -1.1672, 0.204, 0.4076, 0.0743, 0.9138, -0.4975, 2.0521]",0.5073,31.051,Monthly on 1st,-21.57%,0.9222,"[1.3939, 0.2989, -0.0787, -1.0067, -2.5889, 0.2529, 0.7265, -0.9571]",38-100,2764,"[22.22, 84.18]",67.0769,"[16.51, 98.08]",1191,96.79%,"[0.3242, 0.8458, 0.6588, 0.4214, 0.9273, 0.8832, 0.8774, 0.9015]",823,CLM-518107,7,"[-0.3258, 0.7134, 0.1308, 1.0448, -0.727, -1.0226, 0.9286, 0.8567]",5f750d566514c5b6725deb9ab8d87ae15bf9cd8f912357096881208b60081f31,-45.34%,2091,6179.966,8147,1591.0596,47782,Lucas,30.5099,60.6872,43.8214,"[-0.1965, 0.8269, -0.6766, -0.0319, 0.2135, 0.0531, 0.0414, -0.3643]","[35.6, 79.98]",2020-01-04,"[16.41, 86.17]","[-0.8343, -0.4956, 1.2776, 0.599, -0.0951, 0.1189, 0.2609, 0.4296]",0,34.97,Podcast,0.5664,758,1,"[0.6019, 0.0566, -1.9067, -0.3363, -0.2386, 0.5412, -1.2701, -0.7303]",voice_6edf599b3d119761.wav,"[17.38, 68.99]","[0.5538, 0.3451, 0.7631, 0.4433, 0.47, 0.1072, 0.9301, 0.406]","[-0.3115, 0.8761, 0.0281, -0.4142, 0.6298, -0.0333, 0.0616, 0.1048]",92.82,10/25,48.18,Fe2O3,-19.0706,-0.805,0x5911f36e7a43c7bd7fe5268aa7599add1db8f5a7,Steak
