iata_cd,meta_997,user_distance,vehicle_identification_no,dim_weig,dim_dguj,epmw63,departmentDivision,weight_mass_raw,meta_200,weight_mass,vehicle_identification_number,url_pii_context,encoding,status_code,c_94,f_rr,vehicleIdentificationNumber,percentile,iata_code,password_hash,distance_14,col_658,fact_definition,cpu_usage,weightMass,WEIGHT_MASS,raw_drug_medication_name,distance,browser_user_agent,VEHICLE_IDENTIFICATION_NUMBER,measwt,col_168,iataCode,lbs,vin,LIFECYCLE_STAGE,vin_2,about_me,dim_vehicle_identification_number,vehicle_identification_num,jwr20,INSURANCE_ID,ssh_key,fact_weight_mass,field_pk,vehicle_identification_number_field,c_wei,LONGITUDE,LEGAL_ENTITY_IDENTIFIER,sshKey,vehicle_identification_number_2,field_931,distance_2,DISTANCE,cas_registry_number,statusCode,BODY_TEXT,weight_mass_v2,DEPARTMENT_DIVISION,weight_mass_2,IATA_CODE,fraudScore,iso_currency_code,VEHICLE_IDENTIFICATION_NUMBER_2,measdist,customer_log_message,iata,naics_code,employee_id,trade_secret,nzufrj32,field_del,electric_current,kilometers,weightMass_2,latitude,feature_vector,memoryUsage,stock_rsu_grant,vin_3,month,gen77,d_fmj,measwt_2,customer_distance,vehicle_id,COLUMN_FIELD_NAME,src_vehicle_identification_number,PROBABILITY_CONFIDENCE,vehicle_identification_num_2,validationRule,vehicle_identification_number_raw
QZP,UAN,9538.8,2D4FZKZ8TLQYSTE0I,189.55,Viewer,"$5,230",Engineering,910.85,3JWRK6RU5DC37FI4J,767.81,IY77GA8W6KH5X0T2H,https://example.com/users/2a9f549f/profile,ISO-8859-1,pending,richard.taylor,3419.5,HOZ43G9XM33M6VJW1,79.94,YZE,$2b$12$LaQyG3DFv9CpKdQa8cV0pMoJRbEEevL0pDZgwZfUn2O2Ax7ZzSDsh,4156.0,4452.8,A formal definition of risk.,40.6,658.34,2.74,Amoxicillin,9385.7,Opera,QGOEFOSR91KVYCCHK,795.41,@masonwhite180,QZA,894.04,A2SX2T4C4SWUOCLLY,Archived,U46HM1G2TV7FJVTPY,Sophia is a Sales Rep with 19 years of experience.,7T8JAMY6T7BW2UPLD,EMLK5Z5YSVNU8O6NA,true,INS-889749,ssh-rsa Dr+t3muWA5eY3Qr7YXmOc+QGMtyp7Q1AzsyeWABcQVVf=,812.26,6.089,S2XKEKT9XNINR2ZI7,221.94,30.180117,XYZTCGG6ZRWXBIDY1J3M,ssh-rsa LQ72zrQyeOoLEH9a+TcoqczkaNs+uQ4nG4EA+b55ZOft=,5FDQJ99TYW3ABZR0Q,OTANWAOP3YNCHJF7A,2237.8,7303.8,52982-15-7,inactive,The customer account manages operational metrics.  This record tracks data processing activities.,746.81,Finance,170.67,GHJ,95.5,JPY,TRWR1IZQ33AB40ZMU,6799.6,[INFO] Connection established to 1167,ZBX,828296,EMP74987,[CONFIDENTIAL] Formula #216,XWO,,95.2,5410.9,244.95,"-72.14667, -125.425284","[0.1153, 0.3441, 0.3289, 0.9811, 0.4758, 0.8504, 0.7464, 0.9332]",31.6,3008 shares @ $480.35,BDHN407SWYYX75ASL,October,464.34,388.7,348.4,686.9,24LQ2BAL7FRXR92RA,amount,2JZQR0L6RLUSGU876,0.6504,NJAMRP967C1GYWPFY,NOT NULL,553VLAVO4G17XMYDI
FWA,ZIS,1401.6,ZMUJHOJTSTC915OWR,746.36,Viewer,"$47,984",Legal,679.12,X8NOHE4G3XFR2DJ13,305.7,1LJK1XO65A8O93LWC,https://example.com/users/5e62d972/profile,ISO-8859-1,rejected,john.anderson,40792.3,ZL4Y5OOSQGJXH6SLX,38.49,HYN,$2b$12$76kNH4QBcxd4Lfiw3UMNwPkbst4o4o8od9j0Pl7SxUn9XPcuzUTmj,5603.0,9343.1,A operational definition of compliance.,15.8,647.23,492.89,Amoxicillin,8034.3,Safari,J59LGU39LQV0005R2,716.69,@amylee141,TMR,276.11,W63G7617B9XTS79LW,Published,BURDH4JWLKNKX8D1C,Patricia is a Data Analyst with 11 years of experience.,VUVQI0JWAAUQZ56L7,CI3Q61Q4VMYJ60OFQ,YES,INS-973911,ssh-rsa GHOaKrkJytYPNOXqzxvBdNzFZvSRgsBulECY60LnPwxo=,238.02,4.884,AWOJNXERXCCTRZYKS,636.91,66.043368,973Z0P7IUEL9R49U2E89,ssh-rsa qAtz+pMMvDIts2f7SXKimBzHldNBvSebebn1BVPbZpUZ=,CLVRHWGNWJB94LTBM,VB5CXCP4NYN5GFAC5,1275.4,1664.3,40061-87-9,rejected,The customer account includes operational metrics.  The customer account tracks compliance records.,2.96,Finance,421.12,VLS,29.5,INR,QOWS2JALMJY6T7YDJ,4004.2,[DEBUG] Batch 9642 completed,DTV,846527,EMP77630,[CONFIDENTIAL] Formula #144,KHZ,2021-05-16T09:26:32Z,50.46,3794.9,316.26,"-46.139903, 30.583838","[0.9775, 0.6323, 0.8492, 0.0878, 0.6418, 0.7895, 0.352, 0.1558]",29.3,3301 shares @ $372.99,JKDXYTP3YYL2521HV,September,50.92,305.6,632.92,7949.4,4WZEAJEZ87YZN9744,name,8E4PBX0A1TT42R4YE,0.1733,4KUVJBSMSD78TSLSI,CHECK (val > 0),RY1I8UCBLYCQ46481
ZPK,GSC,4177.9,RYPWXOJBORWC8XHS2,202.39,Editor,"$37,578",Engineering,47.61,F23WSTEM3D1UJ0CUD,496.97,RCKZ5DFYN68INTLBC,https://example.com/users/1076d0b0/profile,ASCII,approved,oliver.brown,31551.2,3EWPT6AGNMILLIA47,38.77,UEP,$2b$12$kxOlnj59F3RTtIrbh7oFyRRHu7t9GXmdS0wXAkLe6iVDBLsKfvefH,8407.4,8368.5,A operational definition of compliance.,75.4,929.46,915.84,Metformin,3359.3,Safari,DHZQJHMSXQMWWBX71,368.92,@harperrobinson878,DAA,453.38,O08V87YMLUGD47FQN,Draft,A2ZDBOIWRUCACNK0T,Amy is a Data Analyst with 2 years of experience.,2YNNSTBMB7YL9T44A,6VAIDZ4VBYZ8DCIP3,false,INS-303469,ssh-rsa eh+WiKk7KJmdgTTpmOiAOJwCBJ780MYL+4IhgvLKK0ha=,89.8,16.849,NEBM5YA8DXZI67AQ9,204.95,17.833288,PXO3OXH8DLGV3QVOC94J,ssh-rsa 6iwSLZFx3fn9mZh2dMBfXcjcB3+kvFsr6iU09I7u+BTI=,4MX6WWQJPOYX3CRPU,2TJZKGTQFU5QTFOQ1,7237.6,6998.9,33422-85-8,approved,The customer account tracks data processing activities.  The product tracks transaction histories.  The product manages compliance records.  This record represents transaction histories.,795.51,Engineering,40.94,REK,70.3,USD,FATY1U0XZFQLXNPPK,9696.8,[WARN] Batch 3557 completed,NFC,523730,EMP11379,[CONFIDENTIAL] Formula #786,TGM,,33.43,7633.6,872.28,"6.836315, -129.945825","[0.9822, 0.5292, 0.0152, 0.2685, 0.8946, 0.0196, 0.9584, 0.5622]",3.7,3589 shares @ $186.1,XMSJNIXCS5DB3H0SR,May,589.75,265.3,493.03,5956.2,01GJHR2R8MXS19GCN,type,ARJET15R5DYPL0IRE,0.0396,SEX1WC4MHS8N6ASP4,BETWEEN 1 AND 100,0L5F27NN8WP7M5MBT
YZG,HSQ,6673.4,CQ832W2YPHY01PM0A,27.64,Guest,"$19,239",Legal,306.76,6M86FEU58L9CKLUZ6,590.8,DNE6N38CX01A6I4IU,https://example.com/users/7ea32f19/profile,ASCII,inactive,mason.moore,13646.6,MPJXLHE3V4PFW53O8,67.61,DSA,$2b$12$6tihcAX5cZOQfAfPTzFIbkp7Sx9twFRzNMzO6nsqfBxq0RPxHGEAP,8354.2,850.6,A systematic definition of risk.,61.0,300.33,433.66,Lisinopril,4804.0,Opera,26OPS0AV9DMJZ2YU5,452.11,@michaelrodriguez550,WGK,137.71,3MHLTTKMKA96Z3VBZ,Archived,X427N4R5820Y5GEXF,Oliver is a Sales Rep with 4 years of experience.,5DSDF84G4PQF8UXAM,CB8409Y9D9LYQND2S,YES,INS-917449,ssh-rsa Au1JXpQ9UNd/hvB+lPrYWS7HZbdMl1aKrwDDLkYl/9UR=,362.71,11.132,NKZYP7V6R6UUGQLXQ,548.17,-57.325806,4SFUK35NHK6ZULAYQAQA,ssh-rsa dOU/ocmm/zpfG6btTEHGkZeyIQl+hU3NMT3vr8Z5O1e3=,3U1C7269TBKGQE78O,9D51RWGJYSR0IFBTD,7905.9,4698.4,31438-43-5,rejected,The product includes customer interactions.  The product includes customer interactions.  The system tracks data processing activities.,113.92,Support,180.64,YWT,88.9,CNY,WQ3TSCDAOD3SYTW3B,1266.6,[WARN] Cache miss for key 1063,HWD,622871,EMP32085,[CONFIDENTIAL] Formula #482,ULI,,10.15,4170.3,396.19,"10.74777, 171.812045","[0.2515, 0.1425, 0.7192, 0.6288, 0.8184, 0.8717, 0.4519, 0.3105]",55.9,1778 shares @ $13.95,6P1NACC42ZE84E4W4,April,495.87,136.0,768.57,999.3,WRZJX32UTJYWUR8X5,status,Z6IWMIM01GG3RFY6H,0.625,FNKX9L2BHC4SCFXVL,MATCHES '^[A-Z]+',GDSXWCJ9LAGNW6WF2
SYD,QUH,725.5,Q55304VS2VPQRIS53,124.55,Admin,"$4,763",Finance,725.95,EPGON0YXLZU9WAJM6,695.21,YNBAKKBDJL7X83RDZ,https://example.com/users/0b9eb554/profile,Latin-1,completed,jennifer.thomas,22562.3,ZYVEZ7S87BEQPHK6D,78.71,JZH,$2b$12$rpKfqJnn0mUYrOboXRwsTxo2xVaDq91bybyLM4wfGB3hujppyjQwD,5151.6,3734.5,A formal definition of compliance.,62.1,242.81,467.94,Metformin,1130.0,Opera,V9W1U3U2G89EZ378F,625.72,@marygarcia205,DYR,444.05,4WBQA0U1HQ23PRHQL,Draft,6YN81AYHEFBZEROWM,Emma is a Product Manager with 5 years of experience.,8VO12XU2TJ2KNYW61,78KXUQQCGJPT59G4M,true,INS-886201,ssh-rsa WwgSXsUOgiy+g9EjTncjOaEamTkVnga8R9e4gOPjawzW=,621.5,0.852,075EJWSND8G01D84F,382.55,-148.643661,HS0W5WL1OJKANGEBHY35,ssh-rsa jc4cnVDHunUFf0FnTiONnXGOTK170vWopZJdiN1IURRv=,C6RU4LTTHZQPI6OZZ,WVSNV2ZMD29L8NC29,9000.6,7792.2,15591-47-2,pending,This record tracks compliance records.  This record monitors customer interactions.,606.15,Legal,844.27,ZQN,70.7,BRL,50V2QLFJV2USJ0JYQ,7776.9,[WARN] Cache miss for key 8227,MNP,431118,EMP23604,[CONFIDENTIAL] Formula #427,SIX,2020-11-18T05:00:26Z,79.96,744.6,410.36,"-61.192225, -18.391481","[0.8581, 0.8408, 0.8509, 0.4384, 0.712, 0.3367, 0.9894, 0.1247]",21.5,1315 shares @ $166.57,BFYGCELFN50CTRTX5,October,715.25,31.2,695.79,6536.1,R4XZGA815W7ZAPPGJ,type,O99QDG72K36NJT16F,0.5615,60LSU08HT3T9XFOZE,CHECK (val > 0),ERCGC10J8K31RBL1G
MZW,BOT,6251.6,1OTI6A68GVGB7FN2F,554.4,Owner,"$3,359",Operations,477.31,HCP9Q95UQAYU3MXYG,934.74,X2HN4E386KIHWQQ7P,https://example.com/users/8b570785/profile,UTF-8,pending,william.garcia,20071.2,C316WGDFLV51XDBR7,65.8,GQF,$2b$12$n4l1eCRnB3YsBrbeBeUy4LV2xUGmetntf7gZL94JzTsFH2oWpNi0F,8954.0,7924.9,A systematic definition of risk.,85.9,733.44,615.28,Aspirin,6530.8,Safari,FVOZW6T94734SI31S,11.13,@masonwilliams323,UZJ,355.18,EVB36MBAUGPD3DES4,Draft,3Y65ATNKXHA24AS67,Noah is a Software Engineer with 2 years of experience.,G9UKNLOK5HAFYPIIJ,45RQPUEM9HAIU52X7,YES,INS-998997,ssh-rsa IT0KPaFQKYoEo5BTDlZHWqZU64sc5HhYAOr3DHFvl/rk=,583.52,0.794,4XAPPR9TUIVIKZ648,618.0,-134.016853,GSBEA1ECONO50CFGTCLQ,ssh-rsa 8XWWd50j8B3UUFJkpmas7oC4tFIlZID54o4bVvhm3h2i=,041QHSRBGMJW9MSEY,WBVPKAVD3EBFHM9A2,7431.5,2874.2,2632-11-1,inactive,The product tracks data processing activities.  The service tracks data processing activities.  The system represents transaction histories.  This record monitors data processing activities.,342.95,Engineering,367.66,EDB,89.6,JPY,C8WEBG2CFLQCSRCDQ,595.7,[DEBUG] Request processed in 7133ms,SJB,850090,EMP16557,[CONFIDENTIAL] Formula #851,BNG,,39.97,5786.2,194.95,"-58.472749, -155.720955","[0.6067, 0.8209, 0.1899, 0.2565, 0.1492, 0.5641, 0.4863, 0.5036]",68.4,4009 shares @ $225.86,5HADBFJ827FX5BAAX,June,554.44,62.4,916.84,4967.9,1UBSCBFRXQSIRQ7D6,id,PYV7IUPNL8RHYU6KX,0.9347,RT0TM366G5IRMZWXV,BETWEEN 1 AND 100,56D25L3LREWPV676H
RXT,EKX,1178.1,QKIZP7IOAJ2MT64GR,95.25,Guest,"$11,660",Marketing,46.95,I70WUDQI29D4D7V9K,170.36,PSBD2R48Y4V1O7VJX,https://example.com/users/8469d270/profile,ASCII,inactive,sarah.anderson,77412.7,YZOBBY3M1NHV54S5U,85.22,FND,$2b$12$EVALxd9d0XWsZ3TCjAztO5Mg9eMXpFq9wNfQ3NMmV6lYwFK2bH6nA,6182.5,1412.2,A operational definition of compliance.,0.0,743.68,270.65,Metformin,1315.3,Firefox,DLPU1LYT1CQQWVRQ2,154.46,@jamesanderson908,UFD,674.08,AX2QFYTZ4WQDDOSFN,Archived,PPKR0R09A4AQ2E631,Patricia is a VP Engineering with 23 years of experience.,X5QSEH9YYPFJMX8M5,9OCDUP390G0RW7XGK,YES,INS-562288,ssh-rsa Fdn1e6cYXLJlccnmZcOVatLngEYvAWbcgshtp0WtgKfs=,685.0,15.058,FC0RGAG9QU94V1Y88,758.18,73.612757,1XJUXYS8U7LNKOCJGXSJ,ssh-rsa NMbjl5wcaEqrZF1r3WMa+ha8D2ci5vvimq2uXFEeun+1=,VQLU3R9RN9YA1XF7W,137VDIZMOXV12OVAH,2600.6,723.8,75264-51-5,pending,The product represents transaction histories.  The service includes compliance records.  This record tracks compliance records.,722.33,Sales,860.27,JZE,57.6,JPY,3NKT0BRE7DFOTO0B1,7319.4,[WARN] Batch 7530 completed,HSL,689788,EMP54239,[CONFIDENTIAL] Formula #821,TTQ,,53.99,694.8,340.44,"49.562142, 123.02707","[0.6532, 0.2688, 0.6082, 0.0369, 0.6043, 0.5335, 0.0903, 0.9503]",83.4,3503 shares @ $150.01,SMQ0KVJ6JEYE5JD8M,June,808.99,408.8,801.05,9335.7,TIREUM180WY2OUVG5,email,3QFX0DWPDLNNO99SF,0.0432,O2MBKGXUDWE1ANCNK,CHECK (val > 0),7HWEHOZFXXSWZ1FNK
NWO,BBD,7075.9,JMYLJAAWOV4WBMA6W,298.25,Admin,"$45,991",HR,60.91,R67ZMGA6OCBNBPD4N,47.05,SPMFNG2TP6N2TWGKR,https://example.com/users/20150766/profile,ASCII,completed,oliver.robinson,33997.8,TFMO69GMEZ54BLN94,99.96,DHA,$2b$12$oUyXziMXSdeSOFB7PBjdr2lIb9qiwTf9oBjWrtCRsKEOdhmHDbw63,4053.9,4709.5,A operational definition of data quality.,38.9,149.27,119.82,Amoxicillin,2785.9,Safari,X5KLD34XO1HME11EO,157.58,@jamesrodriguez982,BEJ,980.1,IVMTJ9C5SGO4XS9S7,Draft,2XRKF46VHWVT5CHJX,Oliver is a Software Engineer with 15 years of experience.,O1DH9R9J56688JAFJ,UHZCNYRQOQHWMTEHK,true,INS-176492,ssh-rsa Z8FVD+56n9crkeyTCI+P4mFoi2rEK7sFHvK1WNfezNc7=,329.19,4.099,ZWV4NEJQCUMFYDKMN,526.19,-2.103355,4W4S4I4XHC4WNRI5QSUO,ssh-rsa KTyr+4xFYyGa4EbFianVWQiWDw4eeqbZH8rSAG5x7G3L=,363NALYWBCZZQ1HGX,27JPYTG76586V9ZRZ,3785.6,8087.2,99834-54-8,cancelled,The customer account tracks compliance records.  The system tracks compliance records.  This record includes data processing activities.  The product tracks transaction histories.,781.02,Legal,141.69,SRL,49.0,GBP,BWM8LUJG7F7VP3G63,3762.6,[ERROR] Request processed in 2617ms,DXH,313395,EMP48299,[CONFIDENTIAL] Formula #231,ZFW,,59.96,1446.9,361.99,"68.651397, -28.778854","[0.9172, 0.6476, 0.3415, 0.1458, 0.0767, 0.7499, 0.8897, 0.5779]",95.7,4636 shares @ $210.87,BVS4URR6M2N5ZQBM0,July,767.8,186.9,761.13,7537.5,UP226PBO5YAZJXD25,name,L138KARROXT44PI7L,0.7144,5KG74PVRAVWTN8VQ5,BETWEEN 1 AND 100,3W22F30J4YM3WUPFW
ILC,DZU,7406.2,SJLJBIC4JCJKFS2IM,952.3,Viewer,"$49,480",Operations,923.71,CL7GQNF01PH2EKIA0,254.69,8U8A81720OZOVJYVR,https://example.com/users/c6dcf474/profile,ASCII,cancelled,emma.martinez,7364.0,MXBYQAR0NVPPKR793,0.42,ZQY,$2b$12$lcGb5FpFB9fLXJHu8Jxd7ZtLNoFI3KaNkOquFzIiSLCzL7i4XTecr,8829.2,5928.8,A formal definition of compliance.,8.4,286.21,780.42,Amoxicillin,1140.7,Edge,FFTQ2807T1FVEQI11,494.38,@richardclark604,VSZ,90.61,2F11MSTKBS607EZBA,Draft,PU4B2N9VWTMA2E7U4,Liam is a Sales Rep with 26 years of experience.,3R2DGOAZXWQZHB4UW,4K7BS6JAN8CJFYVKK,NO,INS-868808,ssh-rsa yR+lmPNc6gxwFhN5GsjeJQXiStAUf4Xiu/lrtZDHvqb3=,215.58,8.209,XL3U37R6X2E878CJ0,708.8,-168.101292,Z51MWJVXD9202H15KLH2,ssh-rsa faBVg3DnDP7aCtMpSxl6cixpYICLdn/JPTIr/OLcN8vl=,8S3IL82ORS3Z0VWSD,XR3HI9HKNPJV8JFZ9,4733.1,8936.5,21874-22-3,completed,The product tracks customer interactions.  The service includes transaction histories.  The service represents data processing activities.,31.73,Engineering,675.9,JNC,36.1,CAD,79N2KUPXJAJ4WML0W,5752.4,[INFO] Health check passed,GXW,429026,EMP44483,[CONFIDENTIAL] Formula #182,KCJ,,57.13,5896.3,361.68,"-11.828855, -52.937963","[0.2293, 0.6124, 0.8219, 0.1852, 0.6118, 0.7266, 0.5717, 0.3515]",99.0,4091 shares @ $465.99,B5T06S0FY9EO3NPLW,May,848.71,401.8,164.99,648.2,NKKZPU4BP83N9I379,email,LMBW52JB64OM24BIC,0.856,RER2OKCL07Z79N78P,BETWEEN 1 AND 100,SAK0YNYQ5MTEWR1HI
WXC,TQY,9431.9,M5IZGRMJGYA914NT5,54.6,Viewer,"$10,952",Operations,35.93,5UEGK739HWTHHKYQD,252.57,NEI0F7UWS60YGCQHI,https://example.com/users/2288e64d/profile,UTF-8,pending,david.williams,90069.9,SKQ0VWIDYC7ELAPC5,6.08,BJK,$2b$12$sC1jSvlQNVfaIneLhNFWd72bFkiwrtS8fPp1SWVT9EZ9O9JjRWnM0,1136.1,7338.2,A formal definition of data quality.,6.9,757.85,437.96,Aspirin,1344.6,Brave,356KRE2N0LPNRIXLC,844.58,@lindayoung267,XGI,267.2,CAX3OW74EWS45H4QQ,In Review,UJUXALFSKT57JBVIP,Aiden is a Product Manager with 9 years of experience.,OQL1N63GUJA0O4NVS,3DO3ZNTHC3A2W3J9U,YES,INS-910479,ssh-rsa ln16eJO5gsQFl8JOpjrJDWAyBCftNps8C0AF3c7GYlXm=,571.93,6.52,TQB03VL6GXWY9TD7M,6.05,71.588926,ASP9INR9FBM2V9TDAYVY,ssh-rsa JToO5scJdxltdInvs7aQShHwSC/kacJDCJ73KOdvaRj+=,9719F0276HT77Z5SH,SH8XR0WOZG0KHYXIP,5111.8,1508.4,56568-28-4,cancelled,The customer account manages transaction histories.  This record includes transaction histories.  The customer account manages operational metrics.  The customer account tracks compliance records.,256.23,Marketing,199.46,GPS,4.9,BRL,VR5UA0DD9G8NI7ITF,4514.9,[DEBUG] Health check passed,STR,773876,EMP71992,[CONFIDENTIAL] Formula #760,AXL,,44.98,6615.4,539.19,"3.7705, 168.300711","[0.9656, 0.4932, 0.9847, 0.4843, 0.7709, 0.3949, 0.6586, 0.822]",57.2,4318 shares @ $382.72,SQIM9WS48JYXFS4TD,May,64.63,319.0,251.1,713.3,BQX7QO1AOW7SGP95G,created_at,H1U4E5VH7OVG3W1OF,0.7118,C54INBZC31195CJL4,BETWEEN 1 AND 100,G6ALIC6J3UMBZ5EP0
NBQ,VPR,4055.2,CSPP7D5S21N6C61AM,537.19,Editor,"$10,978",HR,567.14,P3Q9QET45C1MW2289,697.18,3O6FBR003CKFKVX0I,https://example.com/users/c8466c4e/profile,ISO-8859-1,failed,jennifer.clark,8474.0,0QH45CCY631JMB9RD,22.55,GJF,$2b$12$FHwnbjAYbTzIQ0OkATOkIw2qgOYvwvrbJaVqiG4dvayxWET9aHO3P,6342.8,6501.2,A operational definition of data quality.,57.8,212.62,618.82,Amoxicillin,3148.4,Firefox,5FB3BQ7TTC07TPFRI,275.82,@amyjohnson859,MYL,924.72,LEDS3T28GMNEQV9L5,Archived,QYTO68OB0F0I0JGNR,Jessica is a Sales Rep with 10 years of experience.,TGXH6SGVTLZ3JDZ6W,6L4UBXB0LFCG07CYV,false,INS-282483,ssh-rsa 8pwsSCvnJhcD0kpKedWaJG8Yve1DyESyStPXZ7KgBMhL=,222.7,7.569,DOV7CJUNS0KZ7JTOU,144.54,131.236544,JKDUFP8QWUDOEQVMN9WG,ssh-rsa 0wvBFkB4hXx+oeHrlBpFGMbz/J7mu01nbESiRU7PtM4b=,LPQ3E1OEUBI5L3XG7,WFX5VVSS2C5YU99XP,1369.8,3720.7,73128-52-8,cancelled,This record monitors customer interactions.  This record tracks data processing activities.,62.98,HR,452.4,VUN,21.3,CAD,OFXN1EW51TCYW6Q7S,7993.2,[ERROR] Connection established to 5243,PNN,605125,EMP88530,[CONFIDENTIAL] Formula #994,VWU,,2.2,5350.3,559.11,"15.127734, -176.642275","[0.1141, 0.3367, 0.1129, 0.1003, 0.6804, 0.4765, 0.8898, 0.3451]",76.5,2810 shares @ $299.23,WXZZ894SDQB1195G9,November,636.9,377.1,653.05,6872.3,A0MY8GUTI7S2HHZ4P,email,J8EWZVW2SLFPBXEJH,0.4406,BE6OE7ARYM3C11GTJ,CHECK (val > 0),TAIRRCQSIVU5VX73O
XPM,GVQ,9999.9,O2X15ACAU3R34COJN,676.0,Editor,"$12,432",Finance,223.89,TC6EOJFIXJPF67NU1,367.68,TC4VMNLFNIZYZIGFD,https://example.com/users/0c80dde6/profile,UTF-16,active,susan.rodriguez,76691.5,NVAC4AHAWOSDWO9DX,23.51,GYZ,$2b$12$25SR2sg8ZeKT9cNfjgClkC3U7iQkxSSl9x2CixJscQsWInhzWzEXM,5299.7,2450.8,A formal definition of data quality.,84.0,56.71,978.05,Metformin,8553.0,Firefox,VZF445FGJV55EHIIR,79.82,@lucasdavis807,JFL,925.51,DY687JG8ZKXREI71C,Deprecated,FQT3LA60TFHCF7RFD,Mason is a Product Manager with 26 years of experience.,499NGMLTJDL61VGK1,9V6TQN3L329VLNT6K,YES,INS-132418,ssh-rsa P6jFlZ2gtCxgAvtvTurijAFLO3xAEJjbABNnz88jephC=,718.15,13.146,UWZ88TWY2SMSYMJ7A,793.73,-127.026398,TOEO0HGW968GFNYCX8LL,ssh-rsa aWrUqcm6Z6IhefR7K5hxM9sgZifVHHAuGXpx/QOlHl93=,VFKYM0L4DELMN0OZU,RG7BVJAZWZA5B00O0,3607.0,123.2,51609-20-3,failed,The system represents transaction histories.  This record monitors data processing activities.,321.16,Finance,723.85,WNH,69.9,CNY,JRPWVZ2M45JYYZTXM,9675.8,[INFO] Request processed in 2577ms,CIV,454522,EMP85558,[CONFIDENTIAL] Formula #533,ZJG,,34.76,9852.4,457.92,"5.632431, 88.100372","[0.5442, 0.3246, 0.2729, 0.6359, 0.426, 0.8667, 0.8578, 0.6266]",8.8,964 shares @ $53.17,KD6AKM1OCOX6WOHT6,October,519.41,279.5,582.66,800.2,Z2OIDYBRZSYHX9GCD,email,H8COHZ52XTR1HXOLK,0.5953,Q1V5ZAIK3X4CCEMJH,UNIQUE,NZ86KXXW629Q3O13X
RHL,XWT,4572.6,170Q4DZN8LB8ZL1MP,739.81,Guest,"$5,132",Operations,431.87,9IMI3EA6BW4XIVSL9,950.52,RDRQYIN33EK9T4CX5,https://example.com/users/6cb17715/profile,UTF-16,failed,elizabeth.martinez,50155.8,EAUPKDD1RY5TK7JAU,8.63,ZFU,$2b$12$AFdsFpBv3cBkfsI7buyNv0WBTelNOoOWG0i9WbJeiIgHPfDhmQy10,172.8,1961.2,A systematic definition of compliance.,22.2,591.31,324.24,Aspirin,1993.9,Edge,9LLKQIKZMJUKXLNO8,63.12,@johnjackson552,PLQ,752.49,NI7Y2DAZAO7D8SRGS,Published,MR0MC1LCE7K9TTT4F,James is a Designer with 8 years of experience.,OCUV3H9GGGOMA589M,WLYA3877MGGNS5EWE,YES,INS-805316,ssh-rsa PnULVJKXCLx3e+WtsQchnITag0z5/NCfWlUObvsMvyYm=,806.55,8.83,V9PVW58QIGC0NF3NH,533.64,140.85573,LR1SALMDLD8BFP245HZ9,ssh-rsa 2x3oQro75+thKOsN/mInNAY2uthJdiITGngk7qsPLYvT=,ZZBLQE5Y069EQ9CN1,0DCYVLMN6O13YOWQE,9504.2,5799.4,27852-58-7,pending,The service includes transaction histories.  This record includes customer interactions.,779.92,Finance,722.22,DBW,76.2,CNY,G2ZWI7RKO6HTDVO0Q,9764.3,[DEBUG] Connection established to 4482,YLJ,274925,EMP42589,[CONFIDENTIAL] Formula #305,VOI,2019-02-25T23:27:59Z,82.11,5035.9,540.96,"-77.167036, -76.339265","[0.4563, 0.9668, 0.119, 0.9293, 0.1396, 0.9078, 0.3495, 0.2429]",4.8,1010 shares @ $363.01,QFBAO0U2K9375210E,May,319.92,193.9,301.06,3323.6,565IE8VL7RVGR141H,status,RKCHQ7UHJCAMR0LG0,0.5061,MX1Z3NYRZJB7MKUE2,MATCHES '^[A-Z]+',AT5IIXIA8VYVKC27H
